pays,ville,coordonnesgroup
Tunisie,Rejiche,Point(11.03 35.47)
Tunisie,Metline,Point(10.049829 37.245396)
Tunisie,Hammamet,Point(10.6 36.416666666)
Tunisie,Ksar Hellal,Point(10.9 35.65)
Tunisie,Mégrine,Point(10.23325 36.768695)
Tunisie,Sidi Bou Ali,Point(10.47222222 35.95611111)
Tunisie,Amiret El Fhoul,Point(10.826769 35.4441)
Tunisie,Bir Bouregba,Point(10.579489 36.431056)
Tunisie,Chihia,Point(10.742741 34.795057)
Tunisie,Dar Allouch,Point(11.0526 36.9719)
Tunisie,Sfax,Point(10.76 34.74)
Tunisie,Tazarka,Point(10.8 36.55)
Tunisie,Djebel Oust,Point(10.06666667 36.55)
Tunisie,Fernana,Point(8.7 36.65)
Tunisie,Kalâat el-Andalous,Point(10.11833333 37.0625)
Tunisie,Souk Lahad,Point(8.793 33.788)
Tunisie,Touza,Point(10.83 35.63)
Tunisie,Hajeb El Ayoun,Point(9.54 35.39)
Tunisie,Hammam Ghezèze,Point(11.12 36.89)
Tunisie,Ksour Essef,Point(10.98 35.43)
Tunisie,Nouvelle Matmata,Point(10.06 33.63)
Tunisie,Sakiet Eddaïer,Point(10.78 34.8)
Tunisie,Sayada,Point(10.9 35.67)
Tunisie,Ouled Chamekh,Point(10.31611111 35.49138889)
Tunisie,Ras Jebel,Point(10.12 37.215)
Tunisie,Sidi El Hani,Point(10.31666667 35.66666667)
Tunisie,Zaouiet Sousse,Point(10.627360833 35.788721944)
Tunisie,Sbeïtla,Point(9.129444444 35.229722222)
Tunisie,Oueslatia,Point(9.58 35.84)
Tunisie,Matmata,Point(9.966805555 33.542638888)
Tunisie,Menzel El Habib,Point(9.598581 34.229769)
Tunisie,Zaouiet Kontoch,Point(10.76 35.63)
Tunisie,Hazoua,Point(7.60034 33.7385)
Tunisie,Joumine,Point(9.389004 36.925567)
Tunisie,Hassi El Ferid,Point(8.56667 34.95)
Tunisie,Saouaf,Point(10.171292 36.227609)
Tunisie,Ezzouhour,Point(10.6 35.82) | Point(9.05 35.21)
Tunisie,Souk Jedid,Point(9.564178 34.942124)
Tunisie,Tinja,Point(9.764271 37.160385)
Tunisie,Smâr,Point(10.821665 32.995159)
Tunisie,Sidi Aïch,Point(8.784033 34.731906)
Tunisie,Zaghouan,Point(10.143333333 36.402777777)
Tunisie,Thibar,Point(9.106035 36.522363)
Tunisie,Haïdra,Point(8.4597 35.5672)
Tunisie,Ben Arous,Point(10.218888888 36.753055555)
Tunisie,Lamta,Point(10.880735 35.675409)
Tunisie,Beni M'Tir,Point(8.734444444 36.74)
Tunisie,Chebika,Point(9.925976 35.618651)
Tunisie,El Fahs,Point(9.9 36.36666667)
Tunisie,Tataouine,Point(10.45 32.933333333)
Tunisie,Zriba,Point(10.206034 36.35585)
Tunisie,Dahmani,Point(8.828373 35.942366)
Tunisie,Kerker,Point(10.641975 35.48171)
Tunisie,El Alâa,Point(9.5624 35.6148)
Tunisie,Kélibia,Point(11.093888888 36.8475)
Tunisie,La Marsa,Point(10.325277777 36.876388888)
Tunisie,Le Bardo,Point(10.140555555 36.809166666)
