departement,ville,coordonnesgroup
arrondissement de Lens,Oignies,Point(2.993611111 50.469166666)
arrondissement de Sarlat-la-Canéda,La Dornac,Point(1.359722222 45.081944444)
arrondissement de Tournon-sur-Rhône,La Rochette,Point(4.240833333 44.916111111)
Meuse,Morley,Point(5.246944444 48.578611111)
canton de Montmort-Lucy,Mareuil-en-Brie,Point(3.743611111 48.958055555)
Bordeaux Métropole,Lormont,Point(-0.521666666 44.879166666)
canton de Conlie,Lavardin,Point(0.061944444 48.077777777)
canton de Langon,Mazères,Point(-0.258611111 44.495277777)
arrondissement de Montluçon,Louroux-Bourbonnais,Point(2.841111111 46.535277777)
canton de Montpezat-sous-Bauzon,Montpezat,Point(4.206666666 44.712222222)
arrondissement de Reims,Les Petites-Loges,Point(4.227777777 49.138055555)
communauté de communes de Vère Grésigne,Larroque,Point(1.69 44.003333333)
canton de Saint-Symphorien-de-Lay,Neulise,Point(4.18 45.902222222)
arrondissement de Dieppe,La Haye,Point(1.441388888 49.465833333)
arrondissement de Strasbourg-Campagne,Lingolsheim,Point(7.683055555 48.5575)
arrondissement de Strasbourg-Campagne,Mommenheim,Point(7.644166666 48.7575)
arrondissement de Strasbourg-Campagne,Pfettisheim,Point(7.645833333 48.66)
canton de Monségur,Monségur,Point(0.080833333 44.650277777)
arrondissement de Strasbourg-Campagne,Oberschaeffolsheim,Point(7.648055555 48.585555555)
arrondissement de Dieppe,Lucy,Point(1.451388888 49.780555555)
canton de Sens-Ouest,Nailly,Point(3.223055555 48.223611111)
Nièvre,Mont-et-Marré,Point(3.640277777 47.089166666)
arrondissement d'Alençon,La Haute-Chapelle,Point(-0.671388888 48.605)
arrondissement d'Angers,La Membrolle-sur-Longuenée,Point(-0.673888888 47.561111111)
arrondissement d'Angers,Les Ponts-de-Cé,Point(-0.525277777 47.424444444)
arrondissement d'Angoulême,Les Gours,Point(-0.067222222 45.961666666)
arrondissement d'Angoulême,Montmoreau-Saint-Cybard,Point(0.130833333 45.398888888)
arrondissement d'Oloron-Sainte-Marie,Lourdios-Ichère,Point(-0.665 43.049166666)
arrondissement de Confolens,Les Gours,Point(-0.067222222 45.961666666)
arrondissement de Guingamp,Mellionnec,Point(-3.296388888 48.174722222)
arrondissement de Langon,Léogeats,Point(-0.366666666 44.511944444)
arrondissement de Nevers,Nolay,Point(3.323055555 47.120833333)
arrondissement de Toulouse,Montastruc,Point(1.590277777 43.7175)
arrondissement de Villeneuve-sur-Lot,Lédat,Point(0.667777777 44.454166666)
arrondissement de Villeneuve-sur-Lot,Montastruc,Point(0.518611111 44.488888888)
Loir-et-Cher,La Ferté-Saint-Cyr,Point(1.674166666 47.656111111)
Loir-et-Cher,Lunay,Point(0.915277777 47.809166666)
Loir-et-Cher,Méhers,Point(1.456944444 47.327777777)
Loir-et-Cher,Mennetou-sur-Cher,Point(1.865833333 47.269444444)
Loir-et-Cher,Mesland,Point(1.1225 47.509722222)
Loir-et-Cher,Meusnes,Point(1.496666666 47.250277777)
Loir-et-Cher,Molineuf,Point(1.215555555 47.578611111)
Loir-et-Cher,Noyers-sur-Cher,Point(1.399722222 47.276666666)
Loir-et-Cher,Oisly,Point(1.377222222 47.389444444)
Loir-et-Cher,Pezou,Point(1.142777777 47.866111111)
Loir-et-Cher,Pierrefitte-sur-Sauldre,Point(2.150833333 47.512777777)
arrondissement d'Arras,Manin,Point(2.511388888 50.297777777)
arrondissement d'Angers,La Chapelle-Saint-Laud,Point(-0.326111111 47.614444444)
arrondissement de Guingamp,Landebaëron,Point(-3.209166666 48.634444444)
arrondissement de Langon,Le Nizan,Point(-0.269722222 44.4775)
arrondissement de Niort,Le Bourdet,Point(-0.6225 46.233333333)
Hautes-Pyrénées,Lannemezan,Point(0.384722222 43.123888888)
canton de Balleroy,Lingèvres,Point(-0.672777777 49.174722222)
canton de Saint-Germain-du-Teil,Les Hermaux,Point(3.131666666 44.516111111)
Savoie,Montendry,Point(6.241111111 45.525555555)
arrondissement de Montbéliard,L'Isle-sur-le-Doubs,Point(6.586111111 47.447777777)
arrondissement de Mamers,Nouans,Point(0.221666666 48.239166666)
canton de Pau-Ouest,Narcastet,Point(-0.319722222 43.250833333)
canton de Mesvres,Mesvres,Point(4.241944444 46.8625)
canton de Monestiés,Montirat,Point(2.102777777 44.159166666)
arrondissement de Dax,Orthevielle,Point(-1.1475 43.552222222)
arrondissement de Châteaubriant-Ancenis,Mésanger,Point(-1.231388888 47.433055555)
canton de Lembeye,Maspie-Lalonquère-Juillacq,Point(-0.147777777 43.421388888)
Meuse,Maizey,Point(5.511666666 48.924722222)
Meuse,Montfaucon-d'Argonne,Point(5.1325 49.271666666)
canton de Rieux-Volvestre,Lacaugne,Point(1.271111111 43.286666666)
arrondissement de Dieppe,Luneray,Point(0.913055555 49.828611111)
arrondissement d'Angers,Les Alleuds,Point(-0.409444444 47.319444444)
arrondissement de Chinon,Marray,Point(0.700833333 47.621111111)
arrondissement de Guingamp,Moustéru,Point(-3.238888888 48.517222222)
arrondissement de Langon,Lugasson,Point(-0.160277777 44.751111111)
arrondissement de Langon,Mourens,Point(-0.209722222 44.648888888)
arrondissement de Niort,Les Alleuds,Point(-0.007222222 46.163888888)
arrondissement de Niort,Loubigné,Point(-0.086111111 46.077777777)
arrondissement de Niort,Lusseray,Point(-0.166388888 46.146111111)
arrondissement de Toul,Limey-Remenauville,Point(5.895277777 48.886388888)
arrondissement de Dieppe,Londinières,Point(1.401944444 49.831666666)
Nièvre,La Nocle-Maulaix,Point(3.781111111 46.763611111)
Nièvre,Oulon,Point(3.398055555 47.199166666)
canton de Forges-les-Eaux,La Bellière,Point(1.595833333 49.6025)
Charente,Mosnac,Point(-0.018888888 45.618611111)
Côte-d'Or,Mâlain,Point(4.794722222 47.325833333)
canton de Mormoiron,Modène,Point(5.123055555 44.103333333)
canton de Nogaro,Monguilhem,Point(-0.181388888 43.855277777)
canton de Sainte-Alvère,Paunat,Point(0.858888888 44.905833333)
Pas-de-Calais,Lespinoy,Point(1.875833333 50.428611111)
Pas-de-Calais,Leubringhen,Point(1.721388888 50.857777777)
Pas-de-Calais,Licques,Point(1.936666666 50.785277777)
Pas-de-Calais,Matringhem,Point(2.165 50.545)
Conflent,Nohèdes,Point(2.288888888 42.623055555)
Loir-et-Cher,Lignières,Point(1.183055555 47.865277777)
canton de Mézières-sur-Issoire,Mézières-sur-Issoire,Point(0.910833333 46.1075)
arrondissement de Digne-les-Bains,La Javie,Point(6.351388888 44.174444444)
arrondissement de Montbéliard,Mandeure,Point(6.805555555 47.451111111)
canton de Montfort-en-Chalosse,Montfort,Point(-0.837777777 43.710833333)
Dordogne,Le Buisson-de-Cadouin,Point(0.909722222 44.845277777)
Cher,Massay,Point(1.992777777 47.153888888)
Var,Le Muy,Point(6.566388888 43.4725)
Savoie,Les Mollettes,Point(6.054166666 45.460833333)
canton de Châtillon-en-Bazois,Ougny,Point(3.710555555 47.075555555)
arrondissement d'Albertville,La Perrière,Point(6.593888888 45.445)
arrondissement d'Auch,Mirannes,Point(0.382222222 43.619166666)
arrondissement de Mamers,Lamnay,Point(0.704166666 48.116111111)
arrondissement de Mamers,Nuillé-le-Jalais,Point(0.481388888 48.020277777)
arrondissement de Poitiers,Mirebeau,Point(0.181666666 46.785277777)
arrondissement de Poitiers,Neuville-de-Poitou,Point(0.245 46.685)
canton de Mont-de-Marsan-Nord,Mont-de-Marsan,Point(-0.500555555 43.890277777)
Hérault,Le Pouget,Point(3.524722222 43.592222222)
canton de Génolhac,Malons-et-Elze,Point(4.023055555 44.4175)
arrondissement de Nogent-sur-Seine,Les Grandes-Chapelles,Point(4.016111111 48.466666666)
Pas-de-Calais,Lillers,Point(2.481944444 50.563611111)
Eure,Léry,Point(1.206666666 49.285277777)
canton de Montpezat-sous-Bauzon,Mazan,Point(4.088888888 44.728055555)
arrondissement d'Agen,La Croix-Blanche,Point(0.693055555 44.294722222)
arrondissement d'Agen,Nicole,Point(0.336111111 44.324722222)
arrondissement de Bayeux,Noron-la-Poterie,Point(-0.775 49.226666666)
arrondissement de Lens,Liévin,Point(2.777777777 50.421944444)
arrondissement de Mortagne-au-Perche,Lignerolles,Point(0.583055555 48.590833333)
arrondissement de Vervins,Molain,Point(3.534444444 50.030833333)
Alpes-Maritimes,La Colle-sur-Loup,Point(7.103888888 43.686388888)
Ardennes,Perthes,Point(4.350555555 49.449444444)
arrondissement de Montbard,Moitron,Point(4.821111111 47.676666666)
"communauté de communes Région Lézignanaise, Corbières et Minervois",Mouthoumet,Point(2.526944444 42.96)
Vienne,Mondion,Point(0.484444444 46.937222222)
canton de Roanne-Sud,Ouches,Point(3.9875 46.016111111)
Ariège,Lézat-sur-Lèze,Point(1.346944444 43.276111111)
arrondissement de Provins,Marles-en-Brie,Point(2.879444444 48.728055555)
arrondissement de Provins,Marolles-sur-Seine,Point(3.031111111 48.385833333)
Haut-Rhin,Lapoutroie,Point(7.169444444 48.1525)
Charente-Maritime,Le Château-d'Oléron,Point(-1.194722222 45.885833333)
arrondissement de Nantes,La Montagne,Point(-1.683888888 47.19)
arrondissement d'Auch,Lasseube-Propre,Point(0.595833333 43.575277777)
Nièvre,Lanty,Point(3.841111111 46.810277777)
Nièvre,Montsauche,Point(4.025833333 47.215)
arrondissement de Vannes,La Gacilly,Point(-2.131944444 47.765)
arrondissement de Vannes,Lauzach,Point(-2.544722222 47.614722222)
arrondissement de Vannes,Les Fougerêts,Point(-2.2125 47.740277777)
arrondissement de Vannes,Limerzel,Point(-2.353888888 47.636666666)
arrondissement de Vannes,Malansac,Point(-2.294722222 47.677777777)
canton de Cornus,Montpaon,Point(3.123611111 43.876111111)
Landes,Mimbaste,Point(-0.973055555 43.648333333)
Landes,Morcenx,Point(-0.914722222 44.033055555)
canton de Montbozon,Loulans,Point(6.206111111 47.446666666)
canton de Montbozon,Loulans-les-Forges,Point(6.206111111 47.446666666)
canton de Pas-en-Artois,Orville,Point(2.411388888 50.133888888)
arrondissement d'Apt,Lauris,Point(5.313333333 43.746944444)
Haut-Rhin,Leymen,Point(7.483333333 47.494722222)
arrondissement d'Auch,Montadet,Point(0.910555555 43.431944444)
arrondissement de Saint-Lô,Le Chefresne,Point(-1.154444444 48.903055555)
arrondissement d'Avranches,Le Mesnil-Ozenne,Point(-1.230833333 48.666944444)
arrondissement d'Albertville,Monthion,Point(6.358611111 45.631111111)
arrondissement de Mamers,Monhoudou,Point(0.325277777 48.286666666)
arrondissement de Reims,Les Mesneux,Point(3.961111111 49.218611111)
canton de Pierrefort,Oradour,Point(2.934444444 44.919166666)
canton de Pierrefort,Paulhenc,Point(2.817222222 44.889722222)
canton d'Alzonne,Pezens,Point(2.265277777 43.254444444)
Loir-et-Cher,Le Plessis-Dorin,Point(0.864444444 48.089444444)
canton de Balleroy,Le Tronquay,Point(-0.823611111 49.228055555)
arrondissement de Limoges,Nexon,Point(1.187222222 45.678333333)
canton de Beaune-Nord,Meloisey,Point(4.735 47.033055555)
canton de Pouilly-en-Auxois,Marcilly-Ogny,Point(4.405833333 47.2525)
Eure,La Vieille-Lyre,Point(0.75 48.917777777)
canton de Montbozon,Larians-et-Munans,Point(6.235833333 47.415833333)
arrondissement d'Avesnes-sur-Helpe,Le Favril,Point(3.721944444 50.103055555)
arrondissement de Bayeux,Longueville,Point(-0.96 49.34)
arrondissement de Boulogne-sur-Mer,Longueville,Point(1.880555555 50.732222222)
arrondissement d'Ussel,Neuvic,Point(2.271111111 45.381111111)
arrondissement de Fontainebleau,La Chapelle-la-Reine,Point(2.571666666 48.318333333)
arrondissement de Calvi,Muro,Point(8.914166666 42.545555555)
canton de Briançon-Nord,Névache,Point(6.604722222 45.018611111)
arrondissement de Calvi,Palasca,Point(9.042777777 42.589166666)
arrondissement de Mortagne-au-Perche,Maison-Maugis,Point(0.7025 48.453611111)
arrondissement de Mortagne-au-Perche,Montgaudry,Point(0.401944444 48.406111111)
arrondissement de Nantua,Montanges,Point(5.801388888 46.164166666)
arrondissement de Saint-Gaudens,Larroque,Point(0.609722222 43.195555555)
arrondissement de Nice,Nice,Point(7.268333333 43.701944444)
arrondissement de Mortagne-au-Perche,Parfondeval,Point(0.506388888 48.481666666)
arrondissement de Saint-Gaudens,Mane,Point(0.951666666 43.081944444)
arrondissement des Sables-d'Olonne,Le Désert,Point(-1.670555555 46.545277777)
arrondissement de Villefranche-sur-Saône,Marcy,Point(4.681666666 45.915)
arrondissement de Tournon-sur-Rhône,Ozon,Point(4.802777777 45.165833333)
arrondissement de Vervins,Parfondeval,Point(4.159722222 49.740833333)
Lot,Pern,Point(1.404166666 44.328888888)
arrondissement de Bayeux,La Vacquerie,Point(-0.858333333 49.092222222)
Haut-Rhin,Moosch,Point(7.05 47.86)
Haut-Rhin,Orschwihr,Point(7.232222222 47.934722222)
Haut-Rhin,Orschwir,Point(7.232222222 47.934722222)
Haut-Rhin,Pfaffenheim,Point(7.289444444 47.984444444)
Haut-Rhin,Pfetterhouse,Point(7.166388888 47.500833333)
arrondissement de Dieppe,La Crique,Point(1.197222222 49.690555555)
arrondissement de Dieppe,Marques,Point(1.689166666 49.783888888)
arrondissement de Dieppe,Ménonval,Point(1.4925 49.772222222)
arrondissement de Dieppe,Ocqueville,Point(0.687777777 49.800555555)
arrondissement de Dieppe,Osmoy-Saint-Valery,Point(1.322222222 49.796666666)
Montpellier Méditerranée Métropole,Murviel,Point(3.736666666 43.604444444)
arrondissement de Dieppe,Nullemont,Point(1.64 49.768055555)
arrondissement d'Avranches,La Bazoge,Point(-1.028888888 48.645833333)
arrondissement d'Issoire,La Godivelle,Point(2.9225 45.388611111)
arrondissement d'Issoire,Ollières,Point(3.449722222 45.421666666)
arrondissement d'Avranches,Parigny,Point(-1.078055555 48.595)
arrondissement de Montbrison,La Chapelle-en-Lafaye,Point(3.988888888 45.462777777)
arrondissement de Mamers,Montigny,Point(0.1836 48.4569)
arrondissement de Bagnères-de-Bigorre,Lannemezan,Point(0.384722222 43.123888888)
Corse-du-Sud,Mela,Point(9.093888888 41.695833333)
canton de Dieulouard,Montauville,Point(6.020833333 48.900833333)
communauté de communes du Pays de Landerneau-Daoulas,Logonna-Daoulas,Point(-4.298611111 48.320555555)
arrondissement de Saint-Flour,Massiac,Point(3.197222222 45.251388888)
district de Lorraine,Mey,Point(6.236111111 49.136388888)
communauté de communes du Vimeu,Méneslies,Point(1.496388888 50.058055555)
Tarn-et-Garonne,Lafitte,Point(1.119444444 43.971666666)
Haut-Rhin,Mortzwiller,Point(7.037777777 47.740555555)
Haut-Rhin,Munwiller,Point(7.345 47.930555555)
Haut-Rhin,Oltingue,Point(7.391666666 47.491388888)
Haut-Rhin,Ottmarsheim,Point(7.510277777 47.787222222)
arrondissement de Montbéliard,La Chenalotte,Point(6.684166666 47.108611111)
Loir-et-Cher,Lancé,Point(1.0675 47.693888888)
Loir-et-Cher,Marcilly-en-Beauce,Point(1.001944444 47.763611111)
Loir-et-Cher,Mur-de-Sologne,Point(1.608333333 47.4125)
Loir-et-Cher,Nouan-le-Fuzelier,Point(2.038055555 47.536944444)
Loir-et-Cher,Orchaise,Point(1.198888888 47.59)
canton de Marines,Marines,Point(1.983611111 49.145)
canton de Gordes,Murs,Point(5.241388888 43.951944444)
arrondissement de Grenoble,L'Albenc,Point(5.440555555 45.225)
arrondissement de Saint-Dizier,Montier-en-Der,Point(4.77 48.477777777)
arrondissement de La Roche-sur-Yon,Palluau,Point(-1.619722222 46.805)
arrondissement de Provins,La Tombe,Point(3.089444444 48.388333333)
canton de Sourdeval,Le Fresne-Poret,Point(-0.829722222 48.710277777)
canton de Saint-Béat,Lez,Point(0.700833333 42.909166666)
arrondissement d'Amiens,Le Hamel,Point(2.570277777 49.899722222)
Nièvre,La Collancelle,Point(3.640277777 47.175)
arrondissement de Metz-Campagne,Marsilly,Point(6.296666666 49.099444444)
communauté de communes de Vère Grésigne,Montgaillard,Point(1.595555555 43.909444444)
Ariège,Le Peyrat,Point(1.920555555 42.956666666)
Ariège,Le Pla,Point(2.080555555 42.715555555)
Ariège,Montgauch,Point(1.075277777 43.000277777)
Charente-Maritime,Nieul-le-Virouil,Point(-0.530555555 45.408333333)
Charente-Maritime,Ozillac,Point(-0.393333333 45.393611111)
arrondissement d'Agen,Montpezat,Point(0.523888888 44.346666666)
arrondissement de Fontainebleau,Mondreville,Point(2.609444444 48.1425)
arrondissement de Pontoise,Marines,Point(1.983611111 49.145)
arrondissement de Saint-Gaudens,Mazères,Point(0.973333333 43.133333333)
arrondissement d'Avallon,Pacy,Point(4.093888888 47.777222222)
arrondissement de Toulon,La Seyne-sur-Mer,Point(5.878333333 43.103055555)
canton du Puy-en-Velay-Nord,Le Puy-en-Velay,Point(3.885 45.043333333)
arrondissement d'Aurillac,Mourjou,Point(2.329444444 44.690555555)
arrondissement de Châteaubriant-Ancenis,Petit-Auverné,Point(-1.290555555 47.61)
Cherbourg-en-Cotentin,La Glacerie,Point(-1.604166666 49.614166666)
canton de Bray-sur-Somme,Méricourt-l'Abbé,Point(2.565277777 49.951944444)
arrondissement d'Issoire,Labessette,Point(2.5375 45.489166666)
arrondissement de Carcassonne,Moussoulens,Point(2.229444444 43.279444444)
arrondissement de Montbrison,Lérigneux,Point(3.965 45.600833333)
arrondissement de Montbrison,Luriecq,Point(4.08 45.451111111)
arrondissement de Thiers,Palladuc,Point(3.628333333 45.904722222)
arrondissement de Nevers,Parigny-les-Vaux,Point(3.148333333 47.091666666)
arrondissement de Nevers,Luthenay-Uxeloup,Point(3.263333333 46.850833333)
Nièvre,La Marche,Point(3.033888888 47.140555555)
Nièvre,Montvert,Point(3.3575 46.752222222)
Eure,Le Chesne,Point(0.949444444 48.891111111)
canton de Vercel-Villedieu-le-Camp,Passonfontaine,Point(6.418888888 47.107777777)
canton de Lyons-la-Forêt,Lyons-la-Forêt,Point(1.476111111 49.399444444)
arrondissement d'Avranches,La Lucerne-d'Outremer,Point(-1.426666666 48.784444444)
arrondissement de Carcassonne,Les Martys,Point(2.305833333 43.416388888)
arrondissement de Carcassonne,Marquein,Point(1.726388888 43.305277777)
arrondissement de Carcassonne,Mireval-Lauragais,Point(1.958333333 43.254444444)
arrondissement de Châteaubriant,Massérac,Point(-1.914722222 47.672777777)
arrondissement de La Rochelle,L'Houmeau,Point(-1.187222222 46.193055555)
arrondissement de La Rochelle,Nieul,Point(-1.163611111 46.206666666)
canton de Lillebonne,Mélamare,Point(0.450555555 49.5375)
Pyrénées-Orientales,Mosset,Point(2.348333333 42.668055555)
canton de La Ferté-Frênel,La Gonfrière,Point(0.471388888 48.819166666)
arrondissement de Carcassonne,La Cassaigne,Point(1.993888888 43.202777777)
canton de Captieux,Lartigue,Point(-0.096666666 44.251111111)
Loire,Juré,Point(3.891388888 45.883888888)
canton de Massat,Le Port,Point(1.373055555 42.869166666)
Pont-Aven,Nizon,Point(-3.76778 47.86389)
Pas-de-Calais,Maizières,Point(2.447777777 50.323611111)
arrondissement de Grenoble,La Sône,Point(5.278055555 45.111388888)
arrondissement de Grenoble,Marcollin,Point(5.087777777 45.305555555)
arrondissement de Grenoble,Montaud,Point(5.561111111 45.262777777)
arrondissement de Grenoble,Oris-en-Rattier,Point(5.87 44.921111111)
arrondissement de Bayeux,Lingèvres,Point(-0.672777777 49.174722222)
arrondissement de Commercy,Lahaymeix,Point(5.41 48.939166666)
arrondissement de Nantua,Leyssard,Point(5.475833333 46.155833333)
arrondissement de Nantua,Neuville-sur-Ain,Point(5.372222222 46.0825)
arrondissement de Nice,Pierlas,Point(7.035555555 44.031666666)
arrondissement de Vervins,Lislet,Point(4.021388888 49.686388888)
arrondissement de Vervins,Mondrepuis,Point(4.055277777 49.963333333)
arrondissement de Valence,Mirmande,Point(4.835555555 44.698333333)
arrondissement d'Avesnes-sur-Helpe,Leval,Point(3.838333333 50.188611111)
arrondissement de Chambéry,Montcel,Point(5.983055555 45.723333333)
arrondissement de Pontoise,Moussy,Point(1.909722222 49.138055555)
arrondissement de Villefranche-sur-Saône,Le Breuil,Point(4.5875 45.894166666)
canton de Dieulouard,Maidières,Point(6.038055556 48.89972222)
arrondissement de Montbrison,Leigneux,Point(3.976111111 45.751388888)
arrondissement de Montbrison,Mizérieux,Point(4.165 45.795)
canton de La Motte-Chalancon,La Motte-Chalancon,Point(5.379444444 44.485277777)
Cantal,Lascelle,Point(2.575555555 45.022777777)
Manche,Nay,Point(-1.373611111 49.239722222)
arrondissement de Clermont-Ferrand,Laqueuille,Point(2.7325 45.65)
canton de Nogaro,Manciet,Point(0.040833333 43.799444444)
Hérault,Olmet-et-Villecun,Point(3.288611111 43.707222222)
Loir-et-Cher,Lorges,Point(1.498333333 47.823611111)
Loir-et-Cher,Orçay,Point(2.110833333 47.290555555)
arrondissement de Montluçon,Naves,Point(3.109166666 46.175)
Seine-et-Marne,La Brosse-Montceaux,Point(3.019166666 48.344722222)
arrondissement de Nîmes,Montclus,Point(4.419722222 44.260555555)
arrondissement de Montbéliard,L'Hôpital-Saint-Lieffroy,Point(6.4575 47.398888888)
arrondissement de Montbéliard,Les Plains-et-Grands-Essarts,Point(6.894722222 47.303611111)
arrondissement de Montbéliard,Montancy,Point(7.046944444 47.346388888)
Eure,La Croix-Saint-Leufroy,Point(1.243333333 49.109166666)
Meuse,Ligny,Point(5.323888888 48.688611111)
Vosges,Le Syndicat,Point(6.684722222 48.023611111)
arrondissement de Châteaubriant-Ancenis,Mouais,Point(-1.644444444 47.695555555)
arrondissement de Saint-Nazaire,La Chapelle-des-Marais,Point(-2.241666666 47.447222222)
arrondissement de Forbach,Morsbach,Point(6.870833333 49.166944444)
canton de Montesquiou,Montesquiou,Point(0.328888888 43.578611111)
communauté d'agglomération de Moulins,Moulins,Point(3.3325 46.564722222)
arrondissement de Grenoble,Mont-Saint-Martin,Point(5.675277777 45.271388888)
Pays de Châteaugiron Communauté,Nouvoitou,Point(-1.545833333 48.040555555)
arrondissement de Besançon,Laissey,Point(6.230833333 47.297777777)
arrondissement de Besançon,Lantenne-Vertière,Point(5.778611111 47.232777777)
arrondissement de Boulogne-sur-Mer,Le Portel,Point(1.573333333 50.706666666)
arrondissement de Besançon,Moncley,Point(5.891666666 47.308333333)
arrondissement de Besançon,Montagney-Servigney,Point(6.306388888 47.481111111)
arrondissement de Besançon,Passonfontaine,Point(6.418888888 47.107777777)
arrondissement de Pontoise,Méry-sur-Oise,Point(2.186388888 49.063611111)
arrondissement de Sarcelles,Maffliers,Point(2.307777777 49.077222222)
canton d'Aime,La Côte-d'Aime,Point(6.668611111 45.567777777)
arrondissement de Strasbourg-Campagne,Kolbsheim,Point(7.588333333 48.560833333)
arrondissement de Strasbourg-Campagne,Neugartheim-Ittlenheim,Point(7.540555555 48.658055555)
arrondissement de Strasbourg-Campagne,Osthoffen,Point(7.555277777 48.586111111)
Pyrénées-Atlantiques,Nay,Point(-0.262222222 43.18)
arrondissement de Besançon,Lavans-Vuillafans,Point(6.244166666 47.086388888)
canton de Brioux-sur-Boutonne,Le Vert,Point(-0.395277777 46.093055555)
arrondissement de Tulle,Lagarde-Enval,Point(1.8075 45.186944444)
Loiret,Meung-sur-Loire,Point(1.698333333 47.828611111)
Eure,Montfort-sur-Risle,Point(0.664444444 49.295277777)
Rhône,Loire,Point(4.806111111 45.560555555)
arrondissement d'Argentan,La Fresnaye-au-Sauvage,Point(-0.259166666 48.738611111)
arrondissement d'Argentan,Lougé-sur-Maire,Point(-0.225277777 48.693333333)
arrondissement de Dinan,Le Gouray,Point(-2.488611111 48.327222222)
arrondissement de Dinan,Le Hinglé,Point(-2.078333333 48.392777777)
arrondissement de Douai,Marchiennes,Point(3.282222222 50.408055555)
arrondissement de Vervins,La Capelle,Point(3.916388888 49.977222222)
arrondissement de Vervins,Lemé,Point(3.763888888 49.837777777)
canton de Pontailler-sur-Saône,Montmançon,Point(5.378611111 47.3525)
canton de Pontailler-sur-Saône,Perrigny-sur-l'Ognon,Point(5.448055555 47.311111111)
canton de Montesquiou,Peyrusse-Vieille,Point(0.180833333 43.629444444)
canton de Savignac-les-Églises,Mayac,Point(0.943888888 45.280277777)
Somme,Long,Point(1.981111111 50.039444444)
Savoie,Mognard,Point(5.955277777 45.748888888)
arrondissement de Dieppe,Mauquenchy,Point(1.468055555 49.603611111)
