departement,ville,coordonnesgroup
canton de Formerie,Lannoy-Cuillère,Point(1.747777777 49.707777777)
arrondissement de Cognac,Nercillac,Point(-0.246111111 45.715277777)
canton de Blangy-sur-Bresle,Pierrecourt,Point(1.645 49.892777777)
canton de Carrouges,Le Désert,Point(-0.301944444 48.541944444)
canton de Lagor,Mont,Point(-0.653055555 43.434722222)
canton de Thiberville,Le Favril,Point(0.531388888 49.182777777)
Pas-de-Calais,Marant,Point(1.845 50.466388888)
arrondissement de Besançon,Longeville,Point(6.227777777 47.031111111)
arrondissement des Sables-d'Olonne,Longeville,Point(-1.489444444 46.424444444) | Point(-1.4887 46.4247)
arrondissement de Thiers,Limons,Point(3.445277777 45.973611111)
arrondissement de Poitiers,Nouaillé-Maupertuis,Point(0.414166666 46.508611111)
canton de Villefagnan,Longré,Point(-0.012777777 46.001666666)
arrondissement de Fougères-Vitré,Monthault,Point(-1.181388888 48.511388888)
arrondissement de Châteaubriant-Ancenis,Massérac,Point(-1.914722222 47.672777777)
Savoie,La Côte-d'Aime,Point(6.668611111 45.567777777)
Savoie,La Croix-de-la-Rochette,Point(6.118888888 45.466944444)
Dinan Agglomération,La Chapelle-Blanche,Point(-2.144722222 48.265833333)
arrondissement de Saint-Dizier,Perthes,Point(4.823333333 48.656111111)
canton de Bouilly,Les Bordes-Aumont,Point(4.121944444 48.185555555)
canton de Combronde,Montcel,Point(3.066111111 46.014722222)
arrondissement de Haguenau-Wissembourg,Munchhausen,Point(8.146388888 48.921111111)
arrondissement de Wissembourg,Munchhausen,Point(8.146388888 48.921111111)
Meuse,Montsec,Point(5.720277777 48.890833333)
arrondissement d'Ussel,Lamazière-Basse,Point(2.170555555 45.3725)
arrondissement d'Avesnes-sur-Helpe,Monceau-Saint-Waast,Point(3.854722222 50.170555555)
arrondissement de Calvi,Oletta,Point(9.355555555 42.6325)
arrondissement de Tulle,Le Lonzac,Point(1.728611111 45.463888888)
arrondissement de Tulle,Marc-la-Tour,Point(1.844722222 45.205)
arrondissement de Poitiers,Lavausseau,Point(0.073333333 46.559444444)
arrondissement de Poitiers,Lavoux,Point(0.529444444 46.595555555)
arrondissement de Poitiers,Mignaloux-Beauvoir,Point(0.416111111 46.543333333)
arrondissement de Palaiseau,Le Plessis-Pâté,Point(2.329166666 48.613888888)
arrondissement de Montbéliard,Médière,Point(6.598611111 47.456666666)
arrondissement de Montbéliard,Montenois,Point(6.666111111 47.493055555)
canton de Neuilly-Saint-Front,Marizy-Saint-Mard,Point(3.224166666 49.180833333)
canton de Neuilly-Saint-Front,Monnes,Point(3.218888888 49.148333333)
arrondissement de Poitiers,La Puye,Point(0.751944444 46.6425)
arrondissement de Montbéliard,Marvelise,Point(6.592222222 47.522222222)
arrondissement de Montbéliard,Narbief,Point(6.690833333 47.129166666)
arrondissement de Caen,Monts,Point(-0.603333333 49.114444444)
arrondissement de Castelsarrasin,Labastide-du-Temple,Point(1.195 44.084722222)
arrondissement de Tournon-sur-Rhône,Le Crestet,Point(4.655 45.014444444)
canton de Roquefort,Labastide-d'Armagnac,Point(-0.186111111 43.969444444)
arrondissement de Palaiseau,Longpont,Point(2.291666666 48.642777777)
canton de Lisieux-3,Lisieux,Point(0.225555555 49.145555555)
Haut-Rhin,Oberdorf,Point(7.3075 47.558888888)
canton d'Abbeville-Nord,Neufmoulin,Point(1.910277777 50.128888888)
arrondissement de Chambéry,La Rochette,Point(6.120277777 45.458611111)
