departement,ville,coordonnesgroup
arrondissement de Bar-le-Duc,Waly,Point(5.106666666 49.019444444)
Loir-et-Cher,Yvoy-le-Marron,Point(1.853055555 47.6325)
canton de Beaumesnil,Épinay,Point(0.641944444 48.981111111)
Yonne,Épineuil,Point(3.980277777 47.873611111)
aire urbaine de Mulhouse,Walheim,Point(7.266388888 47.641944444)
Haut-Rhin,Wolfersdorf,Point(7.113611111 47.640555555)
arrondissement de Boulogne-sur-Mer,Wimereux,Point(1.61 50.769722222)
arrondissement de Confolens,Épenède,Point(0.537222222 46.063611111)
Oise,Énencourt-Léage,Point(1.846666666 49.303888888)
arrondissement de Saint-Omer,Wizernes,Point(2.229166666 50.711111111)
Seine-Maritime,Écretteville-lès-Baons,Point(0.6825 49.626944444)
Val-d'Oise,Épiais-lès-Louvres,Point(2.5575 49.031388888)
canton de Roubaix-Est,Wattrelos,Point(3.213333333 50.701111111)
canton de Duclair,Yville-sur-Seine,Point(0.878888888 49.400277777)
arrondissement de Dinan,Éréac,Point(-2.3475 48.273888888)
arrondissement d'Avallon,Yrouerre,Point(3.948055555 47.793888888)
Oise,Wavignies,Point(2.359444444 49.546666666)
Cher,Étréchy,Point(2.725 47.162222222)
Gironde,Yvrac,Point(-0.461388888 44.879722222)
arrondissement d'Angoulême,Xambes,Point(0.105 45.826388888)
arrondissement de Confolens,Xambes,Point(0.105 45.826388888)
canton de Valmont,Ypreville-Biville,Point(0.533333333 49.693888888)
arrondissement de Moulins,Ygrande,Point(2.943611111 46.552222222)
Moselle,Wintersbourg,Point(7.189444444 48.786111111)
Seine-et-Oise,Vémars,Point(2.567777777 49.069722222)
canton de Sains-Richaumont,Wiège-Faty,Point(3.718888888 49.881388888)
arrondissement du Havre,Ypreville-Biville,Point(0.533333333 49.693888888)
arrondissement de Saint-Julien-en-Genevois,Vulbens,Point(5.930555555 46.101388888)
Yvelines,Épône,Point(1.815277777 48.955833333)
arrondissement de Saverne,Zehnacker,Point(7.451388888 48.670555555)
arrondissement de Saverne,Zeinheim,Point(7.485833333 48.6725)
arrondissement de Saverne,Zittersheim,Point(7.348055555 48.899444444)
Métropole européenne de Lille,Wambrechies,Point(3.048611111 50.685277777)
arrondissement de Saint-Omer,Wismes,Point(2.071388888 50.654166666)
Val-d'Oise,Vétheuil,Point(1.703055555 49.063888888)
Côtes-d'Armor,Yvias,Point(-3.0525 48.713333333)
arrondissement de Douai,Warlaing,Point(3.325277777 50.410277777)
canton de Rosières-en-Santerre,Vrély,Point(2.693055555 49.798055555)
Manche,Yvetot-Bocage,Point(-1.503611111 49.49)
arrondissement de Bergerac,Vélines,Point(0.108611111 44.858888888)
arrondissement de Sartène,Zoza,Point(9.070277777 41.717777777)
arrondissement du Havre,Yport,Point(0.313055555 49.737777777)
canton de Crécy-en-Ponthieu,Yvrencheux,Point(1.992222222 50.181666666)
arrondissement de Saverne,Weiterswiller,Point(7.4125 48.853333333)
arrondissement de Saverne,Wiwersheim,Point(7.606388888 48.640555555)
arrondissement de Saverne,Wolfskirchen,Point(7.074444444 48.88)
canton d'Évreux-Est,Évreux,Point(1.1525 49.023333333)
Côtes-d'Armor,Yvignac,Point(-2.175833333 48.348333333)
arrondissement d'Angoulême,Yvrac-et-Malleyrand,Point(0.447777777 45.75)
canton de Valenciennes-Nord,Wallers,Point(3.391944444 50.375277777)
canton de Munster,Wasserbourg,Point(7.158333333 48.002777777)
canton de Munster,Wihr-au-Val,Point(7.205555555 48.053333333)
Moselle,Wuisse,Point(6.651111111 48.851111111)
Moselle,Yutz,Point(6.188611111 49.358888888)
arrondissement de Montreuil,Wailly-Beaucamp,Point(1.726111111 50.413333333)
Côtes-d'Armor,Éréac,Point(-2.3475 48.273888888)
Landes,Ychoux,Point(-0.958055555 44.3275)
canton de Montaigut,Youx,Point(2.799166666 46.144722222)
communauté urbaine d'Arras,Wancourt,Point(2.870555555 50.247777777)
Seine-et-Oise,Épône,Point(1.815277777 48.955833333)
arrondissement de Saint-Omer,Zouafques,Point(2.055833333 50.816111111)
arrondissement de Mulhouse,Waltenheim,Point(7.425555555 47.656944444)
arrondissement de Saverne,Weyer,Point(7.158333333 48.854166666)
arrondissement du Havre,Yébleron,Point(0.536666666 49.632777777)
arrondissement de Mulhouse,Zillisheim,Point(7.295555555 47.695277777)
arrondissement de Saint-Omer,Zudausques,Point(2.148888888 50.749166666)
Yvelines,Émancé,Point(1.73 48.590277777)
arrondissement de Douai,Waziers,Point(3.113055555 50.387222222)
arrondissement de Saint-Omer,Wittes,Point(2.391666666 50.669444444)
canton de Vézénobres,Vézénobres,Point(4.136388888 44.053055555)
Moselle,Walscheid,Point(7.15 48.653888888)
Moselle,Xouaxange,Point(6.997222222 48.696666666)
Moselle,Zommange,Point(6.804722222 48.824166666)
canton de Vesoul-Ouest,Échenoz-la-Méline,Point(6.137222222 47.601944444)
Yvelines,Vélizy-Villacoublay,Point(2.188333333 48.783333333)
Charente-Maritime,Yves,Point(-1.045 46.040277777)
arrondissement de Sarrebourg-Château-Salins,Xanrey,Point(6.582222222 48.750833333)
arrondissement de Mulhouse,Zimmersheim,Point(7.388055555 47.719722222)
arrondissement de Valenciennes,Wallers,Point(3.391944444 50.375277777)
arrondissement de Thann,Wegscheid,Point(6.958055555 47.799444444)
arrondissement d'Altkirch,Wolfersdorf,Point(7.113611111 47.640555555)
communauté urbaine d'Arras,Wailly,Point(2.722222222 50.246388888)
canton de Thann,Willer-sur-Thur,Point(7.073055555 47.843611111)
arrondissement de Bar-sur-Aube,Épothémont,Point(4.6575 48.417777777)
arrondissement de Rambouillet,Émancé,Point(1.73 48.590277777)
arrondissement de Haguenau-Wissembourg,Wissembourg,Point(7.946111111 49.0375)
arrondissement de Wissembourg,Wissembourg,Point(7.946111111 49.0375)
canton de Laignes,Étais,Point(4.436944444 47.707777777)
arrondissement de Mulhouse,Wentzwiller,Point(7.479722222 47.550277777)
Meurthe-et-Moselle,Vézelise,Point(6.087777777 48.486944444)
arrondissement de Thann-Guebwiller,Wuenheim,Point(7.208888888 47.873055555)
arrondissement de Mulhouse,Wittelsheim,Point(7.2375 47.805277777)
Haut-Rhin,Wintzenheim,Point(7.29 48.073055555)
canton de Pierrefitte-sur-Aire,Woimbey,Point(5.467222222 48.975833333)
Seine-et-Oise,Étréchy,Point(2.191111111 48.493055555)
arrondissement de Pontarlier,Vuillecin,Point(6.321944444 46.939166666)
Conty,Wailly,Point(2.15544 49.768761)
Métropole européenne de Lille,Wavrin,Point(2.938888888 50.573888888)
arrondissement de Chambéry,Yenne,Point(5.758888888 45.704166666)
arrondissement de Vervins,Wassigny,Point(3.6 50.013055555)
Mulhouse Alsace Agglomération,Zillisheim,Point(7.295555555 47.695277777)
arrondissement de Molsheim,Wasselonne,Point(7.448055555 48.637222222)
Seine-et-Oise,Émancé,Point(1.73 48.590277777)
arrondissement de Saint-Omer,Zutkerque,Point(2.0675 50.853611111)
canton de Château-Salins,Wuisse,Point(6.651111111 48.851111111)
Manche,Yquelon,Point(-1.555833333 48.848055555)
Somme,Y,Point(2.991944444 49.803333333)
canton de Niort-Nord,Échiré,Point(-0.415833333 46.389166666)
canton de Hochfelden,Wingersheim,Point(7.635833333 48.722222222)
arrondissement de Commercy,Woimbey,Point(5.467222222 48.975833333)
canton de Clerval,Vyt-lès-Belvoir,Point(6.621666666 47.348333333)
aire urbaine de Mulhouse,Zillisheim,Point(7.295555555 47.695277777)
arrondissement d'Arras,Wamin,Point(2.060555555 50.413888888)
canton de Combronde,Yssac-la-Tourette,Point(3.092777777 45.935)
arrondissement de Libourne,Vérac,Point(-0.341111111 44.991388888)
arrondissement d'Avesnes-sur-Helpe,Willies,Point(4.098055555 50.120833333)
canton du Bourg-d'Oisans,Vénosc,Point(6.115555555 44.99)
Jura,Étival,Point(5.791944444 46.507222222)
arrondissement de Montreuil,Wail,Point(2.127222222 50.3475)
arrondissement de Brioude,Vézézoux,Point(3.346666666 45.403333333)
Corse-du-Sud,Zicavo,Point(9.130277777 41.907222222)
