departement,ville,coordonnesgroup
arrondissement de Brioude,Frugerès-les-Mines,Point(3.306666666 45.386388888)
canton de Graçay,Graçay,Point(1.846666666 47.142777777)
arrondissement d'Ussel,Grandsaigne,Point(1.918055555 45.49)
arrondissement de Tournon-sur-Rhône,Colombier-le-Cardinal,Point(4.7425 45.266944444)
arrondissement de Tulle,Grandsaigne,Point(1.918055555 45.49)
canton de Ryes,Crépon,Point(-0.550555555 49.316111111)
canton de Tassin-la-Demi-Lune,Francheville,Point(4.763611111 45.736388888)
canton de Venarey-les-Laumes,Hauteroche,Point(4.581111111 47.500555555)
communauté de communes de Vère Grésigne,Castelnau-de-Montmiral,Point(1.820833333 43.965555555)
canton de Guéret-Nord,Guéret,Point(1.868333333 46.170555555)
canton de Beauvais-Sud-Ouest,Goincourt,Point(2.036111111 49.426388888)
Meuse,Julvécourt,Point(5.190833333 49.063055555)
canton de Castelnau-Magnoac,Caubous,Point(0.476388888 43.244722222)
Nièvre,Jailly,Point(3.478055555 47.096111111)
arrondissement de Soissons,Chavonne,Point(3.57 49.404444444)
canton de La Ferté-Frênel,Glos-la-Ferrière,Point(0.601111111 48.856944444)
Haut-Rhin,Illfurth,Point(7.265 47.6725)
Haut-Rhin,Guewenheim,Point(7.092222222 47.753055555)
canton de Combronde,Combronde,Point(3.088055555 45.981111111)
arrondissement de Châteaubriant,Issé,Point(-1.451111111 47.623888888)
arrondissement de Mamers,Champrond,Point(0.745555555 48.0775)
arrondissement de Mamers,Chassé,Point(0.2 48.45)
arrondissement de Reims,Cernay-lès-Reims,Point(4.103333333 49.263611111)
arrondissement de Reims,Cuchery,Point(3.823333333 49.130833333)
arrondissement de Mamers,Fatines,Point(0.347777777 48.046111111)
arrondissement de Reims,Hautemont,Point(4.389722222 49.273611111)
canton de Saint-Nicolas-de-la-Grave,Cordes-Tolosannes,Point(1.148611111 43.985833333)
arrondissement d'Issoire,Chidrac,Point(3.148888888 45.554166666)
arrondissement d'Avranches,Courtils,Point(-1.408888888 48.6275)
arrondissement d'Issoire,Espinchal,Point(2.881111111 45.394166666)
arrondissement de Châteaubriant,Conquereuil,Point(-1.751388888 47.624444444)
arrondissement de Digne-les-Bains,Entrages,Point(6.266111111 44.046111111)
arrondissement de Saint-Lô,Catz,Point(-1.18 49.310833333)
arrondissement de Saint-Lô,Domjean,Point(-1.0325 48.986944444)
canton de Besançon-Est,Chalèze,Point(6.088611111 47.266944444)
canton de Saint-Quentin-Sud,Harly,Point(3.321111111 49.8425)
canton de Saint-Quentin-Sud,Homblières,Point(3.365 49.85)
Haut-Rhin,Grandvillars,Point(6.973055555 47.538888888)
Eure,Chamblac,Point(0.544444444 48.988333333)
Eure,Collandres-Quincarnon,Point(0.8525 48.996111111)
Eure,Corneuil,Point(1.14 48.881666666)
Eure,Courteilles,Point(0.989722222 48.735833333)
Eure,Daubeuf-près-Vatteville,Point(1.302777777 49.268055555)
Corse-du-Sud,Cozzano,Point(9.154722222 41.934444444)
Eure,Dame-Marie,Point(0.995833333 48.805555555)
communauté urbaine de Lyon,Givors,Point(4.768888888 45.590555555)
arrondissement d'Agen,Foulayronnes,Point(0.648055555 44.239444444)
arrondissement de Dax,Donzacq,Point(-0.804166666 43.656388888)
arrondissement de Dax,Heugas,Point(-1.080555555 43.642222222)
arrondissement de Sarlat-la-Canéda,Condat-sur-Vézère,Point(1.230277777 45.117222222)
arrondissement de Vervins,Grand-Verly,Point(3.584444444 49.938055555)
arrondissement de Tournon-sur-Rhône,Jaunac,Point(4.399166666 44.919444444)
canton de la Conca-d'Oro,Farinole,Point(9.365555555 42.732222222)
Haut-Rhin,Eguisheim,Point(7.305833333 48.043055555)
"communauté d'agglomération de Béthune-Bruay, Artois-Lys Romane",Hersin-Coupigny,Point(2.647777777 50.446111111)
canton de Croisilles,Croisilles,Point(2.88 50.199722222)
Seine-et-Marne,Chalautre-la-Grande,Point(3.459166666 48.541944444)
Seine-et-Marne,Champeaux,Point(2.807222222 48.585)
Seine-et-Marne,Gouvernes,Point(2.693888888 48.860555555)
canton de Montmort-Lucy,Congy,Point(3.828055555 48.859444444)
canton de Fort-de-France-5,Fort-de-France,Point(-61.0833 14.6)
canton de Saramon,Castelnau-Barbarens,Point(0.723888888 43.576388888)
Hérault,Celles,Point(3.340555555 43.661111111)
Haut-Rhin,Grosne,Point(6.999166666 47.574722222)
canton de Captieux,Goualade,Point(-0.144444444 44.311388888)
arrondissement de Blois,Chambord,Point(1.519166666 47.613055555)
canton d'Ars-sur-Moselle,Gravelotte,Point(6.029722222 49.110277777)
arrondissement de Commercy,Chalaines,Point(5.680555555 48.603055555)
arrondissement de Sarcelles,Garges-lès-Gonesse,Point(2.4 48.971944444)
canton d'Ars-sur-Moselle,Corny,Point(6.059722222 49.034722222)
arrondissement de Vannes,Guer,Point(-2.120555555 47.903888888)
arrondissement de Vannes,Guilliers,Point(-2.405555555 48.0425)
arrondissement de Nice,Isola,Point(7.052222222 44.185833333)
Seine-et-Marne,Dhuisy,Point(3.161111111 49.038611111)
Seine-et-Marne,Gastins,Point(3.019722222 48.628333333)
arrondissement de Bernay,Harcourt,Point(0.786388888 49.166944444)
communauté de communes de la Veyle,Chanoz-Châtenay,Point(5.03 46.184166666)
communauté de communes de la Veyle,Chaveyriat,Point(5.060555555 46.197777777)
Seine-et-Marne,Chauconin-Neufmontiers,Point(2.839166666 48.975833333)
Seine-et-Marne,Chevru,Point(3.195 48.735555555)
Seine-et-Marne,Esmans,Point(2.976388888 48.348055555)
Seine-et-Marne,Fresnes-sur-Marne,Point(2.741388888 48.939722222)
Seine-et-Marne,Hermé,Point(3.344722222 48.4825)
canton de Saint-Simon,Flavy-le-Martel,Point(3.193055555 49.713333333)
Fougères Agglomération,Javené,Point(-1.215833333 48.319166666)
arrondissement de Périgueux,Coutures,Point(0.392777777 45.331944444)
communauté urbaine de Lyon,Dardilly,Point(4.753055555 45.805555555)
Côte-d'Or,Franxault,Point(5.277222222 47.053333333)
Manche,Cormeray,Point(-1.44655 48.5505)
canton de Château-la-Vallière,Channay-sur-Lathan,Point(0.263611111 47.48)
Pas-de-Calais,Corbehem,Point(3.049166666 50.335555555)
Ille-et-Vilaine,Dinard,Point(-2.061666666 48.6325)
Pas-de-Calais,Hénin-Beaumont,Point(2.95 50.421111111)
arrondissement de Dieppe,Eu,Point(1.419722222 50.047222222)
Eure,Duranville,Point(0.509722222 49.148611111)
canton de La Ferté-Frênel,Gauville,Point(0.554166666 48.828888888)
arrondissement de Saint-Nazaire,Corsept,Point(-2.059166666 47.2775)
canton de Luz-Saint-Sauveur,Esquièze-Sère,Point(-0.001944444 42.875833333)
arrondissement d'Avesnes-sur-Helpe,Dompierre-sur-Helpe,Point(3.866388888 50.144722222)
Seine-et-Marne,Chessy,Point(2.763333333 48.880277777)
canton de Janville,Gommerville,Point(1.944722222 48.345277777)
canton de Saint-Saulge,Crux-la-Ville,Point(3.521111111 47.161111111)
canton de Fénétrange,Hellering,Point(7.063611111 48.809722222)
canton de Fénétrange,Hellering-lès-Fénétrange,Point(7.063611111 48.809722222)
Seine-et-Marne,Flagy,Point(2.921388888 48.3125)
Seine-et-Marne,Gurcy-le-Châtel,Point(3.086944444 48.470833333)
canton de Luz-Saint-Sauveur,Gèdre,Point(0.019166666 42.786388888)
arrondissement d'Issoire,Coudes,Point(3.208055555 45.614722222)
arrondissement d'Avranches,Folligny,Point(-1.411388888 48.823888888)
Seine-et-Marne,Choisy-en-Brie,Point(3.216944444 48.758611111)
arrondissement de Montbrison,Cleppé,Point(4.180277777 45.769166666)
Pas-de-Calais,Guînes,Point(1.873611111 50.867777777)
Seine-et-Marne,Fromont,Point(2.503888888 48.255555555)
canton de Champeix,Chadeleuf,Point(3.179166666 45.586944444)
canton de Sierck-les-Bains,Halstroff,Point(6.4875 49.386944444)
arrondissement de Fontainebleau,Chaintreaux,Point(2.819444444 48.199722222)
Loir-et-Cher,Fréteval,Point(1.209722222 47.888055555)
arrondissement de Sarcelles,Deuil-la-Barre,Point(2.328611111 48.975)
canton d'Ars-sur-Moselle,Châtel-Saint-Germain,Point(6.079444444 49.123611111)
arrondissement d'Avranches,Ducey,Point(-1.289166666 48.619166666)
Pas-de-Calais,Favreuil,Point(2.856944444 50.124166666)
Pas-de-Calais,Galametz,Point(2.138611111 50.328333333)
Pas-de-Calais,Gouves,Point(2.635833333 50.298333333)
Pas-de-Calais,Hervelinghen,Point(1.711666666 50.881944444)
Seine-et-Marne,Charmentray,Point(2.776111111 48.945555555)
Pas-de-Calais,Ivergny,Point(2.3925 50.238888888)
Landes,Classun,Point(-0.414166666 43.710555555)
arrondissement de Bernay,Chambord,Point(0.609166666 48.889722222)
canton d'Avize,Cramant,Point(3.990277777 48.988055555)
canton de Nantiat,Compreignac,Point(1.274722222 45.991944444)
arrondissement de Saint-Nazaire,Donges,Point(-2.076111111 47.323055555)
Eure,Gouttières,Point(0.744722222 49.023888888)
Rhône,Chaponost,Point(4.742222222 45.710277777)
Rhône,Charentay,Point(4.679166666 46.088888888)
Var,Fayence,Point(6.693888888 43.623333333)
canton de Bazas,Cudos,Point(-0.219444444 44.388888888)
canton de Montfaucon-en-Velay,Dunières,Point(4.344722222 45.215555555)
Savoie,Challes-les-Eaux,Point(5.983888888 45.5475)
arrondissement de Béziers,Cébazan,Point(2.974444444 43.403611111)
communauté de communes du Vimeu,Chépy,Point(1.646666666 50.062222222)
arrondissement de Carcassonne,Couffoulens,Point(2.306388888 43.155277777)
Haut-Rhin,Dorans,Point(6.838611111 47.587777777)
Seine-et-Marne,Fontains,Point(3.000833333 48.526388888)
arrondissement de Digne-les-Bains,Entrevennes,Point(6.023333333 43.937777777)
arrondissement de Thiers,Chabreloche,Point(3.696666666 45.878888888)
arrondissement de Reims,Courlandon,Point(3.735 49.313611111)
arrondissement de Reims,Hautvillers,Point(3.943611111 49.084166666)
Pas-de-Calais,Givenchy-en-Gohelle,Point(2.772222222 50.392777777)
Eure,Herqueville,Point(1.2625 49.244444444)
arrondissement de Commercy,Champougny,Point(5.694722222 48.544444444)
arrondissement de Commercy,Commercy,Point(5.591666666 48.764166666)
arrondissement de Mortagne-au-Perche,Charencey,Point(0.759166666 48.650555555)
arrondissement de Mortagne-au-Perche,Chaumont,Point(0.331944444 48.835833333)
arrondissement de Sarcelles,Châtenay,Point(2.458055555 49.066666666)
arrondissement de Mortagne-au-Perche,Fresnay-le-Samson,Point(0.209444444 48.883333333)
arrondissement de Villefranche-sur-Saône,Châtillon,Point(4.645833333 45.877222222)
arrondissement de Segré,Combrée,Point(-1.031388888 47.704166666)
canton de la Clayette,Curbigny,Point(4.311388888 46.3075)
Alpes-Maritimes,Coursegoules,Point(7.043888888 43.793333333)
arrondissement de Saint-Quentin,Dury,Point(3.128888888 49.750555555)
arrondissement de Colmar,Houssen,Point(7.378055555 48.125555555)
arrondissement de Brignoles,Forcalqueiret,Point(6.080555555 43.336388888)
arrondissement de Saint-Gaudens,Cier-de-Rivière,Point(0.633611111 43.063055555)
Charente-Maritime,Champagnolles,Point(-0.638055555 45.514166666)
canton de Chalabre,Courtauly,Point(2.043055555 43.040277777)
arrondissement de Lorient,Inguiniel,Point(-3.282777777 47.976388888)
arrondissement de Rennes,Ercé-près-Liffré,Point(-1.517777777 48.255555555)
arrondissement de Nevers,Cossaye,Point(3.484444444 46.748611111)
canton de Jumeaux,Jumeaux,Point(3.34 45.431111111)
arrondissement de Carcassonne,Fonters-du-Razès,Point(1.934722222 43.228611111)
arrondissement de Quimper,Douarnenez,Point(-4.330277777 48.092222222)
Haut-Rhin,Courtavon,Point(7.1975 47.460555555)
Haut-Rhin,Durmenach,Point(7.338055555 47.526944444)
Haut-Rhin,Ensisheim,Point(7.3525 47.865555555)
Martinique,Ducos,Point(-60.975833333 14.575833333)
arrondissement de Strasbourg-Campagne,Hochfelden,Point(7.57 48.759444444)
canton de Levier,Courvières,Point(6.109166666 46.869166666)
canton de Pierrefontaine-les-Varans,Domprel,Point(6.469166666 47.200555555)
arrondissement d'Issoire,Champagnat-le-Jeune,Point(3.426666666 45.45)
arrondissement d'Auch,Durban,Point(0.578055555 43.538611111)
arrondissement de Carcassonne,Fajac-en-Val,Point(2.458611111 43.121111111)
arrondissement de Montbrison,Chevrières,Point(4.400833333 45.588333333)
arrondissement de Carcassonne,Conques,Point(2.401666666 43.27)
arrondissement de Carcassonne,Conques-sur-Orbiel,Point(2.401666666 43.27)
arrondissement de Châteaubriant,Erbray,Point(-1.317777777 47.655833333)
arrondissement de Mamers,Gréez-sur-Roc,Point(0.794722222 48.137222222)
canton de Pierrefort,Cézens,Point(2.855833333 44.983888888)
canton de Ruynes-en-Margeride,Clavières,Point(3.276666666 44.985833333)
canton de Montfort-en-Chalosse,Cassen,Point(-0.860833333 43.761388888)
canton de Saint-Julien-du-Sault,Cudot,Point(3.179444444 47.983888888)
arrondissement de Châteaubriant-Ancenis,Issé,Point(-1.451111111 47.623888888)
canton de Boulogne-sur-Mer-Sud,Echinghen,Point(1.648055555 50.703333333)
arrondissement de Grenoble,Cognin-les-Gorges,Point(5.411666666 45.170833333)
canton de Belcaire,Comus,Point(1.890277777 42.8125)
arrondissement de Châteaubriant-Ancenis,Conquereuil,Point(-1.751388888 47.624444444)
Eure,Charleval,Point(1.383055555 49.371111111)
Eure,Cormeilles,Point(0.3775 49.248055555)
Eure,Heudreville-en-Lieuvin,Point(0.504166666 49.195833333)
arrondissement de Lorient,Gestel,Point(-3.444166666 47.803333333)
canton de Montbozon,Filain,Point(6.183611111 47.518888888)
canton de Fauville-en-Caux,Foucart,Point(0.595277777 49.613888888)
canton de Tonnerre,Cheney,Point(3.947777777 47.9075)
canton de Bagnères-de-Bigorre,Cieutat,Point(0.214722222 43.121944444)
Martinique,Gros-Morne,Point(-61.0075 14.708055555)
arrondissement d'Avesnes-sur-Helpe,Hargnies,Point(3.847777777 50.257222222)
arrondissement de Besançon,Gennes,Point(6.121111111 47.245)
arrondissement de Castelsarrasin,Durfort,Point(1.155 44.186388888)
arrondissement de Nantua,Cerdon,Point(5.465833333 46.080555555)
arrondissement de Castelsarrasin,Gensac,Point(0.955277777 43.953055555)
arrondissement de Nice,Contes,Point(7.313888888 43.811944444)
arrondissement de Mortagne-au-Perche,Feings,Point(0.633611111 48.545833333)
arrondissement de Villefranche-sur-Saône,Dommartin,Point(4.711388888 45.835)
canton d'Heiltz-le-Maurupt,Heiltz-le-Maurupt,Point(4.815 48.793055555)
arrondissement d'Avesnes-sur-Helpe,Ghissignies,Point(3.616944444 50.226388888)
arrondissement de Commercy,Girauvoisin,Point(5.628333333 48.803888888)
arrondissement de Dieppe,Gonneville-sur-Scie,Point(1.074444444 49.755277777)
arrondissement de Dieppe,Hautot-l'Auvray,Point(0.750833333 49.760833333)
arrondissement de Dieppe,Hermanville,Point(0.988333333 49.82)
arrondissement d'Évreux,Chambray,Point(1.305833333 49.075)
canton de Dun-sur-Meuse,Cléry-Grand,Point(5.155555555 49.363333333)
Charente,Couture,Point(0.285555555 45.929444444)
canton de Wassigny,Grougis,Point(3.531944444 49.943333333)
Seine-et-Marne,Fontenailles,Point(2.951666666 48.553333333)
arrondissement de Dieppe,Grainville-la-Teinturière,Point(0.640833333 49.747777777)
canton de Vermand,Douchy,Point(3.135 49.795833333)
arrondissement d'Avranches,Coudeville,Point(-1.526944444 48.881111111)
arrondissement de Saint-Lô,Fervaches,Point(-1.085555555 48.995)
arrondissement de Péronne,Irles,Point(2.753611111 50.099444444)
arrondissement de Valence,Dieulefit,Point(5.065555555 44.523055555)
Eure,Conteville,Point(0.394722222 49.418611111)
canton de Croisilles,Ervillers,Point(2.823611111 50.161111111)
canton de Seiches-sur-le-Loir,Chaumont-d'Anjou,Point(-0.282222222 47.540277777)
arrondissement de Montbéliard,Charmauvillers,Point(6.918611111 47.238888888)
arrondissement de Carcassonne,Issel,Point(1.99 43.366944444)
arrondissement de Montbéliard,Hérimoncourt,Point(6.883055555 47.440555555)
canton de Moyeuvre-Grande,Clouange,Point(6.096944444 49.261944444)
Loir-et-Cher,Châtres-sur-Cher,Point(1.906111111 47.265)
Loir-et-Cher,Gièvres,Point(1.668888888 47.276388888)
canton de Fénétrange,Gosselming,Point(7.002777777 48.791944444)
arrondissement de Provins,Ferrières-en-Brie,Point(2.704722222 48.821388888)
Ain,Chanay,Point(5.785555555 46.006111111)
Indre-et-Loire,Hommes,Point(0.296666666 47.425833333)
Seine-et-Marne,Chailly-en-Bière,Point(2.6075 48.467222222)
Hérault,Gignac,Point(3.551111111 43.651944444)
arrondissement de Besançon,Corcelle-Mieslot,Point(6.187222222 47.360277777)
arrondissement de Besançon,Cubrial,Point(6.406944444 47.495833333)
arrondissement de Besançon,Domprel,Point(6.469166666 47.200555555)
arrondissement de Besançon,Gondenans-Montby,Point(6.4525 47.432777777)
arrondissement de Besançon,Gonsans,Point(6.300277777 47.231944444)
arrondissement de Nantua,Ceignes,Point(5.499166666 46.120277777)
arrondissement de Lens,Dourges,Point(2.986666666 50.436111111)
arrondissement de Chambéry,Jarsy,Point(6.178888888 45.656944444)
canton de Behren-lès-Forbach,Farschviller,Point(6.894166666 49.093333333)
canton de Florange,Florange,Point(6.118333333 49.321388888)
Charente-Maritime,Fontaines-d'Ozillac,Point(-0.379722222 45.385555555)
Charente-Maritime,Jazennes,Point(-0.616944444 45.581944444)
arrondissement de Besançon,Chaudefontaine,Point(6.159722222 47.339722222)
arrondissement de Fontainebleau,Champagne-sur-Seine,Point(2.801111111 48.397222222)
arrondissement de Fontainebleau,Chartrettes,Point(2.703611111 48.4875)
arrondissement de Nantua,Condamine,Point(5.551111111 46.108888888)
canton de Ville-en-Tardenois,Janvry,Point(3.876111111 49.245)
arrondissement de Carcassonne,Gaja-la-Selve,Point(1.895833333 43.195277777)
canton d'Étrépagny,Gamaches-en-Vexin,Point(1.616388888 49.27)
canton de Campagne-lès-Hesdin,Douriez,Point(1.8775 50.332222222)
arrondissement de Nevers,Garchizy,Point(3.095277777 47.047222222)
canton de Blesle,Grenier-Montgon,Point(3.194722222 45.287777777)
Eure,Cintray,Point(0.890833333 48.795277777)
canton de Pierrefontaine-les-Varans,Guyans-Vennes,Point(6.570833333 47.156388888)
arrondissement de Mamers,Chérancé,Point(0.173888888 48.286944444)
arrondissement de Carcassonne,Douzens,Point(2.597222222 43.185833333)
arrondissement de La Rochelle,Clavette,Point(-1.027777777 46.139166666)
arrondissement de La Rochelle,Dompierre,Point(-1.065 46.187777777)
arrondissement de Montbrison,Civens,Point(4.2525 45.78)
arrondissement de Nîmes,Cornillon,Point(4.486388888 44.218055555)
arrondissement de Saint-Lô,Gouvets,Point(-1.096388888 48.9325)
arrondissement de Dieppe,Compainville,Point(1.559444444 49.662222222)
canton de La Fère,Charmes,Point(3.377777777 49.651111111)
arrondissement d'Auch,Espaon,Point(0.863611111 43.420277777)
arrondissement de Poitiers,Chasseneuil-du-Poitou,Point(0.372222222 46.651111111)
canton d'Exmes,Fel,Point(0.104722222 48.802222222)
canton du Mayet-de-Montagne,Ferrières-sur-Sichon,Point(3.648888888 46.025277777)
canton de Savignac-les-Églises,Cornille,Point(0.784444444 45.251388888)
canton de Fauville-en-Caux,Envronville,Point(0.669722222 49.661944444)
communauté de communes du Vimeu,Feuquières,Point(1.605 50.061388888)
communauté de communes du Vimeu,Feuquières-en-Vimeu,Point(1.605 50.061388888)
arrondissement de Mende,Grandrieu,Point(3.633055555 44.784444444)
arrondissement de Vervins,Chaourse,Point(3.9975 49.704166666)
arrondissement de Vervins,Dorengt,Point(3.684166666 49.975)
arrondissement de Mont-de-Marsan,Coudures,Point(-0.520555555 43.690833333)
communauté de communes de la Veyle,Crottet,Point(4.892222222 46.277222222)
arrondissement de Pontoise,Charmont,Point(1.791111111 49.135833333)
arrondissement de Saint-Gaudens,Fabas,Point(0.894722222 43.314166666)
arrondissement de Clermont-Ferrand,Ceyrat,Point(3.063333333 45.732777777)
arrondissement de Béziers,Fouzilhon,Point(3.244722222 43.501388888)
arrondissement de Montbéliard,Clerval,Point(6.4975 47.392222222)
Seine-et-Oise,Clairefontaine-en-Yvelines,Point(1.908055555 48.6125)
Seine-et-Oise,Congerville-Thionville,Point(1.994444444 48.377777777)
canton de Saint-Gilles-Croix-de-Vie,Coëx,Point(-1.760555555 46.6975)
Haut-Rhin,Courcelles,Point(7.076388888 47.498333333)
arrondissement de Reims,Gueux,Point(3.908055555 49.25)
arrondissement de Lannion,Cavan,Point(-3.344722222 48.671944444)
canton d'Orbec,Familly,Point(0.354444444 48.966666666)
Seine-et-Marne,Chenou,Point(2.658055555 48.165555555)
Seine-et-Marne,Condé-Sainte-Libiaire,Point(2.831666666 48.898055555)
Seine-et-Marne,Courcelles,Point(3.055 48.409722222)
Seine-et-Marne,Gironville,Point(2.528333333 48.185)
arrondissement de Torcy,Champs-sur-Marne,Point(2.601944444 48.852777777)
arrondissement de Montbéliard,Ferrières-le-Lac,Point(6.891666666 47.267222222)
arrondissement de Montbéliard,Geney,Point(6.566666666 47.485833333)
canton de Pinols,Ferrussac,Point(3.400833333 45.092777777)
Meuse,Dugny-sur-Meuse,Point(5.385 49.105277777)
arrondissement de Château-Gontier,Daon,Point(-0.638888888 47.75)
Vosges,Grand,Point(5.486111111 48.385555555)
arrondissement de Montbard,Chemin-d'Aisey,Point(4.564722222 47.741111111)
arrondissement de Forbach,Forbach,Point(6.9 49.188055555)
canton de Courson-les-Carrières,Fontenailles,Point(3.466111111 47.631944444)
arrondissement de Besançon,Guyans-Vennes,Point(6.570833333 47.156388888)
arrondissement de Besançon,Jallerange,Point(5.716666666 47.254166666)
arrondissement de Pontoise,Guiry-en-Vexin,Point(1.849722222 49.108611111)
arrondissement de Strasbourg-Campagne,Dingsheim,Point(7.669722222 48.630555555)
arrondissement de Strasbourg-Campagne,Dossenheim-Kochersberg,Point(7.573333333 48.638333333)
arrondissement de Strasbourg-Campagne,Hurtigheim,Point(7.592222222 48.616111111)
arrondissement de Strasbourg-Campagne,Ittenheim,Point(7.594444444 48.604166666)
canton de Saint-Lys,Fontenilles,Point(1.191111111 43.553055555)
Rhône,Chambost-Longessaigne,Point(4.369166666 45.772777777)
arrondissement de Châteaubriant-Ancenis,Couffé,Point(-1.292777777 47.391388888)
Rhône,Chambost-Allières,Point(4.498611111 46.018333333)
