departement,ville,coordonnesgroup
arrondissement de Cognac,Guimps,Point(-0.246944444 45.463333333)
arrondissement de Cognac,Hiersac,Point(0.004722222 45.668611111)
Haut-Rhin,Dessenheim,Point(7.488333333 47.975555555)
Haut-Rhin,Gueberschwihr,Point(7.276111111 48.003611111)
Haut-Rhin,Heimsbrunn,Point(7.226388888 47.726388888)
Lot-et-Garonne,Fals,Point(0.674444444 44.093055555)
canton de Lusigny-sur-Barse,Clérey,Point(4.190277777 48.208888888)
canton de Thiberville,Folleville,Point(0.506111111 49.153611111)
arrondissement de Sarlat-la-Canéda,Châtres,Point(1.203888888 45.186666666)
Aisne,Housset,Point(3.707777777 49.794166666)
arrondissement de Montbéliard,Goux,Point(6.671388888 47.396666666)
Savoie,Hauteluce,Point(6.585833333 45.751111111)
Eure,Gaillon,Point(1.335833333 49.160277777)
arrondissement de Saint-Brieuc,Hillion,Point(-2.668888888 48.513611111)
Nièvre,Corbigny,Point(3.683611111 47.256666666)
canton de La Roche-Derrien,Cavan,Point(-3.344722222 48.671944444)
arrondissement d'Agen,Dondas,Point(0.838888888 44.253333333)
arrondissement de Thionville-Est,Hettange-Grande,Point(6.153055555 49.405833333)
arrondissement d'Auxerre,Fouronnes,Point(3.566388888 47.6125)
Meuse,Haraumont,Point(5.270833333 49.345833333)
Loir-et-Cher,Crucheray,Point(1.088333333 47.728055555)
Loir-et-Cher,Dhuizon,Point(1.658055555 47.588333333)
Loir-et-Cher,Gombergean,Point(1.083333333 47.651388888)
arrondissement de Palaiseau,Gometz-la-Ville,Point(2.128055555 48.671666666)
canton de Lunéville-Nord,Crévic,Point(6.403888888 48.638888888)
Chemillé-Melay,Chemillé,Point(-0.72583 47.2131)
arrondissement de Montbéliard,Indevillers,Point(6.956944444 47.3125)
arrondissement d'Auch,Catonvielle,Point(0.962222222 43.659722222)
Pas-de-Calais,Febvin-Palfart,Point(2.315277777 50.538333333)
arrondissement de Thiers,Joze,Point(3.302222222 45.863055555)
arrondissement de Chartres,Illiers,Point(1.2475 48.300555555)
canton de Pesmes,Chaumercenne,Point(5.628611111 47.299722222)
canton de Bergues,Eringhem,Point(2.343333333 50.896388888)
canton de Lunéville-Nord,Hudiviller,Point(6.395555555 48.6025)
Haut-Rhin,Ingersheim,Point(7.306388888 48.094722222)
arrondissement de Fontainebleau,Fontainebleau,Point(2.701666666 48.408888888)
arrondissement de Sarlat-la-Canéda,Daglan,Point(1.193055555 44.741944444)
arrondissement de Tulle,Cornil,Point(1.691666666 45.210555555)
canton de Bligny-sur-Ouche,Cussy-la-Colonne,Point(4.641111111 47.040833333)
canton d'Oulchy-le-Château,Grand-Rozoy,Point(3.385 49.234444444)
Bordeaux Métropole,Gradignan,Point(-0.616944444 44.771388888)
arrondissement de Montbéliard,Chaux,Point(6.737777777 47.318611111)
arrondissement de Poitiers,Iteuil,Point(0.311666666 46.488611111)
canton d'Argueil,Hodeng-Hodenger,Point(1.568611111 49.528055555)
canton des Trois-Moutiers,Curçay,Point(-0.057222222 47.011666666)
arrondissement de Bar-le-Duc,Givrauval,Point(5.324444444 48.661388888)
Moselle,Frauenberg,Point(7.127222222 49.136666666)
Eure,Coudray,Point(1.504444444 49.337222222)
Eure,Grandvilliers,Point(1.060833333 48.814444444)
canton de Château-la-Vallière,Courcelles-de-Touraine,Point(0.308333333 47.482222222)
arrondissement de Strasbourg-Campagne,Geispolsheim,Point(7.646388888 48.515)
arrondissement de Strasbourg-Campagne,Gougenheim,Point(7.566111111 48.701944444)
canton d'Aubenton,Jeantes,Point(4.055277777 49.803888888)
Pas-de-Calais,Fruges,Point(2.133888888 50.514722222)
arrondissement de Strasbourg-Campagne,Duntzenheim,Point(7.535 48.711944444)
arrondissement de Strasbourg-Campagne,Eckbolsheim,Point(7.689722222 48.578888888)
canton de Brinon-sur-Beuvron,Guipy,Point(3.58 47.229166666)
Haute-Savoie,Châtel,Point(6.841111111 46.266666666)
Haute-Savoie,Choisy,Point(6.0575 45.992777777)
canton de Pontailler-sur-Saône,Cirey-lès-Pontailler,Point(5.295833333 47.308888888)
arrondissement d'Épinal,Cleurie,Point(6.675833333 48.050833333)
arrondissement de Compiègne,Compiègne,Point(2.822222222 49.414166666)
arrondissement de Bayeux,Foulognes,Point(-0.814166666 49.142222222)
Hérault,Ceyras,Point(3.458333333 43.644166666)
Seine-et-Marne,Dagny,Point(3.170833333 48.7175)
Pas-de-Calais,Ecquedecques,Point(2.448055555 50.561111111)
Pas-de-Calais,Estevelles,Point(2.907777777 50.475277777)
Pas-de-Calais,Herbinghen,Point(1.911666666 50.772777777)
Haut-Rhin,Felon,Point(6.975277777 47.706944444)
Haut-Rhin,Fréland,Point(7.193888888 48.171111111)
arrondissement de Riom,Combrailles,Point(2.632222222 45.840555555)
arrondissement de Béziers,Colombières,Point(3.010277777 43.580277777)
Seine-et-Marne,Faremoutiers,Point(2.996111111 48.800277777)
canton de Montbozon,Cognières,Point(6.293333333 47.491388888)
Jura,Chille,Point(5.574444444 46.693888888)
Haut-Rhin,Hombourg,Point(7.505555555 47.758888888)
Haut-Rhin,Issenheim,Point(7.253888888 47.9025)
arrondissement de Saint-Brieuc,Gausson,Point(-2.754722222 48.299444444)
arrondissement de Montbrison,Jeansagnière,Point(3.835833333 45.733055555)
arrondissement de Châteaubriant-Ancenis,Derval,Point(-1.671388888 47.6675)
arrondissement de Mamers,Contres,Point(0.46 48.273888888)
