person,leonoreid
http://www.wikidata.org/entity/Q821261,LH/1005/33
http://www.wikidata.org/entity/Q808081,LH/1405/42
http://www.wikidata.org/entity/Q834576,LH/632/87
http://www.wikidata.org/entity/Q866729,19800035/210/27630
http://www.wikidata.org/entity/Q867952,19800035/387/51863
http://www.wikidata.org/entity/Q860206,LH/852/55
http://www.wikidata.org/entity/Q886497,19800035/1247/43910
http://www.wikidata.org/entity/Q908133,19800035/241/32027
http://www.wikidata.org/entity/Q905041,19800035/65/8014
http://www.wikidata.org/entity/Q877593,LH/1569/31
http://www.wikidata.org/entity/Q876602,LH/673/33
http://www.wikidata.org/entity/Q903209,LH/8/27
http://www.wikidata.org/entity/Q922600,19800035/746/84696
http://www.wikidata.org/entity/Q932986,19800035/87/10869
http://www.wikidata.org/entity/Q935561,LH/1929/5
http://www.wikidata.org/entity/Q927020,LH/1994/7
http://www.wikidata.org/entity/Q922667,LH/2387/35
http://www.wikidata.org/entity/Q918268,LH/414/71
http://www.wikidata.org/entity/Q923187,LH/638/43
http://www.wikidata.org/entity/Q937373,LH/683/32
http://www.wikidata.org/entity/Q953803,19800035/264/35226
http://www.wikidata.org/entity/Q950845,19800035/607/68568
http://www.wikidata.org/entity/Q958953,LH/1102/54
http://www.wikidata.org/entity/Q950466,LH/135/54
http://www.wikidata.org/entity/Q970505,LH/173/66
http://www.wikidata.org/entity/Q945147,LH/1992/12
http://www.wikidata.org/entity/Q965907,LH/2291/39
http://www.wikidata.org/entity/Q952038,LH/271/18
http://www.wikidata.org/entity/Q970585,LH/36/83
http://www.wikidata.org/entity/Q970806,LH/670/80
http://www.wikidata.org/entity/Q941677,LH/834/23
http://www.wikidata.org/entity/Q983239,19800035/159/20385
http://www.wikidata.org/entity/Q972619,19800035/238/31633
http://www.wikidata.org/entity/Q978063,LH/1865/5
http://www.wikidata.org/entity/Q984420,LH/1935/15
http://www.wikidata.org/entity/Q981466,LH/2248/12
http://www.wikidata.org/entity/Q980255,LH/2580/41
http://www.wikidata.org/entity/Q1073926,19800035/1177/36325
http://www.wikidata.org/entity/Q1063740,19800035/1410/62998
http://www.wikidata.org/entity/Q1065597,19800035/284/38157
http://www.wikidata.org/entity/Q1064595,LH/1188/86
http://www.wikidata.org/entity/Q1063399,LH/1462/25
http://www.wikidata.org/entity/Q1065279,LH/1462/63
http://www.wikidata.org/entity/Q1063339,LH/1618/17
http://www.wikidata.org/entity/Q1063387,LH/2404/54
http://www.wikidata.org/entity/Q1063929,LH/472/86
http://www.wikidata.org/entity/Q1096818,LH/1340/26
http://www.wikidata.org/entity/Q1117309,LH/1365/34
http://www.wikidata.org/entity/Q1119283,LH/1370/53
http://www.wikidata.org/entity/Q1165447,19800035/456/60992
http://www.wikidata.org/entity/Q1230990,19800035/169/21711
http://www.wikidata.org/entity/Q1246858,LH/1596/47
http://www.wikidata.org/entity/Q1225229,LH/29/55
http://www.wikidata.org/entity/Q1284292,19800035/434/58031
http://www.wikidata.org/entity/Q1285649,LH/1275/5
http://www.wikidata.org/entity/Q1277480,LH/1736/57
http://www.wikidata.org/entity/Q1275058,LH/230/54
http://www.wikidata.org/entity/Q1262731,LH/2493/71
http://www.wikidata.org/entity/Q1314739,19800035/23/2980
http://www.wikidata.org/entity/Q1338276,LH/1264/2
http://www.wikidata.org/entity/Q1307649,LH/2416/57
http://www.wikidata.org/entity/Q1318942,LH/9/67
http://www.wikidata.org/entity/Q1369617,19800035/1448/67523
http://www.wikidata.org/entity/Q1343185,19800035/245/32547
http://www.wikidata.org/entity/Q1355698,LH/1117/38
http://www.wikidata.org/entity/Q1356363,LH/1263/20
http://www.wikidata.org/entity/Q1348195,LH/1347/65
http://www.wikidata.org/entity/Q1339879,LH/1485/51
http://www.wikidata.org/entity/Q1361368,LH/2001/50
http://www.wikidata.org/entity/Q1356247,LH/262/53
http://www.wikidata.org/entity/Q1374103,LH/325/17
http://www.wikidata.org/entity/Q1388759,19800035/1328/53941
http://www.wikidata.org/entity/Q1385124,LH/2531/11
http://www.wikidata.org/entity/Q1381920,LH/843/35
http://www.wikidata.org/entity/Q1442423,19800035/210/27517
http://www.wikidata.org/entity/Q1430909,19800035/85/10635
http://www.wikidata.org/entity/Q1441510,LH/1078/20
http://www.wikidata.org/entity/Q1450817,LH/2058/31
http://www.wikidata.org/entity/Q1450838,LH/2417/9
http://www.wikidata.org/entity/Q1451071,LH/2474/49
http://www.wikidata.org/entity/Q1450807,LH/273/13
http://www.wikidata.org/entity/Q2638502,LH/1876/60
http://www.wikidata.org/entity/Q2615320,LH/2597/65
http://www.wikidata.org/entity/Q2637703,LH/351/44
http://www.wikidata.org/entity/Q2627206,LH/501/94
http://www.wikidata.org/entity/Q2624559,LH/776/37
http://www.wikidata.org/entity/Q2707645,19800035/1424/64754
http://www.wikidata.org/entity/Q2701525,19800035/160/20483
http://www.wikidata.org/entity/Q2688121,19800035/176/22791
http://www.wikidata.org/entity/Q2714170,C/0/30
http://www.wikidata.org/entity/Q2655818,LH/2508/47
http://www.wikidata.org/entity/Q2776616,19800035/18/2228
http://www.wikidata.org/entity/Q2742674,19800035/18/2261
http://www.wikidata.org/entity/Q2747619,19800035/755/85627
http://www.wikidata.org/entity/Q2719726,LH/1601/30
http://www.wikidata.org/entity/Q2756381,LH/1632/67
http://www.wikidata.org/entity/Q2720852,LH/2172/8
http://www.wikidata.org/entity/Q2733401,LH/2583/54
http://www.wikidata.org/entity/Q2835324,19800035/1020/17778
http://www.wikidata.org/entity/Q2831039,19800035/1149/31414
http://www.wikidata.org/entity/Q2823032,19800035/1179/36529
http://www.wikidata.org/entity/Q2848929,19800035/1188/37523
http://www.wikidata.org/entity/Q2835400,19800035/1228/41650
http://www.wikidata.org/entity/Q2848190,19800035/1246/43843
http://www.wikidata.org/entity/Q2834998,19800035/125/15811
http://www.wikidata.org/entity/Q2853682,19800035/132/16730
http://www.wikidata.org/entity/Q2844702,19800035/1405/62359
http://www.wikidata.org/entity/Q2852484,19800035/1405/62360
http://www.wikidata.org/entity/Q2824849,19800035/1436/66268
http://www.wikidata.org/entity/Q2825196,19800035/153/19551
http://www.wikidata.org/entity/Q2835233,19800035/173/22289
http://www.wikidata.org/entity/Q2848277,19800035/178/23023
http://www.wikidata.org/entity/Q2833464,19800035/195/25497
http://www.wikidata.org/entity/Q2830924,19800035/252/33552
http://www.wikidata.org/entity/Q2844674,19800035/290/38933
http://www.wikidata.org/entity/Q2831266,19800035/340/45767
http://www.wikidata.org/entity/Q2847712,19800035/426/56920
http://www.wikidata.org/entity/Q2854197,19800035/541/61908
http://www.wikidata.org/entity/Q2824870,19800035/558/63502
http://www.wikidata.org/entity/Q2848486,19800035/562/64024
http://www.wikidata.org/entity/Q2848987,19800035/661/76007
http://www.wikidata.org/entity/Q2847259,19800035/672/77119
http://www.wikidata.org/entity/Q2833468,19800035/723/82247
http://www.wikidata.org/entity/Q2825255,19800035/749/84921
http://www.wikidata.org/entity/Q2835246,19800035/755/85612
http://www.wikidata.org/entity/Q2848719,19800035/849/97166
http://www.wikidata.org/entity/Q2848338,19800035/864/1521
http://www.wikidata.org/entity/Q2847931,19800035/890/4259
http://www.wikidata.org/entity/Q2827140,LH/1002/50
http://www.wikidata.org/entity/Q2835131,LH/1042/59
http://www.wikidata.org/entity/Q2865111,LH/1150/37
http://www.wikidata.org/entity/Q2856868,LH/1185/31
http://www.wikidata.org/entity/Q2833723,LH/1208/5
http://www.wikidata.org/entity/Q2844664,LH/1237/41
http://www.wikidata.org/entity/Q2845581,LH/1245/1
http://www.wikidata.org/entity/Q2820869,LH/1262/53
http://www.wikidata.org/entity/Q2847940,LH/1271/40
http://www.wikidata.org/entity/Q2850753,LH/1292/38
http://www.wikidata.org/entity/Q2833336,LH/1328/18
http://www.wikidata.org/entity/Q2837282,LH/1368/62
http://www.wikidata.org/entity/Q2857553,LH/1404/12
http://www.wikidata.org/entity/Q2830884,LH/1423/56
http://www.wikidata.org/entity/Q2848060,LH/1427/71
http://www.wikidata.org/entity/Q2845612,LH/1437/62
http://www.wikidata.org/entity/Q2864455,LH/1455/35
http://www.wikidata.org/entity/Q2844675,LH/1469/91
http://www.wikidata.org/entity/Q2839902,LH/1489/1
http://www.wikidata.org/entity/Q2835259,LH/1514/72
http://www.wikidata.org/entity/Q2824855,LH/1518/5
http://www.wikidata.org/entity/Q2834960,LH/152/21
http://www.wikidata.org/entity/Q2865191,LH/1544/12
http://www.wikidata.org/entity/Q2861798,LH/1571/75
http://www.wikidata.org/entity/Q2862011,LH/1681/57
http://www.wikidata.org/entity/Q2839899,LH/1702/19
http://www.wikidata.org/entity/Q2833849,LH/1738/66
http://www.wikidata.org/entity/Q2857545,LH/1768/54
http://www.wikidata.org/entity/Q2861906,LH/1877/54
http://www.wikidata.org/entity/Q2861906,LH/1878/64
