leonoreid,person,bnfid
LH/2508/47,http://www.wikidata.org/entity/Q2655818,10593907h
19800035/176/22791,http://www.wikidata.org/entity/Q2688121,16205590q
19800035/160/20483,http://www.wikidata.org/entity/Q2701525,13163220w
19800035/1424/64754,http://www.wikidata.org/entity/Q2707645,122811886
C/0/30,http://www.wikidata.org/entity/Q2714170,15241827h
LH/2172/8,http://www.wikidata.org/entity/Q2720852,17774991c
LH/2583/54,http://www.wikidata.org/entity/Q2733401,11926319z
19800035/18/2261,http://www.wikidata.org/entity/Q2742674,11065267k
19800035/755/85627,http://www.wikidata.org/entity/Q2747619,130786656
LH/1632/67,http://www.wikidata.org/entity/Q2756381,12250901n
LH/1262/53,http://www.wikidata.org/entity/Q2820869,12287936m
19800035/1436/66268,http://www.wikidata.org/entity/Q2824849,13008872k
19800035/558/63502,http://www.wikidata.org/entity/Q2824870,13962361w
19800035/153/19551,http://www.wikidata.org/entity/Q2825196,135129714
LH/1002/50,http://www.wikidata.org/entity/Q2827140,121468483
LH/227/18,http://www.wikidata.org/entity/Q2830957,149696815
19800035/1149/31414,http://www.wikidata.org/entity/Q2831039,11499224k
19800035/340/45767,http://www.wikidata.org/entity/Q2831266,12459373c
LH/233/21,http://www.wikidata.org/entity/Q2831304,11909525r
LH/1929/35,http://www.wikidata.org/entity/Q2831418,137418393
LH/1328/18,http://www.wikidata.org/entity/Q2833336,10720941v
19800035/195/25497,http://www.wikidata.org/entity/Q2833464,15290882f
19800035/723/82247,http://www.wikidata.org/entity/Q2833468,110474018
LH/2050/50,http://www.wikidata.org/entity/Q2833944,12529045v
LH/2678/32,http://www.wikidata.org/entity/Q2834113,10726918s
LH/1971/32,http://www.wikidata.org/entity/Q2834593,13211614q
LH/2325/44,http://www.wikidata.org/entity/Q2834918,13164460x
LH/1042/59,http://www.wikidata.org/entity/Q2835131,16549649v
19800035/755/85612,http://www.wikidata.org/entity/Q2835246,104026120
LH/1514/72,http://www.wikidata.org/entity/Q2835259,110212266
LH/1909/33,http://www.wikidata.org/entity/Q2835339,13007268f
LH/2556/54,http://www.wikidata.org/entity/Q2835469,12567508c
LH/1368/62,http://www.wikidata.org/entity/Q2837282,12738449n
LH/2491/6,http://www.wikidata.org/entity/Q2840126,12337301f
LH/1469/91,http://www.wikidata.org/entity/Q2844675,12429519h
LH/2758/5,http://www.wikidata.org/entity/Q2844717,10074289q
LH/1245/1,http://www.wikidata.org/entity/Q2845581,134242811
LH/1437/62,http://www.wikidata.org/entity/Q2845612,10528554p
19800035/890/4259,http://www.wikidata.org/entity/Q2847931,10217045c
LH/1427/71,http://www.wikidata.org/entity/Q2848060,11910531q
19800035/1246/43843,http://www.wikidata.org/entity/Q2848190,127569598
19800035/178/23023,http://www.wikidata.org/entity/Q2848277,124881229
19800035/864/1521,http://www.wikidata.org/entity/Q2848338,12129155r
LH/2207/56,http://www.wikidata.org/entity/Q2848470,11998959s
19800035/562/64024,http://www.wikidata.org/entity/Q2848486,121644467
19800035/1188/37523,http://www.wikidata.org/entity/Q2848929,14952468h
19800035/661/76007,http://www.wikidata.org/entity/Q2848987,140310446
LH/1292/38,http://www.wikidata.org/entity/Q2850753,16759908n
LH/202/23,http://www.wikidata.org/entity/Q2853558,10175862r
LH/1999/2,http://www.wikidata.org/entity/Q2854284,13013592c
LH/1768/54,http://www.wikidata.org/entity/Q2857545,10693189n
LH/1404/12,http://www.wikidata.org/entity/Q2857553,13010702d
