leonoreid,person,bnfid
19800035/1204/39150,http://www.wikidata.org/entity/Q19933800,165884623
19800035/1201/38850,http://www.wikidata.org/entity/Q19934607,169766274
LH/1111/2,http://www.wikidata.org/entity/Q38871610,10310240p
LH/790/48,http://www.wikidata.org/entity/Q3083713,131848686
LH/694/9,http://www.wikidata.org/entity/Q3085359,121224985
LH/675/46,http://www.wikidata.org/entity/Q3086086,16297401b
LH/675/47,http://www.wikidata.org/entity/Q3086086,16297401b
LH/951/24,http://www.wikidata.org/entity/Q3089807,162166417
LH/589/93,http://www.wikidata.org/entity/Q3092411,106590054
LH/586/72,http://www.wikidata.org/entity/Q3092413,103904897
LH/997/95,http://www.wikidata.org/entity/Q3098768,12233321x
LH/997/85,http://www.wikidata.org/entity/Q3102720,16575770m
LH/246/1,http://www.wikidata.org/entity/Q3130692,149698377
19800035/883/3596,http://www.wikidata.org/entity/Q3131267,12612843n
19800035/559/63732,http://www.wikidata.org/entity/Q3131619,12150285d
19800035/1234/42380,http://www.wikidata.org/entity/Q3131863,146405390
19800035/237/31470,http://www.wikidata.org/entity/Q3131876,120589435
LH/1275/78,http://www.wikidata.org/entity/Q3132846,106518209
LH/1717/51,http://www.wikidata.org/entity/Q3134582,12545299s
LH/1696/10,http://www.wikidata.org/entity/Q3136083,14911633b
LH/150/42,http://www.wikidata.org/entity/Q3142121,177523898
LH/1349/25,http://www.wikidata.org/entity/Q3143562,16646672t
LH/2554/43,http://www.wikidata.org/entity/Q3154775,14802592f
19800035/1416/63730,http://www.wikidata.org/entity/Q3158232,118911153
19800035/1439/66523,http://www.wikidata.org/entity/Q3158352,118933510
LH/1597/51,http://www.wikidata.org/entity/Q3158926,121096771
19800035/1471/70394,http://www.wikidata.org/entity/Q3159066,11064981t
19800035/915/6838,http://www.wikidata.org/entity/Q3159088,140564547
LH/1738/4,http://www.wikidata.org/entity/Q3159198,150119196
19800035/792/89554,http://www.wikidata.org/entity/Q3159234,12471480d
LH/1705/25,http://www.wikidata.org/entity/Q3160307,13488810c
LH/152/63,http://www.wikidata.org/entity/Q3163651,118907652
LH/1178/46,http://www.wikidata.org/entity/Q3163789,10742560x
LH/1370/61,http://www.wikidata.org/entity/Q3164180,12736337w
LH/1284/49,http://www.wikidata.org/entity/Q3165652,16621862f
LH/1534/9,http://www.wikidata.org/entity/Q3165699,14961841j
19800035/379/50929,http://www.wikidata.org/entity/Q3166012,12902764n
LH/2263/50,http://www.wikidata.org/entity/Q3169690,12466630d
19800035/796/90136,http://www.wikidata.org/entity/Q3170385,131725064
LH/1405/40,http://www.wikidata.org/entity/Q3170540,102763963
19800035/1212/39866,http://www.wikidata.org/entity/Q3170855,130775870
19800035/1396/61418,http://www.wikidata.org/entity/Q3171052,12237086n
19800035/62/7567,http://www.wikidata.org/entity/Q3171189,161021676
19800035/1463/69139,http://www.wikidata.org/entity/Q3171414,13541214r
19800035/944/9866,http://www.wikidata.org/entity/Q3171991,10896777c
19800035/70/8622,http://www.wikidata.org/entity/Q3172152,11903535m
LH/1198/31,http://www.wikidata.org/entity/Q3172383,12462029k
19800035/1240/43122,http://www.wikidata.org/entity/Q3173069,119115627
19800035/696/79600,http://www.wikidata.org/entity/Q3173379,140200302
19800035/1093/25584,http://www.wikidata.org/entity/Q3174825,11926871f
19800035/847/96963,http://www.wikidata.org/entity/Q3175816,170676043
LH/2019/23,http://www.wikidata.org/entity/Q3179785,120904848
LH/885/58,http://www.wikidata.org/entity/Q3130336,134844318
LH/290/19,http://www.wikidata.org/entity/Q3131333,13394141s
LH/633/59,http://www.wikidata.org/entity/Q3132707,12084599b
LH/586/105,http://www.wikidata.org/entity/Q3143579,15857733v
LH/945/42,http://www.wikidata.org/entity/Q3147800,13486599n
LH/92/56,http://www.wikidata.org/entity/Q3157894,124621364
LH/686/70,http://www.wikidata.org/entity/Q3158663,124495982
LH/924/46,http://www.wikidata.org/entity/Q3158865,133399878
LH/495/67,http://www.wikidata.org/entity/Q3163754,12554744v
LH/316/61,http://www.wikidata.org/entity/Q3165486,12272453d
LH/2707/67,http://www.wikidata.org/entity/Q3165927,10742892c
LH/379/7,http://www.wikidata.org/entity/Q3167590,15808672p
LH/768/33,http://www.wikidata.org/entity/Q3170020,10711384h
LH/558/9,http://www.wikidata.org/entity/Q3170698,118971386
LH/677/73,http://www.wikidata.org/entity/Q3173396,15555571v
LH/45/15,http://www.wikidata.org/entity/Q3184743,10723536w
LH/645/36,http://www.wikidata.org/entity/Q3184745,10600641f
LH/752/18,http://www.wikidata.org/entity/Q3184845,13249128k
LH/864/28,http://www.wikidata.org/entity/Q3184887,13482326x
LH/1202/56,http://www.wikidata.org/entity/Q3185036,13210722c
LH/2374/27,http://www.wikidata.org/entity/Q3185577,10483396x
19800035/843/96549,http://www.wikidata.org/entity/Q3185620,122064308
LH/2508/72,http://www.wikidata.org/entity/Q3185634,125289333
LH/2627/21,http://www.wikidata.org/entity/Q3185689,124345332
LH/353/4,http://www.wikidata.org/entity/Q3185820,155936735
LH/2095/7,http://www.wikidata.org/entity/Q3188356,118884518
19800035/371/49861,http://www.wikidata.org/entity/Q3188393,11976412v
19800035/1031/19003,http://www.wikidata.org/entity/Q3188433,11892170g
19800035/834/95144,http://www.wikidata.org/entity/Q3188436,120565082
LH/618/47,http://www.wikidata.org/entity/Q3188502,13475527b
LH/2272/75,http://www.wikidata.org/entity/Q3188569,11682247p
LH/1077/27,http://www.wikidata.org/entity/Q3188606,12276632z
19800035/715/81499,http://www.wikidata.org/entity/Q3188714,12479634q
19800035/715/81499,http://www.wikidata.org/entity/Q3188714,169958929
19800035/1154/31972,http://www.wikidata.org/entity/Q3188723,120685616
LH/1680/74,http://www.wikidata.org/entity/Q3188753,14480215n
LH/2270/59,http://www.wikidata.org/entity/Q3188870,13480837g
LH/2317/20,http://www.wikidata.org/entity/Q3188881,12993778f
19800035/126/15947,http://www.wikidata.org/entity/Q3189037,121398505
19800035/210/27573,http://www.wikidata.org/entity/Q3189268,106840255
LH/225/47,http://www.wikidata.org/entity/Q3189364,107975787
19800035/807/91666,http://www.wikidata.org/entity/Q3189366,15640640m
LH/397/96,http://www.wikidata.org/entity/Q3189400,11825854f
LH/783/4,http://www.wikidata.org/entity/Q3189752,148880100
19800035/430/57522,http://www.wikidata.org/entity/Q3220006,13422278n
LH/2759/88,http://www.wikidata.org/entity/Q3220017,12646670k
19800035/1199/38590,http://www.wikidata.org/entity/Q3262148,12069083c
19800035/109/13743,http://www.wikidata.org/entity/Q3271084,122314102
19800035/1290/49175,http://www.wikidata.org/entity/Q3271314,13997002c
19800035/1132/29671,http://www.wikidata.org/entity/Q3289562,126244704
19800035/0300/40307,http://www.wikidata.org/entity/Q3290748,10695467n
LH/575/57,http://www.wikidata.org/entity/Q21704638,12597979m
LH/2514/77,http://www.wikidata.org/entity/Q21815582,129823317
LH/1613/52,http://www.wikidata.org/entity/Q21850235,10631672k
LH/327/38,http://www.wikidata.org/entity/Q21857116,16320978b
LH/965/27,http://www.wikidata.org/entity/Q21866360,10736407z
19800035/326/43948,http://www.wikidata.org/entity/Q22022817,14973382f
LH/755/45,http://www.wikidata.org/entity/Q22210574,12601689z
LH/755/45,http://www.wikidata.org/entity/Q22210574,15316726n
LH/1643/13,http://www.wikidata.org/entity/Q22212040,107374134
19800035/553/63111,http://www.wikidata.org/entity/Q22249162,121123631
LH/354/16,http://www.wikidata.org/entity/Q22583661,10494757k
LH/2622/37,http://www.wikidata.org/entity/Q22669306,13763163x
LH/1542/53,http://www.wikidata.org/entity/Q22670907,10727733c
LH/2074/28,http://www.wikidata.org/entity/Q22712415,106982894
LH/252/7,http://www.wikidata.org/entity/Q22810068,123413136
LH/260/77,http://www.wikidata.org/entity/Q22917087,15290951f
LH/989/18,http://www.wikidata.org/entity/Q22918860,13477803n
LH/200/5,http://www.wikidata.org/entity/Q22922937,17147637t
19800035/111/13960,http://www.wikidata.org/entity/Q22954687,123587225
LH/150/70,http://www.wikidata.org/entity/Q23005307,15289655z
19800035/453/60644,http://www.wikidata.org/entity/Q23049756,12096970d
LH/720/13,http://www.wikidata.org/entity/Q23059040,130126614
LH/2413/17,http://www.wikidata.org/entity/Q23221279,10739958z
LH/2737/10,http://www.wikidata.org/entity/Q23303877,13474881q
LH/1578/41,http://www.wikidata.org/entity/Q23465490,13008123f
LH/128/39,http://www.wikidata.org/entity/Q23611910,12264216x
LH/2481/1,http://www.wikidata.org/entity/Q23616977,10726654t
19800035/1055/21478,http://www.wikidata.org/entity/Q23638094,16204349g
LH/773/41,http://www.wikidata.org/entity/Q23816851,10730369s
LH/62/56,http://www.wikidata.org/entity/Q23912180,15543545m
19800035/1395/61223,http://www.wikidata.org/entity/Q23926089,16610064g
LH/1920/39,http://www.wikidata.org/entity/Q24026693,10653504q
LH/2521/52,http://www.wikidata.org/entity/Q24067759,125227004
LH/1376/25,http://www.wikidata.org/entity/Q24068215,15139955k
19800035/720/81934,http://www.wikidata.org/entity/Q24083041,10547532j
LH/1278/6,http://www.wikidata.org/entity/Q24251087,12189536t
LH/694/45,http://www.wikidata.org/entity/Q24276091,109451439
19800035/1078/24030,http://www.wikidata.org/entity/Q24703482,155435715
19800035/393/52733,http://www.wikidata.org/entity/Q25973184,149729042
LH/1223/30,http://www.wikidata.org/entity/Q26210803,107354427
19800035/56/6886,http://www.wikidata.org/entity/Q26214443,14969653x
LH/1932/48,http://www.wikidata.org/entity/Q26262457,150556582
LH/468/84,http://www.wikidata.org/entity/Q26690111,108894594
LH/1080/6,http://www.wikidata.org/entity/Q26702274,12459983b
LH/468/72,http://www.wikidata.org/entity/Q26720396,14853110f
19800035/241/32106,http://www.wikidata.org/entity/Q26954685,11891385t
19800035/809/91932,http://www.wikidata.org/entity/Q26966086,121855612
LH/910/5,http://www.wikidata.org/entity/Q27179138,12141252g
LH/209/37,http://www.wikidata.org/entity/Q27188659,14793358n
19800035/1248/44076,http://www.wikidata.org/entity/Q27497176,13185421p
LH/1276/47,http://www.wikidata.org/entity/Q27648899,13005393f
LH/1446/59,http://www.wikidata.org/entity/Q8304586,165670134
19800035/599/67798,http://www.wikidata.org/entity/Q27868394,17713779g
19800035/883/3588,http://www.wikidata.org/entity/Q27917177,11917397s
LH/280/15,http://www.wikidata.org/entity/Q27999045,15294801k
19800035/1318/52519,http://www.wikidata.org/entity/Q28059126,12122295k
LH/2789/134,http://www.wikidata.org/entity/Q28105291,10967121w
LH/1230/9,http://www.wikidata.org/entity/Q28128972,15715260w
19800035/1430/65545,http://www.wikidata.org/entity/Q28150867,10834750m
LH/295/49,http://www.wikidata.org/entity/Q28790291,10494393b
LH/1631/49,http://www.wikidata.org/entity/Q28839320,10442615v
LH/2530/6,http://www.wikidata.org/entity/Q28846106,13476780k
19800035/15/1884,http://www.wikidata.org/entity/Q28925859,118348861
LH/2338/47,http://www.wikidata.org/entity/Q28957318,13179126b
LH/2244/58,http://www.wikidata.org/entity/Q28968133,17813736c
LH/2250/31,http://www.wikidata.org/entity/Q28977292,15148203c
LH/1845/48,http://www.wikidata.org/entity/Q29014913,103647046
LH/2008/2,http://www.wikidata.org/entity/Q29108511,125299669
LH/526/62,http://www.wikidata.org/entity/Q29365142,118966599
19800035/1145/31007,http://www.wikidata.org/entity/Q29473974,113002905
19800035/750/85084,http://www.wikidata.org/entity/Q29553383,130111578
19800035/380/51032,http://www.wikidata.org/entity/Q29975279,17142079w
19800035/612/69092,http://www.wikidata.org/entity/Q30028009,109505829
19800035/612/69092,http://www.wikidata.org/entity/Q30028009,12718087p
19800035/1262/45565,http://www.wikidata.org/entity/Q30471233,12899472t
LH/1571/46,http://www.wikidata.org/entity/Q31516618,12539377h
LH/2765/14,http://www.wikidata.org/entity/Q31546157,12647107p
LH/2617/74,http://www.wikidata.org/entity/Q32408878,127509721
19800035/719/81892,http://www.wikidata.org/entity/Q32824132,12777466t
LH/1896/56,http://www.wikidata.org/entity/Q32860012,14425230h
19800035/852/284,http://www.wikidata.org/entity/Q33039099,115591119
19800035/758/86036,http://www.wikidata.org/entity/Q33109223,16598406t
LH/2038/11,http://www.wikidata.org/entity/Q33194400,104804478
19800035/390/52328,http://www.wikidata.org/entity/Q33810150,120382178
LH/2035/53,http://www.wikidata.org/entity/Q34051104,129823437
LH/1731/48,http://www.wikidata.org/entity/Q34058284,12211984k
LH/944/53,http://www.wikidata.org/entity/Q34351450,15319794v
LH/750/20,http://www.wikidata.org/entity/Q34476043,12994682n
LH/2417/34,http://www.wikidata.org/entity/Q34655455,117873898
LH/1753/79,http://www.wikidata.org/entity/Q34780512,10280609x
LH/1395/29,http://www.wikidata.org/entity/Q34796963,12511821x
19800035/209/27367,http://www.wikidata.org/entity/Q34797525,12566838w
19800035/148/18843,http://www.wikidata.org/entity/Q34799900,125118677
19800035/734/83325,http://www.wikidata.org/entity/Q34832388,124493228
19800035/1321/52986,http://www.wikidata.org/entity/Q34982707,12172345b
19800035/806/91464,http://www.wikidata.org/entity/Q34992758,10718454j
19800035/769/87227,http://www.wikidata.org/entity/Q35002030,125115333
19800035/1049/20880,http://www.wikidata.org/entity/Q36462694,12570077b
LH/2074/1,http://www.wikidata.org/entity/Q37862000,14921428d
19800035/108/13606,http://www.wikidata.org/entity/Q38179479,10436858f
LH/1361/74,http://www.wikidata.org/entity/Q3130391,11913918b
LH/1948/69,http://www.wikidata.org/entity/Q3130418,130110241
LH/494/18,http://www.wikidata.org/entity/Q3131118,165326505
LH/1125/52,http://www.wikidata.org/entity/Q3131131,13084970v
LH/1153/22,http://www.wikidata.org/entity/Q3131195,10310711g
LH/1369/77,http://www.wikidata.org/entity/Q3131343,10651959m
LH/1593/5,http://www.wikidata.org/entity/Q3131478,12156086n
19800035/977/13268,http://www.wikidata.org/entity/Q3131612,119149800
LH/2300/6,http://www.wikidata.org/entity/Q3131897,123370039
LH/2310/12,http://www.wikidata.org/entity/Q3131903,12000795w
LH/2387/47,http://www.wikidata.org/entity/Q3131947,17153647c
19800035/764/86823,http://www.wikidata.org/entity/Q3132041,10740674d
19800035/759/86106,http://www.wikidata.org/entity/Q3132181,14810112k
LH/2770/14,http://www.wikidata.org/entity/Q3132193,12010841f
LH/2132/4,http://www.wikidata.org/entity/Q3132350,11918676w
LH/107/74,http://www.wikidata.org/entity/Q3132608,10261715z
LH/1725/28,http://www.wikidata.org/entity/Q3132933,13006822j
LH/1743/21,http://www.wikidata.org/entity/Q3136024,107390423
LH/1509/95,http://www.wikidata.org/entity/Q3136076,121805955
LH/15/52,http://www.wikidata.org/entity/Q3140265,17047027p
LH/1537/41,http://www.wikidata.org/entity/Q3140465,124600607
LH/1852/1,http://www.wikidata.org/entity/Q3142507,134842024
LH/1916/57,http://www.wikidata.org/entity/Q3142519,10620171d
LH/2324/12,http://www.wikidata.org/entity/Q3143598,10482988q
LH/433/71,http://www.wikidata.org/entity/Q3154690,121939131
LH/453/103,http://www.wikidata.org/entity/Q3158019,124595043
LH/1435/46,http://www.wikidata.org/entity/Q3158086,151263194
LH/246/9,http://www.wikidata.org/entity/Q3158106,137368211
LH/364/84,http://www.wikidata.org/entity/Q3158506,17798043d
19800035/74/9186,http://www.wikidata.org/entity/Q3159108,13342948w
LH/249/10,http://www.wikidata.org/entity/Q3159109,122767896
LH/2302/71,http://www.wikidata.org/entity/Q3159860,106889902
LH/1616/87,http://www.wikidata.org/entity/Q3160301,111831333
LH/276/29,http://www.wikidata.org/entity/Q3163894,169898597
LH/1106/59,http://www.wikidata.org/entity/Q3164139,13477167z
LH/2640/27,http://www.wikidata.org/entity/Q3164183,13772580k
LH/1408/24,http://www.wikidata.org/entity/Q3164447,153430258
LH/2116/51,http://www.wikidata.org/entity/Q3164688,127677475
LH/299/49,http://www.wikidata.org/entity/Q3165482,15309096d
LH/311/72,http://www.wikidata.org/entity/Q3165484,15431560n
LH/2556/76,http://www.wikidata.org/entity/Q3166532,10729888d
LH/22/22,http://www.wikidata.org/entity/Q3166559,15515399v
LH/1722/62,http://www.wikidata.org/entity/Q3169546,12237417x
LH/394/18,http://www.wikidata.org/entity/Q3170091,125097232
LH/2706/47,http://www.wikidata.org/entity/Q3170582,107037032
19800035/964/11874,http://www.wikidata.org/entity/Q3170583,12902408b
LH/1363/29,http://www.wikidata.org/entity/Q3170973,13210032r
LH/1194/50,http://www.wikidata.org/entity/Q3171508,16740667z
LH/2383/85,http://www.wikidata.org/entity/Q3172119,12520211x
19800035/908/6145,http://www.wikidata.org/entity/Q3172746,119082668
LH/1437/75,http://www.wikidata.org/entity/Q3172941,114737859
19800035/692/79122,http://www.wikidata.org/entity/Q3172952,10828786c
LH/1725/63,http://www.wikidata.org/entity/Q3173366,12296835z
LH/2643/40,http://www.wikidata.org/entity/Q3174739,169413651
LH/2190/52,http://www.wikidata.org/entity/Q3175868,14610159w
LH/1590/24,http://www.wikidata.org/entity/Q17620229,10588751f
LH/693/56,http://www.wikidata.org/entity/Q3130453,17721318w
LH/569/30,http://www.wikidata.org/entity/Q3130861,119527516
LH/597/13,http://www.wikidata.org/entity/Q3130887,17045107v
LH/778/49,http://www.wikidata.org/entity/Q3130984,102136739
LH/818/53,http://www.wikidata.org/entity/Q3133216,11779223b
LH/570/34,http://www.wikidata.org/entity/Q3163967,106947797
LH/887/33,http://www.wikidata.org/entity/Q3164062,12151252p
LH/735/23,http://www.wikidata.org/entity/Q3166147,128154230
LH/689/77,http://www.wikidata.org/entity/Q3167633,16208611k
LH/896/46,http://www.wikidata.org/entity/Q3167702,10615996z
LH/677/40,http://www.wikidata.org/entity/Q3170555,16176423t
LH/649/72,http://www.wikidata.org/entity/Q3170560,14975489m
LH/674/73,http://www.wikidata.org/entity/Q3171248,10704617q
LH/726/2,http://www.wikidata.org/entity/Q3171662,10659178m
LH/598/102,http://www.wikidata.org/entity/Q3172107,12189204c
LH/551/87,http://www.wikidata.org/entity/Q3172826,124910425
LH/617/53,http://www.wikidata.org/entity/Q3175373,15024732s
LH/1496/9,http://www.wikidata.org/entity/Q3177561,10642568h
LH/2788/113,http://www.wikidata.org/entity/Q3179480,12089882n
LH/1300/51,http://www.wikidata.org/entity/Q3181752,136053777
LH/1792/11,http://www.wikidata.org/entity/Q3184206,10733424t
LH/1230/49,http://www.wikidata.org/entity/Q3184217,13475757t
LH/1672/39,http://www.wikidata.org/entity/Q3184342,13488555h
LH/2202/68,http://www.wikidata.org/entity/Q3184359,12459594w
19800035/1217/40555,http://www.wikidata.org/entity/Q3184412,162063160
LH/1869/47,http://www.wikidata.org/entity/Q3184482,15792777x
LH/1378/6,http://www.wikidata.org/entity/Q3184515,16658721w
LH/249/62,http://www.wikidata.org/entity/Q3184619,153740583
19800035/1311/51706,http://www.wikidata.org/entity/Q3184658,13396334j
LH/929/11,http://www.wikidata.org/entity/Q3184927,106014445
LH/1038/40,http://www.wikidata.org/entity/Q3184962,10686735w
LH/1282/29,http://www.wikidata.org/entity/Q3185076,119701237
LH/1357/32,http://www.wikidata.org/entity/Q3185131,14444137t
LH/2519/30,http://www.wikidata.org/entity/Q3185153,12528941q
LH/2412/16,http://www.wikidata.org/entity/Q3185589,12440888d
LH/1534/83,http://www.wikidata.org/entity/Q3185610,10923784n
LH/2753/49,http://www.wikidata.org/entity/Q3185784,14962063w
LH/423/91,http://www.wikidata.org/entity/Q3185829,129810168
LH/189/15,http://www.wikidata.org/entity/Q3188427,123695927
19800035/60/7418,http://www.wikidata.org/entity/Q3188465,153673333
LH/1193/68,http://www.wikidata.org/entity/Q3188631,10311351v
LH/1118/3,http://www.wikidata.org/entity/Q3188643,119046772
LH/1484/86,http://www.wikidata.org/entity/Q3188713,146537593
LH/1793/28,http://www.wikidata.org/entity/Q3188771,13009549g
LH/506/3,http://www.wikidata.org/entity/Q60834779,107237024
19800035/1257/45028,http://www.wikidata.org/entity/Q60836677,11175384t
LH/1259/53,http://www.wikidata.org/entity/Q61055243,12982356k
19800035/55/6642,http://www.wikidata.org/entity/Q61443165,111677904
LH/1090/70,http://www.wikidata.org/entity/Q61476206,13257764t
19800035/728/82800,http://www.wikidata.org/entity/Q61483896,104684720
19800035/655/75421,http://www.wikidata.org/entity/Q61709860,10367689v
LH/293/5,http://www.wikidata.org/entity/Q61829538,10187565n
LH/899/45,http://www.wikidata.org/entity/Q61856442,10713948s
LH/734/92,http://www.wikidata.org/entity/Q61943621,16618305q
LH/140/45,http://www.wikidata.org/entity/Q62000427,15289186v
19800035/1473/70606,http://www.wikidata.org/entity/Q62066899,10991720c
19800035/844/96578,http://www.wikidata.org/entity/Q62085831,130021428
19800035/279/37362,http://www.wikidata.org/entity/Q62327273,112742625
LH/899/6,http://www.wikidata.org/entity/Q63066662,11238582r
LH/2657/76,http://www.wikidata.org/entity/Q63075079,10421042f
LH/223/37,http://www.wikidata.org/entity/Q63146530,10386472r
LH/1905/55,http://www.wikidata.org/entity/Q63168312,104788562
LH/1369/55,http://www.wikidata.org/entity/Q63617422,111508550
LH/1433/52,http://www.wikidata.org/entity/Q64039842,13486241h
LH/2737/38,http://www.wikidata.org/entity/Q64736313,104590273
19800035/285/38176,http://www.wikidata.org/entity/Q64825550,129785222
LH/1039/51,http://www.wikidata.org/entity/Q39506971,153230773
LH/2200/10,http://www.wikidata.org/entity/Q41159390,10742270d
LH/132/8,http://www.wikidata.org/entity/Q41559772,127292401
LH/2317/3,http://www.wikidata.org/entity/Q41570667,15483174r
19800035/1161/32663,http://www.wikidata.org/entity/Q42057857,15443326m
19800035/1161/32663,http://www.wikidata.org/entity/Q42057857,16943399t
LH/831/58,http://www.wikidata.org/entity/Q42099395,14973175m
19800035/572/65006,http://www.wikidata.org/entity/Q42298302,14934456k
LH/592/88,http://www.wikidata.org/entity/Q42393072,12551959q
LH/2600/75,http://www.wikidata.org/entity/Q42767024,106993618
LH/411/99,http://www.wikidata.org/entity/Q42904349,102117199
19800035/1283/48130,http://www.wikidata.org/entity/Q43126949,14968690w
LH/1918/54,http://www.wikidata.org/entity/Q45892321,11244545s
19800035/575/65380,http://www.wikidata.org/entity/Q46020014,10672566f
19800035/1446/67260,http://www.wikidata.org/entity/Q47344069,121191813
LH/500/9,http://www.wikidata.org/entity/Q47441631,11896287f
LH/2334/49,http://www.wikidata.org/entity/Q47460895,147902381
LH/1352/92,http://www.wikidata.org/entity/Q48343162,134788047
LH/1504/69,http://www.wikidata.org/entity/Q48748743,165649712
LH/2300/1,http://www.wikidata.org/entity/Q50312533,12462664r
19800035/542/62081,http://www.wikidata.org/entity/Q50322438,12108175q
19800035/237/31409,http://www.wikidata.org/entity/Q50368572,10509765q
19800035/1355/56899,http://www.wikidata.org/entity/Q50621986,12462700s
LH/250/3,http://www.wikidata.org/entity/Q50672430,10564119x
19800035/736/83515,http://www.wikidata.org/entity/Q50674657,12512339v
LH/364/47,http://www.wikidata.org/entity/Q50698928,14978030k
19800035/416/55678,http://www.wikidata.org/entity/Q50805176,171321209
19800035/138/17423,http://www.wikidata.org/entity/Q50823835,10305646v
19800035/1042/20122,http://www.wikidata.org/entity/Q50842600,109495739
19800035/1144/30934,http://www.wikidata.org/entity/Q50891190,16602818s
LH/1442/72,http://www.wikidata.org/entity/Q50939858,118321780
19800035/1478/71614,http://www.wikidata.org/entity/Q51676047,14968881g
19800035/258/34383,http://www.wikidata.org/entity/Q51879675,10371815m
LH/772/28,http://www.wikidata.org/entity/Q52148391,14972915q
19800035/725/82407,http://www.wikidata.org/entity/Q52148505,149711425
19800035/276/37032,http://www.wikidata.org/entity/Q52156316,15518297m
LH/731/71,http://www.wikidata.org/entity/Q52160297,12155944z
LH/2569/31,http://www.wikidata.org/entity/Q52343267,124037196
LH/2298/70,http://www.wikidata.org/entity/Q53368062,13617440v
LH/2337/64,http://www.wikidata.org/entity/Q53441548,130090222
19800035/1435/66099,http://www.wikidata.org/entity/Q53551024,125254361
19800035/1257/45008,http://www.wikidata.org/entity/Q55238753,111421769
19800035/113/14257,http://www.wikidata.org/entity/Q55238769,108113522
19800035/1240/43139,http://www.wikidata.org/entity/Q55238885,12797677f
19800035/17/2157,http://www.wikidata.org/entity/Q55239032,13477801z
LH/1020/28,http://www.wikidata.org/entity/Q55231700,104992322
LH/581/21,http://www.wikidata.org/entity/Q55239086,13404483v
19800035/1422/64542,http://www.wikidata.org/entity/Q55334413,11184458h
LH/32/33,http://www.wikidata.org/entity/Q55346581,10186891s
LH/1720/43,http://www.wikidata.org/entity/Q55359570,13010639g
LH/262/42,http://www.wikidata.org/entity/Q55380862,15309073r
LH/2546/13,http://www.wikidata.org/entity/Q55400932,125641014
LH/1658/11,http://www.wikidata.org/entity/Q55408985,10505274b
19800035/1303/50521,http://www.wikidata.org/entity/Q55504196,12201279v
LH/4/39,http://www.wikidata.org/entity/Q55532796,13488924b
LH/179/34,http://www.wikidata.org/entity/Q55556010,123400401
LH/228/19,http://www.wikidata.org/entity/Q55582224,130033244
19800035/456/61046,http://www.wikidata.org/entity/Q55586767,10346051v
19800035/761/86497,http://www.wikidata.org/entity/Q55587325,12988904f
LH/510/21,http://www.wikidata.org/entity/Q55587472,122014600
19800035/1061/22151,http://www.wikidata.org/entity/Q55598376,123149327
LH/1126/57,http://www.wikidata.org/entity/Q55671945,10680997j
LH/504/19,http://www.wikidata.org/entity/Q55671965,10704514d
LH/49/30,http://www.wikidata.org/entity/Q55671976,107167797
LH/2190/26,http://www.wikidata.org/entity/Q55672036,109754145
19800035/58/7031,http://www.wikidata.org/entity/Q55672137,11328639v
19800035/455/60874,http://www.wikidata.org/entity/Q55672423,12379626x
LH/299/11,http://www.wikidata.org/entity/Q55672432,12394357k
19800035/1277/47159,http://www.wikidata.org/entity/Q55672775,13578125f
LH/2136/41,http://www.wikidata.org/entity/Q55672921,16189396p
LH/2065/53,http://www.wikidata.org/entity/Q55683499,167711872
19800035/1066/22706,http://www.wikidata.org/entity/Q55713196,12515782t
19800035/95/11843,http://www.wikidata.org/entity/Q55770447,10446215q
LH/822/16,http://www.wikidata.org/entity/Q55770914,12747164p
19800035/90/11291,http://www.wikidata.org/entity/Q55771708,123453731
LH/2568/49,http://www.wikidata.org/entity/Q55772188,11926030n
19800035/458/61323,http://www.wikidata.org/entity/Q55773042,108484650
19800035/1214/40064,http://www.wikidata.org/entity/Q55804313,12630330v
LH/496/65,http://www.wikidata.org/entity/Q55845880,12510470s
LH/1926/24,http://www.wikidata.org/entity/Q55868442,16760494q
LH/643/15,http://www.wikidata.org/entity/Q55898470,106863213
LH/2752/3,http://www.wikidata.org/entity/Q55984191,106654869
LH/2681/51,http://www.wikidata.org/entity/Q56229510,12728745w
19800035/435/58192,http://www.wikidata.org/entity/Q56250405,131644889
LH/1230/71,http://www.wikidata.org/entity/Q56284516,134238776
LH/307/31,http://www.wikidata.org/entity/Q56451123,121840812
LH/1005/24,http://www.wikidata.org/entity/Q56701840,106163987
LH/251/42,http://www.wikidata.org/entity/Q56708013,10463324n
19800035/777/88065,http://www.wikidata.org/entity/Q56753945,16146349m
19800035/1317/52390,http://www.wikidata.org/entity/Q57202321,10226211k
LH/34/66,http://www.wikidata.org/entity/Q57550956,123870725
LH/1196/10,http://www.wikidata.org/entity/Q57580959,112230610
19800035/647/74640,http://www.wikidata.org/entity/Q57977495,134331226
LH/2158/36,http://www.wikidata.org/entity/Q58818613,133807042
LH/2228/18,http://www.wikidata.org/entity/Q59433758,12451950f
19800035/278/37319,http://www.wikidata.org/entity/Q59527912,12449491c
19800035/1279/47536,http://www.wikidata.org/entity/Q59531627,13321823m
LH/598/54,http://www.wikidata.org/entity/Q59532448,121709832
19800035/918/7165,http://www.wikidata.org/entity/Q59629359,114841884
LH/221/7,http://www.wikidata.org/entity/Q60776955,12566609r
19800035/127/16025,http://www.wikidata.org/entity/Q3292431,12058293s
19800035/103/12948,http://www.wikidata.org/entity/Q3300912,10356233p
