nom,leonoreid,diplomes,professions
Joseph-Alfred Foulon,LH/1009/21,,prêtre catholique
Ernest Roume,LH/2392/4,,administrateur colonial
René Doumic,LH/798/66,,critique littéraire | historien de la littérature | journaliste | écrivain
Jean Nicolas Pierre Hachette,LH/1256/52,,professeur d'université | mathématicien
Edmond de Goncourt,LH/1327/53,,diariste | critique littéraire | critique | historien de l'art | dramaturge | historien | écrivain
Marius Toudoire,LH/2616/3,,architecte
Pierre-Ossian Bonnet,LH/289/23,,professeur d'université | mathématicien
François Perrier,LH/2107/77,,géodésiste | géographe | officier | personnalité politique
Maurice Donnay,LH/789/38,,dramaturge | poète | écrivain | scénariste
Léon Martinaud-Déplat,19800035/962/11738,,personnalité politique
Henri Huchard,LH/1317/25,,cardiologue | neurologue | médecin
"Louis Philippe, comte de Ségur",LH/2493/71,,chansonnier | diplomate | personnalité politique | poète
Louis-Philippe de Ségur,LH/2493/71,,chansonnier | diplomate | personnalité politique | poète
Georges Latil,19800035/829/94493,,ingénieur
Jean-Baptiste Dumonceau,LH/845/37,,personnalité politique | militaire
Désiré Nisard,LH/1992/34,,latiniste | historien de la littérature | critique littéraire | traducteur | historien | professeur | personnalité politique | écrivain
Pierre-François Percy,LH/2095/44,,personnalité politique | médecin
Paul Bezanson,LH/230/54,,entrepreneur | personnalité politique
Paul Théodore Auguste Bezanson,LH/230/54,,entrepreneur | personnalité politique
Louis Diémer,LH/774/18,,pianiste | compositeur | pédagogue
Frédéric Albert Constantin Weber,LH/2750/11,,botaniste | médecin
Louis Adam,LH/6/103,,professeur de musique | pianiste | compositeur
Ernest Hébert,LH/1274/88,,peintre
Vincent Benedetti,LH/177/84,,diplomate | personnalité politique
Henri-Jacques-Guillaume Clarke,LH/542/53,,diplomate | officier | personnalité politique
Jean Rapp,LH/2268/22,,personnalité politique | militaire
Jérôme-Napoléon Bonaparte,LH/277/57,,militaire
Benjamin Valz,LH/2671/5,,mathématicien | astronome
Paul Sébillot,LH/2490/77,,сollecteur de contes | auteur de littérature pour la jeunesse | folkloriste | ethnologue | peintre | écrivain
François Thureau-Dangin,19800035/1328/53824,,assyriologue | épigraphiste | archéologue | orientaliste | conservateur
Maurice Lévy,LH/1629/64,,inventeur | mathématicien | physicien | professeur | ingénieur
Jules Dupuit,LH/862/25,,ingénieur civil | ingénieur des ponts et chaussées | économiste | ingénieur
Eugène Joseph Verboeckhoven,LH/2686/33,,artiste graphique | sculpteur | peintre | graveur
Jean Alexandre Barré,19800035/852/269,,neurologue | médecin
Eirik Labonne,19800035/1099/26080,,diplomate
Hyacinthe Klosé,LH/1404/22,,professeur de musique | professeur d'université | clarinettiste | compositeur
Jean-Nicolas Bouilly,LH/314/19,,librettiste | auteur de littérature pour la jeunesse | dramaturge | personnalité politique | poète | avocat | écrivain
Eugène Lami,LH/2788/42,,miniaturiste | lithographe | peintre | illustrateur
Félix Dujardin,LH/839/36,,parasitologue | botaniste | biologiste | zoologiste
Joseph-Marie de Gérando,LH/1117/38,,linguiste | philanthrope | philosophe | anthropologue | personnalité politique | écrivain
Eugène Delaplanche,LH/702/19,,sculpteur
Napoléon Henri Reber,LH/2279/22,,professeur de musique | théoricien de la musique | compositeur
Ernest Blum,LH/262/53,,librettiste | journaliste | dramaturge | écrivain
Ernest Beaux,19800035/388/52061,,parfumeur
Ernest Cognacq,LH/560/13,,philanthrope | collectionneur d'œuvres d'art | marchand | personnalité du monde des affaires
Ernest Hamy,LH/1263/20,,anthropologue
Ernest de Jonquières,LH/939/2,,officier de marine | mathématicien
Ernest Mercier,19800035/79/9837,,ingénieur | personnalité du monde des affaires
Ernest Stanislas de Girardin,LH/1146/60,,personnalité politique
Ernest Tonnelat,19800035/796/90134,,spécialiste de la littérature | historien de la littérature | germaniste | professeur d'université | traducteur | professeur
Alphonse Poitevin,LH/2190/39,,chimiste | ingénieur | photographe
Pierre François Marie Auguste Dejean,LH/693/12,,entomologiste | officier | personnalité politique
Xavier Lesage,19800035/928/8233,,cavalier de dressage
François Bonvin,LH/292/27,,peintre
Henri Letocart,19800035/734/83315,,organiste | compositeur
Louis Vivien de Saint-Martin,LH/2734/63,,cartographe | géographe | écrivain
Gabriel Andral,LH/33/38,,pathologiste | médecin
Георгий Лаховский,19800035/1484/72543,,inventeur | ingénieur | écrivain
Guillaume Dode de La Brunerie,LH/782/53,,officier | personnalité politique | militaire
"François Alexandre Frédéric, duc de la Rochefoucauld-Liancourt",LH/2361/43,,sociologue | personnalité politique | militaire | personnalité du monde des affaires
François XII de La Rochefoucauld,LH/2361/43,,sociologue | personnalité politique | militaire | personnalité du monde des affaires
Jean-Baptiste de Nompère de Champagny,LH/2001/50,,diplomate | personnalité politique | militaire
Jean-Baptiste Nompère de Champagny,LH/2001/50,,diplomate | personnalité politique | militaire
Jean Lhermitte,LH/1632/61,,neurologue | psychiatre
Jules Augustin Girard,LH/1144/77,,helléniste | historien de la littérature | professeur d'université
Jules Girard,LH/1144/77,,helléniste | historien de la littérature | professeur d'université
Léon Dierx,LH/774/46,,sculpteur | peintre | poète | écrivain
Louis Hachette,LH/1256/54,,éditeur | imprimeur | personnalité du monde des affaires | écrivain
Firmin Didot,LH/773/51,,éditeur | créateur de caractères | traducteur | imprimeur | personnalité politique
Henri-Irénée Marrou,19800035/1448/67523,,résistant | historien de l'Église | professeur d'université | historien
Mathieu Molé,LH/1898/8,,personnalité politique
Louis-Mathieu Molé,LH/1898/8,,personnalité politique
Eugène-Louis-Ernest de Buchère de Lépinois,LH/387/51,,historien
Eugène Bloch,19800035/805/91327,,professeur d'université | physicien
Pierre-François Eugène Cortambert,LH/596/10,,géographe | bibliothécaire
Eugène Ernest Hillemacher,LH/1301/2,,peintre
Eugène Stoffel,LH/2553/14,,essayiste | archéologue | diplomate | militaire
Eugène Le Poittevin,LH/2184/56,,lithographe | caricaturiste | peintre
Eugène Le Roux,LH/1605/42,,peintre
Eugène Ortolan,LH/2024/2,,diplomate | juriste | compositeur
Eugène Rouché,LH/2393/38,,mathématicien
Eugène Bourdon,LH/325/17,,inventeur | ingénieur
François Jouffroy,LH/1379/25,,restaurateur | sculpteur
Pierre Jean François Turpin,LH/2639/70,,illustrateur botanique | botaniste | peintre
Ferdinand Carré,LH/433/49,,inventeur | ingénieur
Pierre Amédée Jaubert,LH/1357/3,,linguiste | explorateur | orientaliste | traducteur | diplomate | professeur | personnalité politique
Louis Archinard,LH/46/72,,militaire
Guy Ropartz,19800035/563/64126,,professeur de musique | musicologue | professeur d'université | chef d'orchestre | poète | compositeur
Narcisse-Achille de Salvandy,LH/2451/37,,personnalité politique | diplomate
Jean Antoine Michel Agar,LH/9/67,,personnalité politique
Jean-Michel Agar,LH/9/67,,personnalité politique
Léonard Charner,LH/492/78,,personnalité politique
Léonard Victor Charner,LH/492/78,,personnalité politique
Alphonse Lavallée,LH/1505/1,,personnalité du monde des affaires
Eloy Leveque,LH/1626/19,,vétérinaire | personnalité politique
Eloy Lévêque,LH/1626/19,,vétérinaire | personnalité politique
Raoul Pugno,LH/2239/9,,professeur de musique | chef de chœur | organiste | pianiste | compositeur
Ernest Legouvé,LH/1559/32,,librettiste | critique | moraliste | dramaturge de production | dramaturge | poète | écrivain | scénariste
Hector Crémieux,LH/625/50,,librettiste | dramaturge | écrivain
Jules Verreaux,LH/2696/6,,botaniste | ornithologue | naturaliste
Ferdinand-Jean Darier,LH/661/42,,pathologiste | personnalité politique | médecin
Émile Ripert,19800035/42/5244,,romaniste | professeur d'université | dramaturge | poète | écrivain
Alphonse Georges,LH/1116/28,,militaire
Emmanuel Benner,LH/179/20,,peintre
Emmanuel Gambardella,19800035/110/13895,,dirigeant sportif | journaliste | joueur de football
Emmanuel Hannaux,LH/1264/2,,médailleur | sculpteur
Emmanuel des Essarts,LH/1471/12,,professeur d'université | poète | écrivain
Jean-Pierre Boyer,LH/347/40,,prêtre catholique
Jean-François de Bourgoing,LH/330/35,,géographe | traducteur | diplomate | écrivain
François de La Rocque,LH/1485/51,,résistant | personnalité politique | militaire
François-Léon Benouville,LH/182/22,,peintre
Ludwik Michał Pac,LH/2771/7,,officier
Louis Massignon,19800035/356/47940,,islamologue
Jean-François-Charles Amet,LH/29/86,,militaire
Albert Mathiez,19800035/1272/46562,,historien | personnalité politique
Alexandre Darracq,19800035/245/32547,,entrepreneur | ingénieur
Louis Antoine Fauvelet de Bourrienne,LH/334/37,,diplomate | personnalité politique | militaire
Joseph Barbanègre,LH/105/9,,officier | militaire
Henry Deutsch de la Meurthe,LH/763/46,,mécène | entrepreneur | compositeur
Albert Londres,LH/1655/27,,journaliste | écrivain
Pierre Roy,19800035/803/91116,,peintre
Nicolas-Toussaint Charlet,LH/491/43,,peintre
François Coli,LH/563/58,,aviateur | navigateur | militaire
Eugène Revillout,LH/2307/12,,anthropologue | archéologue | historien du droit | égyptologue
François de Chasseloup-Laubat,LH/500/39,,ingénieur militaire | personnalité politique | militaire
Louis Emmanuel Jadin,LH/1347/65,,professeur de musique | musicologue | claveciniste | professeur d'université | pianiste | chef d'orchestre | compositeur
Louis-Joseph Luçon,LH/1674/22,,prêtre catholique
Guillaume-Mathieu Dumas,LH/843/35,,historien militaire | traducteur | officier | personnalité politique | militaire
Mathieu Dumas,LH/843/35,,historien militaire | traducteur | officier | personnalité politique | militaire
Fernand Baldensperger,19800035/116/14609,,critique littéraire | professeur d'université | poète | écrivain
François-Auguste Biard,LH/232/45,,peintre
Louis-Charles Malassez,LH/1702/53,,anatomiste | médecin
Alphonse Hasselmans,LH/1270/29,,professeur de musique | professeur d'université | compositeur
François Georges-Picot,19800035/71/8818,,diplomate
Émile Verdet,LH/2686/97,,physicien
Jean Baptiste Soehnlin,LH/2531/11,,journaliste | prêtre catholique | personnalité politique | écrivain
Jean Baptiste Soehnlin,LH/2531/11,,journaliste | prêtre catholique | personnalité politique | écrivain
Pedro Gailhard,LH/1053/48,,artiste lyrique | chanteur
Victor Henry,LH/1285/38,,linguiste | philologue
Marcel Deprez,LH/736/55,,ingénieur électricien
Jules Émile Planchon,LH/2176/22,,botaniste
Jean-Zuléma Amussat,LH/32/21,,chirurgien | médecin
Victor André Cornil,LH/592/34,,anatomiste | pathologiste | personnalité politique
Alexandre Luigini,LH/1675/26,,musicologue | chorégraphe | directeur musical | chef d'orchestre | compositeur
René Maheu,19800035/1328/53941,,philosophe | haut fonctionnaire | diplomate | enseignant
Fulgence Raymond,LH/2273/64,,neurologue | vétérinaire
Albert Bartholomé,LH/128/54,,dessinateur | artiste visuel | sculpteur | peintre
Narcisse Girard,LH/1145/28,,professeur de musique | violoniste | chef d'orchestre | compositeur
Théodore Hersart de La Villemarqué,LH/1295/44,,lexicographe | linguiste | folkloriste | historien | poète
Jean Le Marois,LH/1577/64,,officier | personnalité politique | militaire
Georges de la Chapelle,19800035/1469/70045,,joueur de tennis | soldat
Jean Dominique Compans,LH/578/11,,personnalité politique | militaire
Achille Delesse,LH/710/27,,minéralogiste | professeur d'université | géologue
Roland Dorgelès,19800035/1183/36948,,romancier | journaliste | écrivain | scénariste
Georges Ohnet,LH/2012/44,,prosateur | librettiste | romancier | journaliste | dramaturge | écrivain | scénariste
Paul-Louis Courier,LH/611/32,,helléniste | autobiographe | érudit classique | traducteur | militaire | écrivain
Joë Bousquet,LH/336/49,,poète | écrivain
Robert de Flers,LH/1462/23,,librettiste | critique littéraire | journaliste | dramaturge | écrivain
Victor de Laprade,LH/2323/33,,personnalité politique | poète | écrivain
Charles-Victor Prévost d'Arlincourt,LH/2225/30,,romancier | dramaturge | poète | écrivain
Jean Psichari,19800035/258/34353,,linguiste | défenseur des droits de l'Homme | professeur d'université | écrivain
Ferdinand Poise,LH/2189/51,,compositeur
Raimu,LH/1967/39,,essayiste | acteur de cinéma | acteur de théâtre | acteur
Dumanoir,LH/841/59,,librettiste | chorégraphe | dramaturge
Fernand Point,19800035/98/12242,,essayiste | chef cuisinier | cuisinier | personnalité du monde des affaires
Henri Edouard Claudel,19800035/155/19732,,militaire
François Delsarte,LH/721/55,,professeur de musique | théâtrologue | artiste lyrique | musicien
François de Neufchâteau,LH/1028/52,,linguiste | critique littéraire | agronome | biographe | traducteur | économiste | personnalité politique | poète | avocat
Nicolas François de Neufchâteau,LH/1028/52,,linguiste | critique littéraire | agronome | biographe | traducteur | économiste | personnalité politique | poète | avocat
Georges Clairin,LH/540/73,,peintre | illustrateur
Jules Brunet,LH/383/58,,officier | militaire
Raphaël Salem,19800035/398/53361,,professeur d'université | mathématicien
George Soulié de Morant,19800035/821/93404,,acupuncteur | mongoliste | sinologue | traducteur | diplomate
Gustave Glotz,LH/1156/45,,historien
Jean-Roch Coignet,LH/561/28,,mémorialiste | soldat | écrivain
Jean-Roch Coignet,LH/561/29,,mémorialiste | soldat | écrivain
Ferdinand Barrot,LH/124/59,,diplomate | personnalité politique | avocat
Joseph Hollmann,LH/1306/47,,violoncelliste | compositeur
Fernand Crémieux,LH/625/52,,personnalité politique | avocat
Fernand Le Borne,19800035/232/30802,,critique musical | chef d'orchestre | compositeur
Fernand Widal,LH/2756/3,,pathologiste | professeur d'université | médecin
Georges Ballot,19800035/761/86482,,peintre
Paul Auguste Ernest Laugier,LH/1497/7,,physicien | astronome
Raymond Bernard,19800035/1439/66537,,réalisateur | acteur | scénariste
Jacques Camou,LH/414/62,,officier | personnalité politique | militaire
Jean Baptiste Camille de Canclaux,LH/417/70,,diplomate | personnalité politique | militaire
Georges Lepape,19800035/1106/26688,,illustrateur de mode | dessinateur | modéliste | affichiste | illustrateur
Jean-Nicolas Corvisart,LH/596/55,,anatomiste | cardiologue | professeur | médecin
Georges Humbert,LH/1325/98,,professeur d'université | mathématicien | ingénieur
Flavien-Abel-Antoine Hugonin,LH/1321/1,,prélat | prêtre catholique
Jean Melchior Dabadie de Bernet,LH/644/6,,officier | personnalité politique | militaire
Jean-Melchior d’Abadie,LH/644/6,,officier | personnalité politique | militaire
Francis Garnier,LH/1078/20,,explorateur | militaire
Gabriel Séailles,19800035/210/27517,,historien de la philosophie | philosophe | biographe
Joseph Marie de Pernety,LH/2102/23,,officier | personnalité politique
Charles Antoine Morand,LH/1924/18,,personnalité politique | militaire
Joseph Marie Dessaix,LH/758/55,,personnalité politique | militaire
"Joseph Marie, Count Dessaix",LH/758/55,,personnalité politique | militaire
Frantz Jourdain,LH/1380/76,,architecte
François Guiguet,19800035/202/26493,,lithographe | peintre
Pierre Viala,LH/2697/11,,lichénologue | pathologiste | personnalité politique
François-Auguste Cheussey,LH/520/56,,architecte
François Antoine de Boissy d'Anglas,LH/273/13,,biographe | personnalité politique
François-Antoine de Boissy d'Anglas,LH/273/13,,biographe | personnalité politique
François-Auguste Parseval-Grandmaison,LH/2058/31,,peintre | traducteur | poète | écrivain
François-Joseph d'Offenstein,LH/783/27,,militaire
Anatole de Cabrières,LH/2417/9,,prêtre catholique
François Barthélemy,LH/127/10,,diplomate | personnalité politique
François Benoist,LH/179/48,,professeur de musique | organiste | compositeur
François Benoist,LH/179/49,,professeur de musique | organiste | compositeur
François Broussais,LH/375/12,,pathologiste | chirurgien
François Charles-Roux,19800035/384/51487,,historien | diplomate | personnalité du monde des affaires
François Fertiault,LH/965/2,,poète | écrivain
François Fournier-Sarlovèze,LH/1018/49,,officier
François d'Orléans,19800035/623/71643,,militaire
François Ignace Schaal,LH/2474/49,,personnalité politique
François Marie Guyonneau de Pambour,LH/1253/2,,ingénieur
François Sevez,LH/2511/73,,militaire
Jacques Vandier,19800035/1171/34659,,archéologue | égyptologue | historien
Jules Anglès,LH/39/51,,personnalité politique
Paul Vidal,LH/2707/30,,professeur de musique | musicologue | professeur d'université | pianiste | chef d'orchestre | compositeur
Frédéric Wallerant,19800035/240/31915,,cristallographe | minéralogiste
Wilbrod Chabrol,LH/467/7,,collectionneur d'œuvres d'art | architecte
Henry Mansuy,LH/1720/12,,anthropologue | paléontologue | géologue
Paul Fauchet,LH/936/7,,musicologue | organiste | chef d'orchestre | compositeur
Hyacinthe Guilleminot,LH/1238/25,,radiologue | professeur d'université
Fédéric-Henri Oury,LH/2028/24,,prêtre catholique
Frédéric Alphonse Musculus,LH/2791/148,,chimiste | pharmacien
Frédéric Legrand,LH/1561/12,,militaire
Frédéric Plessis,19800035/207/27120,,philologue classique | journaliste | poète | écrivain
Jacques Augustin,LH/75/70,,peintre
Henri Dumont,19800035/245/32665,,lithographe | graveur | designer | peintre
Maurice Klippel,19800035/235/31103,,neurologue | psychiatre
Félix Billet,LH/240/41,,professeur d'université | physicien
Félix Deltour,LH/722/23,,latiniste | enseignant | écrivain
Félix Gaudin,LH/1089/48,,peintre verrier | vitrailliste | mosaïste
Félix-Henri Giacomotti,LH/1128/57,,peintre
Félix Le Couppey,LH/1538/36,,professeur de musique | pianiste | compositeur
Félix Ravaisson,LH/2271/36,,philosophe | anthropologue | archéologue | historien de l'art | bibliothécaire
Jean Gaspard Félix Laché-Ravaisson-Mollien,LH/2271/36,,philosophe | anthropologue | archéologue | historien de l'art | bibliothécaire
Félix de Vial,LH/2697/9,,militaire
Félix de Vial,LH/2703/33,,militaire
Jules Guyot,LH/2786/143,,agronome | physicien | médecin
Hippolyte Destailleur,LH/760/1,,collectionneur | restaurateur | architecte
Gabriel Barbou des Courières,LH/111/54,,militaire
Gabriel Bonvalot,LH/292/22,,explorateur | personnalité politique | écrivain
Gaspard André,LH/34/61,,architecte
Jules Guiffrey,LH/1229/81,,historien de l'art | archiviste
Gaston Arman de Caillavet,LH/49/74,,librettiste | journaliste | dramaturge | écrivain
Gaston Calmette,LH/410/85,,journaliste
Gaston Bussiere,19800035/335/45080,,peintre
Achille Marie Gaston Floquet,LH/985/51,,professeur d'université | mathématicien
Gaston d' Andlau,LH/33/16,,officier | personnalité politique | militaire
Gaston Serpette,LH/2505/24,,critique musical | chef d'orchestre | compositeur
Serge Voronoff,19800035/741/84128,,immunologiste | gynécologue | physiologiste | chirurgien
Geoffroy Velten,LH/2684/51,,personnalité politique
Georg Wilhelm Amatus Lüer,LH/1674/62,,fabricant d'instruments
Louis Andrieux,LH/36/90,,journaliste | diplomate | personnalité politique | avocat
Georges-Adrien Crapelet,LH/624/61,,romaniste | imprimeur
Victor Legros,19800035/355/47771,,personnalité politique
Georges Bayrou,19800035/816/92891,,joueur de football | président-directeur général
Georges Aaron Bénédite,LH/177/85,,archéologue | égyptologue
Georges Canetti,19800035/1098/25981,,médecin
Georges Chaudron,19800035/1400/61792,,professeur d'université | chimiste
Hippolyte Worms,19800035/367/49247,,banquier | armateur
Georges Guillain,19800035/360/48384,,neurologue
Georges Contenau,19800035/586/66454,,assyriologue | archéologue | professeur d'université | conservateur | médecin
Georges Docquois,LH/782/33,,poète | écrivain | scénariste
Georges Durand,19800035/462/61812,,journaliste | personnalité politique
Georges Pruvôt,LH/2237/13,,biologiste marin | professeur d'université | zoologiste
Sem,19800035/546/62403,,caricaturiste | peintre | affichiste | graphiste
Georges Grente,19800035/294/39494,,théologien | prêtre catholique
Georges Houot,19800035/1474/70763,,explorateur
Georges Marty,LH/1770/62,,professeur d'université | directeur musical | chef d'orchestre | compositeur
Georges Mouton,LH/1959/44,,officier | personnalité politique
Georges Révoil,LH/2307/24,,diplomate | photographe
Georges de Laire,LH/1446/67,,chimiste
Georges de Porto-Riche,19800035/169/21739,,romancier | dramaturge | bibliothécaire | poète | écrivain
Germain Delavigne,LH/706/72,,écrivain | librettiste | dramaturge
Louis Koeltz,19800035/1015/17287,,officier | militaire
Adolphe Schloss,LH/2477/26,,collectionneur d'œuvres d'art
Henri Victor Michelant,LH/1869/42,,romaniste | professeur d'université | bibliothécaire
Paul Véronge de La Nux,19800035/211/27724,,pianiste | compositeur
Jean-Paul Sinibaldi,LH/2527/12,,peintre
Jean-Baptiste Drouet,LH/806/20,,personnalité politique
Louis Arsene Delaunay,LH/705/61,,acteur de théâtre
Blaise Alexandre Desgoffe,LH/847/39,,peintre
Alphonse Nudant,19800035/34/4386,,officier
Goswin de Stassart,LH/2547/62,,personnalité politique | poète | écrivain
Louis-Gustave Binger,LH/243/10,,administrateur colonial | explorateur | soldat
Henri Hauvette,LH/1273/5,,philologue | professeur d'université
Jules-Eugène Lenepveu,LH/1586/34,,peintre
Philippe-Antoine Merlin de Douai,LH/1840/49,,magistrat | personnalité politique | avocat
Guillaume François de Martonne,LH/1770/4,,bibliographe | romaniste | juriste
Guillaume Bouteiller,LH/338/56,,compositeur
Gustave Humbert,LH/1325/34,,personnalité politique
Gustave Bémont,19800035/170/21864,,chimiste
Gustave Bouchardat,LH/304/18,,chimiste
Gustave Charles Bonaventure Chancel,LH/479/36,,professeur d'université | chimiste
Gustave Desnoiresterres,LH/1522/13,,musicologue | historien de la littérature | journaliste | historien de l'art | dramaturge
Gustave Jundt,LH/1390/64,,peintre | illustrateur
Gustave Jacquet,LH/1343/80,,collectionneur d'œuvres d'art | peintre
Gustave Macé,LH/1680/63,,écrivain
Gustave Marie Maurice Mesny,19800035/94/11734,,militaire
Gustave Olivier Lannes de Montebello,LH/1472/38,,officier | personnalité politique | militaire
Gustave Pradelle,LH/2219/19,,préfet | dramaturge | poète | écrivain
Gérard Paul Deshayes,LH/749/23,,malacologiste | paléontologue | géologue
Michael Geither,LH/2785/81,,officier
Alexis-Armand Charost,LH/493/27,,prêtre catholique
Joseph Alexandre Martigny,LH/1755/40,,anthropologue | archéologue
René Barbier,19800035/1286/48553,,jardinier | horticulteur
Charles Cottet,LH/601/72,,artiste graphique | peintre
Alfred Bachelet,LH/86/79,,professeur de musique | chef d'orchestre | compositeur
Joseph Gratry,LH/1193/1,,philosophe | théologien | presbytre | prêtre catholique | écrivain
Marcel Baltazard,19800035/1069/23066,,épidémiologiste | médecin
Augustin Joseph Caron,LH/431/6,,soldat
Napoléon Alkan,LH/1936/67,,professeur d'université | compositeur
Hector Hanoteau,LH/1264/57,,peintre | personnalité politique
Henri Lebasque,19800035/547/62587,,graveur | peintre
Marcellin Desboutin,LH/743/22,,peintre | écrivain
Louis-Albert Bourgault-Ducoudray,LH/327/3,,professeur de musique | musicologue | chef d'orchestre | compositeur
Alexandre de Girardin,LH/1146/50,,officier | militaire
Omer Letorey,LH/1621/61,,compositeur
Henri-Pierre Castelnau,LH/446/62,,officier | personnalité politique | militaire
Henri Hartmann,19800035/18/2301,,chirurgien
Henri Barbet de Jouy,LH/108/8,,archéologue | historien de l'art | conservateur | historien
Laurent Truguet,LH/2636/55,,diplomate | personnalité politique | militaire
Henri Bédarida,19800035/162/20756,,essayiste | critique littéraire | professeur d'université
Henri Buisson,19800035/1286/48454,,professeur d'université | physicien
Henri Gresley,LH/1199/2,,personnalité politique | militaire
Henri Fromageot,LH/1041/11,,diplomate | juge
Henri Hauser,19800035/740/84067,,professeur d'université | géographe | historien | économiste
Henri-Gustave Delvigne,LH/722/73,,inventeur | militaire
Henri Lichtenberger,19800035/552/63070,,germaniste | professeur d'université | traducteur
Henri Louis Edouard Le Rond,19800035/25/3208,,militaire
Henri Lévy-Bruhl,19800035/597/67550,,sociologue | professeur d'université | juriste
Henri Manhès,19800035/287/38456,,journaliste
Henri Maréchal,LH/1734/47,,compositeur
Henri Martineau,19800035/809/91958,,critique littéraire | éditeur | romaniste | médecin
Henry Nomy,19800035/1111/27215,,résistant | officier de marine | aviateur
Henri Rapin,19800035/1234/42349,,peintre | illustrateur
Henri Rollin,19800035/83/10398,,essayiste | espion | officier de la Marine française | journaliste | haut fonctionnaire
Henri Trilles,LH/2654/6,,ethnologue | missionnaire
Henri de Montaut,LH/1916/30,,graveur sur cuivre | peintre | illustrateur | graveur
Henry Bergasse,19800035/1439/66535,,personnalité politique
Roger Hubert,19800035/593/67119,,directeur de la photographie
Paul Lacroix,LH/1429/52,,journaliste | dramaturge | historien | bibliothécaire | écrivain
Joachim Murat,C/0/68,,militaire
Hilarion-François de Chevigné de Boischollet,LH/525/10,,prêtre catholique
Antoine Ponchard,LH/2196/30,,professeur de musique | professeur de chant | artiste lyrique | chanteur
Hippolyte François Jaubert,LH/1356/53,,botaniste | personnalité politique
Hippolyte Lucas,LH/1672/35,,arachnologiste | lépidoptériste | zoologiste
Pierre Pruvost,19800035/888/4038,,professeur d'université | géologue
Alexandre Piédagnel,LH/2151/41,,journaliste | poète | écrivain
Théophile Aube,LH/62/58,,personnalité politique | militaire
Victor Place,LH/2175/17,,archéologue | diplomate
Bertrand Olivier Gambier,19800035/70/8700,,professeur d'université | mathématicien
Louis-Pierre Baltard,LH/100/69,,peintre | graveur | architecte | écrivain
Eugène Criqui,19800035/1452/67939,,boxeur
Pierre-Armand Dufau,LH/830/39,,journaliste | économiste
Jean Barthélemot de Sorbier,LH/2535/3,,personnalité politique | militaire
Régis Barthélemy Mouton-Duvernet,LH/1960/12,,officier | personnalité politique
Paul-Eugène Lequeux,LH/1601/52,,architecte
Alfred Borrel,LH/299/8,,médailleur | sculpteur
Roger Ducos,LH/2367/57,,personnalité politique | avocat
Jacques-Noël Sané,LH/2454/10,,construction navale | architecte
Pierre Guillaume Camille Forthomme,LH/1002/48,,professeur d'université | chimiste | physicien
Irénée Lang,LH/1468/30,,entrepreneur | agriculteur | personnalité politique
Irénée Lang,LH/1468/30,,entrepreneur | agriculteur | personnalité politique
Isaac Pereire,LH/2096/57,,banquier | entrepreneur | personnalité politique
Jacques-Marie Le Père,LH/1595/48,,ingénieur civil | ingénieur
Jacques Claude Demogeot,LH/727/27,,professeur d'université | auteur | écrivain
Jacques François Édouard Hervieux,LH/1297/34,,gynécologue | pédiatre
Jacques Preiß,LH/2222/14,,personnalité politique | avocat
Jacques Preiß,LH/2222/14,,personnalité politique | avocat
Léon Eyrolles,19800035/264/35313,,personnalité politique | personnalité du monde des affaires
Alfred Mühleisen,19800035/193/25135,,journaliste | dramaturge | personnalité politique
Alfred Mühleisen,19800035/193/25135,,journaliste | dramaturge | personnalité politique
Jean-Achille Benouville,LH/182/21,,peintre | photographe
Tiburce Sébastiani,LH/2490/40,,officier | personnalité politique | militaire
Jean-Antoine Constantin,LH/582/80,,lithographe | professeur d'université | directeur | peintre
Jean-Baptiste Billot,LH/241/67,,officier | personnalité politique | militaire
Jean-Baptiste-Gaspard d'Ansse de Villoison,LH/656/65,,érudit classique | philologue classique | traducteur | professeur
Jean-Baptiste Louis Lel,LH/1206/81,,voyageur | peintre de paysage | peintre | diplomate | personnalité politique | photographe
Jean-Baptiste Payer,LH/2075/58,,botaniste | professeur d'université | personnalité politique
Jean-Baptiste Périer,19800035/36/4584,,diplomate
Jean-Bernard Mary-Lafon,LH/1435/53,,romaniste | archiviste | dramaturge | historien | poète | écrivain
Jean-Eugène Buland,19800035/243/32294,,peintre
Jean-Félicité-Théodore Ortolan,LH/2024/5,,auteur | écrivain
Jean-Jacques Reubell,LH/2304/38,,officier
Jean-Louis Marie Alibert,LH/19/34,,dermatologue | médecin | écrivain
Eugène Chevandier de Valdrome,LH/524/4,,industriel | personnalité politique
Achille Zo,LH/2769/54,,peintre
Jean-Baptiste-Firmin Demonferrand,LH/727/70,,physicien
Jean Bertin,19800035/1294/49588,,ingénieur en aérospatiale | inventeur | ingénieur
Jean Camille Formigé,LH/1000/36,,architecte
Jean Cazelles,LH/458/33,,personnalité politique
Charles-François de Ladoucette,LH/1430/66,,personnalité politique | écrivain
Jean Cras,LH/624/72,,officier de marine | compositeur
Jean Dagnaux,LH/646/9,,aviateur | militaire
Jean Danjou,LH/656/7,,militaire
Jean Frontard,19800035/367/49355,,ingénieur
Jean Adrien Antoine Jules Jusserand,LH/1392/11,,historien | diplomate
Jean Jules Jusserand,LH/1392/11,,historien | diplomate
Jean-Louis Borel,LH/296/25,,officier | militaire
Jean-Baptiste Marc Bourgery,LH/329/34,,anatomiste | médecin
