nom,leonoreid,diplomes,professions
Ernest Langlois,19800035/110/13822,archiviste paléographe,médiéviste | romaniste | professeur d'université | historien
René Leriche,19800035/90/11235,doctorat,physiologiste | professeur d'université | chirurgien | professeur | médecin
Alfred Morel-Fatio,LH/1934/53,archiviste paléographe,linguiste | hispaniste | romaniste | biographe | traducteur | historien | bibliothécaire | professeur
Paul Fallot,19800035/320/43185,doctorat,paléontologue | professeur d'université | géologue
Alfred Lacroix,19800035/21/2617,doctorat,minéralogiste | volcanologue | professeur d'université | géologue
Louis Halphen,LH/1260/52,archiviste paléographe,historien
Paul Thureau-Dangin,LH/2604/87,doctorat,journaliste d'opinion | historien
Alfred Loisy,19800035/130/16452,doctorat,exégète | assyriologue | théologien | prêtre catholique | professeur
Jean-Baptiste de Belloy,LH/173/66,doctorat,prêtre catholique | personnalité politique
Jacques Flach,LH/978/5,doctorat en droit,historien | juriste | professeur | avocat
Charles Seignobos,LH/273/53,docteur ès sciences historiques,historien
Ernest Lavisse,LH/1508/35,agrégation d'histoire et géographie | docteur ès lettres,historien | professeur | écrivain
Charles Abadie,LH/1/9,doctorat ès sciences médicales,ophtalmologue | médecin
Édouard Bureau,LH/394/6,doctorat,paléobotaniste | professeur des universités | médecin
Alexandre Lacassagne,LH/1421/47,doctorat,médecin légiste | criminologue | anthropologue | médecin
Paul Dupuy,19800035/246/32673,agrégation d'histoire,biographe | historien
Charles Braibant,19800035/1378/59180,archiviste paléographe,archiviste | écrivain
Georges Dalmeyda,19800035/726/82595,agrégation de lettres | docteur ès lettres,helléniste
Georges Guigue,19800035/295/39681,archiviste paléographe,archiviste | historien
Georges Hardy,19800035/1195/38203,agrégation d'histoire,haut fonctionnaire | historien
Georges Raviart,19800035/766/86962,doctorat | agrégation de médecine,professeur des universités-praticien hospitalier | psychiatre
François Eygun,19800035/1173/35868,archiviste paléographe,archéologue | historien
Gabriel Bouffet,LH/311/25,licence en droit,haut fonctionnaire | avocat
Gabriel Henriot,19800035/645/74404,archiviste paléographe,historien | bibliothécaire
Gabriel Pérouse,LH/2104/27,archiviste paléographe,archiviste
Charles Bémont,19800035/194/25386,doctorat | archiviste paléographe,historien
Désiré Nolen,LH/2001/20,doctorat,philosophe
Ferdinand Palluel,LH/2040/39,laurea,personnalité politique | avocat
Gustave Demartres,LH/725/17,agrégation | doctorat,mathématicien | enseignant
Gustave Dupont-Ferrier,19800035/462/61794,doctorat | archiviste paléographe,historien
Armand Corre,LH/594/52,médecin,médecin militaire | sociologue | archiviste | médecin | enseignant
Jean-Baptiste Foucart,LH/1005/29,docteur en médecine,chirurgien
Jean-Baptiste Foucart,LH/1005/30,docteur en médecine,chirurgien
Charles Eudes Bonin,LH/280/52,archiviste paléographe,explorateur | archéologue | diplomate
Charles Petit-Dutaillis,19800035/1214/40161,archiviste paléographe,historien
Charles Portal,19800035/570/64867,archiviste paléographe,archiviste | historien
Christian Pfister,19800035/206/27067,agrégation d'histoire,médiéviste | historien
Paul Durrieu,LH/875/55,archiviste paléographe,historien de l'art
