leonoreid,diplome
19800035/178/23028,
LH/227/71,
C/0/61,
LH/2651/59,
LH/2010/17,
LH/1412/14,
LH/463/87,
19800035/1160/32563,
LH/102/44,
LH/1618/36,
LH/306/6,
LH/1550/53,
C/0/31,
19800035/849/97279,
LH/222/50,
LH/1443/56,
LH/593/33,
LH/2075/14,
19800035/121/15309,
19800035/337/45386,
LH/1805/3,
LH/1016/31,
19800035/107/13454,
LH/310/54,
19800035/1207/39459,
LH/1105/34,
LH/316/18,
LH/377/9,
LH/925/42,
LH/2471/25,
LH/1351/87,
LH/77/12,
LH/213/57,
LH/558/33,
LH/2105/32,
LH/480/27,
LH/480/27,
LH/2758/26,
19800035/910/6256,
LH/1145/59,
LH/2292/52,
19800035/1381/59505,
LH/369/90,
LH/1297/73,
LH/1170/52,
LH/1042/69,
LH/1147/16,
LH/1147/16,
LH/857/29,
19800035/224/29504,
LH/1505/14,
LH/1505/14,
19800035/392/52580,
LH/2661/29,
LH/398/23,
LH/1454/19,
LH/1053/8,
LH/2095/49,
LH/219/1,
LH/2336/15,
LH/1379/11,
LH/860/61,
LH/876/49,
LH/213/59,
LH/526/101,
LH/54/22,
LH/1185/22,
19800035/233/30963,
LH/2692/6,
LH/1489/83,
LH/1489/83,
LH/807/21,
LH/860/69,
LH/1747/40,
LH/1412/1,
LH/1172/31,
LH/1237/27,
19800035/227/30002,
19800035/194/25368,
LH/2161/43,
LH/2641/25,
LH/2704/10,
19800035/1168/33369,
LH/911/25,
19800035/918/7195,
LH/968/32,
LH/2745/16,
LH/2171/48,
LH/2433/36,
LH/1079/46,
LH/886/8,
19800035/1288/48887,
19800035/241/32005,
LH/2289/26,
LH/2508/51,
LH/1312/71,
LH/2198/5,
LH/1747/42,
19800035/70/8661,
LH/1332/45,
19800035/427/57124,
LH/1115/15,
LH/1259/20,
19800035/735/83451,
LH/2767/60,
19800035/1238/42935,
LH/1489/56,
LH/2129/33,
LH/1509/103,
19800035/565/64316,
LH/273/53,
LH/2710/23,
LH/271/89,
LH/1886/3,
LH/2453/40,
LH/1741/18,
LH/1527/42,
LH/2195/19,
LH/2621/62,
19800035/63/7760,
LH/1379/34,
LH/1134/37,
19800035/88/11022,
LH/952/53,
LH/2718/41,
19800035/390/52318,
19800035/368/49407,
LH/1685/55,
LH/598/86,
LH/2175/6,
LH/2197/83,
LH/304/17,
LH/277/59,
LH/9/58,
19800035/318/42889,
LH/785/2,
LH/785/2,
19800035/1467/69840,
LH/1979/25,
LH/2265/55,
LH/836/49,
LH/1519/35,
LH/633/37,
LH/2177/28,
LH/2784/153,
LH/1020/58,
LH/2784/153,
LH/1020/58,
LH/349/89,
LH/13/66,
LH/151/21,
LH/166/34,
LH/2746/48,
LH/2746/48,
LH/854/28,
LH/1358/28,
19800035/1244/43531,
19800035/1213/40021,
LH/2610/70,
19800035/201/26297,
LH/714/43,
LH/714/42,
19800035/767/87084,
LH/2368/76,
LH/1303/31,
LH/962/16,
19800035/232/30716,
LH/1688/33,
19800035/54/6612,
LH/2698/38,
19800035/1163/32884,
19800035/1125/29025,
LH/922/16,
19800035/723/82222,
LH/1175/48,
19800035/206/27045,
19800035/830/94709,
LH/861/22,
LH/852/26,
LH/994/13,
LH/809/6,
LH/485/73,
LH/2581/4,
LH/1351/9,
19800035/395/52986,
LH/462/1,
LH/1153/9,
LH/57/94,
LH/2257/39,
LH/1683/6,
LH/1873/58,
19800035/565/64318,
LH/1415/6,
LH/202/42,
19800035/823/93797,
LH/657/1,
LH/448/64,
19800035/1186/37585,
LH/1094/28,
LH/646/3,
LH/2066/27,
LH/757/30,
19800035/875/2754,
LH/1282/48,
LH/143/8,
LH/35/35,
LH/1946/74,
LH/2259/19,
LH/2060/50,
LH/1876/54,
19800035/416/55649,
LH/2794/19,
LH/828/19,
LH/403/38,
LH/578/55,
LH/2767/37,
19800035/354/47625,
LH/2384/75,
19800035/402/53794,
LH/541/39,
LH/2301/6,
19800035/1375/58899,
LH/87/64,
LH/886/21,
LH/981/11,
LH/537/22,
LH/510/27,
LH/2296/14,
LH/2634/55,
LH/871/40,
LH/451/80,
19800035/1004/16102,
LH/863/93,
LH/343/10,
19800035/197/25772,
LH/1841/53,
19800035/1021/17943,
LH/119/41,
LH/791/60,
LH/1779/52,
19800035/218/28574,
LH/2268/58,
LH/430/54,
LH/556/53,
19800035/909/6182,
LH/2476/15,
19800035/1330/54107,
19800035/699/79883,
19800035/1114/27554,
LH/100/4,
19800035/1221/40963,
LH/2732/20,
19800035/140/17790,
LH/811/11,
LH/824/1,
LH/298/31,
19800035/832/94902,
LH/829/6,
LH/2243/66,
LH/1062/8,
LH/2351/23,
LH/2127/25,
LH/873/2,
LH/1698/41,
LH/2481/17,
LH/1327/5,
LH/3/7,
LH/666/7,
19800035/85/10643,
LH/321/15,
LH/415/32,
LH/598/105,
LH/598/105,
LH/643/48,
LH/1312/68,
LH/2275/28,
LH/1901/44,
LH/2603/55,
LH/667/80,
LH/413/15,
LH/1273/44,
LH/1235/46,
19800035/278/37243,
LH/906/54,
LH/618/85,
LH/2762/26,
LH/1523/49,
LH/1523/49,
19800035/184/23959,
LH/1034/52,
LH/839/5,
LH/1536/28,
LH/485/63,
LH/1252/24,
19800035/799/90441,
LH/1090/13,
LH/1090/13,
LH/201/62,
LH/107/22,
LH/850/7,
LH/2163/6,
LH/1299/31,
LH/41/78,
19800035/1469/70098,
19800035/355/47681,
19800035/1178/36451,
LH/258/74,
LH/2210/15,
LH/667/59,
LH/667/59,
LH/1968/3,
19800035/3/389,
LH/1947/68,
19800035/662/76150,
LH/2364/3,
LH/1822/21,
LH/1509/32,
LH/658/48,
LH/821/63,
LH/1914/63,
LH/2043/66,
LH/1336/6,
LH/2322/37,
LH/589/25,
LH/664/52,
LH/664/52,
19800035/790/89289,
LH/782/44,
LH/549/73,
LH/549/73,
LH/44/10,
LH/1990/2,
LH/2352/55,
19800035/459/61465,
LH/2728/44,
19800035/1219/40728,
19800035/1366/57905,
LH/2150/38,
LH/1942/14,
19800035/309/41612,
LH/1157/72,
LH/2461/49,
19800035/1464/69372,
LH/997/1,
19800035/197/25726,
LH/1154/63,
LH/1166/60,
LH/2761/44,
LH/1205/68,
LH/1250/24,
LH/2679/33,
LH/2626/25,
LH/2626/25,
LH/589/23,
C/0/48,
LH/1725/15,
LH/935/21,
LH/1259/22,
LH/863/87,
19800035/456/61061,
LH/2022/2,
LH/771/35,
LH/762/3,
LH/290/18,
LH/1373/26,
19800035/552/63046,
LH/245/52,
LH/1473/46,
LH/599/22,
LH/1584/46,
19800035/930/8376,
LH/2508/3,
LH/2270/5,
LH/2511/21,
LH/1502/8,
19800035/1352/56686,
19800035/562/64044,
19800035/395/52918,
LH/919/54,
LH/11/88,
LH/1247/9,
LH/1616/88,
LH/465/30,
LH/826/64,
LH/1187/35,
19800035/734/83323,
LH/765/63,
LH/1262/69,
LH/2299/21,
LH/1928/49,
19800035/551/62916,
LH/1774/43,
19800035/251/33512,
19800035/128/16186,
LH/1211/69,
LH/666/70,
19800035/230/30487,
LH/1877/14,
LH/1579/70,
LH/2493/42,
LH/1914/32,
19800035/334/44951,
LH/1473/65,
LH/2455/9,
LH/29/51,
LH/1629/10,
19800035/833/95018,
LH/2166/46,
LH/9/49,
LH/109/32,
LH/1765/20,
19800035/618/69941,
19800035/1221/40923,
LH/1264/51,
LH/422/58,
LH/1944/8,
LH/1944/8,
LH/2400/2,
LH/2521/6,
LH/2673/37,
LH/651/77,
LH/1673/22,
19800035/210/27522,
LH/1330/53,
LH/705/57,
LH/644/80,
19800035/1437/66346,
LH/238/66,
LH/238/66,
LH/2170/11,
LH/439/56,
LH/876/40,
LH/1259/55,
19800035/1283/48075,
19800035/973/12812,
19800035/212/27794,
LH/773/33,
LH/2382/14,
LH/859/67,
LH/312/74,
LH/1295/57,
LH/2626/18,
LH/277/61,
LH/277/61,
LH/2699/69,
LH/877/45,
LH/126/69,
LH/408/6,
LH/1325/3,
LH/485/78,
19800035/865/1530,
LH/530/34,
LH/844/56,
LH/1448/48,
LH/1448/48,
19800035/89/11169,
LH/1500/30,
LH/1715/40,
LH/1721/56,
LH/1831/29,
LH/444/22,
LH/2025/52,
LH/2085/14,
LH/2092/12,
19800035/35/4519,
LH/2193/38,
LH/2269/24,
LH/2513/52,
LH/2554/1,
LH/2318/15,
LH/172/7,
LH/652/29,
LH/859/9,
19800035/298/40041,
LH/2316/45,
19800035/1295/49755,
LH/1984/23,
LH/1548/66,
19800035/548/62608,
LH/1087/78,
LH/1141/64,
19800035/793/89619,
19800035/824/93890,
LH/468/21,
19800035/617/69708,
LH/264/19,
19800035/1389/60420,
LH/2550/10,
LH/676/65,
LH/789/46,
LH/2398/61,
LH/518/44,
LH/854/21,
LH/2306/54,
LH/621/44,
LH/1219/22,
19800035/543/62152,
LH/2468/52,
19800035/1384/59925,
LH/1616/86,
LH/1935/61,
LH/1068/41,
19800035/283/38016,
LH/1781/10,
19800035/230/30415,
LH/2791/91,
LH/968/31,
LH/2077/10,
LH/2077/45,
LH/246/68,
LH/975/37,
LH/1926/25,
LH/2745/26,
LH/653/1,
LH/2522/74,
19800035/245/32539,
LH/711/23,
LH/378/96,
LH/2587/64,
LH/2587/64,
LH/2732/22,
LH/1133/7,
LH/540/23,
LH/1405/42,
19800035/280/37471,
LH/590/20,
19800035/10/1292,
LH/1158/15,
LH/1014/22,
LH/1005/33,
19800035/611/68972,
19800035/1195/38160,
19800035/1131/29550,
19800035/1294/49646,
19800035/279/37428,
19800035/1009/16596,
LH/2461/44,
LH/575/62,
19800035/85/10631,
LH/1345/76,
19800035/807/91641,
19800035/23/2963,
LH/1404/84,
LH/632/87,
19800035/295/39704,
LH/1493/30,
LH/849/78,
LH/852/55,
LH/724/47,
19800035/294/39587,
LH/179/22,
19800035/210/27630,
LH/1705/62,
LH/997/8,
19800035/387/51863,
LH/560/84,
19800035/729/82868,
LH/698/79,
LH/1125/32,
19800035/585/66350,
LH/673/33,
LH/673/33,
LH/1569/31,
LH/1888/54,
LH/999/15,
19800035/1242/43288,
19800035/1247/43910,
LH/1624/86,
19800035/1440/66799,
LH/1875/64,
LH/1791/64,
LH/1463/29,
19800035/1484/72530,
LH/203/36,
LH/164/66,
LH/1693/14,
LH/455/68,
LH/2356/49,
LH/8/27,
LH/8/27,
LH/2082/61,
19800035/443/59294,
LH/1708/14,
19800035/65/8014,
LH/2609/11,
LH/430/44,
19800035/948/10224,
LH/1313/47,
LH/2639/64,
19800035/241/32027,
LH/349/79,
LH/143/60,
LH/542/33,
LH/851/27,
LH/414/71,
LH/2008/18,
19800035/577/65561,
LH/1681/91,
LH/2192/16,
19800035/160/20559,
19800035/1349/56365,
LH/2788/40,
LH/2788/40,
LH/1386/57,
LH/806/42,
LH/1725/13,
19800035/666/76537,
LH/1274/23,
19800035/746/84696,
LH/2387/35,
LH/638/43,
LH/437/62,
LH/2303/76,
LH/1452/70,
LH/2413/30,
19800035/737/83686,
LH/98/41,
LH/869/65,
LH/1262/7,
LH/1994/7,
LH/1994/7,
LH/2108/15,
19800035/105/13169,
19800035/211/27634,
LH/1012/12,
LH/1811/3,
LH/1583/50,
LH/2678/27,
LH/1037/87,
LH/1774/34,
LH/362/18,
LH/2239/64,
19800035/216/28333,
19800035/0032/4052,
19800035/87/10869,
LH/381/78,
LH/1315/35,
LH/1929/5,
LH/900/62,
19800035/311/41936,
LH/683/32,
LH/420/28,
LH/457/34,
LH/586/77,
19800035/5/527,
LH/667/84,
LH/834/23,
LH/948/65,
LH/2206/25,
LH/2082/47,
LH/205/48,
LH/1023/24,
LH/414/26,
19800035/452/60467,
19800035/267/35629,
LH/1992/12,
LH/6/2,
19800035/1133/29753,
LH/408/8,
LH/2351/64,
19800035/241/32035,
LH/1729/36,
LH/1226/88,
LH/1089/16,
LH/298/86,
LH/1131/7,
LH/1826/7,
LH/135/54,
19800035/607/68568,
LH/2239/47,
19800035/1114/27573,
LH/672/64,
LH/271/18,
LH/1646/30,
LH/358/36,
19800035/1270/46381,
LH/684/52,
19800035/107/13429,
LH/1733/41,
19800035/264/35226,
LH/439/40,
LH/1273/49,
LH/2635/26,
LH/2635/26,
LH/455/50,
LH/2425/27,
LH/367/36,
LH/2155/82,
LH/1126/16,
LH/1264/55,
LH/1352/43,
LH/357/19,
LH/1030/38,
19800035/228/30088,
LH/1102/54,
LH/1102/54,
LH/2491/9,
LH/1240/1,
LH/859/58,
19800035/1415/63604,
LH/813/17,
LH/2687/3,
LH/365/10,
LH/2655/3,
19800035/22/2802,
LH/1356/30,
LH/2300/44,
LH/2020/51,
19800035/53/6431,
LH/499/17,
LH/886/31,
LH/1005/77,
19800035/1125/28967,
LH/1747/18,
LH/1391/74,
LH/555/33,
LH/987/83,
LH/987/83,
LH/235/68,
LH/235/67,
LH/859/60,
19800035/237/31439,
LH/463/91,
C/0/67,
C/0/67,
LH/2291/39,
LH/681/31,
19800035/1320/52880,
LH/177/103,
19800035/1280/47598,
LH/95/80,
LH/670/45,
LH/1811/36,
LH/2574/4,
19800035/1428/65195,
19800035/610/68816,
LH/1919/80,
19800035/632/73132,
LH/582/33,
LH/2794/38,
LH/694/4,
19800035/1331/54326,
19800035/1446/67324,
LH/2095/24,
C/0/56,
LH/1378/36,
LH/36/83,
LH/670/80,
LH/1829/25,
LH/1823/23,
19800035/238/31633,
LH/1090/67,
LH/355/99,
LH/355/98,
LH/1149/43,
LH/1149/42,
LH/1162/41,
19800035/11/1377,
LH/400/2,
19800035/95/11898,
LH/576/48,
19800035/72/8967,
19800035/1055/21480,
LH/979/44,
LH/1865/5,
LH/45/53,
LH/2674/31,
19800035/328/44222,
LH/675/5,
LH/2586/49,
LH/2580/41,
LH/493/56,
19800035/575/65373,
LH/2248/12,
LH/1286/42,
19800035/1126/29084,
19800035/159/20385,
LH/2256/40,
LH/1650/11,
LH/2461/64,
19800035/176/22722,
LH/2005/26,
LH/1522/15,
LH/968/16,
LH/1830/16,
LH/151/27,
LH/339/55,
LH/2645/39,
LH/1935/15,
19800035/1287/48700,
LH/1810/32,
19800035/249/33220,
LH/1628/33,
LH/1628/33,
LH/2462/17,
LH/777/67,
19800035/1367/58006,
LH/892/52,
LH/1518/31,
LH/1124/70,
19800035/132/16755,
LH/463/45,
LH/525/16,
LH/1913/28,
LH/1913/27,
LH/2193/60,
LH/2740/47,
LH/738/3,
LH/611/13,
LH/1056/6,
LH/671/9,
LH/1618/17,
19800035/1330/54219,
LH/1462/25,
LH/303/102,
LH/1025/9,
LH/2077/21,
LH/1483/52,
LH/485/50,
LH/1034/30,
LH/1167/75,
LH/110/91,
19800035/1463/69081,
LH/140/43,
LH/228/4,
19800035/1410/62998,
LH/335/3,
LH/397/94,
LH/475/73,
LH/472/86,
LH/948/64,
LH/948/64,
LH/653/9,
19800035/255/33996,
19800035/219/28754,
LH/1919/84,
LH/1500/47,
LH/1131/6,
LH/1150/27,
LH/1188/86,
LH/25/60,
LH/2538/31,
LH/575/47,
LH/1883/3,
LH/1412/38,
LH/1465/42,
LH/1462/63,
LH/1545/58,
LH/1626/30,
LH/1718/41,
LH/2395/4,
LH/681/24,
19800035/284/38157,
LH/1992/35,
LH/2076/6,
LH/1466/23,
19800035/1408/62720,
LH/2605/24,
LH/660/50,
LH/2764/64,
LH/251/19,
LH/2148/38,
LH/2103/36,
LH/209/75,
19800035/300/40429,
19800035/1177/36325,
19800035/1224/41216,
LH/641/63,
LH/641/63,
LH/1493/38,
LH/1287/48,
19800035/166/21263,
LH/967/16,
LH/739/64,
LH/1538/49,
LH/1884/10,
LH/1675/48,
19800035/1342/55599,
LH/744/34,
LH/1101/18,
LH/1340/26,
LH/1789/9,
LH/1914/44,
LH/681/23,
19800035/1342/55549,
19800035/1366/57936,
LH/2199/80,
LH/2233/3,
19800035/1112/27403,
19800035/810/92088,
LH/2486/19,
LH/1235/20,
LH/1661/16,
LH/1370/53,
LH/2288/49,
19800035/1415/63612,
LH/2651/2,
LH/2499/42,
LH/1948/47,
LH/1931/13,
LH/1061/7,
LH/2607/5,
LH/2026/69,
LH/564/2,
LH/2273/33,
LH/161/69,
LH/119/60,
LH/2383/16,
19800035/819/93247,
LH/2746/60,
LH/500/22,
19800035/245/32564,
LH/2326/42,
LH/2742/47,
19800035/1161/32604,
LH/1489/114,
19800035/790/89318,
LH/2673/91,
LH/2728/46,
LH/1463/55,
LH/796/18,
LH/2058/26,
LH/1469/62,
LH/29/55,
LH/1339/101,
19800035/542/62096,
LH/2773/26,
19800035/794/89827,
LH/455/71,
19800035/100/12496,
LH/2705/63,
LH/305/23,
19800035/169/21711,
LH/1383/33,
19800035/1220/40851,
LH/14/6,
LH/2779/1,
LH/779/23,
19800035/1326/53556,
LH/1585/35,
LH/2009/18,
LH/852/54,
LH/1637/60,
19800035/362/48704,
LH/1073/52,
LH/1073/51,
LH/24/55,
LH/1605/54,
LH/337/21,
LH/2785/30,
19800035/1469/70108,
19800035/306/41214,
LH/2723/31,
LH/619/21,
19800035/1236/42635,
LH/1976/61,
19800035/180/23243,
LH/1856/22,
LH/1596/47,
LH/277/28,
LH/1009/21,
LH/2392/4,
LH/798/66,
LH/1256/52,
LH/2269/71,
LH/1327/53,
LH/2616/3,
LH/289/23,
LH/2107/77,
LH/789/38,
19800035/962/11738,
LH/1317/25,
LH/2493/71,
LH/2493/71,
19800035/829/94493,
LH/845/37,
LH/1992/34,
LH/2095/44,
LH/230/54,
LH/230/54,
LH/521/34,
LH/597/60,
LH/597/60,
19800035/2/230,
19800035/1478/71445,
LH/2303/26,
LH/1736/57,
LH/74/13,
LH/2535/27,
LH/2705/46,
LH/2113/56,
19800035/237/31489,
LH/980/33,
LH/1699/7,
19800035/434/58031,
LH/1184/88,
LH/102/35,
LH/293/45,
19800035/176/22683,
LH/561/21,
LH/800/9,
LH/891/4,
19800035/225/29635,
LH/1266/1,
19800035/551/62975,
LH/1275/5,
LH/1276/73,
LH/1821/46,
19800035/309/41629,
LH/595/41,
LH/2514/85,
LH/2514/85,
LH/123/12,
LH/2581/67,
LH/2581/67,
LH/2564/59,
LH/995/12,
LH/995/12,
19800035/187/24381,
LH/389/78,
LH/2416/57,
LH/1385/48,
LH/2149/48,
19800035/23/2980,
LH/2438/22,
LH/2438/22,
LH/9/67,
LH/9/67,
LH/492/78,
LH/492/78,
LH/1505/1,
19800035/18/2301,
LH/108/8,
LH/2636/55,
19800035/162/20756,
19800035/1286/48454,
LH/1199/2,
LH/1041/11,
19800035/740/84067,
LH/722/73,
19800035/552/63070,
19800035/25/3208,
19800035/597/67550,
19800035/287/38456,
LH/1734/47,
19800035/809/91958,
19800035/1111/27215,
19800035/1234/42349,
19800035/83/10398,
LH/2654/6,
LH/1916/30,
19800035/1439/66535,
19800035/593/67119,
LH/1429/52,
C/0/68,
LH/525/10,
LH/2196/30,
LH/1356/53,
LH/1672/35,
19800035/888/4038,
LH/2151/41,
LH/62/58,
LH/2175/17,
19800035/70/8700,
LH/100/69,
19800035/1452/67939,
LH/830/39,
LH/2535/3,
LH/1960/12,
LH/1601/52,
LH/299/8,
LH/2367/57,
LH/2454/10,
LH/1002/48,
LH/1468/30,
LH/1468/30,
LH/2096/57,
LH/1595/48,
LH/727/27,
LH/1297/34,
LH/2222/14,
LH/2222/14,
19800035/264/35313,
19800035/193/25135,
19800035/193/25135,
LH/182/21,
LH/2490/40,
LH/582/80,
LH/241/67,
LH/656/65,
LH/1206/81,
LH/2075/58,
19800035/36/4584,
LH/1435/53,
19800035/243/32294,
LH/2024/5,
LH/2304/38,
LH/19/34,
LH/524/4,
LH/2769/54,
LH/727/70,
19800035/1294/49588,
LH/1000/36,
LH/458/33,
LH/1430/66,
LH/624/72,
LH/646/9,
LH/656/7,
19800035/367/49355,
LH/1392/11,
LH/1392/11,
LH/296/25,
LH/329/34,
LH/621/28,
LH/782/10,
LH/724/87,
19800035/1228/41624,
19800035/1150/31526,
LH/2588/8,
19800035/157/20084,
19800035/1060/21989,
LH/503/105,
LH/235/45,
LH/413/21,
LH/1763/3,
LH/2024/6,
LH/916/25,
LH/1615/23,
LH/879/50,
LH/155/74,
LH/731/50,
LH/1626/19,
LH/1626/19,
LH/2239/9,
LH/1559/32,
LH/625/50,
LH/2696/6,
LH/661/42,
19800035/42/5244,
LH/1116/28,
LH/179/20,
19800035/110/13895,
LH/1264/2,
LH/1471/12,
LH/347/40,
LH/330/35,
LH/1485/51,
LH/182/22,
LH/2771/7,
19800035/356/47940,
LH/29/86,
19800035/1272/46562,
19800035/245/32547,
LH/334/37,
LH/105/9,
LH/763/46,
LH/1655/27,
19800035/803/91116,
LH/491/43,
LH/563/58,
LH/2307/12,
LH/500/39,
LH/1347/65,
LH/1674/22,
LH/774/18,
LH/2750/11,
LH/6/103,
LH/1274/88,
LH/177/84,
LH/542/53,
LH/2268/22,
LH/277/57,
LH/2671/5,
LH/2490/77,
19800035/1328/53824,
LH/1629/64,
LH/862/25,
LH/2686/33,
19800035/852/269,
19800035/1099/26080,
LH/1404/22,
LH/314/19,
LH/2788/42,
LH/839/36,
LH/1117/38,
LH/702/19,
LH/2279/22,
LH/262/53,
19800035/388/52061,
LH/560/13,
LH/1263/20,
LH/939/2,
19800035/79/9837,
LH/1146/60,
19800035/796/90134,
LH/2190/39,
LH/693/12,
19800035/928/8233,
LH/292/27,
19800035/734/83315,
LH/2734/63,
LH/33/38,
19800035/1484/72543,
LH/782/53,
LH/2361/43,
LH/2361/43,
LH/2001/50,
LH/2001/50,
LH/1632/61,
LH/1144/77,
LH/1144/77,
LH/774/46,
LH/1256/54,
LH/773/51,
19800035/1448/67523,
LH/1898/8,
LH/1898/8,
LH/387/51,
19800035/805/91327,
LH/596/10,
LH/1301/2,
LH/2553/14,
LH/2184/56,
LH/1605/42,
LH/2024/2,
LH/2393/38,
LH/325/17,
LH/1379/25,
LH/2639/70,
LH/433/49,
LH/1357/3,
LH/1077/76,
LH/2610/43,
19800035/736/83598,
LH/1122/28,
LH/2058/2,
LH/1924/35,
19800035/184/23954,
LH/1381/26,
LH/2777/82,
19800035/240/31838,
19800035/752/85305,
LH/2539/24,
LH/383/35,
LH/687/18,
LH/33/34,
19800035/582/66010,
LH/2412/26,
LH/1125/63,
LH/2065/59,
LH/2065/59,
LH/2762/37,
LH/1372/4,
19800035/175/22616,
LH/1448/69,
LH/342/10,
LH/1513/15,
19800035/46/5709,
LH/1772/41,
LH/1146/49,
LH/758/48,
19800035/157/20036,
LH/1986/29,
LH/2662/92,
LH/484/9,
LH/2016/23,
LH/126/61,
LH/2425/8,
LH/2717/13,
LH/1624/2,
LH/421/71,
LH/2018/18,
19800035/248/33061,
LH/848/56,
LH/2317/36,
LH/2513/50,
LH/1662/30,
LH/1443/11,
LH/410/52,
LH/947/2,
LH/1393/78,
LH/463/18,
LH/463/18,
LH/576/67,
LH/1930/10,
LH/2640/83,
LH/265/27,
19800035/273/36528,
19800035/884/3665,
19800035/1270/46292,
LH/1681/81,
LH/529/48,
LH/537/49,
LH/428/41,
LH/419/98,
LH/266/44,
19800035/96/12019,
LH/1297/27,
19800035/270/36147,
LH/108/19,
19800035/96/12025,
LH/1481/98,
LH/371/24,
LH/542/46,
19800035/846/96925,
LH/208/49,
19800035/157/20113,
LH/2146/38,
LH/16/18,
19800035/203/26600,
LH/103/38,
LH/541/48,
LH/146/84,
LH/914/21,
LH/1187/3,
LH/165/5,
LH/851/31,
LH/1443/12,
LH/1721/2,
19800035/226/29781,
LH/2061/23,
LH/2157/10,
LH/2157/10,
LH/1558/53,
LH/2640/65,
LH/2668/26,
19800035/1289/49004,
19800035/541/61906,
19800035/906/5907,
LH/1686/12,
19800035/563/64150,
LH/46/72,
19800035/563/64126,
LH/2451/37,
LH/843/35,
LH/843/35,
19800035/116/14609,
LH/232/45,
LH/1702/53,
LH/1270/29,
19800035/71/8818,
LH/2686/97,
LH/2531/11,
LH/2531/11,
LH/1053/48,
LH/1285/38,
LH/736/55,
LH/2176/22,
LH/32/21,
LH/592/34,
LH/1675/26,
19800035/1328/53941,
LH/2273/64,
LH/128/54,
LH/1145/28,
LH/1295/44,
LH/1577/64,
19800035/1469/70045,
LH/578/11,
LH/710/27,
19800035/1183/36948,
LH/2012/44,
LH/611/32,
LH/336/49,
LH/1462/23,
LH/2323/33,
LH/2225/30,
19800035/258/34353,
LH/2189/51,
LH/1967/39,
LH/841/59,
19800035/98/12242,
19800035/155/19732,
LH/721/55,
LH/1028/52,
LH/1028/52,
LH/540/73,
LH/383/58,
19800035/398/53361,
19800035/821/93404,
LH/1156/45,
LH/561/29,
LH/561/28,
LH/124/59,
LH/1306/47,
LH/625/52,
19800035/232/30802,
LH/2756/3,
19800035/761/86482,
LH/1497/7,
19800035/1439/66537,
LH/414/62,
LH/417/70,
19800035/1106/26688,
LH/596/55,
LH/1325/98,
LH/1321/1,
LH/644/6,
LH/644/6,
LH/1078/20,
19800035/210/27517,
LH/2102/23,
LH/1924/18,
LH/758/55,
LH/758/55,
LH/1380/76,
19800035/202/26493,
LH/2697/11,
LH/520/56,
LH/273/13,
LH/273/13,
LH/2058/31,
LH/783/27,
LH/2417/9,
LH/127/10,
LH/179/49,
LH/179/48,
LH/375/12,
19800035/384/51487,
LH/965/2,
LH/1018/49,
19800035/623/71643,
LH/2474/49,
LH/1253/2,
LH/2511/73,
19800035/1171/34659,
LH/39/51,
LH/2707/30,
19800035/240/31915,
LH/467/7,
LH/1720/12,
LH/670/18,
LH/1087/73,
19800035/836/95451,
19800035/1412/63205,
LH/1896/13,
LH/1813/7,
LH/1585/31,
LH/2078/28,
19800035/793/89643,
LH/1603/53,
LH/2626/20,
LH/1711/40,
LH/1198/52,
LH/560/12,
LH/2104/36,
19800035/728/82722,
LH/458/36,
LH/1042/66,
LH/1222/53,
LH/1006/80,
19800035/105/13256,
LH/1352/51,
LH/1514/85,
LH/2708/7,
LH/2765/34,
19800035/978/13354,
LH/1983/9,
LH/716/43,
LH/2177/9,
LH/2341/42,
LH/1277/84,
LH/2365/29,
19800035/859/1031,
LH/522/31,
LH/2793/17,
19800035/239/31717,
LH/1275/64,
LH/1507/30,
19800035/685/78444,
LH/905/45,
LH/695/12,
LH/48/61,
LH/2488/6,
LH/41/25,
LH/1325/32,
LH/770/12,
LH/415/20,
LH/542/4,
19800035/216/28326,
LH/259/27,
LH/504/17,
LH/586/76,
LH/1430/23,
LH/1450/29,
LH/1459/33,
LH/1675/50,
LH/7/29,
LH/1736/58,
LH/2048/36,
LH/1108/17,
19800035/1030/18877,
LH/1750/1,
LH/1805/12,
LH/1648/61,
LH/1583/15,
LH/123/65,
LH/723/14,
19800035/1168/33374,
LH/1670/34,
LH/498/25,
LH/498/25,
LH/647/18,
LH/1170/36,
LH/2566/15,
LH/489/28,
LH/2778/7,
LH/914/56,
LH/191/64,
LH/1788/29,
LH/509/32,
LH/1231/71,
LH/103/34,
LH/1514/3,
19800035/542/62072,
19800035/261/34785,
19800035/598/67689,
19800035/925/7923,
LH/2484/26,
19800035/1277/47264,
LH/2642/2,
LH/2032/18,
19800035/876/2857,
LH/2752/56,
19800035/1091/25370,
LH/2518/65,
LH/916/52,
LH/1930/15,
19800035/1239/43074,
LH/741/18,
LH/1449/15,
19800035/232/30787,
LH/1320/22,
LH/2064/8,
LH/2640/10,
LH/855/72,
LH/1474/52,
19800035/178/23013,
LH/1560/45,
19800035/901/5423,
LH/2229/29,
LH/384/54,
LH/509/71,
19800035/134/16900,
LH/1624/81,
LH/1472/28,
LH/2284/49,
LH/298/40,
LH/393/54,
LH/492/45,
LH/2016/47,
LH/216/18,
LH/2116/36,
LH/891/35,
LH/2368/30,
LH/233/87,
LH/2251/23,
LH/1891/6,
LH/421/41,
LH/825/7,
LH/1247/35,
19800035/1330/54131,
