departement,ville,coordonnesgroup
Haute-Corse,San-Martino-di-Lota,Point(9.455277777 42.723055555)
arrondissement d'Évreux,Surville,Point(1.105277777 49.196944444)
canton de Vermand,Roupy,Point(3.183611111 49.812222222)
canton de Saint-Germain-du-Teil,Saint-Pierre-de-Nogaret,Point(3.139722222 44.461388888)
canton de Plombières-les-Bains,Plombières-les-Bains,Point(6.463055555 47.966388888)
canton de Pouzauges,Tallud-Sainte-Gemme,Point(-0.885277777 46.686666666)
canton de Confolens-Sud,Saint-Germain,Point(0.684444444 46.053055555)
arrondissement de Grenoble,Pinsot,Point(6.1 45.356944444)
arrondissement de Grenoble,Poisat,Point(5.761944444 45.158055555)
canton de Fronsac,Saint-Michel-de-Fronsac,Point(-0.303611111 44.929722222)
canton de Fronsac,Saint-Michel-la-Rivière,Point(-0.303611111 44.929722222)
canton de Montcuq,Saux,Point(1.085277777 44.39)
canton de Selongey,Sacquenay,Point(5.3225 47.5925)
canton de Selongey,Selongey,Point(5.185555555 47.587777777)
Eure,Venon,Point(1.048888888 49.172777777)
Var,Salernes,Point(6.233888888 43.563333333)
canton de Montfaucon-en-Velay,Riotord,Point(4.401944444 45.231666666)
canton de Chambéry-Nord,Sonnaz,Point(5.914444444 45.6175)
Savoie,Plancherine,Point(6.316388888 45.665277777)
Savoie,Vimines,Point(5.865 45.545555555)
canton de Marchenoir,Talcy,Point(1.443611111 47.768888888)
canton de Clerval,Randevillers,Point(6.521388888 47.310555555)
arrondissement de Brioude,Saint-Pal-de-Murs,Point(3.650833333 45.259166666)
arrondissement de Carcassonne,Villetritouls,Point(2.490555555 43.080833333)
canton de Saint-Jeoire,Saint-Jean-de-Tholome,Point(6.397777777 46.111666666)
canton de Saint-Sauveur,Rignovelle,Point(6.480833333 47.764444444)
arrondissement d'Auch,Saint-Arailles,Point(0.3575 43.626388888)
arrondissement de Mamers,Saint-Georges-du-Rosay,Point(0.501944444 48.2)
arrondissement de Mamers,Saint-Mars-la-Brière,Point(0.372777777 48.029166666)
arrondissement de La Rochelle,Thairé,Point(-1.003055555 46.073611111)
arrondissement de Grenoble,Poliénas,Point(5.471388888 45.248888888)
arrondissement de Grenoble,Saint-Jean-le-Vieux,Point(5.881388888 45.212222222)
Dinan Agglomération,Quévert,Point(-2.087222222 48.463611111)
canton de Vatan,Vatan,Point(1.810555555 47.073333333)
Eure,Saint-Laurent-des-Bois,Point(1.317777777 48.845277777)
Eure,Saint-Siméon,Point(0.52 49.285)
canton de Sainte-Croix-Volvestre,Tourtouse,Point(1.124166666 43.093055555)
arrondissement d'Agen,Saint-Caprais-de-Lerm,Point(0.743611111 44.213055555)
arrondissement de Bayeux,Saint-Côme-de-Fresné,Point(-0.606111111 49.334166666)
arrondissement d'Ussel,Ussel,Point(2.309166666 45.548055555)
arrondissement de Nice,Saint-Léger,Point(6.828333333 43.999722222)
arrondissement de Commercy,Vigneulles-lès-Hattonchâtel,Point(5.703611111 48.981111111)
Charente,Sauvignac,Point(-0.081388888 45.256666666)
arrondissement de Pontoise,Us,Point(1.966666666 49.099722222)
Charente,Vouthon,Point(0.461111111 45.669444444)
arrondissement de Tulle,Saint-Privat,Point(2.098888888 45.138333333)
canton de Solesmes,Solesmes,Point(3.498333333 50.185555555)
canton de Vescovato,Venzolasca,Point(9.456666666 42.483888888)
Eure,Saint-Didier-des-Bois,Point(1.027222222 49.236388888)
arrondissement de Poitiers,Sèvres-Anxaumont,Point(0.465 46.569722222)
arrondissement de Chambéry,Saint-Maurice-de-Rotherens,Point(5.698611111 45.621111111)
arrondissement de Besançon,Vaux-les-Prés,Point(5.883333333 47.236111111)
arrondissement de Vervins,Vincy-Reuil-et-Magny,Point(4.06 49.717222222)
canton de Sainte-Alvère,Trémolat,Point(0.830555555 44.875833333)
arrondissement de Rennes,Saint-Gonlay,Point(-2.065833333 48.113055555)
arrondissement de Rennes,Saint-Médard-sur-Ille,Point(-1.659722222 48.272777777)
arrondissement de Rennes,Saint-Péran,Point(-2.056111111 48.055)
arrondissement de Rennes,Thourie,Point(-1.480833333 47.854166666)
Pas-de-Calais,Sauchy-Cauchy,Point(3.097777777 50.235555555)
Marne,Ripont,Point(4.6979642 49.2252496)
arrondissement de Libourne,Saint-Germain-du-Puch,Point(-0.321666666 44.856111111)
Charente,Saint-Gervais,Point(0.3534 45.9883)
Hérault,Saint-Jean-de-Fos,Point(3.550833333 43.700833333)
arrondissement d'Auch,Riguepeu,Point(0.343333333 43.649444444)
arrondissement d'Auch,Saint-Soulan,Point(0.857777777 43.508055555)
canton de Solesmes,Saulzoir,Point(3.443611111 50.240833333)
canton de L'Île-Bouchard,Trogues,Point(0.495 47.113055555)
Aisne,Vervins,Point(3.909166666 49.835)
Yonne,Sambourg,Point(4.022222222 47.767777777)
canton de La Mure,Ponsonnas,Point(5.796666666 44.889166666)
Haut-Rhin,Urschenheim,Point(7.486111111 48.086111111)
arrondissement d'Auch,Pujaudran,Point(1.149166666 43.590833333)
arrondissement d'Auch,Sainte-Christie,Point(0.633055555 43.755)
arrondissement d'Auch,Seysses-Savès,Point(1.041388888 43.506388888)
arrondissement d'Auch,Tudelle,Point(0.289166666 43.679166666)
arrondissement de Digne-les-Bains,Puimichel,Point(6.020555555 43.973888888)
arrondissement de Digne-les-Bains,Thoard,Point(6.148333333 44.149722222)
canton de Huningue,Village-Neuf,Point(7.569444444 47.606666666)
arrondissement de Saint-Nazaire,Saint-Brevin-les-Pins,Point(-2.166944444 47.246388888)
arrondissement de Reims,Prosnes,Point(4.292222222 49.191944444)
Puy-de-Dôme,Saint-Diéry,Point(3.020277777 45.545)
canton de Lagor,Sauvelade,Point(-0.707777777 43.391666666)
canton de Saint-Pierre-d'Irube,Saint-Pierre-d'Irube,Point(-1.458888888 43.476388888)
arrondissement de Nogent-sur-Seine,Rilly-Sainte-Syre,Point(3.9575 48.443888888)
Eure,Pont-Audemer,Point(0.513888888 49.354166666)
canton de Roquecourbe,Saint-Germier,Point(2.229722222 43.678055555)
canton de Coutras,Saint-Christophe-de-Double,Point(0.015833333 45.080555555)
Isère,Saint-Jean-de-Bournay,Point(5.137777777 45.502222222)
canton de Lencloître,Savigny,Point(0.285833333 46.870277777)
arrondissement de Provins,Villiers-sur-Seine,Point(3.375 48.455277777)
arrondissement de Boulogne-sur-Mer,Saint-Léonard,Point(1.624166666 50.690555555)
arrondissement d'Avesnes-sur-Helpe,Villereau,Point(3.696666666 50.246111111)
arrondissement de Chambéry,Saint-Alban,Point(5.958055555 45.58)
arrondissement de Mortagne-au-Perche,Saint-Germain-de-Martigny,Point(0.461944444 48.588888888)
arrondissement de Nantua,Saint-Alban,Point(5.453333333 46.095555555)
arrondissement de Tournon-sur-Rhône,Sarras,Point(4.798333333 45.186944444)
arrondissement de Vervins,Romery,Point(3.724444444 49.897222222)
arrondissement du Blanc,Saint-Gilles,Point(1.444722222 46.495)
arrondissement de Villefranche-sur-Saône,Thizy,Point(4.3122 46.0333)
Lot,Saint-Clair,Point(1.411111111 44.699722222)
arrondissement d'Auxerre,Soumaintrain,Point(3.833055555 48.015555555)
arrondissement de Montbard,Pouillenay,Point(4.468333333 47.507222222)
arrondissement de Bayeux,Sommervieu,Point(-0.6475 49.293333333)
arrondissement de Bayeux,Ver-sur-Mer,Point(-0.529444444 49.331111111)
Haut-Rhin,Ranspach-le-Bas,Point(7.445555555 47.5875)
Haut-Rhin,Riedisheim,Point(7.366944444 47.748333333)
Haut-Rhin,Riquewihr,Point(7.296944444 48.166388888)
arrondissement de Pontoise,Vienne-en-Arthies,Point(1.718055555 49.066388888)
arrondissement de Dieppe,Roncherolles-en-Bray,Point(1.467222222 49.615833333)
arrondissement de Dieppe,Saint-Vaast-Dieppedalle,Point(0.7225 49.755)
Tarn-et-Garonne,Reyniès,Point(1.398333333 43.917222222)
canton de Carrouges,Rouperroux,Point(-0.085555555 48.547777777)
canton de Clerval,Rahon,Point(6.591111111 47.3225)
canton de Coucouron,Valmont,Point(3.971111111 44.803611111)
canton d'Asfeld,Sault-Saint-Remy,Point(4.161666666 49.426388888)
canton de Mézel,Saint-Jeannet,Point(6.126944444 43.962777777)
canton de Riscle,Viella,Point(-0.14 43.598611111)
canton de Thizy,Thizy,Point(4.3122 46.0333)
Pas-de-Calais,Saint-Venant,Point(2.544444444 50.622222222)
Hérault,Saint-Hilaire,Point(4.013611111 43.756388888)
Hérault,Saint-Julien,Point(2.926111111 43.569166666)
