pays,capitale,coordonnees
Espagne,Castellolí,Point(1.70057 41.59829)
Grenade,Saint-Georges,Point(-61.741666666 12.044444444)
Brésil,Belém,Point(-48.503888888 -1.455833333)
Macédoine du Nord,Skopje,Point(21.433333333 41.983333333)
Indonésie,Mandor,Point(109.334638 0.318122)
États fédérés de Micronésie,Palikir,Point(158.185 6.917777777)
Espagne,Farrera,Point(1.27216 42.49654)
Espagne,Fulleda,Point(1.02395 41.46334)
Syrie,Damas,Point(36.291944444 33.513055555)
Îles Salomon,Honiara,Point(159.95 -9.433333)
Sri Lanka,Sri Jayawardenapura,Point(79.916388888 6.9)
Italie,Venise,Point(12.331944444 45.439722222)
Serbie,Belgrade,Point(20.466666666 44.816666666)
Saint-Christophe-et-Niévès,Basseterre,Point(-62.734166666 17.298333333)
Gaule,Lugdunum,Point(4.819444444 45.759722222)
Ghana,Accra,Point(-0.187 5.6037)
Sierra Leone,Freetown,Point(-13.233055555 8.483333333)
Espagne,Mataró,Point(2.4445 41.54211)
Espagne,Jorba,Point(1.5475 41.60193)
Italie,Rome,Point(12.482777777 41.893055555)
Bénin,Porto-Novo,Point(2.616666666 6.483333333)
Ouzbékistan,Tachkent,Point(69.266666666 41.3)
Argentine,Corrientes,Point(-58.816666666 -27.483333333)
Espagne,Creixell,Point(1.44032 41.16618)
Espagne,Sarrià de Ter,Point(2.83333 42.01667)
Espagne,Deltebre,Point(0.70835 40.71944)
Espagne,Cunit,Point(1.63645 41.19829)
Italie,Padoue,Point(11.877777777 45.406388888)
Sainte-Lucie,Castries,Point(-60.983333333 14.016666666)
Fidji,Suva,Point(178.433333333 -18.133333333)
Liberia,Monrovia,Point(-10.804722222 6.310555555)
Inde,Chandigarh,Point(76.791111111 30.735277777)
Inde,Itanagar,Point(93.62 27.1)
Espagne,Taradell,Point(2.28662 41.87495)
Espagne,Vallclara,Point(0.98342 41.37958)
Espagne,Torrent,Point(3.12684 41.95243)
Espagne,Botarell,Point(0.98919 41.13627)
Finlande,Mariehamn,Point(19.94444444 60.09861111)
Espagne,Hostalric,Point(2.63333 41.75)
Espagne,Crespià,Point(2.8 42.18333)
Singapour,Singapour,Point(103.8 1.3)
Norvège,Oslo,Point(10.752777777 59.911111111)
République populaire de Chine,Fuzhou,Point(119.291666666 26.076944444)
Mauritanie,Nouakchott,Point(-15.9785 18.08581)
Pologne,Varsovie,Point(21.033333333 52.216666666)
Togo,Lomé,Point(1.222777777 6.131944444)
Espagne,Golmés,Point(0.93125 41.63354)
Brésil,Belo Horizonte,Point(-43.941944444 -19.928055555)
Burkina Faso,Ouagadougou,Point(-1.535277777 12.357222222)
Côte d'Ivoire,Yamoussoukro,Point(-5.274166666 6.816111111)
Israël,Jérusalem,Point(35.216666666 31.783333333)
Cameroun,Yaoundé,Point(11.518055555 3.857777777)
Slovénie,Ljubljana,Point(14.516666666 46.05)
Argentine,La Plata,Point(-57.95 -34.933333333)
Inde,Patna,Point(85.141388888 25.61)
Brésil,Natal,Point(-35.208888888 -5.795)
Pays-Bas,Middelbourg,Point(3.613611111 51.499722222)
Pays-Bas,Middelbourg,Point(3.61389 51.5)
Inde,Jaipur,Point(75.866666666 26.916666666)
Argentine,Santa Rosa,Point(-64.290555555 -36.620277777)
Espagne,Tordera,Point(2.71888 41.69914)
Espagne,Vilablareix,Point(2.77377 41.95746)
Gabon,Libreville,Point(9.4544 0.3901)
Pays-Bas,Groningue,Point(6.567 53.218527777)
États-Unis,Washington,Point(-93.682694444 33.774)
Nigeria,Abuja,Point(7.491388888 9.055555555)
Suisse,Coire,Point(9.52965 46.85212)
Portugal,Lisbonne,Point(-9.1604 38.7452)
Bangladesh,Dacca,Point(90.394444444 23.728888888)
Portugal,Bombarral,Point(-9.158055555 39.267222222)
Portugal,Alcanena,Point(-8.668888888 39.458888888)
Portugal,Arganil,Point(-8.054166666 40.218333333)
Portugal,Alhandra,Point(-9.008611111 38.927222222)
Guinée équatoriale,Malabo,Point(8.7737 3.752063888)
États-Unis,Pago Pago,Point(-170.700555555 -14.279444444)
Inde,New Delhi,Point(77.2090057 28.6138954)
Pays-Bas,Maastricht,Point(5.68889 50.84833)
Transnistrie,Tiraspol,Point(29.63333333 46.85)
Suisse,Neuchâtel,Point(6.930555555 46.990277777)
Inde,Lucknow,Point(80.947 26.847)
Russie,Moscou,Point(37.617777777 55.755833333)
Moldavie,Tiraspol,Point(29.63333333 46.85)
Eswatini,Lobamba,Point(31.206411 -26.44648)
Inde,Shimla,Point(77.172222222 31.103333333)
Finlande,Rovaniemi,Point(25.7284789 66.5027903)
Finlande,Rovaniemi,Point(25.734722222 66.501388888)
Jordanie,Amman,Point(35.933333333 31.95)
Iran,Persépolis,Point(52.891388888 29.934444444)
Pays-Bas,Amsterdam,Point(4.9 52.383333333)
Lesotho,Maseru,Point(27.48 -29.31)
République populaire de Chine,Pékin,Point(116.391388888 39.905)
Inde,Bangalore,Point(77.5912997 12.9791198)
Inde,Kullu,Point(77.1 31.96)
Croatie,Zagreb,Point(15.95 45.8)
Rwanda,Kigali,Point(30.060555555 -1.953611111)
Oman,Mascate,Point(58.592222222 23.613888888)
Suisse,Lausanne,Point(6.633333333 46.533333333)
Empire achéménide,Persépolis,Point(52.891388888 29.934444444)
Qatar,Doha,Point(51.533333333 25.3)
Argentine,Buenos Aires,Point(-58.381944444 -34.599722222)
Suisse,Sarnen,Point(8.246944444 46.896944444)
Tanzanie,Dodoma,Point(35.746 -6.1835)
Eswatini,Mbabane,Point(31.161666666 -26.320833333)
Uruguay,Montevideo,Point(-56.166666666 -34.866666666)
Mexique,Mexico,Point(-99.145555555 19.419444444)
Ouganda,Kampala,Point(32.581111111 0.313611111)
Suisse,Delémont,Point(7.347222222 47.365277777)
Azerbaïdjan,Stepanakert,Point(46.751944444 39.815277777)
Brésil,Goiânia,Point(-49.256388888 -16.680555555)
Zambie,Lusaka,Point(28.283333333 -15.416666666)
Brésil,Aracaju,Point(-37.05 -10.9167)
Brésil,João Pessoa,Point(-34.88 -7.12)
Pologne,Białystok,Point(23.166666666 53.116666666)
Comores,Moroni,Point(43.253611111 -11.703611111)
Artsakh,Stepanakert,Point(46.751944444 39.815277777)
Turquie,Kayseri,Point(35.4875 38.7225)
Malawi,Lilongwe,Point(33.783333333 -13.983333333)
Chypre,Nicosie,Point(33.365 35.1725)
Suisse,Schwytz,Point(8.658332 47.020546)
Suisse,Horgen,Point(8.5975 47.260833333)
Liban,Beyrouth,Point(35.513055555 33.886944444)
Bahreïn,Manama,Point(50.5775 26.225)
Yémen,Aden,Point(45.033333333 12.8)
Tchéquie,Prague,Point(14.416666666 50.083333333)
Kiribati,Tarawa-Sud,Point(172.966666666 1.4)
Kazakhstan,Noursoultan,Point(71.433333333 51.133333333)
République démocratique du Congo,Kisangani,Point(25.191111111 0.515277777)
Angola,Luanda,Point(13.234444444 -8.838333333)
Kenya,Nairobi,Point(36.817222222 -1.286388888)
Émirats arabes unis,Abou Dabi,Point(54.368611111 24.478055555)
Inde,Bhopal,Point(77.416666666 23.25)
Autriche,Sankt Pölten,Point(15.616666666 48.2)
Mexique,Durango,Point(-104.654444444 24.022777777)
Jersey,Saint-Hélier,Point(-2.116666666 49.183333333)
Guatemala,Guatemala-Ville,Point(-90.52525 14.609861111)
Irak,Akkad,Point(44.231205 33.382966)
Botswana,Gaborone,Point(25.908611111 -24.656944444)
République démocratique du Congo,Kinshasa,Point(15.313888888 -4.331666666)
République du Congo,Brazzaville,Point(15.283333333 -4.266666666)
Malaisie,Putrajaya,Point(101.69 2.93)
Pérou,Arequipa,Point(-71.536883333 -16.398763888)
Bolivie,La Paz,Point(-68.1475 -16.494166666)
Namibie,Windhoek,Point(17.083611111 -22.57)
Mozambique,Maputo,Point(32.576388888 -25.915277777)
Slovaquie,Bratislava,Point(17.112777777 48.144722222)
République centrafricaine,Bangui,Point(18.562833333 4.37325)
Brésil,Campo Grande,Point(-54.622222222 -20.468611111)
Pakistan,Islamabad,Point(73.036944444 33.698888888)
Géorgie,Tbilissi,Point(44.7925 41.7225)
Allemagne,Bückeburg,Point(9.049166666 52.260833333)
Grèce,Athènes,Point(23.728055555 37.984166666)
Seychelles,Victoria,Point(55.454444444 -4.623611111)
Sao Tomé-et-Principe,São Tomé,Point(6.733333333 0.333333333)
Maurice,Port-Louis,Point(57.5 -20.166666666)
Brésil,Teresina,Point(-42.8042 -5.0949)
Brésil,Florianópolis,Point(-48.553047222 -27.593280555)
République démocratique allemande,Berlin-Est,Point(13.404444444 52.518611111)
France,Strasbourg,Point(7.752222222 48.573333333)
Suède,Stockholm,Point(18.068611111 59.329444444)
