pays,ville,coordonnesgroup
Maroc,Midar,Point(-3.53311 34.94025) | Point(-3.53333333 34.95)
Maroc,Zemrane,Point(-8.267222222 31.533888888)
Maroc,Tiouli,Point(-1.898611111 34.454166666)
Maroc,Ait Daoud,Point(-9.86583333 30.65277778)
Maroc,Aït Ishaq,Point(-5.72333333 32.76)
Maroc,Foum El Oued,Point(-13.3928 27.1769)
Maroc,Tamanart,Point(-8.958333333 29.161111111)
Maroc,Tagmout,Point(-8.260833333 29.973611111)
Maroc,Abadou,Point(-7.31308 31.57917) | Point(-7.31222222 31.57972222)
Maroc,Agourai,Point(-5.58333333 33.63333333)
Maroc,Arazane,Point(-8.615742 30.50646) | Point(-8.60637 30.50346)
Maroc,Azlaf,Point(-3.672777777 34.894722222)
Maroc,Demnate,Point(-7.036111111 31.731111111)
Maroc,Fritissa,Point(-3.55 33.61666667)
Maroc,Galaz,Point(-4.80355 34.54424) | Point(-4.8 34.55)
Maroc,Moulay Abdelkader,Point(-4.71666667 34.4)
Maroc,Oued Ifrane,Point(-5.11666667 33.53333333)
Maroc,Ouirgane,Point(-8.0782 31.1755)
Maroc,Oulad Youssef,Point(-6.376944444 32.480555555)
Maroc,Tan-Tan,Point(-11.1 28.433333333)
Maroc,Tifarouine,Point(-3.25354 35.15064) | Point(-3.25 35.15)
Maroc,Kerrouchen,Point(-5.3225 32.79861111)
Maroc,Mezraoua,Point(-4.729444444 34.540555555)
Maroc,Souihla,Point(-8.175555555 31.652777777)
Maroc,Tiflet,Point(-6.33 33.9)
Maroc,Tissint,Point(-7.31667 29.9)
Maroc,Sidi Bouhria,Point(-2.3625 34.738888888)
Maroc,Boughriba,Point(-2.51167 34.91342) | Point(-2.430555555 34.935277777)
Maroc,Laaouinate,Point(-2.14246 34.32914) | Point(-2.146111111 34.345833333)
Maroc,Oulad Ghziyel,Point(-2.6125 33.953333333)
Maroc,Tafersit,Point(-3.5684 35.01917)
Maroc,Ahfir,Point(-2.1025 34.95138889)
Maroc,Aït Youssef Ou Ali,Point(-5.78333333 31.98333333)
Maroc,Larache,Point(-6.15 35.183333333)
Maroc,Selouane,Point(-2.93916667 35.07083333)
