leonoreid,bnfids,uribnf
LH/129/44,11995263c,https://data.bnf.fr/ark:/12148/cb11995263c
19800035/357/48014,11916481f,https://data.bnf.fr/ark:/12148/cb11916481f
LH/1103/38,169986469,https://data.bnf.fr/ark:/12148/cb169986469
LH/1012/52,10696788p,https://data.bnf.fr/ark:/12148/cb10696788p
LH/93/6,123008721,https://data.bnf.fr/ark:/12148/cb123008721
LH/1393/46,122765827,https://data.bnf.fr/ark:/12148/cb122765827
LH/2316/54,121740570,https://data.bnf.fr/ark:/12148/cb121740570
LH/2387/33,119351526,https://data.bnf.fr/ark:/12148/cb119351526
LH/124/32,12315352f,https://data.bnf.fr/ark:/12148/cb12315352f
LH/2327/25,14960271k,https://data.bnf.fr/ark:/12148/cb14960271k
LH/2022/5,13482911j,https://data.bnf.fr/ark:/12148/cb13482911j
19800035/63/7706,123845092,https://data.bnf.fr/ark:/12148/cb123845092
LH/331/67,12424283k,https://data.bnf.fr/ark:/12148/cb12424283k
LH/2288/19,16238501m,https://data.bnf.fr/ark:/12148/cb16238501m
19800035/288/38749,12730581g,https://data.bnf.fr/ark:/12148/cb12730581g
LH/1325/47,14398165w |14969625p,https://data.bnf.fr/ark:/12148/cb14398165w | https://data.bnf.fr/ark:/12148/cb14969625p
19800035/636/73594,13479002k,https://data.bnf.fr/ark:/12148/cb13479002k
LH/1157/65,15127351v,https://data.bnf.fr/ark:/12148/cb15127351v
LH/1404/10,13753213f,https://data.bnf.fr/ark:/12148/cb13753213f
LH/1934/53,121196835,https://data.bnf.fr/ark:/12148/cb121196835
LH/2236/33,13479413b,https://data.bnf.fr/ark:/12148/cb13479413b
LH/560/44,12161431g,https://data.bnf.fr/ark:/12148/cb12161431g
LH/476/56,12174688x,https://data.bnf.fr/ark:/12148/cb12174688x
LH/1179/57,13011735m,https://data.bnf.fr/ark:/12148/cb13011735m
LH/1336/8,146448551,https://data.bnf.fr/ark:/12148/cb146448551
C/0/26,12146292x,https://data.bnf.fr/ark:/12148/cb12146292x
19800035/178/23028,155921350,https://data.bnf.fr/ark:/12148/cb155921350
LH/227/71,10638967h,https://data.bnf.fr/ark:/12148/cb10638967h
LH/2651/59,13900522t,https://data.bnf.fr/ark:/12148/cb13900522t
LH/1618/36,12462953x,https://data.bnf.fr/ark:/12148/cb12462953x
LH/1016/31,12173820m,https://data.bnf.fr/ark:/12148/cb12173820m
LH/77/12,13743828x,https://data.bnf.fr/ark:/12148/cb13743828x
LH/1042/69,10692054g,https://data.bnf.fr/ark:/12148/cb10692054g
LH/2095/49,129941483,https://data.bnf.fr/ark:/12148/cb129941483
LH/860/61,148510022,https://data.bnf.fr/ark:/12148/cb148510022
LH/1172/31,13487325s,https://data.bnf.fr/ark:/12148/cb13487325s
LH/2647/56,122911543,https://data.bnf.fr/ark:/12148/cb122911543
19800035/1168/33369,122851107,https://data.bnf.fr/ark:/12148/cb122851107
19800035/918/7195,112025502,https://data.bnf.fr/ark:/12148/cb112025502
LH/2289/26,137555879,https://data.bnf.fr/ark:/12148/cb137555879
LH/1332/45,16642304j,https://data.bnf.fr/ark:/12148/cb16642304j
LH/2453/40,11923605c,https://data.bnf.fr/ark:/12148/cb11923605c
LH/1527/42,107306804,https://data.bnf.fr/ark:/12148/cb107306804
19800035/390/52318,121139888,https://data.bnf.fr/ark:/12148/cb121139888
LH/598/86,118978086,https://data.bnf.fr/ark:/12148/cb118978086
LH/2177/28,13898544r,https://data.bnf.fr/ark:/12148/cb13898544r
LH/349/89,12234214m,https://data.bnf.fr/ark:/12148/cb12234214m
LH/151/21,138912598,https://data.bnf.fr/ark:/12148/cb138912598
19800035/1244/43531,12298473w,https://data.bnf.fr/ark:/12148/cb12298473w
LH/1303/31,11964230j,https://data.bnf.fr/ark:/12148/cb11964230j
19800035/1125/29025,12301470g,https://data.bnf.fr/ark:/12148/cb12301470g
LH/861/22,12459747x,https://data.bnf.fr/ark:/12148/cb12459747x
19800035/237/31499,11921429b,https://data.bnf.fr/ark:/12148/cb11921429b
19800035/565/64318,12362788v,https://data.bnf.fr/ark:/12148/cb12362788v
LH/1873/58,12362788v,https://data.bnf.fr/ark:/12148/cb12362788v
19800035/735/83432,148004931,https://data.bnf.fr/ark:/12148/cb148004931
LH/2384/75,12315616d,https://data.bnf.fr/ark:/12148/cb12315616d
19800035/1004/16102,121303331,https://data.bnf.fr/ark:/12148/cb121303331
19800035/197/25772,11894170z,https://data.bnf.fr/ark:/12148/cb11894170z
LH/1779/52,10743980w,https://data.bnf.fr/ark:/12148/cb10743980w
19800035/1330/54107,113042350,https://data.bnf.fr/ark:/12148/cb113042350
LH/2243/66,12116326s,https://data.bnf.fr/ark:/12148/cb12116326s
LH/1698/41,155194188,https://data.bnf.fr/ark:/12148/cb155194188
LH/2021/6,12191078n,https://data.bnf.fr/ark:/12148/cb12191078n
19800035/85/10643,124518776,https://data.bnf.fr/ark:/12148/cb124518776
LH/1034/52,149742305,https://data.bnf.fr/ark:/12148/cb149742305
LH/1090/13,13009561b,https://data.bnf.fr/ark:/12148/cb13009561b
LH/2163/6,12566236j,https://data.bnf.fr/ark:/12148/cb12566236j
LH/2210/15,12402520m,https://data.bnf.fr/ark:/12148/cb12402520m
LH/1968/3,107263002,https://data.bnf.fr/ark:/12148/cb107263002
LH/1947/68,12627187r,https://data.bnf.fr/ark:/12148/cb12627187r
LH/1509/32,14956222m,https://data.bnf.fr/ark:/12148/cb14956222m
19800035/1219/40728,12401511d,https://data.bnf.fr/ark:/12148/cb12401511d
19800035/1366/57905,11916075d,https://data.bnf.fr/ark:/12148/cb11916075d
LH/1205/68,11976107f,https://data.bnf.fr/ark:/12148/cb11976107f
LH/192/74,138914125,https://data.bnf.fr/ark:/12148/cb138914125
C/0/25,11920221s,https://data.bnf.fr/ark:/12148/cb11920221s
LH/681/19,13893072d,https://data.bnf.fr/ark:/12148/cb13893072d
C/0/17,12014186f,https://data.bnf.fr/ark:/12148/cb12014186f
LH/451/10,11895590x,https://data.bnf.fr/ark:/12148/cb11895590x
LH/874/13,11901387t,https://data.bnf.fr/ark:/12148/cb11901387t
19800035/200/26204,130091408,https://data.bnf.fr/ark:/12148/cb130091408
LH/892/60,12522897m,https://data.bnf.fr/ark:/12148/cb12522897m
19800035/127/16027,11200423d,https://data.bnf.fr/ark:/12148/cb11200423d
LH/191/38,11891433v,https://data.bnf.fr/ark:/12148/cb11891433v
LH/1993/18,106827128 |12561872v,https://data.bnf.fr/ark:/12148/cb106827128 | https://data.bnf.fr/ark:/12148/cb12561872v
LH/502/50,11896324t,https://data.bnf.fr/ark:/12148/cb11896324t
LH/62/12,12105995t,https://data.bnf.fr/ark:/12148/cb12105995t
LH/529/65,13075665g,https://data.bnf.fr/ark:/12148/cb13075665g
LH/2288/67,12312447d,https://data.bnf.fr/ark:/12148/cb12312447d
LH/1799/22,12977224p,https://data.bnf.fr/ark:/12148/cb12977224p
LH/150/12,13743827k,https://data.bnf.fr/ark:/12148/cb13743827k
LH/1353/98,13210892t,https://data.bnf.fr/ark:/12148/cb13210892t
LH/128/77,13891198w,https://data.bnf.fr/ark:/12148/cb13891198w
LH/1626/79,13009244x,https://data.bnf.fr/ark:/12148/cb13009244x
LH/2657/7,119584498,https://data.bnf.fr/ark:/12148/cb119584498
LH/1685/37,10720224b,https://data.bnf.fr/ark:/12148/cb10720224b
19800035/451/60340,12459206z,https://data.bnf.fr/ark:/12148/cb12459206z
LH/1233/67,129240471,https://data.bnf.fr/ark:/12148/cb129240471
LH/2274/39,15798240n,https://data.bnf.fr/ark:/12148/cb15798240n
LH/1656/36,12301016k,https://data.bnf.fr/ark:/12148/cb12301016k
LH/2392/42,12443310t,https://data.bnf.fr/ark:/12148/cb12443310t
19800035/436/58318,12381158f,https://data.bnf.fr/ark:/12148/cb12381158f
LH/185/49,12524487p,https://data.bnf.fr/ark:/12148/cb12524487p
19800035/168/21667,12088647b,https://data.bnf.fr/ark:/12148/cb12088647b
C/0/4,13557696p,https://data.bnf.fr/ark:/12148/cb13557696p
LH/2233/51,105340149,https://data.bnf.fr/ark:/12148/cb105340149
19800035/1301/50196,118983965,https://data.bnf.fr/ark:/12148/cb118983965
LH/2208/25,105552971,https://data.bnf.fr/ark:/12148/cb105552971
19800035/1176/36112,122081589,https://data.bnf.fr/ark:/12148/cb122081589
LH/906/15,131681424,https://data.bnf.fr/ark:/12148/cb131681424
LH/172/43,13891318z,https://data.bnf.fr/ark:/12148/cb13891318z
LH/1509/35,11911458q,https://data.bnf.fr/ark:/12148/cb11911458q
LH/2567/6,11926003r,https://data.bnf.fr/ark:/12148/cb11926003r
19800035/882/3412,11915395m,https://data.bnf.fr/ark:/12148/cb11915395m
