leonoreid,bnfids,uribnf
LH/1374/22,13488896x,https://data.bnf.fr/ark:/12148/cb13488896x
LH/213/17,13187892s,https://data.bnf.fr/ark:/12148/cb13187892s
19800035/179/23125,13006437g,https://data.bnf.fr/ark:/12148/cb13006437g
LH/2218/16,121664112,https://data.bnf.fr/ark:/12148/cb121664112
LH/420/33,10627860c,https://data.bnf.fr/ark:/12148/cb10627860c
19800035/207/27122,17008978g,https://data.bnf.fr/ark:/12148/cb17008978g
LH/1977/35,17131287m,https://data.bnf.fr/ark:/12148/cb17131287m
LH/2569/30,13479433z,https://data.bnf.fr/ark:/12148/cb13479433z
19800035/1318/52498,12438832h,https://data.bnf.fr/ark:/12148/cb12438832h
LH/23/35,120652024,https://data.bnf.fr/ark:/12148/cb120652024
LH/1374/71,107118408,https://data.bnf.fr/ark:/12148/cb107118408
LH/2002/25,14966365c,https://data.bnf.fr/ark:/12148/cb14966365c
LH/2341/32,17009161s,https://data.bnf.fr/ark:/12148/cb17009161s
LH/2650/23,15511855n,https://data.bnf.fr/ark:/12148/cb15511855n
LH/2693/44,12234561z,https://data.bnf.fr/ark:/12148/cb12234561z
LH/192/55,12480649s,https://data.bnf.fr/ark:/12148/cb12480649s
19800035/33/4202,15326428q,https://data.bnf.fr/ark:/12148/cb15326428q
LH/1975/57,13280619n,https://data.bnf.fr/ark:/12148/cb13280619n
19800035/579/65728,14431173r,https://data.bnf.fr/ark:/12148/cb14431173r
LH/1559/13,10697564c,https://data.bnf.fr/ark:/12148/cb10697564c
19800035/1278/47318,132098547,https://data.bnf.fr/ark:/12148/cb132098547
LH/227/3,14569524c,https://data.bnf.fr/ark:/12148/cb14569524c
19800035/244/32462,118959874,https://data.bnf.fr/ark:/12148/cb118959874
19800035/250/33311,13164312s,https://data.bnf.fr/ark:/12148/cb13164312s
19800035/75/9299,10502160n,https://data.bnf.fr/ark:/12148/cb10502160n
LH/22/66,15325323g,https://data.bnf.fr/ark:/12148/cb15325323g
19800035/111/13937,16637593j,https://data.bnf.fr/ark:/12148/cb16637593j
19800035/177/22818,12741125b,https://data.bnf.fr/ark:/12148/cb12741125b
LH/23/5,107340588,https://data.bnf.fr/ark:/12148/cb107340588
19800035/1008/16492,120604045,https://data.bnf.fr/ark:/12148/cb120604045
19800035/1245/43729,120604045,https://data.bnf.fr/ark:/12148/cb120604045
19800035/732/83113,16564681j,https://data.bnf.fr/ark:/12148/cb16564681j
19800035/341/45865,109607555,https://data.bnf.fr/ark:/12148/cb109607555
LH/1547/88,171445741,https://data.bnf.fr/ark:/12148/cb171445741
LH/1714/71,103201518 |134862258,https://data.bnf.fr/ark:/12148/cb103201518 | https://data.bnf.fr/ark:/12148/cb134862258
LH/1168/16,10641112j,https://data.bnf.fr/ark:/12148/cb10641112j
19800035/1239/43079,118904250,https://data.bnf.fr/ark:/12148/cb118904250
19800035/861/1232,110533377,https://data.bnf.fr/ark:/12148/cb110533377
19800035/1356/56982,16253462r,https://data.bnf.fr/ark:/12148/cb16253462r
19800035/140/17788,12211654t,https://data.bnf.fr/ark:/12148/cb12211654t
LH/1203/49,10272208r,https://data.bnf.fr/ark:/12148/cb10272208r
LH/1336/35,14901132d,https://data.bnf.fr/ark:/12148/cb14901132d
LH/1630/29,12563941b,https://data.bnf.fr/ark:/12148/cb12563941b
LH/1799/34,10203467m,https://data.bnf.fr/ark:/12148/cb10203467m
19800035/997/15281,124440347,https://data.bnf.fr/ark:/12148/cb124440347
19800035/1291/49346,11918994n,https://data.bnf.fr/ark:/12148/cb11918994n
19800035/198/25918,11093326d,https://data.bnf.fr/ark:/12148/cb11093326d
LH/19/55,131902810,https://data.bnf.fr/ark:/12148/cb131902810
LH/1818/48,10553622r,https://data.bnf.fr/ark:/12148/cb10553622r
19800035/1468/69975,14975997m,https://data.bnf.fr/ark:/12148/cb14975997m
LH/2733/34,102954898,https://data.bnf.fr/ark:/12148/cb102954898
LH/479/8,10628040s,https://data.bnf.fr/ark:/12148/cb10628040s
LH/2557/35,105776553,https://data.bnf.fr/ark:/12148/cb105776553
LH/2682/3,10421596r,https://data.bnf.fr/ark:/12148/cb10421596r
LH/2691/71,11928004k,https://data.bnf.fr/ark:/12148/cb11928004k
LH/2409/51,12118327m,https://data.bnf.fr/ark:/12148/cb12118327m
LH/651/31,169521381,https://data.bnf.fr/ark:/12148/cb169521381
LH/249/62,153740583,https://data.bnf.fr/ark:/12148/cb153740583
19800035/1311/51706,13396334j,https://data.bnf.fr/ark:/12148/cb13396334j
LH/929/11,106014445,https://data.bnf.fr/ark:/12148/cb106014445
LH/1038/40,10686735w,https://data.bnf.fr/ark:/12148/cb10686735w
LH/1282/29,119701237,https://data.bnf.fr/ark:/12148/cb119701237
LH/1357/32,14444137t,https://data.bnf.fr/ark:/12148/cb14444137t
LH/2519/30,12528941q,https://data.bnf.fr/ark:/12148/cb12528941q
LH/2412/16,12440888d,https://data.bnf.fr/ark:/12148/cb12440888d
LH/1534/83,10923784n,https://data.bnf.fr/ark:/12148/cb10923784n
LH/2753/49,14962063w,https://data.bnf.fr/ark:/12148/cb14962063w
LH/423/91,129810168,https://data.bnf.fr/ark:/12148/cb129810168
LH/189/15,123695927,https://data.bnf.fr/ark:/12148/cb123695927
19800035/60/7418,153673333,https://data.bnf.fr/ark:/12148/cb153673333
LH/1193/68,10311351v,https://data.bnf.fr/ark:/12148/cb10311351v
LH/1118/3,119046772,https://data.bnf.fr/ark:/12148/cb119046772
LH/1484/86,146537593,https://data.bnf.fr/ark:/12148/cb146537593
LH/1793/28,13009549g,https://data.bnf.fr/ark:/12148/cb13009549g
LH/2288/84,12552419b,https://data.bnf.fr/ark:/12148/cb12552419b
LH/2516/4,13009310w,https://data.bnf.fr/ark:/12148/cb13009310w
LH/117/52,10299358p,https://data.bnf.fr/ark:/12148/cb10299358p
LH/1022/15,10394987w,https://data.bnf.fr/ark:/12148/cb10394987w
19800035/1231/41957,121877106,https://data.bnf.fr/ark:/12148/cb121877106
LH/905/32,13034459x,https://data.bnf.fr/ark:/12148/cb13034459x
LH/1336/37,10314480f,https://data.bnf.fr/ark:/12148/cb10314480f
19800035/1162/32991,12774617f,https://data.bnf.fr/ark:/12148/cb12774617f
19800035/0011/1390,120903453,https://data.bnf.fr/ark:/12148/cb120903453
19800035/1152/31753,148282120,https://data.bnf.fr/ark:/12148/cb148282120
19800035/1305/50723,13078592t,https://data.bnf.fr/ark:/12148/cb13078592t
LH/2176/9,105742151,https://data.bnf.fr/ark:/12148/cb105742151
LH/110/1,124593601,https://data.bnf.fr/ark:/12148/cb124593601
LH/345/10,14877467m,https://data.bnf.fr/ark:/12148/cb14877467m
LH/2539/73,149341960,https://data.bnf.fr/ark:/12148/cb149341960
19800035/258/34397,122060080,https://data.bnf.fr/ark:/12148/cb122060080
LH/1946/71,105903492,https://data.bnf.fr/ark:/12148/cb105903492
LH/354/29,158903734,https://data.bnf.fr/ark:/12148/cb158903734
LH/2647/45,11926478r,https://data.bnf.fr/ark:/12148/cb11926478r
LH/1493/20,106425586,https://data.bnf.fr/ark:/12148/cb106425586
LH/2707/42,11928227s,https://data.bnf.fr/ark:/12148/cb11928227s
LH/1808/41,124597755,https://data.bnf.fr/ark:/12148/cb124597755
19800035/450/60212,12169688x,https://data.bnf.fr/ark:/12148/cb12169688x
19800035/242/32140,10343296n,https://data.bnf.fr/ark:/12148/cb10343296n
LH/377/62,12403032g,https://data.bnf.fr/ark:/12148/cb12403032g
19800035/201/26328,109450640,https://data.bnf.fr/ark:/12148/cb109450640
LH/1037/37,13174737f,https://data.bnf.fr/ark:/12148/cb13174737f
LH/2016/24,105083045,https://data.bnf.fr/ark:/12148/cb105083045
LH/1322/63,107072656,https://data.bnf.fr/ark:/12148/cb107072656
LH/2764/39,131650424,https://data.bnf.fr/ark:/12148/cb131650424
LH/736/20,14654829p,https://data.bnf.fr/ark:/12148/cb14654829p
LH/1302/21,10356443j,https://data.bnf.fr/ark:/12148/cb10356443j
LH/2447/13,10715841k,https://data.bnf.fr/ark:/12148/cb10715841k
19800035/1392/60829,12403218g,https://data.bnf.fr/ark:/12148/cb12403218g
LH/2433/66,12315460b,https://data.bnf.fr/ark:/12148/cb12315460b
LH/995/11,12758962n,https://data.bnf.fr/ark:/12148/cb12758962n
LH/1235/44,10654660q,https://data.bnf.fr/ark:/12148/cb10654660q
LH/188/56,12499411x,https://data.bnf.fr/ark:/12148/cb12499411x
LH/1514/79,10631402v,https://data.bnf.fr/ark:/12148/cb10631402v
LH/153/46,10658248q,https://data.bnf.fr/ark:/12148/cb10658248q
LH/674/80,102668937,https://data.bnf.fr/ark:/12148/cb102668937
19800035/756/85771,12744532f |155341117,https://data.bnf.fr/ark:/12148/cb12744532f | https://data.bnf.fr/ark:/12148/cb155341117
19800035/1152/31740,14965676m,https://data.bnf.fr/ark:/12148/cb14965676m
LH/1178/20,14962961p,https://data.bnf.fr/ark:/12148/cb14962961p
LH/1715/60,102802717,https://data.bnf.fr/ark:/12148/cb102802717
LH/1151/28,12760206h,https://data.bnf.fr/ark:/12148/cb12760206h
LH/506/52,104655251,https://data.bnf.fr/ark:/12148/cb104655251
LH/1826/4,10479394g,https://data.bnf.fr/ark:/12148/cb10479394g
LH/1972/51,14848378m,https://data.bnf.fr/ark:/12148/cb14848378m
LH/2067/21,14977917m,https://data.bnf.fr/ark:/12148/cb14977917m
LH/2661/54,12989631r,https://data.bnf.fr/ark:/12148/cb12989631r
LH/101/61,102992003,https://data.bnf.fr/ark:/12148/cb102992003
LH/2492/4,14932343g,https://data.bnf.fr/ark:/12148/cb14932343g
19800035/455/60938,149709544,https://data.bnf.fr/ark:/12148/cb149709544
19800035/89/11167,11991678j,https://data.bnf.fr/ark:/12148/cb11991678j
LH/1510/20,10279689c,https://data.bnf.fr/ark:/12148/cb10279689c
19800035/1293/49483,14957574x,https://data.bnf.fr/ark:/12148/cb14957574x
19800035/740/84050,12264336t,https://data.bnf.fr/ark:/12148/cb12264336t
19800035/86/10760,14917041r,https://data.bnf.fr/ark:/12148/cb14917041r
19800035/253/33769,12169909m,https://data.bnf.fr/ark:/12148/cb12169909m
LH/1886/31,14452315s,https://data.bnf.fr/ark:/12148/cb14452315s
LH/2335/15,123298927,https://data.bnf.fr/ark:/12148/cb123298927
19800035/295/39706,119009428,https://data.bnf.fr/ark:/12148/cb119009428
LH/2273/36,10327829q,https://data.bnf.fr/ark:/12148/cb10327829q
19800035/139/17574,14848339q,https://data.bnf.fr/ark:/12148/cb14848339q
19800035/43/5326,17131019k,https://data.bnf.fr/ark:/12148/cb17131019k
LH/434/4,12459710k,https://data.bnf.fr/ark:/12148/cb12459710k
19800035/452/60500,15574930j,https://data.bnf.fr/ark:/12148/cb15574930j
LH/1359/74,14954215v,https://data.bnf.fr/ark:/12148/cb14954215v
LH/988/39,10547148t,https://data.bnf.fr/ark:/12148/cb10547148t
19800035/0329/44318,14801458r,https://data.bnf.fr/ark:/12148/cb14801458r
19800035/290/39012,13429899z,https://data.bnf.fr/ark:/12148/cb13429899z
LH/1078/36,106920832,https://data.bnf.fr/ark:/12148/cb106920832
LH/912/24,155386169,https://data.bnf.fr/ark:/12148/cb155386169
LH/129/61,11045479q,https://data.bnf.fr/ark:/12148/cb11045479q
19800035/1405/62434,10744119v,https://data.bnf.fr/ark:/12148/cb10744119v
LH/1308/7,12126530s,https://data.bnf.fr/ark:/12148/cb12126530s
LH/1849/27,150195389,https://data.bnf.fr/ark:/12148/cb150195389
LH/848/63,14955177c,https://data.bnf.fr/ark:/12148/cb14955177c
LH/1135/65,121709325,https://data.bnf.fr/ark:/12148/cb121709325
19800035/1217/40507,11256879m,https://data.bnf.fr/ark:/12148/cb11256879m
19800035/106/13387,146736326,https://data.bnf.fr/ark:/12148/cb146736326
LH/1455/3,127270284,https://data.bnf.fr/ark:/12148/cb127270284
LH/45/69,108807991,https://data.bnf.fr/ark:/12148/cb108807991
19800035/1149/31396,12592291b,https://data.bnf.fr/ark:/12148/cb12592291b
LH/1743/44,130094287,https://data.bnf.fr/ark:/12148/cb130094287
LH/2354/2,12379523m,https://data.bnf.fr/ark:/12148/cb12379523m
LH/2677/85,122301193,https://data.bnf.fr/ark:/12148/cb122301193
19800035/1334/54717,121556204,https://data.bnf.fr/ark:/12148/cb121556204
19800035/1167/33253,12797915q,https://data.bnf.fr/ark:/12148/cb12797915q
19800035/173/22337,112933947,https://data.bnf.fr/ark:/12148/cb112933947
LH/215/19,14969646n,https://data.bnf.fr/ark:/12148/cb14969646n
LH/811/54,124395996,https://data.bnf.fr/ark:/12148/cb124395996
LH/371/38,13200793p,https://data.bnf.fr/ark:/12148/cb13200793p
19800035/727/82661,14016971c,https://data.bnf.fr/ark:/12148/cb14016971c
LH/2372/5,10689115b,https://data.bnf.fr/ark:/12148/cb10689115b
19800035/713/81233,14958533k,https://data.bnf.fr/ark:/12148/cb14958533k
19800035/166/21269,14872970p,https://data.bnf.fr/ark:/12148/cb14872970p
19800035/1169/33464,12168922k,https://data.bnf.fr/ark:/12148/cb12168922k
LH/1705/13,10746141h,https://data.bnf.fr/ark:/12148/cb10746141h
LH/2398/31,14929068g,https://data.bnf.fr/ark:/12148/cb14929068g
LH/444/69,14506945g,https://data.bnf.fr/ark:/12148/cb14506945g
19800035/741/84107,133071409,https://data.bnf.fr/ark:/12148/cb133071409
LH/1375/36,10687298n,https://data.bnf.fr/ark:/12148/cb10687298n
LH/2680/54,16750399z,https://data.bnf.fr/ark:/12148/cb16750399z
19800035/298/40044,13610309r,https://data.bnf.fr/ark:/12148/cb13610309r
LH/760/51,11314081t,https://data.bnf.fr/ark:/12148/cb11314081t
LH/1583/8,17720252j,https://data.bnf.fr/ark:/12148/cb17720252j
19800035/241/32032,152889248,https://data.bnf.fr/ark:/12148/cb152889248
LH/1207/18,149751962,https://data.bnf.fr/ark:/12148/cb149751962
LH/1652/16,14910091m,https://data.bnf.fr/ark:/12148/cb14910091m
LH/1750/73,16933552h,https://data.bnf.fr/ark:/12148/cb16933552h
19800035/1131/29603,12750405h,https://data.bnf.fr/ark:/12148/cb12750405h
LH/304/60,14952480c,https://data.bnf.fr/ark:/12148/cb14952480c
19800035/195/25474,113387129,https://data.bnf.fr/ark:/12148/cb113387129
LH/129/72,125881543,https://data.bnf.fr/ark:/12148/cb125881543
LH/2489/12,125289709,https://data.bnf.fr/ark:/12148/cb125289709
LH/408/47,10666625w,https://data.bnf.fr/ark:/12148/cb10666625w
19800035/740/84087,12158806v,https://data.bnf.fr/ark:/12148/cb12158806v
19800035/1338/55099,12655192g,https://data.bnf.fr/ark:/12148/cb12655192g
LH/51/32,11043901p |12997999x,https://data.bnf.fr/ark:/12148/cb11043901p | https://data.bnf.fr/ark:/12148/cb12997999x
LH/2171/72,11302329v,https://data.bnf.fr/ark:/12148/cb11302329v
19800035/251/33471,12950533c,https://data.bnf.fr/ark:/12148/cb12950533c
LH/609/44,149719907,https://data.bnf.fr/ark:/12148/cb149719907
19800035/0244/32502,12432795p,https://data.bnf.fr/ark:/12148/cb12432795p
LH/2498/56,123748070,https://data.bnf.fr/ark:/12148/cb123748070
19800035/382/51279,12384192b,https://data.bnf.fr/ark:/12148/cb12384192b
19800035/1478/71524,149743564,https://data.bnf.fr/ark:/12148/cb149743564
LH/1233/16,13518091q,https://data.bnf.fr/ark:/12148/cb13518091q
LH/140/28,155144349,https://data.bnf.fr/ark:/12148/cb155144349
19800035/1320/52870,10732716s,https://data.bnf.fr/ark:/12148/cb10732716s
LH/222/59,10232385n,https://data.bnf.fr/ark:/12148/cb10232385n
LH/762/11,157555193,https://data.bnf.fr/ark:/12148/cb157555193
LH/307/10,107459168,https://data.bnf.fr/ark:/12148/cb107459168
LH/1624/92,125453334,https://data.bnf.fr/ark:/12148/cb125453334
19800035/246/32770,14974595k,https://data.bnf.fr/ark:/12148/cb14974595k
LH/45/2,14820376k,https://data.bnf.fr/ark:/12148/cb14820376k
LH/1229/75,16603063n,https://data.bnf.fr/ark:/12148/cb16603063n
19800035/242/32165,156444432,https://data.bnf.fr/ark:/12148/cb156444432
19800035/17/2147,10311467h,https://data.bnf.fr/ark:/12148/cb10311467h
19800035/905/5782,14959771x,https://data.bnf.fr/ark:/12148/cb14959771x
LH/112/8,155751041,https://data.bnf.fr/ark:/12148/cb155751041
LH/806/53,16242737x,https://data.bnf.fr/ark:/12148/cb16242737x
19800035/113/14213,10335225d,https://data.bnf.fr/ark:/12148/cb10335225d
19800035/1467/69760,12876441d,https://data.bnf.fr/ark:/12148/cb12876441d
LH/361/77,14580620h,https://data.bnf.fr/ark:/12148/cb14580620h
19800035/1483/72353,16745425p,https://data.bnf.fr/ark:/12148/cb16745425p
LH/698/92,10711360h,https://data.bnf.fr/ark:/12148/cb10711360h
LH/2466/47,11811599d,https://data.bnf.fr/ark:/12148/cb11811599d
LH/1911/42,11791280n,https://data.bnf.fr/ark:/12148/cb11791280n
LH/1021/51,13743801w,https://data.bnf.fr/ark:/12148/cb13743801w
LH/1803/68,147923708,https://data.bnf.fr/ark:/12148/cb147923708
LH/2574/35,14975838t,https://data.bnf.fr/ark:/12148/cb14975838t
LH/1937/5,10204012g,https://data.bnf.fr/ark:/12148/cb10204012g
LH/803/75,13752292b,https://data.bnf.fr/ark:/12148/cb13752292b
LH/1135/33,10353607h,https://data.bnf.fr/ark:/12148/cb10353607h
LH/2289/36,105105656,https://data.bnf.fr/ark:/12148/cb105105656
LH/2508/49,10377797z,https://data.bnf.fr/ark:/12148/cb10377797z
19800035/832/94896,129909261,https://data.bnf.fr/ark:/12148/cb129909261
19800035/1403/62078,17817824m,https://data.bnf.fr/ark:/12148/cb17817824m
19800035/972/12703,121934051,https://data.bnf.fr/ark:/12148/cb121934051
LH/1281/79,155049783,https://data.bnf.fr/ark:/12148/cb155049783
19800035/575/65349,10516513d,https://data.bnf.fr/ark:/12148/cb10516513d
LH/2040/25,13002152k,https://data.bnf.fr/ark:/12148/cb13002152k
LH/1858/63,10445230c,https://data.bnf.fr/ark:/12148/cb10445230c
19800035/56/6775,12391711n,https://data.bnf.fr/ark:/12148/cb12391711n
19800035/1263/45605,12277879d,https://data.bnf.fr/ark:/12148/cb12277879d
LH/597/12,125519618,https://data.bnf.fr/ark:/12148/cb125519618
19800035/242/32191,13013682b,https://data.bnf.fr/ark:/12148/cb13013682b
19800035/750/85009,12398378h,https://data.bnf.fr/ark:/12148/cb12398378h
LH/2107/24,11245583k,https://data.bnf.fr/ark:/12148/cb11245583k
LH/1248/62,116586615,https://data.bnf.fr/ark:/12148/cb116586615
19800035/267/35745,12118546f,https://data.bnf.fr/ark:/12148/cb12118546f
LH/369/52,130111547,https://data.bnf.fr/ark:/12148/cb130111547
LH/2171/10,13549253k,https://data.bnf.fr/ark:/12148/cb13549253k
19800035/1049/20932,12124760s,https://data.bnf.fr/ark:/12148/cb12124760s
19800035/585/66365,12992578n |31979820h,https://data.bnf.fr/ark:/12148/cb12992578n | https://data.bnf.fr/ark:/12148/cb31979820h
LH/987/70,13165115h,https://data.bnf.fr/ark:/12148/cb13165115h
19800035/764/86805,103266424,https://data.bnf.fr/ark:/12148/cb103266424
LH/348/36,13484177r,https://data.bnf.fr/ark:/12148/cb13484177r
LH/343/54,10685981c,https://data.bnf.fr/ark:/12148/cb10685981c
LH/1192/68,12208598n,https://data.bnf.fr/ark:/12148/cb12208598n
LH/1172/39,10239914g,https://data.bnf.fr/ark:/12148/cb10239914g
19800035/328/44268,10511448k,https://data.bnf.fr/ark:/12148/cb10511448k
LH/1384/25,103581107,https://data.bnf.fr/ark:/12148/cb103581107
19800035/648/74748,13435521f,https://data.bnf.fr/ark:/12148/cb13435521f
19800035/41/5182,130729705,https://data.bnf.fr/ark:/12148/cb130729705
19800035/798/90412,156960544,https://data.bnf.fr/ark:/12148/cb156960544
19800035/688/78710,15342818z,https://data.bnf.fr/ark:/12148/cb15342818z
19800035/576/65421,12949903h,https://data.bnf.fr/ark:/12148/cb12949903h
LH/690/59,103484774,https://data.bnf.fr/ark:/12148/cb103484774
19800035/800/90588,112755011,https://data.bnf.fr/ark:/12148/cb112755011
LH/2591/45,148207682,https://data.bnf.fr/ark:/12148/cb148207682
LH/77/78,10209767w,https://data.bnf.fr/ark:/12148/cb10209767w
19800035/1187/37424,11250047b,https://data.bnf.fr/ark:/12148/cb11250047b
LH/2789/103,10362148p,https://data.bnf.fr/ark:/12148/cb10362148p
LH/559/66,10704551m,https://data.bnf.fr/ark:/12148/cb10704551m
19800035/150/19175,13087360m,https://data.bnf.fr/ark:/12148/cb13087360m
19800035/278/37277,12888161w,https://data.bnf.fr/ark:/12148/cb12888161w
LH/794/32,11900468k,https://data.bnf.fr/ark:/12148/cb11900468k
LH/309/46,12591993q,https://data.bnf.fr/ark:/12148/cb12591993q
LH/1809/4,14959854m,https://data.bnf.fr/ark:/12148/cb14959854m
LH/930/50,10237953w,https://data.bnf.fr/ark:/12148/cb10237953w
LH/1344/67,14978220t,https://data.bnf.fr/ark:/12148/cb14978220t
LH/2451/15,136144942,https://data.bnf.fr/ark:/12148/cb136144942
LH/877/27,104330842,https://data.bnf.fr/ark:/12148/cb104330842
LH/2040/36,10088357j,https://data.bnf.fr/ark:/12148/cb10088357j
19800035/906/5898,11482047s,https://data.bnf.fr/ark:/12148/cb11482047s
LH/2742/43,131764671,https://data.bnf.fr/ark:/12148/cb131764671
LH/520/33,15046602g,https://data.bnf.fr/ark:/12148/cb15046602g
LH/2444/66,106892686,https://data.bnf.fr/ark:/12148/cb106892686
LH/728/9,130085733,https://data.bnf.fr/ark:/12148/cb130085733
LH/704/50,103916055,https://data.bnf.fr/ark:/12148/cb103916055
LH/2563/65,13212219k,https://data.bnf.fr/ark:/12148/cb13212219k
LH/748/32,125516189 |14972822q,https://data.bnf.fr/ark:/12148/cb125516189 | https://data.bnf.fr/ark:/12148/cb14972822q
LH/75/80,10626840h,https://data.bnf.fr/ark:/12148/cb10626840h
LH/2363/16,129983745,https://data.bnf.fr/ark:/12148/cb129983745
LH/500/92,11896284d,https://data.bnf.fr/ark:/12148/cb11896284d
LH/731/19,118995781,https://data.bnf.fr/ark:/12148/cb118995781
LH/2432/13,10484034s,https://data.bnf.fr/ark:/12148/cb10484034s
LH/470/46,11895909b,https://data.bnf.fr/ark:/12148/cb11895909b
LH/94/14,12490042x,https://data.bnf.fr/ark:/12148/cb12490042x
LH/374/51,12882017p |15952871n,https://data.bnf.fr/ark:/12148/cb12882017p | https://data.bnf.fr/ark:/12148/cb15952871n
LH/2535/19,107068481,https://data.bnf.fr/ark:/12148/cb107068481
LH/983/36,103517435,https://data.bnf.fr/ark:/12148/cb103517435
LH/724/37,165741534,https://data.bnf.fr/ark:/12148/cb165741534
LH/492/31,130091330,https://data.bnf.fr/ark:/12148/cb130091330
LH/2587/81,12530023k,https://data.bnf.fr/ark:/12148/cb12530023k
LH/844/69,120315627,https://data.bnf.fr/ark:/12148/cb120315627
LH/464/21,10728871f,https://data.bnf.fr/ark:/12148/cb10728871f
LH/54/49,134803075,https://data.bnf.fr/ark:/12148/cb134803075
LH/240/64,104272684,https://data.bnf.fr/ark:/12148/cb104272684
LH/427/85,14085130s,https://data.bnf.fr/ark:/12148/cb14085130s
LH/2649/39,12001676k,https://data.bnf.fr/ark:/12148/cb12001676k
LH/385/6,104643466,https://data.bnf.fr/ark:/12148/cb104643466
LH/1973/1,10643955h,https://data.bnf.fr/ark:/12148/cb10643955h
LH/446/13,15845458p,https://data.bnf.fr/ark:/12148/cb15845458p
LH/549/31,137438325,https://data.bnf.fr/ark:/12148/cb137438325
LH/981/67,14952708g,https://data.bnf.fr/ark:/12148/cb14952708g
LH/1408/23,132109478,https://data.bnf.fr/ark:/12148/cb132109478
LH/2610/37,13077607s,https://data.bnf.fr/ark:/12148/cb13077607s
19800035/397/53214,16247189q,https://data.bnf.fr/ark:/12148/cb16247189q
LH/1428/2,130060439,https://data.bnf.fr/ark:/12148/cb130060439
LH/17/73,125620330,https://data.bnf.fr/ark:/12148/cb125620330
LH/2449/29,13003211h,https://data.bnf.fr/ark:/12148/cb13003211h
LH/1942/38,12319789v,https://data.bnf.fr/ark:/12148/cb12319789v
19800035/1010/16712,149586733,https://data.bnf.fr/ark:/12148/cb149586733
LH/1647/9,10476523s,https://data.bnf.fr/ark:/12148/cb10476523s
LH/2381/51,17109761m,https://data.bnf.fr/ark:/12148/cb17109761m
19800035/194/25386,11891128f,https://data.bnf.fr/ark:/12148/cb11891128f
19800035/10/1198,11141099f,https://data.bnf.fr/ark:/12148/cb11141099f
19800035/462/61805,12460073k,https://data.bnf.fr/ark:/12148/cb12460073k
LH/1110/7,121115969,https://data.bnf.fr/ark:/12148/cb121115969
LH/1433/27,16960986t,https://data.bnf.fr/ark:/12148/cb16960986t
LH/2003/31,14952950t,https://data.bnf.fr/ark:/12148/cb14952950t
19800035/1214/40161,124581142,https://data.bnf.fr/ark:/12148/cb124581142
19800035/570/64867,11920346d,https://data.bnf.fr/ark:/12148/cb11920346d
19800035/186/24182,11920948r,https://data.bnf.fr/ark:/12148/cb11920948r
LH/1310/73,17839013n,https://data.bnf.fr/ark:/12148/cb17839013n
LH/2313/55,11921782m,https://data.bnf.fr/ark:/12148/cb11921782m
LH/1477/69,10724153m,https://data.bnf.fr/ark:/12148/cb10724153m
LH/2177/46,129917737,https://data.bnf.fr/ark:/12148/cb129917737
19800035/686/78552,124342515,https://data.bnf.fr/ark:/12148/cb124342515
LH/221/50,14956735b,https://data.bnf.fr/ark:/12148/cb14956735b
LH/2277/42,11955591m,https://data.bnf.fr/ark:/12148/cb11955591m
LH/1217/72,120912661,https://data.bnf.fr/ark:/12148/cb120912661
LH/189/36,14969508t,https://data.bnf.fr/ark:/12148/cb14969508t
LH/668/33,130101529,https://data.bnf.fr/ark:/12148/cb130101529
LH/2764/93,106795126,https://data.bnf.fr/ark:/12148/cb106795126
LH/500/68,10658861k,https://data.bnf.fr/ark:/12148/cb10658861k
LH/442/19,13373938f,https://data.bnf.fr/ark:/12148/cb13373938f
LH/462/58,105652330,https://data.bnf.fr/ark:/12148/cb105652330
LH/596/3,11252338p,https://data.bnf.fr/ark:/12148/cb11252338p
LH/2632/24,105155464,https://data.bnf.fr/ark:/12148/cb105155464
LH/2682/16,12881989s,https://data.bnf.fr/ark:/12148/cb12881989s
LH/71/57,12511893s,https://data.bnf.fr/ark:/12148/cb12511893s
LH/402/34,121367269,https://data.bnf.fr/ark:/12148/cb121367269
LH/2679/40,15435890c,https://data.bnf.fr/ark:/12148/cb15435890c
LH/2664/31,16734709t,https://data.bnf.fr/ark:/12148/cb16734709t
LH/519/44,12438640k,https://data.bnf.fr/ark:/12148/cb12438640k
LH/875/55,127207678,https://data.bnf.fr/ark:/12148/cb127207678
LH/650/13,118985047,https://data.bnf.fr/ark:/12148/cb118985047
LH/801/52,12602795d,https://data.bnf.fr/ark:/12148/cb12602795d
LH/831/38,10725657m,https://data.bnf.fr/ark:/12148/cb10725657m
LH/296/43,125348332,https://data.bnf.fr/ark:/12148/cb125348332
19800035/167/21419,14970412t,https://data.bnf.fr/ark:/12148/cb14970412t
LH/1984/25,16237622m,https://data.bnf.fr/ark:/12148/cb16237622m
19800035/203/26547,12395832v,https://data.bnf.fr/ark:/12148/cb12395832v
LH/1674/31,10571433s,https://data.bnf.fr/ark:/12148/cb10571433s
LH/2170/18,13015029q,https://data.bnf.fr/ark:/12148/cb13015029q
19800035/245/32584,12144293s,https://data.bnf.fr/ark:/12148/cb12144293s
LH/1234/4,104369263,https://data.bnf.fr/ark:/12148/cb104369263
19800035/388/51982,125224814,https://data.bnf.fr/ark:/12148/cb125224814
LH/2364/59,121423880,https://data.bnf.fr/ark:/12148/cb121423880
