leonoreid,noms
LH/1402/4,Henry Kistemaeckers fils
19800035/210/27528,Jean-Baptiste Senderens
LH/2543/41,Guillaume-Marie-Romain Sourrieu
19800035/178/23013,Joseph Mathieu
LH/2427/27,Auguste Louis Sabatier
LH/2222/71,Edmond Marcelin Dehault de Pressensé
19800035/971/12600,Camille Arambourg
LH/2758/25,Dagobert Sigismond Laurent de Wimpffen
19800035/267/35701,Henri Rougier
LH/1039/57,Nicolas Frochot
LH/1589/42,Jean-Jacques Lenoir-Laroche
LH/425/26,Pierre Carbonnier
LH/494/69,Félix Charpentier
LH/354/50,Michel Silvestre Brayer
LH/1664/56,Louis Noël
LH/336/41,Gaston du Bousquet
LH/2249/6,Jules Quicherat
LH/1855/77,Charles Mewès
LH/2098/65,Auguste Casimir-Perier
19800035/1173/35854,Jean Dries
LH/850/47,Charles Dupasquier
LH/403/40,Eugène Auguste de Caffarelli
19800035/307/41288,Gustave Leverne
19800035/21/2686,Marcel Lalu
19800035/450/60277,Émile-Félix Gautier
LH/184/54,Victor Bérard
LH/2387/5,Alphonse de Rothschild
LH/1736/25,Armand Samuel de Marescot
LH/1729/66,Jean Gabriel Marchand
LH/193/56,Victor-Félix Bernadou
LH/452/19,Louis Joseph Nompar de Caumont
LH/1054/17,Emile Gaillard
19800035/1322/53089,Bernard Lavergne
19800035/132/16655,Charles Brune
LH/1468/91,Benoît Langénieux
LH/1027/80,Alphonse François
LH/3/7,Abel de Pujol
LH/658/48,Georges Darboy
LH/821/63,Tanneguy Duchâtel
LH/782/44,Alfred Dodds
LH/2626/25,Jean Baptiste Treilhard
LH/863/87,Henri Dupuy de Lôme
19800035/456/61061,Lucien Cayeux
LH/290/18,Gaston Bonnier
19800035/930/8376,Jean Delsarte
LH/11/88,Jean Aicard
LH/465/30,Philibert Chabert
19800035/128/16186,Jean Cruppi
LH/29/51,Auguste Jean Ameil
19800035/1221/40923,Alfred Ernout
LH/859/67,Athanase Dupre
LH/877/45,Alcide Dusolier
LH/1325/3,Charles Humbert
LH/854/21,Charles-Edmond Duponchel
19800035/230/30415,Jules Saliège
LH/1405/42,Barend Cornelis Koekkoek
LH/1005/33,Paul Foucart
LH/632/87,Charles Raymond de Saint-Vallier
LH/852/55,Charles Dupin
19800035/210/27630,Jules Charles Thays
19800035/387/51863,Henri Stein
LH/673/33,Jérôme David
LH/1569/31,Louis-François Lejeune
19800035/1247/43910,Félix Amiot
LH/8/27,Pierre Adet
19800035/65/8014,Auguste Darzens
19800035/241/32027,Philippe Barbier
LH/414/71,Maxime Du Camp
19800035/746/84696,Jules-Alexis Muenier
LH/2387/35,James de Rothschild
LH/638/43,Lucien Cuénot
LH/1994/7,Charles Arthur Tristan Languedoc de Noailles
19800035/87/10869,Lucien Lacaze
LH/1929/5,Jean-Claude Moreau
LH/683/32,Théodore Deck
LH/834/23,Léon Dufour
LH/1992/12,Gustave Léon Niox
LH/135/54,Pierre Batiffol
19800035/607/68568,Marc Rucart
LH/271/18,Antoine-Félix Boisselier
19800035/264/35226,Henri Azéma
LH/1102/54,"Jean Baptiste Gaye, vicomte de Martignac"
LH/2291/39,Charles Renard
LH/173/66,Jean-Baptiste de Belloy
LH/36/83,François Andrieux
LH/670/80,Adrien Dauzats
19800035/238/31633,Jean-Vincent Scheil
LH/1865/5,Francisque Michel
LH/2580/41,Paul Teste
LH/2248/12,Charles-Auguste Questel
