leonoreid,noms
19800035/444/59494,Georges Gromort
19800035/295/39681,Georges Guigue
19800035/1454/68168,Georges Guéril
19800035/111/14033,Georges Heuillard
19800035/733/83262,Georges Lecourtier
19800035/306/41186,Georges Leredu
19800035/889/4168,Georges Louis Mathieu
19800035/35/4457,Georges Parcheminey
19800035/1430/65526,Georges Pavis
19800035/804/91297,Georges Piquand
19800035/766/86962,Georges Raviart
19800035/760/86262,Georges Weill
LH/102/34,Germain Bapst
19800035/681/78039,Germaine Dermoz
LH/101/81,Gilbert Bandy de Nalèche
19800035/651/75068,Gilles Margaritis
19800035/1304/50598Bis,Gustave Doussain
LH/2786/117,Ferdinand-Pierre-Marie-Dorothée Guillemardet
LH/2198/37,Ferdinand Auguste Pont
LH/731/78,Ferdinand Denis
LH/1508/12,Ferdinand de La Ville-sur-Illon
LH/2331/5,Fernand-Étienne Rimbert
LH/36/81,Florent Simon Andrieux
LH/173/31,Adolphe de Bellonet
LH/345/54,Nicolas Jean-Baptiste Boyard
LH/316/87,Joseph Pierre Henri Boulay
LH/501/2,Gustave de Chassiron
LH/2684/17,Désiré Véjux
LH/662/10,Jean Firmin Darnaud
LH/600/52,Laurent Cotelle
LH/858/57,Raymond Duprat
LH/1086/40,Paulin Gattier
LH/1375/88,Louis Josson
LH/1604/6,Bernard Michel Henri Lerouge
LH/1732/62,Gédéon Florentin de Marcombe
LH/1642/69,Joseph Antoine Limperani
LH/1927/17,Charles-Louis Moreau
LH/2003/44,Gabriel Nosereau
LH/1422/37,Pèdre Lacaze
LH/2191/32,Alexandre Polangie de Rancé
LH/2606/62,Charles de Tilly
LH/2681/71,Joseph Maximilien Vayson
LH/172/11,Jean Belliard
LH/332/74,Calixte Bournat
LH/538/3,Luc Christophle
LH/751/56,Joseph-Marie Desmars
LH/870/60,Guillaume de Duranti-Concressault
LH/825/31,Édouard Jean Marie Duclos
LH/1375/38,Jean-Baptiste Josseau
LH/1370/12,Jean-Pierre Joliot
LH/2373/55,Henri Armand Rolle
LH/2632/62,Charles Tron
LH/2588/69,Germain Thibaut
LH/1010/66,Antoine Fouquier d'Hérouel
19800035/205/26806,Louis Mennesson
19800035/92/11507,Frédéric Manaut
LH/87/40,François Bachimont
LH/128/75,Edmond Bartissol
LH/193/21,Jean de Bermond d'Auriac
LH/295/83,Henri Bordet
LH/352/87,Ernest Braud
19800035/176/22737,Émile Broussais
LH/769/36,Léon Deyron
19800035/702/80107,Michel Parès
19800035/101/12658,Henry Cravoisier
19800035/1280/47641,Félix Gaborit
19800035/1316/52300,Jean Peyret
19800035/1281/47855,Joseph Railhac
19800035/160/20467,Albert Congy
19800035/244/32528,Ernest Crépel
19800035/141/17913,Arthur Delmas
LH/716/70,Joseph Delom-Sorbé
19800035/461/61652,Jean Dodat
LH/792/45,Charles Dorian
LH/862/51,Destin Dupuy
LH/950/51,Louis Fays
LH/983/7,Jacques-Charles de Fleuriot de La Freulière
LH/1167/48,Gontrand Gonnet
LH/1211/36,Nicolas Grout
LH/1237/29,Gaston Guillemet
LH/1258/6,Gustave Haguenin
LH/1625/62,Jules Leveillé
LH/1809/27,François Mayjuron Sclafer de Lagorsse
LH/1918/29,François de Montera
19800035/34/4368,Alfred Nomblot
LH/2021/42,Benoît Oriol
LH/2160/51,Constant Pilate
LH/2199/45,Honoré Pontois
LH/2259/46,Constant Ragot-Blondeau
LH/2275/48,Jean-Sylvain Raynaud
19800035/749/84926,Maxime Ridouard
LH/2507/56,Honoré Serres
LH/2565/47,Eugène Tallon
LH/2575/57,Eugène Ténot
LH/639/69,Friedrich Jacob Culmann
LH/859/56,Joseph Dupré
LH/898/8,Frédéric Engelhardt
LH/1560/21,André Alexandre Legrand
LH/1699/26,Jacques Maissiat
LH/1715/31,Jean Manescau
LH/1744/20,Jean-Louis Marion
LH/1801/15,Marcelin Maurel
LH/2032/59,Camille Pierre Alexis Paganel
LH/2118/26,Antoine Pervinquière
LH/2372/18,Gustave Rolland
LH/2693/9,Amédée Vernhette
LH/2693/11,Louis Vernhette
LH/664/87,Antoine Dartigaux
19800035/1323/53213,Albert Roche
LH/1756/7,Edmond-Charles de Martimprey
19800035/904/5664,Georges Archidice
LH/674/11,Pierre Laurent Jean-Baptiste David
LH/2653/27,Alcide Treille
19800035/1481/72091,Léopold Guillaume Marie Fabre
LH/200/10,Nicolas Charles Bernard-Dutreil
19800035/1392/60829,Edmond Rocher
LH/2518/67,Pierre Charles Sylvestre
19800035/859/995,Edme Canat
LH/2273/36,Paul Daniel Olivier Rayet
LH/542/25,Jean Claret
LH/269/51,Antoine Boirot
LH/1849/27,François Ignace Metz
LH/2083/18,"Henri, Félix De Pélissier"
LH/548/65,Charles-Louis Clément
LH/500/68,Charles Antoine Chasset
LH/332/65,Charles Bourlon de Rouvre
LH/442/19,Charles Cassal
LH/462/58,Charles Cesbron-Lavau
LH/596/3,Charles Corta
LH/710/2,Charles Delesalle
LH/2632/24,Charles Emile Troisier
LH/393/5,Charles Joseph Buquet
LH/2761/68,Charles Joseph François Wolff
LH/2658/31,Charles Vagnat
LH/2682/16,Charles Vélain
LH/71/57,Charles d'Audiffret
LH/402/34,Charles de Veauce
LH/2679/40,Claude-Nicolas Vaudrey
LH/2664/31,Claude Denis Auguste Valette
LH/519/44,Claude Joseph de Cherrier
LH/875/55,Paul Durrieu
LH/748/74,Cyprien Desgroux
LH/650/13,César Daly
LH/577/67,Daniel Ducommun de Locle
LH/801/52,David-Paul Drach
LH/831/38,Dominique-Augustin Dufêtre
LH/296/43,Durand Borel de Brétizel
19800035/954/10884,Jacques Touchard
19800035/167/21419,Edgar Boutry
LH/1984/25,Edgar Ney
19800035/203/26547,Edgard Hérouard
LH/993/6,Edme-Adolphe Fontaine
LH/1674/31,Edme Aimé Lucotte
LH/2170/18,Edme Piot
19800035/299/40260,Edmond Debeaumarché
19800035/245/32584,Edmond Desca
LH/1234/4,Edmond Guillaume
19800035/874/2665,Edmond Pascal
19800035/388/51982,Edmond Poupé
LH/476/5,Edmé Champion
LH/2364/59,Emmanuel Rodocanachi
LH/830/7,Ernest Ange Duez
19800035/141/17897,Ernest Delaunay
LH/1155/31,Ernest Désiré Glasson
LH/1611/5,Ernest Lesaffre
19800035/709/80855,Ernest Schaffner
LH/1418/13,Esprit Charles Clair de La Bourdonnaye
19800035/0339/45626,Esther Lekain
LH/43/81,Eugène Apert
19800035/665/76493,Eugène Blanc
LH/2741/75,Eugène François Germain Vuillemot
LH/1543/34,Eugène Ledrain
19800035/549/62747,Eugène Lefèvre-Pontalis
LH/1699/34,Eugène Maissin
LH/1878/9,Eugène Millet
LH/1984/14,Eugène Ney
LH/2277/55,Eugène Regnault
LH/2332/66,Eugène Rimmel
LH/2424/67,Eugène Ruffier
LH/2396/23,Eugène Rouher
LH/2626/21,Eugène Treignier
19800035/1229/41740,Eugène Verlant
LH/1676/53,Ferdinand-Eugène de Lur-Saluces
LH/107/30,Ferdinand Barbedienne
LH/1294/19,Ferdinand Hérold
19800035/133/16833,Fernand Clerc
LH/551/14,Fernand Clérault
19800035/232/30765,Fernand Laudet
19800035/1232/42176,Fernand Robbe
19800035/1484/72452,Firmin Michelet
19800035/127/16018,Francis de Miomandre
LH/313/59,Francisque Bouillier
LH/715/57,Francisque Delmas
19800035/405/54256,Francisque Gay
19800035/447/59849,Francisque Poulbot
LH/1922/55,François-Antoine de Montzey
LH/1922/56,François-Antoine de Montzey
LH/1476/4,François-Henry Laperrine
LH/2788/119,François-Joseph Lecat
LH/1277/64,François-Joseph Heim
LH/704/101,François-Pascal Delattre
LH/325/25,François Bourdon
19800035/723/82209,Marius Berliet
LH/866/46,François Durand de Tichemont
LH/1211/41,François Grouvel
LH/2337/30,François Joseph de Riquet de Caraman
19800035/188/24458,François Le Friec
LH/300/41,François Léon Boscal de Réals de Mornac
LH/1702/66,François Malausséna
LH/1853/41,François Meuret
LH/1857/34,François Meynier
LH/1935/32,François Morelli
19800035/310/41727,Lucien Simon
LH/1340/24,François Prosper Jacqmin
LH/1543/59,François Roch Ledru des Essarts
19800035/1023/18175,Gaston Niel
19800035/1185/37124,Georges Izard
19800035/119/15015,Gustave Chopinet
19800035/1012/16994,Gérard Isbecque
LH/2738/3,Adrien Volland
LH/1980/22,François de Négrier
LH/807/11,Florizel Louis de Drouin
LH/1792/13,François-Jacques-Antoine Mathieu de Reichshoffen
LH/1481/49,François-Raoul Larche
LH/2719/19,François-Émile Villemain
LH/15/53,François Albert
LH/41/94,François Anthoine de Saint-Joseph
LH/166/5,François Bel
LH/186/63,François Berge
LH/160/15,François Bécherel
LH/413/75,François Camel
LH/532/13,François Charles Chonet de Bollemont
LH/675/48,François Charles Jean Pierre Marie d'Avrange d'Haugéranville
LH/74/92,François Daugier
LH/919/51,François Fabié
LH/95/62,François Gédéon Bailly de Monthion
LH/20/58,François Henri Allain-Targé
LH/542/58,François Jean Clary
LH/542/61,François Joseph Marie Clary
LH/542/64,François Joseph Marie Clary
LH/307/71,François Louis Bouchu
LH/549/32,François Marie Clément de La Roncière
LH/187/67,François Napoléon Berger
LH/2200/26,François Populle
LH/2194/22,François René Jean de Pommereul
LH/2398/6,François Roulland
LH/1215/4,François Scholastique de Guéheneuc
LH/2670/85,François Valterre
LH/976/69,Paul Henri Fischer
LH/709/5,Frédéric Delebecque
LH/1190/68,Frédéric Granier
LH/267/25,Frédéric-Louis-Désiré Bogino
LH/2122/39,Fulbert Petit
LH/597/55,Félix Cossin
LH/684/16,Félix Decori
LH/1541/24,Félix Le Dantec
LH/891/19,Félix Léon Edoux
LH/2087/74,Félix Pellin
LH/919/55,Gabriel Fabre
LH/962/36,Gabriel Ferrier
LH/504/23,Gabriel de La Fosse
LH/888/19,Gaspard Eberlé
LH/481/17,Henri Chantavoine
LH/572/68,Georges-Évariste Colombel
LH/150/17,Georges Albert Bazaine-Hayter
LH/353/27,Georges Brault
LH/469/61,Georges Chalandon
LH/815/4,Georges Dubosc
LH/228/24,Georges Emmanuel Beuret
LH/734/29,Georges Frédéric Dentzel
LH/2718/7,Georges Ville
LH/703/65,Gervais de La Rue
LH/2194/23,Gilbert de Pommereul
LH/2200/72,Gilles Porcher de Lissonay
LH/682/8,Louis Decazes
LH/2282/76,Godefroy Redon de Belleville
LH/246/15,Guilin Laurent Bizanet
LH/1637/35,Guillaume Liborel
LH/988/53,Gustave Foëx
LH/1576/40,Gustave Le Mallier
LH/1678/64,Gustave Lyon
LH/2674/43,Gustave Vapereau
LH/272/76,Gustave Émile Boissonade
19800035/234/31087,Hector Franchomme
19800035/140/17732,Hector d'Espouy
19800035/249/33164,Henri-Auguste-Jules Patey
19800035/310/41725,Henri-Frédéric Simon
19800035/435/58196,Henri Baulig
19800035/189/24586,Henri Brispot
19800035/215/28223,Henri Charrier
19800035/102/12866,Henri Colin
19800035/1473/70645,Henri Hoppenot
19800035/173/22288,Henri Kretzschmar
19800035/23/2876,Henri Lebocq
19800035/1016/17450,Henri Massis
19800035/1479/71671,Henri Mettrier
19800035/259/34468,Henri Pognon
19800035/295/39720,Henri Prost
19800035/229/30290,Henri Ribière
19800035/1320/52815,Henri Royer
19800035/395/52942,Henri Sautot
19800035/308/41412,Henry Merlin
19800035/1403/62148,Jacques Chaine
19800035/1239/43054,Jacques Nam
19800035/1214/40197,Jacques des Gachons
19800035/157/20131,Jean Caire
19800035/1112/27355,Jean Errecart
19800035/621/70945,Jean Leune
19800035/1117/27924,Jean Pompei
19800035/432/57836,Jean Rémy
LH/1742/72,Guy Marin de Montmarin
LH/2231/70,Hector-François Préveraud de La Boutresse
LH/1361/74,Henri-Georges Jeanne
LH/1948/69,Henri-Louis-Philippe Mougin
LH/260/49,Henri Blondel
LH/427/36,"Henri Carette (homme politique, 1832-1891)"
LH/1450/49,Henri Dominique Lallemand
LH/308/71,Henri François Joseph Boudet de Puymaigre
LH/494/18,Henri François Marie Charpentier
LH/1911/39,Gabriel Monod
LH/2693/76,Frédéric-Charles Victor de Vernon
LH/328/47,Frédéric Bourgeois de Mercey
19800035/727/82682,Félix-Alexandre Desruelles
LH/1975/41,Félix-Louis de Narp
LH/41/9,Félix Ansart
19800035/242/32169,Félix Bollaert
LH/39/80,Gabriel Angoulvant
19800035/458/61311,Gabriel Cordier
19800035/193/25205,Gabriel Edouard Baptiste Pech
LH/1220/4,Gabriel Guérin
19800035/1234/42511,Gabriel Trarieux
LH/49/20,Gabriel d'Arjuzon
LH/1276/77,Gabriel de Hédouville
LH/691/35,Gabriel de Hédouville
19800035/400/53609,Yves Le Prieur
LH/1357/29,Gaspard-André Jauffret
LH/2381/35,Gaspard-Marie-Jacques-Ernest de Roquemaurel de Saint-Cernin
LH/1815/43,Gaspard Médecin
19800035/1428/65172,Gaston Joseph
19800035/177/22815,Gaston Le Provost de Launay
LH/391/56,Philippe Bunau-Varilla
LH/685/37,Georges Decroze
LH/1312/60,Georges Houssard
19800035/433/57961,Georges Lachmann
LH/1528/11,Georges Le Chevalier
19800035/1390/60441,Georges Moulène
LH/1967/57,Georges Murat
LH/2331/30,Georges Risler
19800035/1357/57123,Georges Scapini
LH/2675/101,Georges Varney
LH/434/59,Gilbert Alexandre Carrelet
LH/6/80,Gilbert Joseph Adam
LH/2783/189,Girolamo-Luigi Durazzo
LH/2719/3,Guillaume-Aubin de Villèle
LH/2787/36,Guillaume-Benoît Houdet
LH/262/11,Guillaume Abel Blouet
LH/501/86,Guillaume Chastenet de Castaing
LH/1658/39,Guillaume Latrille de Lorencez
LH/2576/45,Guillaume Louis Ternaux
LH/2288/22,Gustave-Charles-Prosper Reille
LH/486/2,Gustave Chapuis
19800035/462/61794,Gustave Dupont-Ferrier
LH/1157/77,Gustave Gobron
LH/1174/11,Gustave Gouellain
19800035/1432/65754,Gustave Pierre
LH/2176/20,Gustave Planchon
19800035/206/27031,Gustave Poussineau
LH/2476/52,Gustave Schelle
LH/2600/43,Gustave de Closmadeuc
LH/619/49,Guy Coustard de Saint-Lo
19800035/45/5607,Guy de Salvaing de Boissieu
19800035/971/12621,Gérard Cochet
LH/276/68,Henri-Antoine Bon de Lignim
LH/1766/78,Henri-Jacques Martin de Lagarde
19800035/245/32630,Henri-Lucien Doucet
LH/156/75,Henri-Étienne Beaunis
19800035/966/12071,Henri Béghin
LH/486/61,Henri Chaput
19800035/244/32481,Henri Chassin
19800035/1466/69697,Henri Chaumat
19800035/930/8356,Henri Cornat
19800035/141/17879,Henri Deglane
19800035/868/2013,Henri Dorey
LH/1148/43,Henri Giraud
19800035/1304/50607,Henri Joulie
19800035/1440/66695,Henri Le Masson
LH/1641/58,Henri Lillaz
LH/1645/66,Henri Lissac
LH/403/2,Henri Marie Alfred de Cadoudal
LH/1744/4,Henri Marion
LH/2052/4,Henri Parinaud
19800035/1232/42135,Henri Perdrix
19800035/570/64877,Henri Pottevin
LH/2209/27,Henri Pougeard-Dulimbert
19800035/1232/42202,Henri Redon
LH/2307/25,Henri Révoil
LH/2512/53,Henri Shée
LH/2519/23,Henri Siméon
19800035/1370/58436,Henri Ueberschlag
LH/1552/23,Henri Victor Clément Lefort
LH/2708/47,Henri Vigreux
19800035/90/11317,Henri de Lipkowski
19800035/28/3535,Henri de Maistre
LH/270/9,Henri du Boishamon
LH/1621/55,Henry Le Tonnelier de Breteuil
LH/2184/53,Henry Poidatz
LH/2429/45,Hermann Sabran
19800035/96/12085,Hippolyte-Alphonse Pénet
LH/1003/44,Hippolyte Fortoul
LH/1084/10,Hippolyte Gassier
LH/1671/78,Hippolyte Lucas
LH/2336/33,Honoré Jean Riouffe
LH/410/8,Hubert Callier
LH/2370/5,Hubert Rohault de Fleury
LH/87/65,Félix Baciocchi
LH/710/31,Gabriel Delessert
LH/725/48,Germain Demay
LH/1125/52,Henri Frédéric Paul Gervais
LH/1075/58,Henri Garnault
LH/1153/22,Henri Gisquet
LH/1369/77,Henri Jolicoeur
LH/134/63,Henri Jules Bataille
LH/1593/5,Henri Lepage
19800035/977/13268,Henri Massé
LH/2300/6,Henri Rendu
LH/2310/12,Henri Reymond
LH/2387/47,Henri Rottembourg
19800035/764/86823,Henri Streicher
LH/2705/64,Henri Vicaire
19800035/759/86106,Henri Woollett
LH/2770/14,Henri Zuber
LH/2132/4,Henri de Parville
LH/107/74,Henry Barbet
LH/1725/28,Henry Marcel
LH/1838/34,Henry Merle
LH/2444/15,Hervé de Saisy de Kerampuil
LH/1743/21,Hippolyte Auguste Marinoni
LH/1509/95,Hippolyte Lazerges
LH/15/52,Honoré d'Albert de Luynes
LH/1537/41,Horace Lecoq de Boisbaudran
LH/1163/48,Hubert Goffin
LH/2563/58,Hubert Jules Taillefer
LH/1852/1,Hugues Alexandre Joseph Meunier
LH/1916/57,Hugues Brisset de Montbrun de Pomarède
LH/1348/84,Humbert Jaillet de Saint-Cergues
LH/2324/12,Hyacinthe Richaud
LH/2027/52,Ignace-Laurent-Stanislas d'Oullenbourg
LH/433/71,Irénée Carré
LH/1742/41,Jacques-Barthélémy Marin
LH/2788/172,Jacques-Guy Lentaigne de Logivière
LH/2793/168,Jacques-Jean Thévenin
LH/453/103,Jacques-Marie de Cavaignac
LH/1435/46,Jacques-Émile Lafon
LH/246/9,Jacques Alexandre Bixio
LH/163/16,Jacques Bedout
LH/189/40,Jacques Bergeret
LH/364/84,Jacques Charles Hyacinthe Brierre
LH/1844/8,Jacques Félix Meslin
LH/1351/53,Jacques Félix Jan de La Hamelinaye
19800035/74/9186,Jacques Hilpert
LH/249/10,Jacques Hippolyte Sylvestre Blanc
LH/1964/30,Jacques Léonard Muller
LH/2162/67,Jacques Marguerite Pilotte de La Barollière
LH/2302/71,Jacques Replat
LH/1590/24,Jacques de Lens
LH/1616/87,Jacques de Lesseps
LH/276/29,Jean-Baptiste Bompard
LH/385/37,Jean-Baptiste Bruny
LH/1774/21,Jean-Baptiste Charles Mas de Polart
LH/1106/59,Jean-Baptiste Gélineau
LH/2640/27,Jean-Baptiste Joseph Tyrbas de Chamberet
LH/1826/29,Jean-Baptiste Pierre Menne
LH/1408/24,Jean-Baptiste Sébastien Krantz
LH/2593/7,Jean-Baptiste Thieullen
LH/2116/51,Jean-Charles Persil
LH/299/49,Jean-François Borson
LH/311/72,Jean-François Bougenel
LH/2202/5,Jean-François Porson
LH/1097/32,Jean-Joseph Gauthier
LH/2556/76,Jean-Joseph Sue
LH/22/22,Jean-Jules Allasseur
LH/1217/17,Jean-Louis Charles Guesnon-Deschamps
LH/3/18,Jean-Marie Aberjoux
LH/160/2,Jean-Pierre Béchaud
LH/1722/62,Jean-Pierre Maransin
LH/394/18,Jean-Xavier Bureau de Pusy
LH/1342/10,Jean Baptiste François Jacqueminot
LH/2706/47,Jean Baptiste Émile Vidal
19800035/964/11874,Jean Baradez
LH/1363/29,Jean Bozérian
LH/515/31,Jean Chemineau
LH/1194/50,Jean César Graziani
LH/2383/85,Jean François Philibert Rossée
19800035/908/6145,Jean Irigoin
LH/1672/8,Jean Jacques Étienne Lucas
LH/1413/47,Jean Joseph Labâte
LH/1385/24,Jean Jubelin
LH/1437/75,Jean Laforgue
19800035/692/79122,Jean Laigret
LH/1725/63,Jean Marcellin
LH/1325/52,Jean Nicolas Humbert de Fercourt
19800035/876/2792,Jean Risbourg
LH/693/56,Henri-Pierre Delaage
LH/544/28,Henri Claudon
LH/569/30,Henri Collin
LH/597/13,Henri Cosnier
LH/778/49,Henri Ding
LH/907/26,Henri Espivent de La Villesboisnet
LH/662/13,Henri Pierre Darnaudat
LH/818/53,Henry du Buit
LH/662/8,Jacques Darnaud
LH/750/22,Jacques Desjardin
LH/823/69,Jean-Baptiste-Joseph Duchesne
LH/570/34,Jean-Baptiste Collin de Sussy
LH/806/80,Jean-Baptiste Drouin
LH/887/33,Jean-Baptiste Duvoisin
LH/735/23,Jean-Irénée Depéry
LH/1240/9,Alexandre Guillet
LH/1713/26,François Manceau
LH/1281/79,Louis-Félix Henneguy
19800035/575/65349,Adrien Veillon
LH/309/46,Jean Christian Marc François Joseph Boudin
LH/885/41,Charles Duverger de Saint-Thomas
LH/817/21,Eugène Dubreuil
LH/723/59,Georges Demanche
LH/72/63,Joseph-Victor Audoy
LH/1123/84,Athanase Germain
LH/1163/7,Johann Wolfgang von Goethe
LH/1401/71,Alphonse Kirchhoffer
LH/842/2,Alexandre Dumas
LH/1889/57,Frédéric Mistral
LH/2534/17,Louis-Gaston de Sonis
LH/1628/26,"Levin August Gottlieb Theophil, Graf von Bennigsen"
LH/243/6,Samuel Bing
LH/1516/80,Louis Charles Vincent Le Blond de Saint-Hilaire
LH/1406/76,Charles Émile Kopp
LH/857/26,Paul Dupont des Loges
LH/1990/49,Adolphe Niel
LH/1527/45,Henry Louis Le Châtelier
19800035/1024/18185,Jérôme Carcopino
LH/425/60,Jérôme Carcopino
LH/917/41,Jean-Gabriel Eynard
LH/1268/16,Jean Isidore Harispe
LH/646/53,Louis Daguerre
LH/2110/21,Jean Perrin
19800035/1423/64586,Henri Ey
19800035/218/28709,Lucien Febvre
C/0/23,Marcel Dassault
LH/2692/9,Horace Vernet
LH/1984/13,Simon Newcomb
LH/2288/39,Joseph Reinach
19800035/616/69538,Jean Behra
LH/1272/25,Georges Eugène Haussmann
LH/988/37,Ferdinand Foch
19800035/1342/55610,Jules Rimet
LH/116/6,Jean-Pierre Barillet-Deschamps
LH/2288/42,Théodore Reinach
LH/297/3,Camille Borghèse
LH/1006/86,Joseph Fouché
LH/1452/27,Édouard Lalo
19800035/222/29229,Marie Laurencin
19800035/99/12464,Charles Nicolle
LH/2730/5,Fernand Vix
LH/321/80,Charles Denis Bourbaki
19800035/1189/37552,Ulysse Gémignani
LH/194/23,Joseph Bernard
LH/34/52,Édouard André
LH/677/16,Édouard Debat-Ponsan
LH/1547/64,Édouard Lefebvre de Laboulaye
19800035/275/36821,Émile-Georges Drigny
LH/256/19,Émile Blavet
19800035/243/32381,Émile Cartailhac
LH/545/29,Bertrand Clausel
LH/2692/33,Auguste Verneuil
LH/2288/24,Honoré Charles Reille
LH/2288/25,Honoré Charles Reille
LH/2383/64,François Étienne de Rosily-Mesros
LH/2005/21,Émile Nouguier
LH/2500/3,Émile Senart
LH/2762/49,Émile Worms
19800035/271/36211,Louis Anquetin
LH/2061/44,Étienne-Denis Pasquier
LH/1317/16,Évariste Huc
LH/305/60,Hélène Boucher
LH/2714/28,Alfred de Vigny
LH/1150/22,Jean Giraudoux
LH/2402/2,Théodore Rousseau
LH/1374/19,Camille Jordan
LH/212/28,Claude Louis Berthollet
LH/1495/32,Pierre-André Latreille
C/0/38,Bernard Germain de Lacépède
19800035/1393/60962,Albert Roussel
LH/2530/39,Georges Sorel
19800035/1331/54348,Guy Mollet
LH/2295/70,Jules Renard
19800035/548/62695,Maurice Leblanc
LH/2037/44,Paul Painlevé
LH/476/65,Albert Champoudry
19800035/1222/41059,André Jolivet
LH/2464/35,Charles de Freycinet
LH/306/7,Auguste Gaspard Louis Desnoyers
LH/1606/21,Xavier Leroux
LH/1630/18,Lucien Lévy-Bruhl
19800035/76/9379,Pierre Janet
19800035/1189/37549,Marcel Gensoul
LH/214/44,Jean-Victor Bertin
LH/519/61,Adolphe Chéruel
LH/969/21,Eugène Fichel
LH/1008/55,Achille Fould
LH/1485/66,Pierre Laromiguière
19800035/360/48378,Albert Grenier
19800035/267/35672,Georges-Antoine Rochegrosse
LH/1336/16,François-André Isambert
LH/1182/52,Laurent de Gouvion-Saint-Cyr
LH/962/27,Gratien Ferrier
LH/837/47,Henri-Joseph Dugué de La Fauconnerie
LH/86/84,Henri Bachelet
LH/765/68,Henri Deverin
LH/789/4,Henri Doniol
LH/872/7,Henri Duret
LH/992/3,Henri Fonfrède
LH/963/37,Henri Marie Auguste Ferron de la Ferronnays
LH/750/89,Henri des Lyons de Feuchin
LH/912/45,Hippolyte-Étienne Etiennez
LH/775/54,Hippolyte Dieu
LH/2172/7,Héliodore Pisan
LH/196/29,Ignace-Blesmond Bernard
LH/1341/69,Jacques-Alexis Jacquemin
LH/2367/2,Jacques-François Roger
19800035/218/28621,Jacques-Louis Dumesnil
LH/1324/28,Jacques-Louis Hulot
19800035/1449/67612,Jacques Duhamel
LH/1062/13,Jacques Léon Gallimard
LH/1832/33,Jacques Mercier
19800035/95/11960,Jacques Oudot
LH/2240/54,Jacques Pierre Louis Puthod
LH/208/58,Jean-Auguste Berthaut
LH/1840/16,Jean-Baptiste Gabriel Merlin
LH/1291/13,Jean-Baptiste Herbin-Dessaux
19800035/667/76608,Jean-Baptiste Laumond
19800035/1270/46349,Jean-Baptiste Mathias
LH/2006/42,Jean-Baptiste Nouvion
LH/1969/42,Jean-Charles Musquinet de Beaupré
LH/1037/86,Jean-François Friant
LH/1307/52,Jean-François Honnorat
LH/1291/30,Jean-François de Hercé
LH/1499/39,Jean-Joseph Bonaventure Laurens
LH/1510/72,Jean-Marie Le Barbier de Tinan
19800035/160/20557,Jean-Paul Cauchi
LH/1925/35,Jean-Pierre Morat
LH/1379/27,Jean-Pierre de Jouffroy
19800035/1166/33087,Jean-Robert Thomazo
LH/1042/38,Jean-Victor Frond
LH/131/66,Jean Antoine Léon Bassot
LH/174/28,Jean Belon
19800035/304/40921,Jean Benoit-Lévy
LH/191/22,Jean Bergonié
19800035/376/50413,Jean Bernard-Derosne
19800035/133/16782,Jean Bonnail
19800035/1057/21622,Jean Deffaugt
LH/228/44,Jean Ernest de Beurmann
LH/1290/17,Jean François Jules Herbé
LH/1198/36,Jean Georges Grenier
LH/1174/55,Jean Gougeon
19800035/295/39637,Jean Guiter
19800035/689/78870,Jean Hervé
LH/1487/56,Jean Larroque
LH/1507/83,Jean Laville
LH/123/19,Jean Léonard Barrié
LH/1842/49,Jean Marie Benjamin Merveilleux du Vignaux
19800035/80/9912,Jean Mondielli
19800035/699/79876,Jean Montariol
LH/1978/14,Jean Navarre
LH/2276/31,Jean Nicolas Razout
19800035/1086/24879,Jean Pineau
19800035/570/64835,Jean Plichon
19800035/194/25278,Jean Taurines
19800035/1375/58867,Jean de Broglie
19800035/445/59580,Jean de Leusse
19800035/1479/71715,"Jeanne, Joséphine, Désirée, Marie-Louise Mellier"
LH/212/16,Joseph Constant Amédée Conrad Berthois
LH/1378/2,Joseph François Joubert-Bonnaire
LH/1668/51,Joseph Louvot
LH/119/59,Joseph Marie de Barral
LH/1084/61,Joseph de Gasté
LH/1208/33,Jules Grosjean
LH/1613/33,Jules Lescuyer d'Attainville
19800035/734/83359,Jules Lugol
19800035/772/87523,Justin Godart
LH/773/53,Hyacinthe Firmin Didot
LH/2778/39,Isidore de Lynch
LH/472/42,Jacques-Antoine de Chambarlhac de Laubespin
LH/2378/5,Jacques Alexandre Romeuf
LH/392/95,Jacques Gabriel Bulliot
LH/2606/66,Jacques Louis François de Tilly
LH/2516/3,Jacques Siegfried
LH/43/28,Jean-Baptiste Antonin
LH/852/41,Jean-Baptiste Dupin
LH/719/45,Jean-Baptiste Gustave Deloye
LH/869/57,Jean-Baptiste Michel Durand
LH/2757/46,Jean-Baptiste Philibert Willaumez
LH/2395/67,Jean-Baptiste Rougier de La Bergerie
LH/641/23,Jean-François Curée
LH/642/93,Jean-Guillaume-Antoine Cuvelier
LH/878/69,Jean-Jacques Dussumier
LH/896/45,Jean-Louis Emmery
LH/2794/52,Jean-Pierre Delatte
LH/2540/43,Jean Antoine Soulier
LH/967/69,Jean Baptiste Simon Fèvre
LH/561/25,Jean Coignet
LH/901/17,Jean Augustin Ernouf
LH/69/39,Jean Francis Auburtin
LH/81/66,Jean François d'Avrange du Kermont
LH/689/77,Jean-Marie Degoutte
LH/896/46,Jean-Marie Joseph Emmery
LH/74/65,Jean-Pierre Augereau
LH/92/2,Jean-Pierre Baillod
LH/677/40,Jean Baptiste Joseph De Bay père
