leonoreid,diplomes,professions
19800035/159/20378,doctorat | agrégation de grammaire,administrateur | historien de la littérature | romaniste | professeur
LH/86/85,agrégation d'histoire,lexicographe | musicologue | bibliothécaire | écrivain
LH/2076/30,agrégation de grammaire,poète
LH/119/67,laurea,personnalité politique
LH/1627/36,laurea,personnalité politique | avocat
LH/1423/56,laurea,chirurgien | personnalité politique | médecin
19800035/384/51470,agrégation de lettres,sociologue
19800035/1237/42733,agrégation de médecine | doctorat,urologue | gynécologue | chirurgien
LH/1423/54,docteur ès lettres,philosophe
19800035/1336/54909,doctorat en droit,personnalité politique | avocat
LH/529/61,doctorat en droit,diplomate | personnalité politique | personnalité du monde des affaires
LH/611/3,archiviste paléographe,folkloriste | historien de l'art | traducteur | bibliothécaire
LH/2533/53,laurea,ingénieur civil | personnalité politique | ingénieur
19800035/1255/44773,agrégation de grammaire | doctorat,professeur d'université | théologien | prêtre catholique | aumônier | historien | enseignant | écrivain
LH/4/1,agrégation de lettres,écrivain de science-fiction | romancier | critique d'art | journaliste | dramaturge | écrivain
19800035/271/36270,agrégation de lettres | docteur ès lettres,philosophe | professeur d'université | maître de conférences | chargé de cours | enseignant | écrivain
19800035/633/73210,agrégation de lettres | doctorat,critique littéraire | professeur d'université | traducteur | écrivain
19800035/237/31499,agrégation de grammaire,anthropologue | archéologue | historien de l'art | historien
LH/2406/4,agrégation d'histoire,historien | bibliothécaire
19800035/89/11136,archiviste paléographe,historien de la littérature | romaniste | historien | archiviste | bibliothécaire | professeur
19800035/110/13822,archiviste paléographe,médiéviste | romaniste | professeur d'université | historien
LH/1934/53,archiviste paléographe,linguiste | hispaniste | romaniste | biographe | traducteur | historien | bibliothécaire | professeur
LH/1260/52,archiviste paléographe,historien
19800035/235/31160,archiviste paléographe,administrateur colonial | professeur | personnalité politique
19800035/90/11235,doctorat,physiologiste | professeur d'université | chirurgien | professeur | médecin
19800035/320/43185,doctorat,paléontologue | professeur d'université | géologue
19800035/21/2617,doctorat,minéralogiste | volcanologue | professeur d'université | géologue
19800035/51/6235,doctorat ès sciences,physicien
LH/2762/45,docteur ès sciences,sociologue | haut fonctionnaire | économiste
LH/1645/67,doctorat ès sciences,physicien
19800035/422/56372,docteur ès sciences,biographe | historien | économiste | personnalité politique | écrivain | juge
LH/302/51,docteur ès sciences,anthropologue | archéologue | entomologiste | historien | diplomate
LH/503/102,doctorat ès sciences médicales,botaniste | pharmacologue | professeur d'université
LH/148/82,doctorat ès sciences médicales,neurologue | psychiatre | médecin
19800035/799/90486,doctorat en droit,romancier | historien | poète
LH/978/5,doctorat en droit,historien | juriste | professeur | avocat
LH/273/53,docteur ès sciences historiques,historien | botaniste | géologue | zoologiste
LH/725/17,agrégation | doctorat,mathématicien | enseignant
19800035/462/61794,doctorat | archiviste paléographe,historien
LH/311/25,licence en droit,haut fonctionnaire | avocat
19800035/726/82595,docteur ès lettres | agrégation de lettres,helléniste
19800035/766/86962,agrégation de médecine | doctorat,professeur des universités-praticien hospitalier | psychiatre
19800035/1173/35868,archiviste paléographe,archéologue | historien
19800035/645/74404,archiviste paléographe,historien | bibliothécaire
LH/2104/27,archiviste paléographe,archiviste
19800035/295/39681,archiviste paléographe,archiviste | historien
19800035/1195/38203,agrégation d'histoire,haut fonctionnaire | historien
19800035/941/9569,agrégation de philosophie,résistant | pédagogue | haut fonctionnaire
LH/632/51,doctorat | agrégation de lettres,philologue classique | helléniste | professeur d'enseignement secondaire | professeur adjoint | professeur d'université | maître de conférences | traducteur
19800035/205/26784,archiviste paléographe,archiviste paléographe | archiviste
19800035/258/34444,archiviste paléographe | doctorat en droit,magistrat | personnalité politique
LH/2245/54,doctorat en droit,conseiller d'État | personnalité politique | avocat | juge
19800035/194/25386,doctorat | archiviste paléographe,historien
LH/2001/20,doctorat,philosophe
LH/689/13,docteur en médecine,neurologue | physicien | médecin
LH/990/19,agrégation de droit privé | doctorat en droit,personnalité politique
LH/638/19,agrégation d'histoire,journaliste | historien | économiste | bibliothécaire
19800035/454/60711,archiviste paléographe,archiviste | historien
LH/280/52,archiviste paléographe,explorateur | archéologue | diplomate
19800035/1214/40161,archiviste paléographe,historien
19800035/570/64867,archiviste paléographe,archiviste | historien
19800035/206/27067,agrégation d'histoire,médiéviste | historien
LH/875/55,archiviste paléographe,historien de l'art
LH/2202/6,archiviste paléographe,archiviste | historien
LH/414/52,doctorat en droit,historien | juriste
LH/2616/36,doctorat en droit,professeur de droit public | juriste
19800035/1023/18102,docteur en médecine,résistant | biographe | personnalité politique | médecin
LH/632/49,doctorat | agrégation de lettres,administrateur | helléniste | philologue | professeur d'université | traducteur | maître de conférences | chargé de cours
LH/541/10,doctorat en droit,personnalité politique | avocat
LH/1791/58,doctorat en droit,personnalité politique | avocat
19800035/225/29705,archiviste paléographe,archiviste | diplomate | personnalité politique
LH/2146/45,laurea,professeur d'université | personnalité politique | avocat
LH/161/77,baccalauréat universitaire ès sciences | doctorat ès sciences,physicien nucléaire | professeur d'université | chimiste | physicien | ingénieur
LH/2064/18,Philosophiæ doctor | honoris causa | docteur en médecine,microbiologiste | biochimiste | agronome | professeur d'université | biologiste | chimiste | naturaliste
LH/1352/92,doctorat | licence,minéralogiste | géologue | naturaliste
19800035/1192/37916,doctorat,statisticien | professeur d'université | espérantiste | mathématicien
LH/191/38,doctorat,philosophe | sociologue | professeur | écrivain
LH/1163/7,licence,diariste | minéralogiste | autobiographe | théoricien de l'art | librettiste | romancier | homme de lettres | philosophe | aphoriste | écrivain voyageur | critique d'art | artiste visuel | botaniste | directeur de théâtre | théologien | critique musical | juriste-poète | peintre | Esprit universel | homme d'État | zoologiste | dramaturge | diplomate | juriste | bibliothécaire | physicien | personnalité politique | poète | avocat | compositeur | écrivain
LH/2481/1,ingénieur,ingénieur du corps de l'armement | paléontologue | géologue | zoologiste
19800035/1054/21406,docteur en médecine,pédiatre | historien local | médecin
LH/926/26,docteur en médecine,entomologiste | physiologiste | médecin | enseignant
LH/2547/11,archiviste paléographe,historien | écrivain
LH/1240/9,laurea,personnalité politique | avocat
LH/1500/49,laurea,magistrat | personnalité politique
LH/132/41,laurea,propriétaire de biens | personnalité politique | avocat
LH/1447/5,doctorat ès sciences,journaliste | espérantiste | mathématicien | personnalité politique | militaire
LH/243/6,,collectionneur d'œuvres d'art | marchand d'art
LH/1967/9,,philosophe | orientaliste | arabisant | traducteur | professeur
LH/1270/15,,helléniste | philologue classique | archéologue | érudit classique | bibliothécaire | professeur
LH/1304/70,,lexicographe | historien | médecin | écrivain
LH/1305/72,,officier | personnalité politique | militaire
LH/40/16,,peintre | illustrateur
LH/2637/89,,professeur d'université | ingénieur
LH/2288/67,,diplomate | personnalité politique | écrivain
LH/371/72,,paléontologue | botaniste
19800035/1373/58673,,personnalité politique
19800035/722/82176,,historien de la littérature | romancier | critique littéraire | romaniste | poète | écrivain
LH/1943/17,,professeur d'université | peintre | sculpteur | inventeur | physicien | photographe
19800035/435/58224,,sociologue | professeur d'université | juriste
LH/397/77,,professeur de musique | musicologue | professeur de chant | artiste lyrique | chanteur | poète | compositeur
LH/1516/80,,officier | militaire
LH/1799/22,,officier
19800035/22/2808,,militaire
LH/159/66,,biologiste | chimiste | médecin
LH/950/27,,officier | militaire
LH/150/12,,officier | personnalité politique | militaire
LH/301/13,,imprimeur-libraire | éditeur
LH/1353/98,,personnalité politique
LH/2247/48,,militaire
LH/2247/51,,militaire
19800035/1319/52647,,arabisant | professeur
LH/998/41,,officier | personnalité politique | militaire
LH/673/3,,peintre | personnalité politique
LH/128/77,,professeur de musique | ethnomusicologue | musicologue | entomologiste | chorégraphe | professeur d'université | musicien | pianiste | pédagogue | compositeur | enseignant
LH/1640/71,,diplomate | personnalité politique
LH/1546/20,,personnalité politique | militaire
19800035/271/36272,,personnalité politique
LH/1837/46,,facteur d'orgues
LH/739/73,,militaire
19800035/281/37697,,journaliste | prêtre catholique | personnalité politique
LH/1648/38,,anatomiste | pathologiste | professeur d'université | chirurgien
LH/2532/12,,physicien | mathématicien | astronome
LH/1406/76,,professeur d'université | chimiste | personnalité politique
19800035/141/17922,,prêtre catholique | personnalité politique
LH/789/11,,compositeur
LH/1896/6,,pharmacologue | professeur d'université | chimiste | pharmacien
LH/1626/79,,météorologue | mathématicien | personnalité politique | astronome
19800035/169/21742,,professeur d'université | chimiste
LH/940/44,,professeur de musique | musicologue | professeur d'université | maître de chapelle | organiste | pianiste | enseignant | compositeur
LH/1856/41,,autobiographe | directeur musical | musicien | chef d'orchestre | compositeur
LH/857/26,,prêtre catholique | personnalité politique
19800035/1137/30240,,danseur | acteur de théâtre | acteur de cinéma | parolier | musicien | chanteur | acteur
LH/2657/7,,graveur | peintre
LH/42/32,,vétérinaire | personnalité politique
LH/657/2,,peintre | illustrateur | graveur
19800035/1036/19555,,journaliste | personnalité politique
19800035/1180/36561,,ingénieur en aérospatiale | ingénieur
LH/372/102,,prêtre catholique
LH/1610/38,,officier | personnalité politique | militaire
LH/2661/33,,officier | personnalité politique
LH/1990/49,,ingénieur militaire | personnalité politique | militaire
LH/1517/17,,personnalité politique | militaire
LH/1549/67,,professeur de musique | musicologue | clarinettiste | compositeur
LH/103/37,,diplomate | officier | personnalité politique | militaire
LH/2327/66,,diplomate | personnalité politique | militaire
LH/518/9,,romancier | journaliste | dramaturge | écrivain
C/0/45,,officier | personnalité politique
LH/496/58,,fabricant d'instruments | entrepreneur | ingénieur
LH/345/25,,médailleur | sculpteur
LH/1685/37,,officier | personnalité politique
19800035/37/4661,,ingénieur
19800035/61/7437,,résistant | militaire
19800035/802/90851,,personnalité politique
LH/2754/30,,diplomate | personnalité politique
LH/337/32,,professeur des écoles | ingénieur hydraulicien | professeur d'université | mathématicien | physicien
LH/2754/15,,personnalité politique | personnalité du monde des affaires
19800035/451/60340,,universitaire | chimiste | ingénieur
LH/82/7,,peintre | illustrateur | graveur
19800035/1024/18185,,érudit classique | haut fonctionnaire | historien
LH/425/60,,érudit classique | haut fonctionnaire | historien
LH/9/83,,biologiste
LH/1233/67,,physicien
19800035/354/47636,,légionnaire | librettiste | journaliste | romancier | designer | écrivain voyageur | correspondant de guerre | poète | écrivain
19800035/166/21397,,professeur de musique | compositeur de musique classique | musicologue | compositeur de musique de film | compositeur
LH/833/60,,ingénieur civil | cartographe | urbaniste | personnalité politique | militaire
LH/917/41,,banquier | diplomate | photographe
LH/355/95,,inventeur | horloger | physicien | ingénieur | personnalité du monde des affaires
19800035/576/65483,,bactériologiste | explorateur | agronome | biologiste | médecin
19800035/99/12462,,ophtalmologue
LH/1340/46,,peintre animalier | graveur | aquafortiste | artiste graphique | peintre | illustrateur | photographe
LH/2274/39,,militaire
LH/2225/41,,assyriologue | archéologue | numismate | conservateur
LH/1656/36,,romaniste | archiviste | historien | professeur
LH/151/54,,journaliste | romancier | juriste-poète | professeur d'université | écrivain
LH/2392/42,,géographe | photographe
LH/2284/50,,personnalité politique | militaire
LH/1899/55,,officier | personnalité politique | militaire
C/0/47,,diplomate | officier | personnalité politique | militaire
LH/300/80,,officier | personnalité politique | militaire
C/0/46,,officier | personnalité politique | militaire
LH/1268/16,,officier | personnalité politique
19800035/1096/25811,,directeur | acteur de cinéma | acteur de télévision | humoriste | réalisateur | acteur de théâtre | chanteur
19800035/424/56686,,archiviste | dramaturge | écrivain
LH/770/6,,personnalité politique | militaire
LH/2322/23,,industriel | inventeur | entrepreneur | personnalité du monde des affaires | photographe
LH/1435/59,,peintre
19800035/198/25889,,aviateur | diplomate | militaire
LH/2178/59,,officier
LH/646/53,,artiste graphique | peintre | chimiste | inventeur | photographe
19800035/436/58318,,biochimiste | chimiste | pharmacien
LH/1268/60,,explorateur | diplomate | médecin
LH/1645/23,,inventeur | professeur | physicien | photographe
19800035/172/22143,,diariste | critique littéraire | prosateur | essayiste | traducteur | poète | écrivain
LH/2784/29,,journaliste | diplomate | personnalité politique | avocat | écrivain
LH/2141/57,,librettiste | romancier | dramaturge | compositeur | écrivain
LH/1991/2,,chimiste | physicien | photographe
LH/1396/35,,officier | personnalité politique | militaire
19800035/1423/64586,,philosophe | psychanalyste | psychologue | psychiatre | médecin
