leonoreid,diplomes,professions
19800035/823/93700,,chimiste | entrepreneur | personnalité du monde des affaires
LH/1131/25,,aérostier | inventeur | ingénieur
LH/1/60,,explorateur | archéologue | numismate | cartographe | physicien | personnalité politique | écrivain | astronome
LH/42/2,,peintre
LH/1586/32,,théoricien | professeur d'université | compositeur
19800035/1475/70913,,topologue | mathématicien | professeur
LH/2064/29,,juriste | personnalité politique
LH/2111/40,,personnalité politique | militaire
LH/892/29,,peintre
LH/1388/2,,sinologue | archéologue | folkloriste | traducteur | professeur
LH/895/40,,musicologue | professeur de musique | musicien | compositeur
LH/309/19,,mycologue
LH/978/8,,ingénieur civil
19800035/1176/36127,,ingénieur en aérospatiale | ingénieur
C/0/36,,diplomate | officier | personnalité politique
LH/389/69,,juriste
LH/705/24,,mathématicien | ingénieur | astronome
LH/909/20,,ingénieur | militaire
LH/1059/66,,ornemaniste | peintre | enseignant
LH/569/97,,peintre
LH/1589/26,,essayiste | archéologue | médiéviste | historien de l'art | conservateur
19800035/239/31751,,géologue
LH/751/57,,ophtalmologue
LH/2508/78,,personnalité politique | militaire
LH/858/65,,professeur d'université | compositeur
LH/2141/18,,horloger | personnalité du monde des affaires
19800035/3/338,,répétiteur | diplomate | personnalité politique | écrivain
LH/2563/18,,personnalité politique | juge
LH/2777/51,,officier | personnalité politique | militaire
LH/1754/44,,neurochirurgien | joueur de rugby à XV | chirurgien
LH/1995/9,,biologiste | professeur d'université | vétérinaire
19800035/158/20182,,acteur
LH/2783/32,,traducteur | personnalité politique
19800035/212/27793,,espion | militaire
LH/2266/51,,chimiste | physicien
C/0/1,,officier | personnalité politique | militaire
LH/1415/46,,journaliste | dramaturge | auteur | écrivain
19800035/1350/56433,,essayiste | critique | critique littéraire | romancier | éditeur | traducteur | poète | scénariste | écrivain
LH/199/2,,romancier | juriste-poète | journaliste | dramaturge | avocat
LH/585/63,,romancier | dramaturge | auteur | poète | écrivain
LH/1102/17,,peintre
LH/32/2,,linguiste | historien de la littérature | écrivain voyageur | critique littéraire | érudit classique | bibliothécaire | historien | professeur | écrivain
LH/162/50,,philologue | critique littéraire | romaniste | professeur
LH/2591/40,,historien
C/0/20,,personnalité politique | avocat
LH/2610/51,,caricaturiste | peintre
LH/1410/2,,universitaire | chimiste | entrepreneur | professeur
LH/7/21,,écrivain de science-fiction | romancier | dramaturge | écrivain
19800035/777/88039,,théoricien de l'art | peintre | illustrateur
19800035/97/12110,,designer | maître d'œuvre | urbaniste | enseignant | architecte
19800035/1140/30467,,personnalité politique | personnalité du monde des affaires
LH/1503/29,,cartographe | photographe
19800035/254/33915,,professeur d'université | organiste | compositeur
LH/2401/84,,critique musical | compositeur
19800035/205/26838,,pilote automobile | industriel | ingénieur
LH/1696/16,,diariste | philosophe | psychologue | personnalité politique
LH/984/45,,peintre
LH/2777/60,,chimiste | pharmacien
LH/945/4,,prêtre catholique
19800035/282/37855,,archéologue
LH/2127/18,,géologue | professeur | ingénieur
LH/140/40,,administrateur colonial | officier de la Marine française
LH/2542/10,,officier | personnalité politique
LH/657/5,,caricaturiste | sculpteur
LH/25/63,,ingénieur
LH/352/24,,peintre | artiste | graveur
LH/1842/15,,dessinateur de timbres | peintre | illustrateur
LH/925/44,,historien | personnalité politique
LH/2668/75,,sculpteur
19800035/1326/53584,,peintre
LH/553/50,,personnalité politique | militaire
LH/1693/54,,compositeur
LH/1942/70,,sculpteur | peintre
LH/1877/44,,sculpteur | médailleur | peintre | graveur
LH/765/65,,anthropologue | archéologue | égyptologue | conservateur
LH/222/36,,artiste graphique | peintre | graveur
LH/2653/39,,militaire
LH/811/20,,chirurgien
LH/1740/22,,mathématicien | militaire
LH/2378/80,,architecte | écrivain
LH/1258/19,,chorégraphe | critique musical | pianiste | chef d'orchestre | compositeur
LH/1980/60,,chirurgien plasticien | chirurgien | personnalité politique
LH/1151/52,,peintre | écrivain
19800035/1384/59899,,violoncelliste | directeur musical | chef d'orchestre | compositeur
19800035/146/18610,,diplomate | photographe
19800035/571/64930,,chorégraphe | organiste | chef d'orchestre | compositeur
19800035/862/1356,,féministe | physicien
LH/1546/82,,peintre
LH/277/60,,personnalité politique
LH/1420/91,,architecte
LH/618/72,,historien de la philosophie | philosophe | professeur d'université | biographe | traducteur | personnalité politique | écrivain
LH/1410/26,,peintre
LH/2401/82,,personnalité politique | avocat
LH/371/23,,journaliste | historien | diplomate | personnalité politique | écrivain
19800035/460/61581,,coureur cycliste sur piste | cycliste | journaliste
LH/2476/36,,dessinateur | sculpteur | peintre
LH/1625/5,,personnalité politique | militaire
LH/432/44,,inventeur | ingénieur | photographe
LH/1721/19,,personnalité politique | poète | écrivain
LH/659/25,,spéléologue | ingénieur civil | ingénieur hydraulicien | physicien | ingénieur | scientifique
19800035/455/60893,,acteur de théâtre | acteur
LH/407/9,,physicien
19800035/1482/72153,,acteur de cinéma | acteur de théâtre
LH/2752/2,,marchand d'art
19800035/1267/46029,,résistant | personnalité politique
19800035/1092/25524,,mathématicien | ingénieur
C/0/2,,officier | personnalité politique
LH/1223/40,,anthropologue | statisticien | avocat
LH/2607/3,,chef d'orchestre | compositeur
LH/535/29,,musicologue | librettiste | critique musical | conservateur
LH/404/67,,chimiste
19800035/1481/72058,,grand couturier
LH/1015/75,,spéléologue | professeur d'université | géologue
LH/371/73,,herpétologiste | minéralogiste | botaniste | zoologiste | paléontologue | professeur d'université | chimiste | géologue
LH/886/13,,corniste | professeur de musique | musicologue | professeur | compositeur
LH/272/69,,philologue classique | historien | professeur
19800035/255/34038,,professeur de musique | hautboïste | professeur d'université | compositeur
LH/2675/103,,compositeur
LH/382/41,,ingénieur civil | ingénieur | architecte
LH/2622/1,,journaliste | écrivain
LH/2089/14,,chimiste | physicien | pharmacien | professeur
LH/2601/39,,pianiste | compositeur
19800035/19/2411,,professeur d'université | géographe | géologue
LH/439/2,,impresario | artiste lyrique | chanteur
LH/1307/39,,archéologue classique | épigraphiste | professeur d'université
LH/1011/64,,entomologiste | chimiste | collaborateur de l'Encyclopédie | personnalité politique
19800035/1262/45505,,librettiste | poète | avocat | écrivain
19800035/372/49942,,historien de l'art
19800035/897/4966,,musicologue | critique musical | pianiste | compositeur
19800035/189/24648,,producteur de cinéma | éditeur
19800035/1481/72000,,acteur de cinéma | danseur | metteur en scène | artiste lyrique | acteur de théâtre | chanteur
LH/965/30,,collectionneur d'œuvres d'art | diplomate | prêtre catholique | personnalité politique
LH/83/41,,linguiste | explorateur | anthropologue | archéologue
LH/760/15,,explorateur | militaire
19800035/290/38904,,designer de bijoux | vitrailliste | souffleur de verre | artiste | bijoutier | orfèvre
LH/129/44,,fondeur | sculpteur | peintre
LH/2324/45,,musicologue | inventeur | physicien | mathématicien | professeur | personnalité politique | ingénieur
19800035/231/30569,,artiste lyrique | chanteur | soprano
19800035/408/54554,,dessinateur de presse | sculpteur | peintre | illustrateur | graveur
LH/1598/2,,sociologue | économiste | personnalité politique | ingénieur
LH/1081/9,,spéléologue | anthropologue | hydrologue | physicien | historien | médecin
LH/2285/51,,peintre
LH/1255/13,,explorateur | industriel
19800035/357/48014,,chirurgien | médecin écrivain
19800035/765/86890,,athlète
LH/2470/83,,professeur de musique | professeur d'université | compositeur
LH/2246/47,,bibliographe | écrivain
LH/2157/25,,graveur | peintre
LH/1846/7,,chorégraphe | directeur musical | organiste | chef d'orchestre | compositeur
19800035/552/63041,,ingénieur aéronautique
LH/571/70,,prêtre catholique
LH/681/45,,lithographe | graveur | artiste graphique | peintre
LH/1103/38,,personnalité politique | militaire
LH/2568/9,,criminologue | pathologiste | professeur | médecin | scientifique
19800035/761/86467,,collectionneur d'œuvres d'art | éditeur | biographe | marchand d'art | personnalité du monde des affaires
LH/2180/20,,diplomate | personnalité politique | militaire
19800035/823/93718,,latiniste | philologue classique
LH/934/36,,officier | personnalité politique | ingénieur | militaire
19800035/367/49318,,diplomate | personnalité politique
LH/1387/64,,peintre
LH/1012/52,,ministre | personnalité politique | militaire
19800035/742/84252,,préhistorien | archéologue | anthropologue | historien de l'art
LH/436/35,,dessinateur | lithographe | artiste graphique | peintre
LH/185/3,,peintre
LH/93/6,,botaniste | médecin
LH/1393/46,,critique littéraire | poète | écrivain
LH/1046/23,,historien
LH/2491/43,,archéologue | écrivain voyageur | poète | médecin | écrivain | photographe
LH/684/55,,journaliste | dramaturge | écrivain
LH/2404/28,,écrivain
19800035/381/51092,,graveur | critique d'art | peintre | artiste graphique | sculpteur | enseignant
LH/2316/54,,philosophe | professeur d'université | psychologue
LH/488/9,,explorateur | sportif | médecin
LH/364/75,,psychiatre | médecin
LH/1864/17,,officier
19800035/796/90074,,aumônier militaire | prêtre catholique
LH/2627/45,,physicien | ingénieur
LH/913/31,,botaniste | paléontologue | zoologiste
LH/2738/25,,philosophe | explorateur | moraliste | agronome | historien | personnalité politique
LH/2768/61,,peintre
LH/795/45,,officier
LH/730/59,,personnalité politique | militaire
LH/2387/33,,mécène | philanthrope | collectionneur d'œuvres d'art | banquier
19800035/22/2846,,philosophe | professeur
19800035/1415/63582,,réalisateur
19800035/1288/48788,,chimiste | physicien
LH/1486/79,,médecin militaire | chirurgien
LH/733/60,,dessinateur | aquafortiste | archéologue | écrivain voyageur | peintre | historien de l'art | égyptologue | diplomate | personnalité politique
LH/2236/13,,peintre
19800035/445/59623,,cycliste | escrimeur | alpiniste | patineur de vitesse | aviateur | journaliste | infirmier | aérostier | espérantiste | écrivain
LH/617/25,,officier | personnalité politique | militaire
LH/909/31,,capitaine de corvette | militaire | acteur
LH/949/34,,ministre | astronome
LH/980/51,,peintre
LH/1562/43,,minéralogiste
19800035/366/49143,,escrimeur | banquier | écrivain
LH/413/66,,officier | personnalité politique | militaire
LH/1522/33,,officier | militaire
LH/1104/58,,critique littéraire | romaniste | historien | professeur | avocat
LH/1912/45,,critique gastronomique | journaliste | dramaturge | poète | écrivain
C/0/29,,officier | personnalité politique | militaire
LH/1260/46,,mathématicien
LH/124/32,,pétrologue | minéralogiste | professeur d'université | paléontologue | géologue
19800035/790/89307,,banquier | personnalité politique
LH/478/40,,juriste | ministre | personnalité politique
LH/2327/25,,peintre
LH/2503/50,,ingénieur militaire | officier | ingénieur
19800035/1040/19961,,résistant | professeur d'université | juriste | personnalité politique | avocat
LH/480/50,,personnalité politique | militaire
LH/714/16,,bibliothécaire | historien
19800035/1486/72786,,féministe
LH/609/72,,militaire
LH/5/24,,romancier | journaliste | dramaturge | écrivain
LH/275/1,,pilote automobile | inventeur
LH/298/52,,virologue | professeur d'université | médecin
19800035/1481/72024,,professeur de musique | musicologue | répétiteur vocal | organiste | compositeur
LH/754/46,,officier | personnalité politique | militaire
LH/1718/58,,mathématicien | ingénieur
LH/312/28,,peintre
LH/2009/31,,lépidoptériste | imprimeur
LH/1520/22,,сollecteur de contes | prosateur | historien de la littérature | folkloriste | traducteur | historien | poète | écrivain
LH/141/57,,historien de l'architecture | restaurateur | historien de l'art | architecte | écrivain
LH/1279/54,,aquafortiste | graveur | artiste graphique | peintre
19800035/839/95897,,astronome
LH/981/19,,magistrat | Look | astronome
19800035/77/9515,,alpiniste | guide de haute montagne
LH/100/70,,architecte
LH/2022/5,,militaire
LH/337/33,,professeur d'université | universitaire | agronome | chimiste | agriculteur | personnalité politique | militaire
19800035/63/7706,,philologue | critique littéraire | journaliste | écrivain
LH/79/97,,anatomiste | médecin | naturaliste
LH/707/100,,journaliste | diplomate | personnalité politique
LH/2253/8,,chef d'orchestre | compositeur
19800035/957/11108,,artiste d'enregistrement | résistant | premier violon | professeur d'université | chef d'orchestre
19800035/620/70410,,policier
LH/2498/15,,ingénieur civil | professeur d'université | ingénieur | scientifique
LH/1881/68,,carcinologiste | malacologiste | entomologiste | professeur d'université | ornithologue | biologiste | zoologiste | médecin
LH/239/97,,personnalité politique | avocat
LH/2583/2,,sculpteur
LH/2671/47,,personnalité politique | militaire
19800035/551/62987,,auteur-compositeur | peintre | graphiste | créateur de caractères | imprimeur | poète
LH/1996/41,,grammairien | lexicographe | latiniste | linguiste | romaniste | philologue | homme de lettres | traducteur | fonctionnaire | diplomate | personnalité politique | enseignant
LH/1324/8,,officier | militaire
19800035/205/26814,,romaniste | professeur d'université
19800035/1180/36559,,écrivain de science-fiction | traducteur | dramaturge | poète | écrivain | scénariste
LH/2518/74,,linguiste | orientaliste | traducteur | bibliothécaire | professeur | personnalité politique | écrivain
19800035/1198/38530,,prêtre catholique
19800035/1467/69804,,romancier | sociologue | historien | écrivain
LH/1716/39,,militaire
LH/331/67,,archéologue | égyptologue
LH/818/26,,peintre
LH/2444/5,,personnalité politique | militaire
LH/1973/10,,professeur | compositeur
LH/2052/10,,historien de la littérature | romaniste | traducteur | bibliothécaire | professeur
LH/93/21,,violoniste | compositeur
LH/1570/8,,prêtre catholique | écrivain
LH/385/12,,linguiste | romaniste | philologue | professeur d'université
LH/2052/21,,historien de la littérature | philologue | médiéviste | historien | professeur
LH/1426/7,,personnalité politique | juge
LH/454/80,,philosophe | professeur d'université | résistant | mathématicien
LH/500/45,,militaire | inventeur | ingénieur
LH/2288/19,,officier | personnalité politique
LH/260/3,,ingénieur civil | ingénieur électricien | inventeur | physicien | ingénieur
LH/530/47,,cartographe | officier | mathématicien
19800035/216/28345,,byzantiniste | historien de l'art | professeur d'université | historien
19800035/34/4392,,cycliste
LH/2309/57,,critique musical | compositeur
LH/1025/5,,violoncelliste | compositeur
19800035/390/52277,,professeur de musique | musicologue | compositeur
19800035/855/592,,propriétaire de presse | journaliste | éditeur | sculpteur | peintre | ingénieur | architecte
LH/370/7,,minéralogiste | géologue | personnalité politique
19800035/288/38749,,peintre
19800035/220/28932,,écrivain de science-fiction | journaliste | écrivain
19800035/323/43514,,ingénieur civil | ingénieur
19800035/1256/44899,,personnalité politique
19800035/1301/50180,,peintre de paysage | aquafortiste | artiste graphique | peintre | illustrateur | graveur
19800035/105/13167,,théoricien de la musique | professeur de musique | musicologue | chorégraphe | professeur d'université | compositeur
19800035/41/5146,,acteur de cinéma | acteur de théâtre | ingénieur du son
19800035/790/89270,,anthropologue | archéologue | historien de l'art | professeur d'université | conservateur | architecte
LH/1513/10,,chimiste
LH/1278/41,,violoncelliste | professeur de musique | professeur d'université
LH/2202/66,,juriste | personnalité politique | avocat
19800035/788/89111,,théologien | prêtre catholique | juge
LH/1009/62,,pétrographe | volcanologue | géologue | professeur
LH/1325/47,,peintre
LH/2466/72,,géologue | personnalité politique
19800035/12/1524,,espérantiste | astrophysicien | physicien | astronome
19800035/694/79307,,diplomate
LH/405/96,,personnalité politique | ingénieur
19800035/1237/42754,,théoricien de la musique | professeur de musique | musicologue | organiste
19800035/808/91797,,mathématicien
19800035/993/14946,,critique d'art | journaliste | poète | écrivain
19800035/616/69651,,chimiste | personnalité politique
19800035/1477/71386,,biophysicien | radiologue | professeur d'université | physiologiste | médecin
LH/2585/73,,romancier | dramaturge | poète | écrivain
19800035/240/31927,,professeur des universités | juriste
LH/277/58,,linguiste | dialectologue | romaniste | personnalité politique
19800035/44/5482,,écrivain
LH/2763/3,,compositeur
19800035/636/73594,,chimiste | professeur | pharmacien
19800035/629/72852,,alpiniste | professeur d'université | géographe
LH/1192/11,,dessinateur | lithographe | designer | dessinateur de timbres | artiste graphique | sculpteur | peintre | affichiste | illustrateur | graphiste | créateur de caractères
LH/1796/41,,personnalité politique | militaire
19800035/1439/66533,,historien de la philosophie | critique littéraire | hispaniste | romaniste | professeur
LH/717/23,,personnalité politique
LH/560/44,,lithographe | graveur | peintre | professeur
LH/2266/21,,anatomiste | pathologiste | physiologiste | neurologue | professeur | scientifique
LH/476/56,,anthropologue | archéologue | professeur d'université | égyptologue | historien | bibliothécaire
19800035/627/72561,,diariste | autobiographe | journaliste | dramaturge | poète | écrivain
LH/1179/57,,officier | personnalité politique | militaire
C/0/27,,administrateur colonial | officier | personnalité politique
19800035/1445/67202,,essayiste | romancier | journaliste | parolier | poète | scénariste | écrivain
LH/1645/2,,fonctionnaire | poète
LH/2651/50,,professeur de musique | professeur d'université | organiste | compositeur
LH/1590/3,,anthropologue | archéologue | numismate | historien de l'art | égyptologue | professeur | bibliothécaire
LH/598/28,,ornithologue | personnalité politique
LH/110/51,,librettiste | chorégraphe | dramaturge | poète | écrivain
LH/16/69,,éditeur | libraire
LH/1636/24,,philosophe
LH/389/47,,personnalité politique | avocat
LH/1132/19,,professeur d'université | organiste | compositeur
LH/141/53,,ingénieur électricien | inventeur | ingénieur
19800035/451/60367,,architecte
LH/2671/52,,diplomate | officier | militaire
LH/1336/8,,lithographe | dessinateur | caricaturiste | peintre
LH/462/25,,officier | personnalité politique | militaire
LH/925/15,,critique dramatique | critique littéraire | critique | journaliste | professeur d'université | écrivain
LH/2282/86,,graveur | botaniste | illustrateur botanique | éditeur | peintre | illustrateur
LH/316/6,,artiste graphique | peintre | illustrateur
LH/1202/64,,officier | personnalité politique
LH/164/73,,chimiste | pharmacien
LH/2019/52,,journaliste | écrivain
LH/575/55,,ingénieur des mines | professeur d'université | ingénieur
19800035/176/22684,,carcinologiste | entomologiste | professeur d'université | zoologiste
19800035/231/30659,,sculpteur
19800035/138/17468,,militaire
LH/167/16,,ingénieur civil | ingénieur
19800035/613/69165,,acteur de cinéma | acteur de théâtre
19800035/308/41477,,chef de chœur | altiste | organiste
LH/650/34,,officier | diplomate | personnalité politique | militaire
LH/1681/56,,officier de la Marine française | diplomate | personnalité politique
LH/1834/49,,militaire
LH/2483/51,,policier
LH/1950/45,,personnalité politique
LH/87/75,,cartographe | peintre | officier
LH/1018/4,,peintre | mosaïste
LH/907/45,,économiste | historien | personnalité politique | avocat
19800035/103/12944,,professeur d'université | architecte
19800035/1304/50526,,chimiste | inventeur | physicien | ingénieur | personnalité du monde des affaires
19800035/1184/37061,,aviateur | ingénieur | personnalité du monde des affaires
LH/1216/67,,obstétricien | entomologiste | gynécologue | chirurgien | médecin
LH/1404/10,,militaire
19800035/316/42570,,astronome
LH/1533/2,,compositeur
LH/2020/41,,personnalité politique | militaire
19800035/174/22427,,critique littéraire | journaliste | dramaturge | écrivain
LH/2233/38,,pathologiste | professeur d'université | médecin
LH/554/26,,officier | militaire
LH/133/61,,peintre
LH/2236/33,,ornithologue | zoologiste
19800035/205/26882,,ingénieur des mines | ingénieur civil | anthropologue | archéologue | numismate | égyptologue | géologue | biologiste | ingénieur
LH/1881/67,,carcinologiste | botaniste | paléontologue | ornithologue | professeur d'université | zoologiste | naturaliste
LH/1036/50,,architecte
LH/91/61,,météorologue | astronome
LH/1860/47,,militaire
LH/649/54,,sculpteur
LH/2250/34,,linguiste | philosophe | journaliste | traducteur | historien | professeur | personnalité politique | poète | écrivain
LH/2324/78,,librettiste | prosateur | romancier | dramaturge | personnalité politique | poète | écrivain
LH/1378/1,,essayiste | philosophe | écrivain
LH/629/28,,explorateur | médecin
19800035/311/41895,,acteur de cinéma
LH/1298/16,,auteur de littérature pour la jeunesse | éditeur | traducteur | personnalité politique | écrivain
LH/85/55,,météorologue | physicien | mathématicien | astronome
C/0/26,,diplomate | militaire
LH/122/14,,diplomate
LH/1816/46,,chimiste | inventeur | pharmacien
19800035/252/33521,,lexicographe | éditeur | romaniste
LH/986/59,,personnalité politique | militaire
LH/2779/36,,négrier | armateur | corsaire | écrivain
LH/2251/86,,explorateur | malacologiste | anatomiste | médecin militaire | botaniste | ichtyologiste | entomologiste | ornithologue | zoologiste | chirurgien
19800035/178/23028,,cristallographe | professeur d'université | physicien
LH/227/71,,personnalité politique
C/0/61,,compositeur de musique de film | compositeur
LH/2651/59,,professeur de musique | musicien | compositeur
LH/2010/17,,personnalité politique | avocat
LH/1412/14,,chorégraphe | harpiste | professeur | compositeur
LH/463/87,,anthropologue | archéologue | égyptologue
19800035/1160/32563,,professeur de musique | arrangeur musical | pianiste | compositeur
LH/102/44,,industriel | inventeur
LH/1618/36,,professeur de musique | musicologue | compositeur
LH/306/6,,préhistorien | anthropologue | archéologue
LH/1550/53,,peintre
C/0/31,,personnalité politique | militaire
19800035/849/97279,,marchand d'art
LH/222/50,,médecin
LH/1443/56,,mathématicien | professeur
LH/593/33,,pédagogue | physicien
LH/2661/29,,physiologiste | zoologiste | ichtyologiste | herpétologiste | botaniste
LH/398/23,,peintre
LH/1454/19,,officier | personnalité politique | militaire
LH/1053/8,,archéologue | ethnologue
LH/2095/49,,ingénieur ferroviaire | ingénieur
LH/219/1,,géologue | professeur
LH/2336/15,,illustrateur | artiste graphique | peintre | écrivain
LH/1379/11,,peintre | actuaire | mathématicien | ingénieur militaire
LH/860/61,,professeur de musique | artiste lyrique | chanteur | compositeur
LH/876/49,,historien | personnalité politique | écrivain
LH/213/59,,démographe | statisticien | mathématicien
LH/526/101,,linguiste | traducteur | professeur
LH/54/22,,dramaturge | personnalité politique | poète | écrivain
LH/1185/22,,diplomate | personnalité politique
19800035/233/30963,,lithographe | illustrateur | peintre
LH/2692/6,,lithographe | artiste graphique | peintre
LH/1489/83,,mémorialiste | historien | personnalité politique | militaire
LH/807/21,,officier | personnalité politique
LH/860/69,,prêtre catholique
LH/1747/40,,musicologue | professeur de musique | pianiste | compositeur
LH/1412/1,,professeur d'université | chimiste | pharmacien
LH/1172/31,,botaniste | ichtyologiste
LH/1237/27,,peintre | graveur
19800035/227/30002,,universitaire | biographe | historien | personnalité politique | écrivain
19800035/194/25368,,radiologue | virologue | immunologiste | médecin
LH/2161/43,,professeur d'université | avocat
LH/2641/25,,professeur de musique | professeur d'université | violoniste | compositeur
LH/2704/10,,aquafortiste | peintre
19800035/1168/33369,,linguiste | romaniste | professeur d'université
LH/911/25,,sculpteur | peintre | architecte | écrivain
19800035/918/7195,,personnalité politique | médecin
LH/968/32,,peintre | photographe
LH/2745/16,,historien moderniste | personnalité politique
LH/2171/48,,sculpteur
LH/2433/36,,personnalité politique | militaire
LH/1079/46,,ornithologue | médecin | naturaliste
LH/886/8,,professeur de musique | artiste lyrique | professeur d'université | pianiste | chanteur
19800035/1288/48887,,professeur d'université | physicien
19800035/241/32005,,ingénieur des mines | écrivain
LH/2289/26,,acteur de cinéma | directeur de théâtre | acteur de théâtre
LH/2508/51,,soldat | diplomate | personnalité politique
LH/1312/71,,critique littéraire | journaliste | historien | écrivain
LH/2198/5,,médailleur | sculpteur
LH/1747/42,,professeur de musique | pianiste | compositeur
19800035/70/8661,,botaniste
LH/1332/45,,sculpteur
19800035/427/57124,,peintre | poète | écrivain
LH/1115/15,,ornithologue | zoologiste
LH/1259/20,,assyriologue | linguiste | explorateur | anthropologue | archéologue | professeur d'université
19800035/735/83451,,anatomiste | neurologue | médecin
LH/2767/60,,érudit classique | historien
19800035/1238/42935,,personnalité politique
LH/1489/56,,officier
LH/2129/33,,peintre
LH/1509/103,,officier
19800035/565/64316,,sculpteur
LH/2710/23,,résistant | neurochirurgien | neurobiologiste | neurologue
LH/271/89,,philologue classique | érudit classique | historien | professeur
LH/1886/3,,archéologue | officier | militaire
LH/2453/40,,romancier | dramaturge | écrivain
LH/1741/18,,neurologue | médecin
LH/1527/42,,chimiste | ingénieur
LH/2195/19,,sculpteur
LH/2621/62,,parasitologue | biologiste | vétérinaire
19800035/63/7760,,lithographe | designer | artiste graphique | peintre | affichiste
LH/1379/34,,philosophe | professeur | personnalité politique
LH/1134/37,,librettiste | critique littéraire | journaliste | dramaturge | écrivain
19800035/88/11022,,personnalité politique
LH/952/53,,pasteur
LH/2718/41,,prêtre catholique
19800035/390/52318,,poète | écrivain
19800035/368/49407,,officier | personnalité politique
LH/1685/55,,psychiatre | médecin
LH/598/86,,botaniste | prêtre catholique
LH/2175/6,,prêtre catholique
LH/2075/14,,biochimiste | chimiste | mathématicien | physicien
19800035/121/15309,,librettiste | critique | critique littéraire | poète | écrivain
19800035/337/45386,,dramaturge | poète | écrivain
LH/1805/3,,clerc | prêtre catholique | personnalité politique | poète | écrivain
LH/1016/31,,éditeur | imprimeur
19800035/107/13454,,professeur d'université | physicien
LH/310/54,,explorateur | officier de la Marine française | personnalité politique
19800035/1207/39459,,aviateur | militaire
LH/1105/34,,historien
LH/316/18,,ingénieur | personnalité du monde des affaires
LH/377/9,,personnalité politique
LH/925/42,,officier | personnalité politique | militaire
LH/2471/25,,diplomate | personnalité politique | militaire
LH/1351/87,,philosophe
LH/77/12,,officier | personnalité politique | militaire
LH/213/57,,criminologue | anthropologue | criminaliste | policier | photographe
LH/558/33,,historien
LH/2105/32,,peintre
LH/480/27,,officier | personnalité politique | militaire
LH/2758/26,,officier | militaire
19800035/910/6256,,résistant | journaliste | prêtre catholique | personnalité politique
LH/1145/59,,physicien | mathématicien | ingénieur
LH/2292/52,,officier
19800035/1381/59505,,théologien | prêtre catholique
LH/369/90,,spéléologue | météorologue | mathématicien
LH/1297/73,,facteur de pianos | pianiste | compositeur
LH/1170/52,,professeur d'université | paléontologue | géologue
LH/1042/69,,officier | ingénieur militaire | militaire
LH/1147/16,,musicien | officier | personnalité politique
LH/857/29,,économiste | entrepreneur | personnalité politique
19800035/224/29504,,graveur | aquafortiste | lithographe | artiste graphique | peintre
LH/1505/14,,personnalité politique | ingénieur
19800035/392/52580,,peintre
LH/2197/83,,dramaturge | poète | écrivain
LH/304/17,,professeur d'université | pharmacien | médecin
LH/277/59,,militaire
LH/9/58,,peintre
19800035/318/42889,,professeur d'université | mathématicien | personnalité politique
LH/785/2,,industriel | personnalité politique
19800035/1467/69840,,compositeur
LH/1979/25,,ornithologue | naturaliste
LH/2265/55,,diariste | romancier | journaliste | dramaturge | poète
LH/836/49,,soldat | personnalité politique | médecin
LH/1519/35,,peintre
LH/633/37,,artiste lyrique | chanteur
LH/2177/28,,pianiste
LH/1020/58,,officier | personnalité politique
LH/2784/153,,officier | personnalité politique
LH/349/89,,lithographe | graveur | aquafortiste | céramiste | artiste graphique | peintre | écrivain
LH/13/66,,professeur de musique | violoniste | compositeur
LH/151/21,,professeur de musique | chef d'orchestre | compositeur
LH/166/34,,mathématicien | physicien | ingénieur
LH/2746/48,,acteur de théâtre
LH/854/28,,zoologiste | lépidoptériste
LH/1358/28,,diplomate | personnalité politique | militaire
19800035/1244/43531,,mathématicien | informaticien
19800035/1213/40021,,psychothérapeute existentiel | résistant | psychologue | psychiatre
LH/2610/70,,cartographe | mathématicien
19800035/201/26297,,malacologiste | paléontologue | zoologiste
LH/714/42,,officier | militaire
LH/714/43,,officier | militaire
19800035/767/87084,,théologien | prêtre catholique
LH/2368/76,,salonnier | infirmier | poète | écrivain
LH/1303/31,,archéologue | architecte
LH/962/16,,officier | ingénieur
19800035/232/30716,,sculpteur | historien de l'art
LH/1688/33,,librettiste | dramaturge | poète | écrivain
19800035/54/6612,,vigneron | ampélographe
LH/2698/38,,designer | peintre | personnalité politique
19800035/1163/32884,,acteur de cinéma | réalisateur | acteur
19800035/1125/29025,,théologien | archiviste | prêtre catholique | diplomate | bibliothécaire
LH/922/16,,médecin
19800035/723/82222,,essayiste | romancier | philosophe | critique littéraire | historien | enseignant | écrivain
LH/1175/48,,philanthrope | industriel | ingénieur
19800035/206/27045,,photographe
19800035/830/94709,,diacre catholique | prêtre catholique | avocat
LH/861/22,,philosophe | historien | personnalité politique | professeur | avocat | astronome
LH/852/26,,magistrat | personnalité politique | avocat
LH/994/13,,architecte
LH/809/6,,restaurateur | architecte
LH/485/73,,sculpteur | médailleur | graveur
LH/2581/4,,anatomiste | médecin
LH/1351/9,,professeur d'université | physicien
19800035/395/52986,,as de l'aviation
LH/462/1,,médecin
LH/1153/9,,officier | ingénieur
LH/57/94,,personnalité politique
LH/2257/39,,lithographe | dessinateur | graveur | artiste graphique | sculpteur | illustrateur | peintre
LH/1683/6,,militaire | aviateur
19800035/565/64318,,journaliste | historien | juriste
LH/1873/58,,journaliste | historien | juriste
LH/1415/6,,officier | personnalité politique | militaire
