leonoreid,datenaissance,ville,coordinatelieuN,datedeces,villedc,coordinatelieudc
LH/757/64,1759-11-07T00:00:00Z,Saint-Floret,Point(3.106944444 45.551111111),1833-09-21T00:00:00Z,Issoire,Point(3.248888888 45.544166666)
LH/550/31,1757-02-02T00:00:00Z,Nevers,Point(3.156666666 46.9925),1828-09-01T00:00:00Z,Pougues-les-Eaux,Point(3.101388888 47.074444444)
LH/431/6,1774-10-29T00:00:00Z,Creuse,Point(2.164444444 49.839444444),1822-10-01T00:00:00Z,Strasbourg,Point(7.752222222 48.573333333)
19800035/193/25135,1856-08-19T00:00:00Z,Strasbourg,Point(7.752222222 48.573333333),1931-04-09T00:00:00Z,Strasbourg,Point(7.752222222 48.573333333)
19800035/193/25135,1856-08-19T00:00:00Z,Strasbourg,Point(7.752222222 48.573333333),1931-04-09T00:00:00Z,Strasbourg,Point(7.752222222 48.573333333)
LH/525/10,1746-06-06T00:00:00Z,Vendée,Point(-1.426667 46.670556),1812-02-23T00:00:00Z,Nantes,Point(-1.553888888 47.217222222)
LH/601/28,1778-01-22T00:00:00Z,Digne-les-Bains,Point(6.235555555 44.0925),1854-10-08T00:00:00Z,Digne-les-Bains,Point(6.235555555 44.0925)
LH/777/27,1784-03-23T00:00:00Z,Sainte-Croix-Hague,Point(-1.773333333 49.638611111),1864-02-27T00:00:00Z,Saint-Lô,Point(-1.091666666 49.114444444)
LH/2197/81,1825-07-04T00:00:00Z,Vitry-le-François,Point(4.584444444 48.724722222),1902-12-17T00:00:00Z,Châlons-en-Champagne,Point(4.364444444 48.956666666)
LH/42/8,1770-03-08T00:00:00Z,Mugron,Point(-0.749166666 43.75),1840-11-22T00:00:00Z,Mugron,Point(-0.749166666 43.75)
LH/2594/72,1843-09-22T00:00:00Z,Paris,Point(2.351388888 48.856944444),1900-11-29T00:00:00Z,Saint-Michel-de-Montaigne,Point(0.03 44.874166666)
19800035/94/11734,1886-03-28T00:00:00Z,Le Puy-en-Velay,Point(3.885 45.043333333),1945-01-19T00:00:00Z,Nossen,Point(13.3 51.05)
LH/2322/15,1761-09-28T00:00:00Z,La Flèche,Point(-0.076111111 47.699722222),1834-08-17T00:00:00Z,Saintes,Point(-0.634444444 45.745277777)
LH/2323/1,1761-09-28T00:00:00Z,La Flèche,Point(-0.076111111 47.699722222),1834-08-17T00:00:00Z,Saintes,Point(-0.634444444 45.745277777)
