nom,leonoreid,bnfid,datenaissance,ville,coordinatelieuN,datedeces,villedc,coordinatelieudc,metier,diplome
Édouard-Henri Avril,LH/82/7,12126413x,1849-05-21T00:00:00Z,Alger,Point(3.058611111 36.776388888),1928-07-28T00:00:00Z,Le Raincy,Point(2.523055555 48.899166666),peintre,
Édouard-Henri Avril,LH/82/7,12126413x,1849-05-21T00:00:00Z,Alger,Point(3.058611111 36.776388888),1928-07-28T00:00:00Z,Le Raincy,Point(2.523055555 48.899166666),illustrateur,
Édouard-Henri Avril,LH/82/7,12126413x,1849-05-21T00:00:00Z,Alger,Point(3.058611111 36.776388888),1928-07-28T00:00:00Z,Le Raincy,Point(2.523055555 48.899166666),graveur,
Jérôme Carcopino,19800035/1024/18185,118951330,1881-06-27T00:00:00Z,Verneuil-sur-Avre,Point(0.927777777 48.738888888),1970-03-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),érudit classique,
Jérôme Carcopino,LH/425/60,118951330,1881-06-27T00:00:00Z,Verneuil-sur-Avre,Point(0.927777777 48.738888888),1970-03-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),érudit classique,
Jérôme Carcopino,19800035/1024/18185,118951330,1881-06-27T00:00:00Z,Verneuil-sur-Avre,Point(0.927777777 48.738888888),1970-03-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),haut fonctionnaire,
Jérôme Carcopino,LH/425/60,118951330,1881-06-27T00:00:00Z,Verneuil-sur-Avre,Point(0.927777777 48.738888888),1970-03-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),haut fonctionnaire,
Jérôme Carcopino,19800035/1024/18185,118951330,1881-06-27T00:00:00Z,Verneuil-sur-Avre,Point(0.927777777 48.738888888),1970-03-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),historien,
Jérôme Carcopino,LH/425/60,118951330,1881-06-27T00:00:00Z,Verneuil-sur-Avre,Point(0.927777777 48.738888888),1970-03-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),historien,
Jean Louis Rodolphe Agassiz,LH/9/83,12278026v,1807-05-28T00:00:00Z,Môtiers,Point(6.616666666 46.916666666),1873-12-14T00:00:00Z,Cambridge,Point(-71.106111111 42.375),biologiste,
Charles Édouard Guillaume,LH/1233/67,129240471,1861-02-15T00:00:00Z,Fleurier,Point(6.58333 46.9),1938-06-13T00:00:00Z,Sèvres,Point(2.210833333 48.823055555),physicien,
Blaise Cendrars,19800035/354/47636,11895739q,1887-09-01T00:00:00Z,La Chaux-de-Fonds,Point(6.829558333 47.099627777),1961-02-21T00:00:00Z,Paris,Point(2.351388888 48.856944444),légionnaire,
Blaise Cendrars,19800035/354/47636,11895739q,1887-09-01T00:00:00Z,La Chaux-de-Fonds,Point(6.829558333 47.099627777),1961-01-21T00:00:00Z,Paris,Point(2.351388888 48.856944444),légionnaire,
Blaise Cendrars,19800035/354/47636,11895739q,1887-09-01T00:00:00Z,La Chaux-de-Fonds,Point(6.829558333 47.099627777),1961-02-21T00:00:00Z,Paris,Point(2.351388888 48.856944444),librettiste,
Blaise Cendrars,19800035/354/47636,11895739q,1887-09-01T00:00:00Z,La Chaux-de-Fonds,Point(6.829558333 47.099627777),1961-01-21T00:00:00Z,Paris,Point(2.351388888 48.856944444),librettiste,
Roger Martin du Gard,19800035/424/56686,119147766,1881-03-23T00:00:00Z,Neuilly-sur-Seine,Point(2.2675 48.887222222),1958-08-22T00:00:00Z,château du Tertre,Point(0.579167 48.388056),archiviste,
