nom,leonoreid,bnfid,datenaissance,ville,coordinatelieuN,datedeces,villedc,coordinatelieudc,metier,diplome
Albert François Lebrun,C/0/16,13994781q,1871-08-29T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-01-01T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),entomologiste,
Albert Lebrun,C/0/16,13994781q,1871-01-01T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-03-06T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),entomologiste,
Albert Lebrun,C/0/16,13994781q,1871-01-01T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-01-01T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),entomologiste,
Albert Lebrun,C/0/16,13994781q,1871-08-29T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-03-06T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),entomologiste,
Albert Lebrun,C/0/16,13994781q,1871-08-29T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-01-01T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),entomologiste,
Albert François Lebrun,C/0/16,13994781q,1871-01-01T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-03-06T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),personnalité politique,
Albert François Lebrun,C/0/16,13994781q,1871-01-01T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-01-01T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),personnalité politique,
Albert François Lebrun,C/0/16,13994781q,1871-08-29T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-03-06T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),personnalité politique,
Albert François Lebrun,C/0/16,13994781q,1871-08-29T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-01-01T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),personnalité politique,
Albert Lebrun,C/0/16,13994781q,1871-01-01T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-03-06T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),personnalité politique,
Albert Lebrun,C/0/16,13994781q,1871-01-01T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-01-01T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),personnalité politique,
Albert Lebrun,C/0/16,13994781q,1871-08-29T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-03-06T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),personnalité politique,
Albert Lebrun,C/0/16,13994781q,1871-08-29T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-01-01T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),personnalité politique,
Albert François Lebrun,C/0/16,13994781q,1871-01-01T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-03-06T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),ingénieur,
Albert François Lebrun,C/0/16,13994781q,1871-01-01T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-01-01T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),ingénieur,
Albert François Lebrun,C/0/16,13994781q,1871-08-29T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-03-06T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),ingénieur,
Albert François Lebrun,C/0/16,13994781q,1871-08-29T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-01-01T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),ingénieur,
Albert Lebrun,C/0/16,13994781q,1871-01-01T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-03-06T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),ingénieur,
Albert Lebrun,C/0/16,13994781q,1871-01-01T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-01-01T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),ingénieur,
Albert Lebrun,C/0/16,13994781q,1871-08-29T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-03-06T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),ingénieur,
Albert Lebrun,C/0/16,13994781q,1871-08-29T00:00:00Z,Mercy-le-Haut,Point(5.825555555 49.367777777),1950-01-01T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),ingénieur,
Jules Gustave René Coty,C/0/22,12204331v,1882-03-20T00:00:00Z,Le Havre,Point(0.108055555 49.494166666),1962-11-22T00:00:00Z,Le Havre,Point(0.108055555 49.494166666),personnalité politique,
Jules Gustave René Coty,C/0/22,12204331v,1882-03-20T00:00:00Z,Le Havre,Point(0.108055555 49.494166666),1962-11-22T00:00:00Z,Le Havre,Point(0.108055555 49.494166666),avocat,
