"name","title","date","s","work"
"Paul Sérieux","La Clinique psychiatrique de l'Université de Giessen (Grand-Duché de Hesse)","1903","http://data.bnf.fr/ark:/12148/cb11924474w","http://data.bnf.fr/temp-work/3822d8c2004ce6fca2a5177060031a2d/#about"
"Paul Sérieux","L'assistance et le traitement des maladies mentales au temps de Louis XVI","1915","http://data.bnf.fr/ark:/12148/cb11924474w","http://data.bnf.fr/temp-work/602ed630d5bc642687a1c4adfc4edc2d/#about"
"Paul Sérieux","Les Médecins-adjoints des asiles d'aliénés","1898","http://data.bnf.fr/ark:/12148/cb11924474w","http://data.bnf.fr/temp-work/647b349e9d55107f64a6b3503ceaf983/#about"
"Paul Sérieux","Essai sur la pathogénie et le traitement de l'épilepsie","1895","http://data.bnf.fr/ark:/12148/cb11924474w","http://data.bnf.fr/temp-work/760cf5d522702c5c5266c59155b86e9a/#about"
"Paul Sérieux","La Statistique des aliénés du canton de Zurich","1899","http://data.bnf.fr/ark:/12148/cb11924474w","http://data.bnf.fr/temp-work/7f384d7c222d6cc9fe81fbc2f3073da4/#about"
"Paul Sérieux","Rapport de monsieur le docteur Paul Sérieux sur l'état mental de monsieur Pierre-Louis Corne","1902","http://data.bnf.fr/ark:/12148/cb11924474w","http://data.bnf.fr/temp-work/70c87965362933155198a5c49b40042c/#about"
"Paul Sérieux","L'Internement des aliénés par voie judiciaire (sentence d'interdiction) sous l'Ancien régime","1931","http://data.bnf.fr/ark:/12148/cb11924474w","http://data.bnf.fr/temp-work/c82756ee8af4daeed7c790406985930f/#about"
"Maurice Pardé","Les inondations du Midi","1930","http://data.bnf.fr/ark:/12148/cb146254265","http://data.bnf.fr/temp-work/298f3bb12c0d7a624963c3ea6e8b8f01/#about"
"Maurice Pardé","Hydrologie fluviale des Iles Britanniques","1939","http://data.bnf.fr/ark:/12148/cb146254265","http://data.bnf.fr/temp-work/8f345b2d9ecbcfea6297f908faefff10/#about"
"Maurice Pardé","Potamologie","1949","http://data.bnf.fr/ark:/12148/cb146254265","http://data.bnf.fr/temp-work/b468c3d10c9f56c535203f21f3bc54c5/#about"
"Jules Payot","La Faillite de l'enseignement","1937","http://data.bnf.fr/ark:/12148/cb13476154c","http://data.bnf.fr/temp-work/6a4186f2e961d5784e32ba7ae030df9d/#about"
"L.-Is.-Henri Poupon","Des Conditions de salubrité et de sécurité des ouvriers des grands chantiers publics","1889","http://data.bnf.fr/ark:/12148/cb134555733","http://data.bnf.fr/temp-work/0247abaf614f2fd511c6e395a4f5393c/#about"
"Paul de Cassagnac","Le procès de Belleville, 13 décembre 1875","1875","http://data.bnf.fr/ark:/12148/cb12140713q","http://data.bnf.fr/temp-work/061d81cf3cfc5d4b851325827297855a/#about"
"L.-Is.-Henri Poupon","Des Anévrysmes de l'artère pulmonaire et des hémoptysies incoercibles","1884","http://data.bnf.fr/ark:/12148/cb134555733","http://data.bnf.fr/temp-work/9a44c185f524df2321ddf0825febf545/#about"
"Jules Payot","Le Travail intellectuel et la volonté, suite à ""l'Éducation de la volonté""","1919","http://data.bnf.fr/ark:/12148/cb13476154c","http://data.bnf.fr/temp-work/d26bcaa04ab7dc7e88934470a75755d5/#about"
"René Dussaud","Les papyrus judéo-araméens d'Eléphantine","1911","http://data.bnf.fr/ark:/12148/cb124714885","http://data.bnf.fr/temp-work/2095a293f13396ed6b7d4e82f49d3f93/#about"
"René Dussaud","Notice sur la vie et les travaux de M. Paul Monceaux","1942","http://data.bnf.fr/ark:/12148/cb124714885","http://data.bnf.fr/temp-work/46bc1a60c9b519f4a368b1a7b718afb0/#about"
"René Dussaud","Notice sur la vie et les travaux de M. Edouard Chavannes","1946","http://data.bnf.fr/ark:/12148/cb124714885","http://data.bnf.fr/temp-work/5f4742639f2f2f0dc3d229eae4120dc0/#about"
"Émile Auguste François Thomas Zurlinden","Projet de loi, adopté par la Chambre des Députés, tendant à l'approbation d'une convention passée, le 22 novembre 1893, entre l'Etat et la ville de Melun, en vue de la création de nouvelles casernes","1895","http://data.bnf.fr/ark:/12148/cb13212473x","http://data.bnf.fr/temp-work/5e4e9d021213bfe34c3fe7029bd7ff40/#about"
