"name","title","date","s","work"
"Maurice Braibant","Convalescences militaires (Décembre 1907.)","1907","http://data.bnf.fr/ark:/12148/cb136098825","http://data.bnf.fr/temp-work/b3f8b1690d5d1231d158c581f4df757a/#about"
"Albert Schweitzer","Grands penseurs de l'Inde","1952","http://data.bnf.fr/ark:/12148/cb11924199d","http://data.bnf.fr/temp-work/16ecd67c28be8078c22b422f7e7258df/#about"
"Albert Schweitzer","Le Symbolisme de Bach","1905","http://data.bnf.fr/ark:/12148/cb11924199d","http://data.bnf.fr/temp-work/37f0e5a93db9721f93b1eb96cbf9239f/#about"
"Albert Schweitzer","La Mystique de l'apôtre Paul","1962","http://data.bnf.fr/ark:/12148/cb11924199d","http://data.bnf.fr/temp-work/38634242dcfafb29c28d5499aff91d42/#about"
"Albert Schweitzer","Das Messianitäts- und Leidensgeheimnis, eine Skizze des Lebens Jesu","1961","http://data.bnf.fr/ark:/12148/cb11924199d","http://data.bnf.fr/temp-work/bfe4e43b8f5ef859a3db1a753f34f958/#about"
"Albert Schweitzer","Aus meinem Leben und Denken","1959","http://data.bnf.fr/ark:/12148/cb11924199d","http://data.bnf.fr/temp-work/c482ee1963d9ad49fa7b58290fac30c7/#about"
"Albert Schweitzer","Souvenirs de mon enfance","1926","http://data.bnf.fr/ark:/12148/cb11924199d","http://data.bnf.fr/temp-work/0484c8bbb26ad4d7d391cc5479d2c52e/#about"
"Albert Schweitzer","Lettres de l'hôpital","1946","http://data.bnf.fr/ark:/12148/cb11924199d","http://data.bnf.fr/temp-work/3897d7ad0cecebef7a459c7310f87c83/#about"
"Albert Schweitzer","Ma vie et ma pensée","1959","http://data.bnf.fr/ark:/12148/cb11924199d","http://data.bnf.fr/temp-work/62afbc31e36ac01c4cc084e1b5d46a06/#about"
"Albert Schweitzer","Une anthologie. Publiée par Charles R. Joy","1950","http://data.bnf.fr/ark:/12148/cb11924199d","http://data.bnf.fr/temp-work/e3b39210a442faca5b7d7b86cdb98a7d/#about"
"Léon-Paul Fargue","Fantôme de Rilke","1942","http://data.bnf.fr/ark:/12148/cb11902269v","http://data.bnf.fr/temp-work/08e8131579f5762321df92aceff84b64/#about"
"Élie Faure","L'avion","1937","http://data.bnf.fr/ark:/12148/cb119023512","http://data.bnf.fr/temp-work/1d62185d2ceda06a1e4eaf89f25f204c/#about"
"Léon-Paul Fargue","Suite familière","1928","http://data.bnf.fr/ark:/12148/cb11902269v","http://data.bnf.fr/temp-work/3b4fc5d4e614518efc7a98c5359be928/#about"
"Léon-Paul Fargue","Épaisseurs","1928","http://data.bnf.fr/ark:/12148/cb11902269v","http://data.bnf.fr/temp-work/43619b272f91a98bf8caff8e5255fe73/#about"
"Léon-Paul Fargue","Présentation de 1900","1945","http://data.bnf.fr/ark:/12148/cb11902269v","http://data.bnf.fr/temp-work/445f962ffbcb3e290c5012bfc57526ca/#about"
