"name","title","date","s","work"
"Louis Catat","Les Froids polaires et leurs effets sur l'organisme","1887","http://data.bnf.fr/ark:/12148/cb118955453","http://data.bnf.fr/temp-work/de9e497c98b07124d9ace1f7801df0aa/#about"
"Pierre Gilles","Le Vert-Galant","1933","http://data.bnf.fr/ark:/12148/cb12140268m","http://data.bnf.fr/temp-work/b0ac992c7e76a15826a312ebed7be2c5/#about"
"Louis Catat","Voyage de M. le Dr Catat à Madagascar","1891","http://data.bnf.fr/ark:/12148/cb118955453","http://data.bnf.fr/temp-work/228345a1fe3fdaba2656eb1d870af52c/#about"
"Louis Catat","Les Habitants du Darien méridional","1888","http://data.bnf.fr/ark:/12148/cb118955453","http://data.bnf.fr/temp-work/0d39f24869e1e784bd8bcd1e6d5fc396/#about"
"Pierre Gilles","L'Ogresse (Jeanne Weber)","1925","http://data.bnf.fr/ark:/12148/cb12140268m","http://data.bnf.fr/temp-work/dc819c36d86dbfc308ad08deb6a5ec14/#about"
"Louis Catat","L'énigme du volcan","1929","http://data.bnf.fr/ark:/12148/cb118955453","http://data.bnf.fr/temp-work/3cee6eb66acf40f7f89efb94290ed978/#about"
"Roland d' Albret","Le Marchand d'hommes","1933","http://data.bnf.fr/ark:/12148/cb11092174g","http://data.bnf.fr/temp-work/29e73de786c26468b358b6a320ec21fb/#about"
"Pierre Gilles","Marie la douleur","1923","http://data.bnf.fr/ark:/12148/cb12140268m","http://data.bnf.fr/temp-work/0fb6b72567b64e189d166165c1ac920c/#about"
"P C  Georges François","Poèmes d'Outre-mer","1931","http://data.bnf.fr/ark:/12148/cb11239676b","http://data.bnf.fr/temp-work/1f7019162f2217e08e71658b48df1645/#about"
"Pascal-Xavier Coste","Voyage en Perse","1843","http://data.bnf.fr/ark:/12148/cb12138019k","http://data.bnf.fr/ark:/12148/cb13340477m#about"
"Jean Alaux","Le baptême de Clovis","1825","http://data.bnf.fr/ark:/12148/cb136160813","http://data.bnf.fr/ark:/12148/cb15523931m#about"
"Pascal-Xavier Coste","Carte de la Basse-Égypte dédiée à Mohammed Aly Pacha, vice-Roi","1827","http://data.bnf.fr/ark:/12148/cb12138019k","http://data.bnf.fr/ark:/12148/cb16272514b#about"
"Jean Alaux","La Justice ramenant l'Abondance et l'Industrie sur la terre","1827","http://data.bnf.fr/ark:/12148/cb136160813","http://data.bnf.fr/ark:/12148/cb13616083s#about"
"Maurice Gignoux","Géologie statigraphique","1942","http://data.bnf.fr/ark:/12148/cb12327751w","http://data.bnf.fr/temp-work/4b3eaab9d922421b31139b5012d3d290/#about"
"Maurice Gignoux","Les Formations fluvio-glaciaires du Bas-Dauphiné","1911","http://data.bnf.fr/ark:/12148/cb12327751w","http://data.bnf.fr/temp-work/70dd8821336a830f3b2fe99b30f998cc/#about"
"Maurice Gignoux","Description géologique du bassin supérieur de la Durance. Itinéraires de Sisteron (et de Grenoble) à Kynes, Gap, Briançon, au Lautaret et au Galilier","1939","http://data.bnf.fr/ark:/12148/cb12327751w","http://data.bnf.fr/temp-work/81d2f45f475df0b1980dc2ecc8eac237/#about"
"Maurice Gignoux","Charles Depéret","1930","http://data.bnf.fr/ark:/12148/cb12327751w","http://data.bnf.fr/temp-work/36cb1120c987da3a38b939da27f6f391/#about"
"Maurice Gignoux","Géologie stratigraphique","1926","http://data.bnf.fr/ark:/12148/cb12327751w","http://data.bnf.fr/temp-work/918f28f0bcdb61449b2e872e98957674/#about"
"Maurice Gignoux","Stratigraphie de la bordure ouest du Briançonnais entre Briançon et le Galibier, l'écaille briançonnaise","1936","http://data.bnf.fr/ark:/12148/cb12327751w","http://data.bnf.fr/temp-work/b4eec5e62628358c7245bf2fe2f49d67/#about"
"Maurice Gignoux","Alpes. Révision de la feuille de Gap au 80.000e","1934","http://data.bnf.fr/ark:/12148/cb12327751w","http://data.bnf.fr/temp-work/cb3922051fa46306c0c10361c7830d53/#about"
"Maurice Gignoux","Description géologique du bassin supérieur de la Durance, itinéraires de Sisteron et de Grenoble à Veynes, Gap, Briançon, au Lautaret et au Galibier","1938","http://data.bnf.fr/ark:/12148/cb12327751w","http://data.bnf.fr/temp-work/357c571f984e2706808f54b712076384/#about"
"Maurice Gignoux","Les Formations marines pliocènes et quaternaires de l'Italie du Sud et de la Sicile","1913","http://data.bnf.fr/ark:/12148/cb12327751w","http://data.bnf.fr/temp-work/6386e6e334e7bbf2c425b6062f2d06f7/#about"
"Maurice Gignoux","Géologie des barrages et des aménagements hydrauliques","1954","http://data.bnf.fr/ark:/12148/cb12327751w","http://data.bnf.fr/temp-work/9b968f2ac590543aa465f66a09c1ee16/#about"
"Maurice Gignoux","Les grandes subdivisions géologiques des Alpes françaises","1934","http://data.bnf.fr/ark:/12148/cb12327751w","http://data.bnf.fr/temp-work/4f9aaa017c997f69e0c11f85e3a98970/#about"
"Maurice Gignoux","Un itinéraire géologique à travers les Alpes françaises de Voreppe à Grenoble et en Maurienne","1930","http://data.bnf.fr/ark:/12148/cb12327751w","http://data.bnf.fr/temp-work/f43ffd2444d8fa0627b326c1382c0712/#about"
"Maurice Gignoux","Géologie des barrages et des aménagements hydrauliques","1955","http://data.bnf.fr/ark:/12148/cb12327751w","http://data.bnf.fr/temp-work/988384c89980d6f6a4eff9cdfe66059a/#about"
"Maurice Gignoux","Révision de la feuille de Briançon au 1/80000e","1930","http://data.bnf.fr/ark:/12148/cb12327751w","http://data.bnf.fr/temp-work/624d4eb706e109f782ce9d58ae480d6f/#about"
"Maurice Gignoux","Les conditions géologiques du barrage de Chambon-Romanche, département de l'Isère","1941","http://data.bnf.fr/ark:/12148/cb12327751w","http://data.bnf.fr/temp-work/c19733d1194691e40ac0aad8b10672ce/#about"
"Maurice Gignoux","Géologie des barrages et des aménagements hydrauliques","1954","http://data.bnf.fr/ark:/12148/cb12327751w","http://data.bnf.fr/temp-work/62e51fd4b9d04dfe12066c2775f2598d/#about"
"Maurice Gignoux","Paul Lemoine 1878-1940","1941","http://data.bnf.fr/ark:/12148/cb12327751w","http://data.bnf.fr/temp-work/18c69af9ea9b5df6a8190c9df37c731d/#about"
"Maurice Gignoux","Funérailles de Émile Cotton,... à Grenoble, le... 15 mars 1950","1952","http://data.bnf.fr/ark:/12148/cb12327751w","http://data.bnf.fr/temp-work/8042420eed166687ec9373068c5ba460/#about"
