ville,coordinatelieu
Attigny,Point(6.035833333 48.064722222)
Brullemail,Point(0.328611111 48.6575)
Duhort-Bachen,Point(-0.323055555 43.724722222)
Sébeville,Point(-1.287777777 49.3875)
Sandaucourt,Point(5.846111111 48.263611111)
Amancey,Point(6.071666666 47.038055555)
Soleymieux,Point(4.041944444 45.508888888)
Menetou-Couture,Point(2.914444444 47.045277777)
Fossé,Point(5.005 49.446111111)
Amance,Point(6.279722222 48.754166666)
Geaune,Point(-0.378611111 43.639722222)
Néac,Point(-0.179166666 44.940555555)
Bourideys,Point(-0.453611111 44.368055555)
Saint-Arnoult,Point(0.872777777 47.7075)
Ossages,Point(-0.881388888 43.5575)
Amancy,Point(6.329166666 46.074166666)
Saint-Prix,Point(4.500833333 44.942777777)
Poulan-Pouzols,Point(2.116666666 43.86)
Chuffilly-Roche,Point(4.606944444 49.447222222)
La Gravelle,Point(-1.015833333 48.072777777)
Cesseville,Point(0.977777777 49.180833333)
Chenommet,Point(0.244722222 45.936666666)
Bucy-lès-Cerny,Point(3.517222222 49.582222222)
Blussangeaux,Point(6.613888888 47.429722222)
Sainte-Marguerite-de-Viette,Point(0.089722222 49.013055555)
Journy,Point(1.995 50.752777777)
Vandières,Point(3.7375 49.107777777)
Saint-Pierremont,Point(4.937777777 49.486111111)
Saint-Julien-du-Tournel,Point(3.684166666 44.500833333)
Saint-Aubin-sur-Scie,Point(1.070277777 49.871388888)
Vedène,Point(4.903055555 43.9775)
Le Ham,Point(-1.4175 49.450833333)
Messy,Point(2.700555555 48.966944444)
Grisy-sur-Seine,Point(3.318611111 48.438888888)
Mauriac,Point(2.333611111 45.218888888)
Gernelle,Point(4.816944444 49.7675)
Chasseradès,Point(3.825833333 44.551111111)
Cerisy-la-Forêt,Point(-0.936666666 49.195)
Serpaize,Point(4.918055555 45.558888888)
Marquay,Point(1.133888888 44.943611111)
Breilly,Point(2.179722222 49.934444444)
Saint-Sulpice-le-Dunois,Point(1.731111111 46.298888888)
Monchy-Cayeux,Point(2.276666666 50.437777777)
Saint-Alban-sur-Limagnole,Point(3.388333333 44.780833333)
Yversay,Point(0.215555555 46.678611111)
Werentzhouse,Point(7.3575 47.516944444)
Germigny-sous-Coulombs,Point(3.159166666 49.064444444)
Virandeville,Point(-1.726388888 49.568611111)
Brives-Charensac,Point(3.926666666 45.046666666)
Saint-Julien-d'Arpaon,Point(3.665833333 44.299444444)
Tailly,Point(5.082777777 49.435277777)
Lugny-lès-Charolles,Point(4.211666666 46.410833333)
Vaudrecourt,Point(5.649722222 48.206666666)
Villers-le-Sec,Point(6.219722222 47.599166666)
Mably,Point(4.064722222 46.085833333)
Saint-Georges-les-Bains,Point(4.809166666 44.861111111)
Neuville-au-Plain,Point(-1.33 49.4275)
Valleroy-aux-Saules,Point(6.142777777 48.248055555)
Villers-sur-Bar,Point(4.849722222 49.679722222)
Achiet-le-Grand,Point(2.7825 50.130555555)
La Grandville,Point(4.796111111 49.78)
Moreilles,Point(-1.084722222 46.421111111)
Cours-les-Barres,Point(3.031388888 47.024722222)
Civray-sur-Esves,Point(0.710833333 47.0475)
Ravenoville,Point(-1.270555555 49.456666666)
Auroux,Point(3.727222222 44.752777777)
Cheylard-l'Évêque,Point(3.802777777 44.647777777)
Houesville,Point(-1.287777777 49.350833333)
Oiselay-et-Grachaux,Point(5.933611111 47.421388888)
Canilhac,Point(3.150277777 44.423611111)
La Garnache,Point(-1.831111111 46.890555555)
Blendecques,Point(2.276388888 50.716944444)
Joinville-le-Pont,Point(2.472777777 48.821388888)
Norroy,Point(5.92 48.215555555)
Châteauneuf-de-Randon,Point(3.675277777 44.640555555)
Vauconcourt-Nervezain,Point(5.826666666 47.659722222)
Pissotte,Point(-0.807777777 46.495833333)
Saint-Sauveur-de-Peyre,Point(3.287222222 44.658611111)
Barro,Point(0.226666666 46.000555555)
Fleurey-lès-Saint-Loup,Point(6.293055555 47.917777777)
Saint-Hilaire-de-Lavit,Point(3.863888888 44.253333333)
Le Tartre-Gaudran,Point(1.595277777 48.699166666)
Cazalis,Point(-0.38 44.341944444)
Saint-Laurs,Point(-0.583888888 46.525277777)
Lessay,Point(-1.530555555 49.218055555)
Dampmart,Point(2.735 48.886666666)
Buzançais,Point(1.4225 46.89)
Saint-Aignan-Grandlieu,Point(-1.630555555 47.123888888)
Le Neufbourg,Point(-0.947777777 48.656944444)
Rembercourt-Sommaisne,Point(5.178888888 48.910277777)
Heurtevent,Point(0.131666666 48.986944444)
Prémont,Point(3.393888888 50.013055555)
Coustouge,Point(2.743611111 43.047777777)
Ygrande,Point(2.943611111 46.552222222)
Le Grand-Lemps,Point(5.419722222 45.398333333)
Ognon,Point(2.643333333 49.236388888)
Frémonville,Point(6.886944444 48.595277777)
Jargeau,Point(2.125 47.864722222)
Genneton,Point(-0.427777777 47.054444444)
La Ferté-Milon,Point(3.123888888 49.178333333)
Lubret-Saint-Luc,Point(0.301944444 43.315555555)
Saint-Bonnet-de-Four,Point(2.910555555 46.312777777)
Marolles-les-Buis,Point(0.927777777 48.361388888)
Jeumont,Point(4.101388888 50.294444444)
Saint-Broladre,Point(-1.656666666 48.586666666)
Crèvecœur-sur-l'Escaut,Point(3.250833333 50.106111111)
Auxelles-Haut,Point(6.773055555 47.743333333)
Cosne-d'Allier,Point(2.831388888 46.475277777)
Celles-sur-Ource,Point(4.399722222 48.077222222)
Brugnens,Point(0.729166666 43.84)
Verneuil-le-Château,Point(0.4575 47.038611111)
Saint-Rirand,Point(3.848611111 46.076111111)
Senlis-le-Sec,Point(2.578333333 50.025277777)
Saint-Pourçain-sur-Besbre,Point(3.636388888 46.475555555)
Solesmes,Point(3.498333333 50.185555555)
Montaigu-le-Blin,Point(3.511111111 46.294444444)
Esparron-de-Verdon,Point(5.971944444 43.738888888)
Bussière-Boffy,Point(0.853888888 46.050277777)
Neuf-Berquin,Point(2.671111111 50.660555555)
Mézières-au-Perche,Point(1.274722222 48.249722222)
Vue,Point(-1.881111111 47.198611111)
Familly,Point(0.354444444 48.966666666)
Quiry-le-Sec,Point(2.381944444 49.6725)
Monceaux-en-Bessin,Point(-0.693055555 49.256111111)
Portbail,Point(-1.696111111 49.335277777)
Intres,Point(4.3625 44.982777777)
Liencourt,Point(2.452777777 50.271944444)
Spechbach-le-Bas,Point(7.228333333 47.670277777)
Bromeilles,Point(2.496388888 48.186388888)
Montréjeau,Point(0.568888888 43.084722222)
Sasseville,Point(0.681388888 49.788055555)
Saint-Arey,Point(5.733888888 44.871944444)
Compans,Point(2.665 48.993888888)
Le Quesnoy-en-Artois,Point(2.048333333 50.334166666)
Lizy,Point(3.481944444 49.513055555)
Espéraza,Point(2.220555555 42.935277777)
Saint-Didier-en-Bresse,Point(5.091111111 46.853055555)
Mur-de-Barrez,Point(2.661666666 44.842222222)
Castéras,Point(1.4 43.128888888)
Levainville,Point(1.7425 48.488333333)
Fontenay-sur-Vègre,Point(-0.221111111 47.903611111)
Annois,Point(3.1775 49.720833333)
Fonroque,Point(0.417777777 44.701944444)
Sazeret,Point(2.955833333 46.339444444)
Ostel,Point(3.57 49.429444444)
Clohars-Carnoët,Point(-3.585833333 47.795833333)
Éclance,Point(4.634444444 48.306111111)
Eaux-Bonnes,Point(-0.391944444 42.973055555)
Caouënnec-Lanvézéac,Point(-3.375555555 48.703611111)
Cendras,Point(4.053611111 44.155277777)
Saint-Mard-de-Réno,Point(0.633611111 48.509722222)
Magnant,Point(4.4225 48.170277777)
Catheux,Point(2.120555555 49.652777777)
Lavars,Point(5.6725 44.848888888)
Rumilly-en-Cambrésis,Point(3.22 50.126944444)
Avremesnil,Point(0.926944444 49.85)
Sionne,Point(5.639722222 48.392777777)
Fresnicourt-le-Dolmen,Point(2.599722222 50.418055555)
Meillers,Point(3.092777777 46.507222222)
Montigny-en-Gohelle,Point(2.929722222 50.427777777)
Malrevers,Point(3.966111111 45.098055555)
Sainte-Agnès,Point(5.921111111 45.236666666)
Bazinghen,Point(1.6625 50.825277777)
Martrin,Point(2.619166666 43.938611111)
Arbouans,Point(6.810277777 47.490555555)
Grammond,Point(4.441388888 45.565277777)
Rozoy-sur-Serre,Point(4.128333333 49.708888888)
Trans-sur-Erdre,Point(-1.373611111 47.476388888)
Elbach,Point(7.078888888 47.641111111)
Revel-Tourdan,Point(5.037222222 45.384444444)
Plouguenast,Point(-2.704444444 48.281388888)
Frébuans,Point(5.486666666 46.6525)
Sourribes,Point(6.015833333 44.148611111)
Champfleury,Point(4.016666666 49.198611111)
Saint-Philbert-sur-Boissey,Point(0.784166666 49.254722222)
Seclin,Point(3.029444444 50.548333333)
Flagy,Point(2.921388888 48.3125)
Damrémont,Point(5.640833333 47.952777777)
Gausson,Point(-2.754722222 48.299444444)
Denée,Point(-0.607777777 47.379444444)
Durrenentzen,Point(7.502777777 48.0925)
Bert,Point(3.707222222 46.324444444)
La Redorte,Point(2.653055555 43.252222222)
Gréoux-les-Bains,Point(5.883611111 43.758333333)
Verpel,Point(4.933333333 49.383888888)
Montmahoux,Point(6.034166666 46.983333333)
Saint-Jean-le-Vieux,Point(5.389166666 46.028333333)
Saint-Andéol-le-Château,Point(4.695 45.585833333)
Saint-Sébastien,Point(5.799166666 44.847222222)
Blandy,Point(2.781944444 48.566111111)
Oches,Point(4.926111111 49.504166666)
Monchecourt,Point(3.209444444 50.303888888)
Pont-du-Bois,Point(6.125833333 47.968611111)
Buzancy,Point(4.955 49.426111111)
Sainte-Souline,Point(-0.016388888 45.379444444)
Treffieux,Point(-1.5375 47.619722222)
Vauchonvilliers,Point(4.526111111 48.265555555)
Hamonville,Point(5.813888888 48.827777777)
Saint-Georges-sur-Renon,Point(5.031944444 46.105555555)
Bauvin,Point(2.898055555 50.514166666)
Chavannes-sur-l'Étang,Point(7.024444444 47.631666666)
Rebets,Point(1.389722222 49.511111111)
Mainxe,Point(-0.189166666 45.641944444)
Landres-et-Saint-Georges,Point(5.010555555 49.353333333)
Nantiat,Point(1.173333333 46.009166666)
Francin,Point(6.034444444 45.5)
Combleux,Point(1.990555555 47.899722222)
Sardieu,Point(5.211944444 45.369166666)
Montalembert,Point(0.1575 46.110555555)
Roche,Point(3.945277777 45.614444444)
Escaudœuvres,Point(3.265 50.192777777)
Saint-Georges-de-Luzençon,Point(2.985555555 44.064444444)
Ensisheim,Point(7.3525 47.865555555)
Saint-Paul,Point(-0.605 45.148055555)
Grand-Camp,Point(0.526944444 49.045277777)
Arc-lès-Gray,Point(5.584444444 47.457222222)
Thauvenay,Point(2.868055555 47.305)
Le Quesnel,Point(2.624722222 49.776111111)
Tréveneuc,Point(-2.87 48.663888888)
Saint-Rémy-de-Maurienne,Point(6.265 45.391944444)
Sogny-aux-Moulins,Point(4.397222222 48.901666666)
Arc-sous-Cicon,Point(6.381111111 47.0525)
Ernolsheim-lès-Saverne,Point(7.381111111 48.792222222)
Osly-Courtil,Point(3.225833333 49.401666666)
Noidans-lès-Vesoul,Point(6.125555555 47.614444444)
Arc-et-Senans,Point(5.778333333 47.032222222)
Germonville,Point(6.2125 48.406944444)
Mortcerf,Point(2.916388888 48.789444444)
La Pellerine,Point(0.123055555 47.461388888)
Bourguignon-lès-la-Charité,Point(5.970277777 47.507222222)
La Gorgue,Point(2.714166666 50.638333333)
Le Juch,Point(-4.254444444 48.066111111)
Atton,Point(6.090555555 48.890555555)
Pesmes,Point(5.565 47.279722222)
Peuton,Point(-0.822222222 47.885)
Bar-lès-Buzancy,Point(4.941388888 49.433055555)
La Bâtie-Montsaléon,Point(5.749444444 44.456111111)
Taurize,Point(2.505277777 43.076388888)
Ageville,Point(5.355555555 48.11)
Chooz,Point(4.806944444 50.103611111)
Andrezel,Point(2.813333333 48.611111111)
Balloy,Point(3.1475 48.398055555)
Batilly,Point(-0.184444444 48.720555555)
Machecoul,Point(-1.822777777 46.993055555)
Lanvallay,Point(-2.028333333 48.455277777)
Plédran,Point(-2.746111111 48.445833333)
Châteaubourg,Point(-1.403333333 48.111111111)
Montlebon,Point(6.6075 47.041666666)
Bambecque,Point(2.548055555 50.901388888)
Rety,Point(1.774722222 50.797222222)
Ville-d'Avray,Point(2.193333333 48.826111111)
Lauraguel,Point(2.174722222 43.098611111)
Sachy,Point(5.133055555 49.668333333)
Plougoulm,Point(-4.044444444 48.666944444)
Voillans,Point(6.413055555 47.386666666)
Golfech,Point(0.851111111 44.113888888)
Nouart,Point(5.049722222 49.44)
Palantine,Point(5.943333333 47.089166666)
Halluin,Point(3.124722222 50.782777777)
Arbusigny,Point(6.218333333 46.091666666)
Saint-Pierre-Tarentaine,Point(-0.793611111 48.964166666)
Gueutteville,Point(1.004722222 49.649444444)
Chavot-Courcourt,Point(3.929722222 49.003611111)
Loubens,Point(-0.036944444 44.63)
Pommiers,Point(4.6925 45.955277777)
Fos-sur-Mer,Point(4.943611111 43.454444444)
Eglingen,Point(7.181944444 47.665277777)
Thumeries,Point(3.055 50.478888888)
Commentry,Point(2.741666666 46.288888888)
Florent-en-Argonne,Point(4.953888888 49.135)
Clairfayts,Point(4.122222222 50.157222222)
Saint-Coutant-le-Grand,Point(-0.768888888 45.953888888)
Arc-sous-Montenot,Point(6.002222222 46.911944444)
Parux,Point(6.921666666 48.538888888)
Bosc-Roger-sur-Buchy,Point(1.388333333 49.582222222)
Burzy,Point(4.582222222 46.597222222)
Durban-Corbières,Point(2.816944444 42.995833333)
Berthen,Point(2.695 50.782777777)
Mont-Saint-Éloi,Point(2.693055555 50.351111111)
Andrezé,Point(-0.953333333 47.171388888)
Leffonds,Point(5.1625 47.973333333)
Le Lauzet-Ubaye,Point(6.432222222 44.43)
Pietralba,Point(9.185833333 42.546388888)
Bérigny,Point(-0.940833333 49.142777777)
Betz-le-Château,Point(0.920277777 46.991944444)
Couëron,Point(-1.723888888 47.214722222)
Prévillers,Point(1.996388888 49.610277777)
Saint-Girod,Point(5.967222222 45.78)
Riez,Point(6.092777777 43.818055555)
Saint-Hilaire,Point(2.309722222 43.093055555)
Aspach,Point(7.233888888 47.642777777)
Farges,Point(5.905277777 46.167777777)
Pont-Arcy,Point(3.63 49.395277777)
Soucia,Point(5.749166666 46.541944444)
Grézieu-la-Varenne,Point(4.690277777 45.747222222)
Duranville,Point(0.509722222 49.148611111)
Saint-Aubin-du-Plain,Point(-0.476111111 46.923888888)
Colmars,Point(6.626666666 44.181111111)
Fort-Mardyck,Point(2.3061 51.031)
Saint-Aubert,Point(3.416388888 50.207777777)
Sallertaine,Point(-1.957222222 46.859722222)
Pont-de-Chéruy,Point(5.173055555 45.750555555)
Autigny-la-Tour,Point(5.759444444 48.399444444)
Ménévillers,Point(2.605 49.5225)
Lépanges-sur-Vologne,Point(6.671111111 48.172222222)
Servon-Melzicourt,Point(4.840555555 49.215)
Le Mesnil-Durdent,Point(0.7725 49.816388888)
Neuilly-sous-Clermont,Point(2.411388888 49.345)
Souillé,Point(0.1825 48.119166666)
Chaudeyrac,Point(3.756388888 44.659444444)
Saint-Michel,Point(4.132777777 49.918055555)
Gissey-le-Vieil,Point(4.482222222 47.323055555)
Sempigny,Point(2.994722222 49.5575)
Cogny,Point(2.655833333 46.85)
Mont-sur-Courville,Point(3.681111111 49.26)
La Faurie,Point(5.74 44.567222222)
Saint-Martin-des-Champs,Point(-1.331111111 48.669444444)
Arleux-en-Gohelle,Point(2.870833333 50.362777777)
Mézières-en-Brenne,Point(1.210555555 46.820555555)
Villette-sur-Ain,Point(5.268611111 45.988333333)
Courtes,Point(5.100277777 46.459166666)
Villars,Point(0.755 45.420277777)
Marcenat,Point(2.826666666 45.306944444)
Durmenach,Point(7.338055555 47.526944444)
Varennes-sur-Morge,Point(3.186944444 45.941944444)
Fontaine-Chalendray,Point(-0.182222222 45.947777777)
Saint-Avit-Sénieur,Point(0.816388888 44.774722222)
Artas,Point(5.164444444 45.535277777)
Daoulas,Point(-4.259722222 48.360833333)
La Croisille,Point(0.9775 48.982777777)
Le Mesnil-Guillaume,Point(0.288055555 49.104722222)
Savy,Point(3.192777777 49.830277777)
Le Grand-Pressigny,Point(0.802777777 46.920277777)
La Quarte,Point(5.695 47.773611111)
Voisey,Point(5.782222222 47.884444444)
Thory,Point(3.913055555 47.565)
Lasfaillades,Point(2.493888888 43.574722222)
Bouges-le-Château,Point(1.673333333 47.039444444)
Nassigny,Point(2.601944444 46.493055555)
Saint-Gervais-sur-Roubion,Point(4.890833333 44.583055555)
Marchampt,Point(4.571388888 46.1125)
Beaucaire,Point(0.384722222 43.8375)
Saint-Amant-Roche-Savine,Point(3.632222222 45.575555555)
Saint-Gervais-sur-Mare,Point(3.04 43.651944444)
Épreville,Point(0.366666666 49.707222222)
Arith,Point(6.084166666 45.715833333)
Préval,Point(0.623888888 48.234722222)
La Haute-Beaume,Point(5.627777777 44.563888888)
Bucy-le-Long,Point(3.393888888 49.390555555)
La Roque-Gageac,Point(1.1825 44.826388888)
Chantraines,Point(5.247222222 48.218888888)
Crux-la-Ville,Point(3.521111111 47.161111111)
Arsague,Point(-0.796111111 43.580277777)
Amberre,Point(0.164722222 46.766388888)
Roybon,Point(5.244166666 45.258611111)
Juvigny-sous-Andaine,Point(-0.5075 48.550833333)
Courbillac,Point(-0.180555555 45.767777777)
Castetpugon,Point(-0.23 43.561111111)
Almayrac,Point(2.166944444 44.100833333)
Croissy-sur-Celle,Point(2.170833333 49.696111111)
Salles-sur-Garonne,Point(1.179722222 43.272777777)
Eschentzwiller,Point(7.398611111 47.712777777)
Mérinville,Point(2.941666666 48.0825)
Canéjan,Point(-0.654722222 44.763055555)
Saint-Pierre-de-Belleville,Point(6.281666666 45.470833333)
Eschbach-au-Val,Point(7.145 48.031111111)
Wassigny,Point(3.6 50.013055555)
Marcoussis,Point(2.229722222 48.641666666)
Bougligny,Point(2.657222222 48.195277777)
Mayrac,Point(1.558333333 44.898611111)
Palante,Point(6.585 47.658888888)
Mondion,Point(0.484444444 46.937222222)
Amagney,Point(6.151666666 47.305)
Villegouin,Point(1.373055555 46.964166666)
Pia,Point(2.920833333 42.744722222)
Forges-sur-Meuse,Point(5.291944444 49.262777777)
Seraucourt-le-Grand,Point(3.212777777 49.78)
Chevrières,Point(4.400833333 45.588333333)
Landresse,Point(6.469444444 47.257222222)
Marvejols,Point(3.29 44.553333333)
Mérinchal,Point(2.488611111 45.916666666)
Comps-sur-Artuby,Point(6.508888888 43.71)
Saint-Élix-Theux,Point(0.469444444 43.428611111)
Quinsac,Point(-0.487777777 44.755277777)
Saint-Cyprien,Point(1.263888888 44.307777777)
La Chapelle-Biche,Point(-0.629166666 48.711388888)
Saint-Brieuc-des-Iffs,Point(-1.851388888 48.291111111)
Aubiac,Point(0.560833333 44.141388888)
Marigny-sur-Yonne,Point(3.651111111 47.280833333)
La Bohalle,Point(-0.3875 47.423333333)
Fargues-Saint-Hilaire,Point(-0.445277777 44.823333333)
Rauret,Point(3.791111111 44.8175)
Mœurs-Verdey,Point(3.678055555 48.727222222)
Échallat,Point(-0.040555555 45.723055555)
Velesmes-Échevanne,Point(5.701388888 47.419722222)
Rocles,Point(3.031111111 46.423888888)
Saint-Michel-Mont-Mercure,Point(-0.883055555 46.830277777)
Sainte-Radegonde,Point(0.015555555 44.805833333)
Thoiry,Point(5.979722222 46.236388888)
Halloy-lès-Pernois,Point(2.196944444 50.049722222)
Blâmont,Point(6.842222222 48.589722222)
Saint-Ignat,Point(3.274444444 45.923055555)
Fessevillers,Point(6.914166666 47.280277777)
Moulédous,Point(0.235277777 43.228333333)
Sainte-Marie-de-Vatimesnil,Point(1.584722222 49.2775)
Indre,Point(-1.671111111 47.198611111)
Dienville,Point(4.533611111 48.350555555)
Villemeux-sur-Eure,Point(1.461944444 48.673333333)
Saint-Médard-d'Eyrans,Point(-0.510277777 44.719166666)
Chaucenne,Point(5.897777777 47.284722222)
Cursan,Point(-0.337222222 44.803611111)
Saint-Sauveur-de-Meilhan,Point(-0.002222222 44.481666666)
Drocourt,Point(2.926666666 50.391111111)
Nailloux,Point(1.623333333 43.355833333)
Touffreville-la-Corbeline,Point(0.763055555 49.581111111)
Saint-Amant-de-Boixe,Point(0.134722222 45.798055555)
Reims-la-Brûlée,Point(4.668888888 48.718611111)
Compains,Point(2.927777777 45.441388888)
Parnes,Point(1.737777777 49.203333333)
La Celle,Point(2.784722222 46.228611111)
Bauné,Point(-0.319722222 47.498888888)
Balzac,Point(0.136388888 45.709722222)
Le Pertuis,Point(4.058888888 45.096388888)
Coisia,Point(5.580833333 46.305555555)
Pouligny-Saint-Pierre,Point(1.039166666 46.680833333)
Salles-Lavalette,Point(0.234444444 45.383333333)
Ligueux,Point(0.269444444 44.785833333)
Longueville,Point(-0.96 49.34)
Maron,Point(6.047222222 48.634722222)
Beaumont,Point(0.285277777 43.946388888)
Eguenigue,Point(6.934722222 47.670277777)
Tilloloy,Point(2.747777777 49.643055555)
Courcelles-sur-Seine,Point(1.358611111 49.182777777)
Margency,Point(2.289444444 49.001944444)
Jayac,Point(1.343888888 45.030833333)
Mombrier,Point(-0.553611111 45.078888888)
Villeret,Point(3.193055555 49.9525)
Crotenay,Point(5.813611111 46.752222222)
Pont-de-Buis-lès-Quimerch,Point(-4.09 48.254444444)
Saint-Jean-de-Couz,Point(5.818333333 45.467222222)
Sainte-Anne,Point(0.965833333 43.744166666)
Haux,Point(-0.360277777 44.733333333)
Clermont-le-Fort,Point(1.4325 43.458055555)
Saint-Martin-sur-Ocre,Point(2.658333333 47.659166666)
Saint-Denis-des-Coudrais,Point(0.5075 48.150277777)
Ambiévillers,Point(6.159722222 47.975555555)
Le Bizot,Point(6.671666666 47.135833333)
La Sauve,Point(-0.311944444 44.769444444)
Acon,Point(1.090833333 48.772777777)
Venansault,Point(-1.5125 46.686111111)
Saint-Maurice-de-Rotherens,Point(5.698611111 45.621111111)
Les Sauvages,Point(4.376388888 45.925)
Ambleteuse,Point(1.606388888 50.809444444)
Marolles-sur-Seine,Point(3.031111111 48.385833333)
Longueville,Point(-1.551666666 48.853611111)
Asnans-Beauvoisin,Point(5.411666666 46.949444444)
Grandfontaine-sur-Creuse,Point(6.454166666 47.192777777)
Les Trois-Moutiers,Point(0.020555555 47.062777777)
Argentine,Point(6.312777777 45.493888888)
Pompignac,Point(-0.436944444 44.851111111)
Corbel,Point(5.825277777 45.429444444)
La Salle-les-Alpes,Point(6.570833333 44.944722222)
Lamécourt,Point(2.465277777 49.430833333)
Bourg-le-Comte,Point(3.988611111 46.308888888)
Saint-Séverin-sur-Boutonne,Point(-0.421666666 46.082777777)
Tollevast,Point(-1.626111111 49.575)
Ousse,Point(-0.266944444 43.282777777)
Saint-Pierre-la-Garenne,Point(1.3975 49.146666666)
Courchamp,Point(3.286944444 48.636388888)
Sainte-Cécile,Point(-1.189444444 48.835555555)
Neuvy-en-Beauce,Point(1.8775 48.268055555)
Gabarnac,Point(-0.268611111 44.615277777)
Lottinghen,Point(1.9325 50.684166666)
Castelnaud-la-Chapelle,Point(1.148611111 44.815)
Lugy,Point(2.174722222 50.523888888)
La Baume,Point(6.612777777 46.282222222)
Brignais,Point(4.754166666 45.673888888)
Hecq,Point(3.651388888 50.181666666)
Saint-Vaast-en-Chaussée,Point(2.205555555 49.97)
Nant,Point(3.301111111 44.021944444)
Léon,Point(-1.303055555 43.876944444)
Verlans,Point(6.720833333 47.571666666)
Biviers,Point(5.803333333 45.24)
Beausite,Point(5.192222222 48.968055555)
Bellegarde-Sainte-Marie,Point(1.113611111 43.671666666)
Faverolles-lès-Lucey,Point(4.862777777 47.835833333)
Malaucène,Point(5.132222222 44.174166666)
Amblans-et-Velotte,Point(6.409722222 47.679444444)
La Luzerne,Point(-1.050277777 49.138888888)
Porcieu-Amblagnieu,Point(5.401111111 45.834166666)
Saint-Igny-de-Vers,Point(4.436111111 46.240555555)
Uzelle,Point(6.436111111 47.466111111)
Sondernach,Point(7.073888888 47.997222222)
Caujac,Point(1.468055555 43.298888888)
Les Isles-Bardel,Point(-0.338333333 48.845277777)
Vienne-la-Ville,Point(4.860277777 49.1675)
Laubert,Point(3.640277777 44.585555555)
Saint-Maur,Point(0.343055555 43.477777777)
Juzet-de-Luchon,Point(0.608888888 42.808611111)
Bidarray,Point(-1.345 43.266666666)
Troguéry,Point(-3.225833333 48.753888888)
Thoste,Point(4.225833333 47.436388888)
Brion,Point(1.727777777 46.956944444)
Oléac-Dessus,Point(0.189722222 43.160833333)
Bradiancourt,Point(1.388055555 49.656111111)
Anguerny,Point(-0.398333333 49.265833333)
Châteldon,Point(3.520277777 45.976666666)
Trévol,Point(3.306111111 46.629166666)
Saint-Clément-de-Rivière,Point(3.846388888 43.683611111)
Ambleville,Point(-0.2225 45.557777777)
Bezonvaux,Point(5.4675 49.236666666)
Croisilles,Point(1.504166666 48.688888888)
Gourgeon,Point(5.844722222 47.718333333)
Sainte-Segrée,Point(1.9125 49.755555555)
Marignac-Laspeyres,Point(0.965277777 43.215)
Cumont,Point(0.9 43.875555555)
Fay-le-Clos,Point(4.905833333 45.213333333)
Aussac,Point(2.040555555 43.864722222)
Loubaresse,Point(3.21 44.935)
Sainte-Colombe-de-Duras,Point(0.124722222 44.690277777)
Chigny,Point(3.770833333 49.917777777)
Sangatte,Point(1.756666666 50.946666666)
Sauternes,Point(-0.342777777 44.531666666)
Saint-Jean-de-Linières,Point(-0.6575 47.458055555)
Montceau-les-Mines,Point(4.368888888 46.666944444)
Frahier-et-Chatebier,Point(6.7475 47.660277777)
Bazoches-au-Houlme,Point(-0.240555555 48.8175)
Ahetze,Point(-1.571111111 43.405833333)
Auquainville,Point(0.239166666 49.056944444)
Puy-Saint-Gulmier,Point(2.627777777 45.791111111)
Torfou,Point(-1.115833333 47.0375)
Touët-de-l'Escarène,Point(7.365 43.8475)
Lintot,Point(0.568333333 49.563055555)
La Boissière,Point(1.368055555 48.945277777)
Pessans,Point(5.8825 47.070277777)
La Motte-Saint-Martin,Point(5.717777777 44.950277777)
Saint-Morillon,Point(-0.502777777 44.649722222)
Chailles,Point(1.310277777 47.541666666)
Érôme,Point(4.821111111 45.12)
Genêts,Point(-1.475833333 48.684722222)
Comigne,Point(2.581388888 43.170555555)
Vitry-le-Croisé,Point(4.566944444 48.145)
Saillagouse,Point(2.039722222 42.46)
Estouy,Point(2.326388888 48.186666666)
Rocheservière,Point(-1.509166666 46.938888888)
Laventie,Point(2.771111111 50.6275)
Font-Romeu-Odeillo-Via,Point(2.033888888 42.497777777)
Foucart,Point(0.595277777 49.613888888)
Le Gâvre,Point(-1.748611111 47.520555555)
Lézardrieux,Point(-3.107222222 48.785277777)
Peyruis,Point(5.940277777 44.028888888)
Mondement-Montgivroux,Point(3.777777777 48.7875)
Villefort,Point(2.0325 42.953611111)
Schœlcher,Point(-61.101388888 14.616111111)
Le Doulieu,Point(2.719166666 50.682222222)
Lanobre,Point(2.534444444 45.438611111)
Appenans,Point(6.565 47.442777777)
Thérondels,Point(2.758611111 44.895833333)
Sainte-Anne,Point(5.985277777 46.954444444)
Belleville,Point(4.749166666 46.108611111)
Nogent-sur-Eure,Point(1.3625 48.389444444)
Froidefontaine,Point(6.9475 47.565)
Saint-Bard,Point(2.400277777 45.914444444)
Brageac,Point(2.288055555 45.204166666)
Boissezon,Point(2.380555555 43.575)
Teloché,Point(0.270833333 47.887777777)
Termignon,Point(6.816944444 45.2775)
Apatou,Point(-54.343055555 5.156666666)
Égry,Point(2.436388888 48.103055555)
Azillanet,Point(2.7375 43.324166666)
Rouvray-Catillon,Point(1.482222222 49.572777777)
La Selle-sur-le-Bied,Point(2.895 48.064722222)
Montmeillant,Point(4.330555555 49.6925)
Fourches,Point(-0.079722222 48.861111111)
Romazières,Point(-0.174166666 45.9925)
Anse-Bertrand,Point(-61.508888888 16.471944444)
Le Moutaret,Point(6.088611111 45.431944444)
